,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684.0,1.0,1.3843571,0.83673805,-0.32679835,-0.21296208,-0.054274,0.82562417,-0.18895535,0.10813656,1.3983957,1.442588,0.7377355,-0.13308476,-0.08126269,0.73411703,-0.2344447,0.12682785,2.2688951,0.467595,0.14519757
1,588141.0,1.0,0.358291,0.0082515525,-0.89904255,-0.21477403,0.063718736,0.3357332,-0.257065,-0.9590086,0.3640423,0.28914982,-0.6702982,-0.583077,-0.20632516,0.15209284,-0.01341036,-0.60035366,0.46314663,0.100258306,0.05699079
2,588646.0,1.0,0.5320987,0.37105086,0.27184454,-0.14654702,1.3944871,0.8765369,0.76721627,-0.24640983,0.41059843,0.42304906,-0.7409458,-0.21403018,0.33060864,0.24257803,-0.3949022,-0.6861629,0.6032045,0.4266104,1.8374166
3,588378.0,1.0,0.8048639,0.68992513,-1.5220294,-0.26904562,-0.25409535,-0.2031916,-0.65466994,-1.3063632,-0.14856435,0.76229763,-0.35682276,-0.59495974,-0.48884425,0.5441766,-0.010252091,-0.64955264,-1.1150519,-0.32043403,-0.13174339
4,1583.0,1.0,0.6220996,-0.12300572,-0.061012458,-0.06184634,1.0876138,1.1632451,-0.049719136,-0.8769278,0.20036766,0.8220284,-0.039310962,-0.25327083,1.2023027,0.6386858,0.7095747,-0.78511363,-0.5329058,-0.57971865,0.20380403
5,588459.0,1.0,1.1293865,0.46654022,-1.2556374,-0.19801569,-0.4409794,0.7801272,-0.041122045,-0.8939803,0.8924716,0.93548757,0.53865737,-0.37275887,-0.06869324,0.65353036,-0.37840834,0.37811893,-0.58685386,0.5674304,0.04562879
6,588448.0,1.0,0.20176432,-0.10923733,-1.302308,-0.19885822,1.1767149,0.44485214,-0.13109997,-0.1522472,0.24905874,0.39992312,-0.66807646,-0.5984229,-0.0013305842,0.19373812,-0.4163689,-0.16588463,0.22234073,0.109145105,0.53491694
7,588144.0,1.0,0.29664102,0.4259115,-1.6510526,-0.03886553,0.46845746,0.037867516,0.277534,-1.1013964,-0.8130075,0.2621196,-0.73278135,-0.6446102,-0.29513687,0.29701373,-0.10984106,0.22009932,-1.0347853,0.14768447,-0.18509616
8,588325.0,1.0,0.008864399,0.87158185,-1.4526216,-0.14228459,0.20757227,0.3377049,0.6563979,-1.2905027,-0.2835276,0.7674785,-0.16678251,-0.5665679,-0.32260817,0.5416311,0.015506596,0.06522989,-1.0200583,-0.023641013,0.1301019
9,588393.0,1.0,0.49415445,1.6003051,-1.3592547,-0.00369688,0.62068033,0.7238922,0.6558237,-0.9103574,0.93945205,1.2180015,0.22838145,-0.53661424,-0.33088621,0.46513543,0.13323092,0.3528647,0.38161686,0.39997348,-0.27152184
10,588324.0,1.0,0.5141114,0.61488545,-1.4002074,-0.24382958,0.34160697,-0.05424987,0.102531396,-1.1448497,-0.27859077,0.42241955,-0.5765935,-0.6253233,-0.26654756,0.20701723,-0.23658493,-0.85234493,0.4841177,0.13408414,-0.3912432
11,588442.0,1.0,1.7898471,1.1716548,-1.8018345,-0.19993769,-0.55714875,-0.6229073,-0.17066295,-1.1106207,0.593454,0.5247673,-0.42760035,-0.5383002,-0.30506128,2.1830037,-0.058812264,-0.61282873,-0.58082676,0.27861217,0.3134689
12,237621.0,2.0,0.77538204,0.106013104,-0.8384116,-0.051481023,0.64295685,0.9996407,0.7197447,-0.7044812,0.8003391,0.6969688,-0.090620644,-0.40966174,0.8791268,0.45210618,0.026069665,-0.74224246,0.035641555,0.9498661,0.5233127
13,588677.0,2.0,0.80616707,1.7538,0.30198747,-0.0744372,1.4903948,1.8484311,1.0091677,-0.2112119,0.9202077,1.5444951,1.1826304,0.7146155,2.5028863,1.1555783,1.1743221,-0.14858484,0.7273541,-0.5652165,0.3393413
14,483143.0,2.0,0.7832041,-0.042742915,-0.06760263,-0.09571689,0.50680554,0.4526321,-0.3881052,-0.527857,0.7074298,-0.032424167,-0.806832,-0.16078638,0.4737525,0.62170106,0.43705583,-1.1721362,0.18110497,-0.7055656,1.0984126
15,588626.0,2.0,0.20058234,0.67553544,-1.6826878,-0.0108638285,0.607979,-0.02731649,1.096286,-1.0064548,0.08963607,1.293254,0.12389893,-0.16951501,0.47961262,1.0824469,0.8223086,-0.9115858,-0.5221163,-0.1909871,0.7573545
16,483138.0,2.0,0.8498518,1.0050883,-0.5491358,0.111486726,0.8742066,1.080067,0.3260511,-0.5231184,-0.6099467,1.3326526,0.37091646,0.14868037,0.7619469,1.6334224,-0.20195329,-0.72286713,0.2031394,-0.7838795,2.2025847
17,483130.0,2.0,0.4387049,-0.013780369,0.025572835,-0.070112094,1.2037212,1.0977229,0.22126368,-0.2891467,-0.20792632,-0.0026537632,-0.8584729,-0.4636861,1.0187116,0.68456364,-0.10620223,-0.9988555,1.1042722,-0.77001023,0.92474717
18,588199.0,3.0,2.720017,4.4237795,1.3052052,1.7906275,3.103562,2.719458,3.145235,-1.060449,1.5881578,4.538744,5.3840394,7.242631,2.651799,5.3869796,,4.1282334,-0.88489,0.106940344,0.6819057
19,588198.0,3.0,0.88959247,2.2781656,0.7846976,0.18460049,2.3099246,2.382687,1.6302874,-0.6399714,1.2019024,1.2942995,1.8952591,1.1401895,1.4480627,1.5387199,0.098392986,0.6510662,0.51749253,1.3495128,0.23179276
20,588205.0,3.0,-0.24375585,0.573436,0.03645533,1.2759333,2.1660442,0.571657,1.3537707,-1.015125,1.2182233,1.3211142,0.959406,-0.121269345,1.183586,1.6805714,0.62103015,0.01548119,-0.57409316,0.06245459,0.99402404
21,588200.0,3.0,2.729306,4.8535695,0.15587765,,1.7683758,1.7355034,0.95128757,-0.47979754,1.3007207,1.0577873,0.33226117,1.377623,2.6176894,1.696193,1.4396733,0.49335855,3.0272694,1.3635911,0.33761504
22,588186.0,3.0,1.6580602,1.5775439,-0.6411686,0.27621487,2.60701,2.9004254,1.6120633,0.057865176,0.7853132,2.1606126,1.2924755,0.76215065,3.117117,2.0847237,0.5489609,-0.7174693,1.2142446,5.9812083,1.1445069
23,588221.0,3.0,0.46990007,0.83910793,-0.4417704,0.41677988,1.2885783,3.6098454,-0.2711082,1.2039628,1.2183235,2.7346096,1.941312,0.5866152,2.1752548,2.4024296,0.3622883,-1.1464318,2.2389739,7.5995874,1.9017525
24,588398.0,3.0,0.88618994,0.15569088,-0.25935826,0.04229721,1.1026417,0.6709751,1.581627,-1.1197484,1.641669,0.78902125,0.11805167,1.2705789,2.4417458,1.5411975,-0.05830622,-0.76411974,-0.69592476,0.5355314,1.1086268
25,588218.0,3.0,3.1016517,3.6190276,-0.7636019,0.046802446,2.16892,1.4331226,2.4399686,-0.99850833,0.9533072,1.2061352,0.9083883,4.458811,3.21143,2.3471482,0.7710656,0.38290507,-0.86403835,4.1049957,1.3647804
26,588154.0,3.0,0.78062594,0.29116073,0.5103169,-0.14469922,1.6906973,1.5914893,0.6900949,0.13973081,1.0773481,1.4246364,0.115121365,0.8420309,1.8866782,0.6135369,1.1896087,-0.8345803,1.4029422,2.256733,0.75336534
27,588356.0,3.0,4.4463825,3.6231909,-0.38932663,0.844185,2.4998193,1.7317793,1.6609541,-0.78006005,1.4111028,3.3856537,3.0909047,2.5698988,2.8454223,2.530953,0.62414086,-0.36881134,-0.84164757,0.22661567,1.2418035
28,588208.0,3.0,1.8443636,3.2707655,2.0515924,0.19618736,3.708922,2.7830002,3.434629,0.4887582,3.63419,1.8591824,1.9241476,5.5028205,6.6311913,4.062431,2.320943,0.5039478,1.4546754,2.9197235,1.0470787
29,588197.0,3.0,0.8779751,1.4094466,-0.12980402,0.19910108,1.4993674,1.0732931,1.9904397,-1.0400614,1.5496651,1.3180612,1.0301034,2.7915394,1.0879661,1.3040808,-0.064894415,-0.43072912,-0.9960899,3.0086553,0.47290763
30,588219.0,3.0,0.34541366,0.85765964,1.0945158,0.08693127,2.6172807,2.4513698,2.0540113,-0.5126475,2.7854939,2.3938231,1.9632131,3.565596,2.5537515,2.2727208,0.8860471,-0.29215008,-0.05692864,4.307627,0.42487076
31,588217.0,3.0,0.42446104,-0.09157335,1.4647448,-0.116305284,0.35828012,0.69361967,-0.32968074,0.78523386,0.44785175,0.6229173,-0.40831256,-0.4809621,0.6132693,-0.046628725,0.03127984,-0.98516005,2.2661734,1.8577293,-0.19527991
32,588134.0,3.0,0.5508873,0.6939417,0.21177983,0.24250437,2.0583615,1.9532814,3.1393456,0.3879942,1.1843623,1.0654737,0.69311297,1.8734959,4.0978436,2.7391653,1.262832,-0.8266981,1.5061446,3.2165716,0.95822316
33,588685.0,3.0,0.62262857,1.6035277,0.08651704,0.09172708,0.5536516,2.3715205,0.9186799,-0.09662687,1.1794326,2.2588696,1.3896986,1.74179,2.061371,1.6378107,0.45246547,-0.4070651,1.090446,3.537174,1.1985115
34,588575.0,3.0,0.3364075,0.33206216,0.621555,0.13137972,2.1787405,1.1723058,1.0222855,-0.53344285,1.0000741,1.4443989,1.6959379,1.8522685,2.3870378,1.5527389,0.795758,-0.78507894,-0.00070871355,8.045266,2.2080338
35,588466.0,3.0,0.8103951,0.27934662,0.05214387,0.4851385,1.5851027,1.1654336,0.45220432,-0.49095735,1.0317452,1.0827738,0.30651802,-0.01831929,4.4064736,1.0062733,0.079275355,-0.682099,0.22604021,1.8767292,0.44412398
36,171.0,3.0,0.4761137,0.38209364,-1.1421814,-0.1594659,0.9449136,1.9373953,-0.072873674,-0.20726497,2.0633547,1.2952304,0.22113603,-0.5020757,1.1386467,0.5554412,-0.11944661,-1.1961495,0.735564,-0.66443765,1.092177
37,588678.0,3.0,1.1436316,0.03950176,-0.4125858,0.6034616,1.7327476,0.72809994,0.8848712,-0.89181197,-0.010439479,1.6128578,0.92419946,1.8423909,2.7668293,1.1696332,-0.008051433,-0.52401376,-0.5937835,4.0225673,0.57058513
38,597232.0,3.0,1.7245029,4.218804,-1.1501564,0.3862992,0.81848747,0.10505282,2.1090312,-1.5595803,0.70920414,0.7663367,0.31522623,3.1979747,1.0485625,2.146865,0.015684431,-0.26335937,-1.8955882,0.93829745,1.5996317
39,588460.0,3.0,0.8712083,0.5879285,-0.059218336,0.11898182,1.9412999,1.2975998,0.40761134,-0.13471764,0.59778845,0.6547007,0.65872467,1.2403281,2.6678061,1.4039619,0.123685874,0.13920125,0.6461701,1.6463227,0.4103376
40,588143.0,3.0,0.6593065,1.050247,0.52179986,,2.745015,2.4442668,2.1065342,0.8188846,1.8083565,1.8572693,1.4449703,1.5624466,2.3811793,2.0509148,0.44282967,-0.47288707,1.5349945,3.2007327,1.3922807
41,588328.0,3.0,0.9894041,0.46928972,1.060587,0.07072848,1.9512037,0.91811293,1.0219704,-0.14521335,2.770249,1.4294648,0.9339519,3.4382315,1.6189747,1.5294216,0.19435412,-0.76006305,0.533341,2.8103251,1.0852008
42,588329.0,3.0,0.7237096,2.2794232,-0.60252804,1.3347276,1.4068543,1.9193066,2.016919,-1.1047423,0.57771844,4.74916,3.5509167,4.53426,1.8605944,2.5549383,1.147177,-0.5005732,-0.9961461,0.75137883,0.7530859
43,588372.0,3.0,1.6177114,3.2457025,-0.67226386,0.44500193,3.3419044,0.61810315,4.157979,-0.72150284,2.4884279,0.11464695,-0.5870756,1.382111,3.2359347,0.6108942,-0.05296476,-0.64855385,-0.24061193,2.2255423,0.62310034
44,588352.0,3.0,-0.5465615,3.2886243,-0.5468838,0.7403869,2.5352201,1.6190773,1.4916432,0.118385084,0.6127407,2.4097695,1.256085,2.4160342,2.8433495,2.1939297,0.12214019,-0.6058405,1.0780989,0.71142423,0.7109023
45,588220.0,3.0,1.5785538,1.4845473,1.827538,-0.023650628,2.7779589,2.037073,0.998213,0.40881288,2.3057349,1.5933229,1.0669374,1.3280241,2.607514,1.5135885,-0.2034688,-0.45068312,3.5315957,2.58956,0.4024758
46,588222.0,3.0,0.7859424,0.046593674,0.49915156,-0.12357188,0.8826152,1.2222974,1.4225944,0.621056,2.2354898,1.4070387,0.9725654,1.6030389,1.9099593,0.7677473,0.17709236,-0.83969367,2.6215882,1.5380354,1.2748196
47,588173.0,4.0,1.2515033,0.8567831,0.8801974,0.08018928,1.4519997,1.6392777,1.4214388,-0.9554398,0.0960626,0.81593376,0.67346776,0.4676238,1.7739816,1.3263445,1.8236198,-0.36653924,-0.70128006,-0.75598943,0.8562665
48,588182.0,4.0,1.2795987,0.28184485,0.6827741,0.03965334,0.38070205,1.008068,1.0619849,-0.8727488,0.4790518,0.41772634,-0.28015622,0.15846364,1.3314048,0.6342317,0.20067813,-0.78839576,-0.21635047,-0.629462,0.41311455
49,588165.0,4.0,0.4680421,1.9596797,0.40070772,0.2016792,2.0846353,1.6817322,2.2405689,-1.3231341,0.15641285,1.5801339,0.7122779,0.40029895,0.8207379,2.3297782,0.9881987,-0.020235423,-1.3450632,-0.75862706,0.55715543
50,588128.0,4.0,0.51329124,1.7850121,0.022051727,-0.052755717,0.8615995,2.244212,0.1477451,-0.94421124,0.75099546,0.8640198,0.0646051,-0.16901073,1.3078943,0.5889089,0.9537561,-0.7670625,1.2088292,2.8776917,0.7200216
51,483160.0,4.0,1.1694825,1.4388773,0.6014194,0.09974918,1.1569588,2.3706481,0.8236828,-0.3259975,0.32244736,2.3528285,1.5331758,0.54474753,2.2363434,2.0601256,0.7375339,-0.8552326,0.5280283,-0.7165533,1.1600124
52,483161.0,4.0,0.27726066,0.2686714,0.76648146,-0.13934372,0.56844395,1.6149633,0.7417778,-0.114076085,0.22079225,0.975123,0.16473103,0.07837355,0.9757479,0.51500165,0.71332806,-0.69918996,1.2400224,-0.84165514,0.43020767
53,483148.0,4.0,0.58875006,0.18875833,0.95377916,-0.18248308,0.342186,0.5221638,1.0311676,-0.55530846,0.22764064,0.50784594,-0.5998287,0.06707985,1.2721851,0.46724913,-0.16876522,-1.1874989,0.17676441,-0.79346186,0.4586083
54,483164.0,4.0,0.51109743,0.85077095,0.47621292,-0.05040087,1.429203,0.9729562,0.5170102,-0.81962836,0.10857739,1.3921617,1.9902138,0.42217606,1.7158246,1.2081134,0.96157795,-0.6292664,-0.41469997,-0.79566175,0.27090806
55,588584.0,4.0,1.1459287,0.22870389,0.554309,0.3587996,0.18810746,1.3131771,0.34128922,0.06999954,1.1335458,2.7347708,1.6934475,0.64569324,0.31995872,1.8876529,1.5840334,-1.3050871,0.799275,-0.6940973,0.5990597
56,588648.0,4.0,0.29461586,0.20224357,0.3580531,-0.13161965,0.24870652,0.4509535,0.9934353,-0.75265723,-0.11756505,0.31330925,-0.7029253,-0.33348155,1.0132871,0.047125768,0.22917521,-1.1242944,-0.11714366,-0.65663236,0.21914412
57,594349.0,4.0,1.5698701,4.345266,-0.42445716,0.18100283,1.951527,0.57211196,2.1948967,-1.6475132,0.071302295,0.23727241,-0.17443371,-0.013668596,1.827287,1.4495906,0.76185757,0.92339706,-1.6105055,0.051946405,0.17968106
58,588583.0,4.0,2.7517564,2.326681,-0.75510025,0.36268386,1.727593,1.2060746,2.5621972,-1.8479975,-0.32282156,0.32572195,-0.5801536,0.9022762,1.0480908,0.8451029,,-0.51841474,-1.8418972,-0.56111574,0.64655703
59,588585.0,4.0,1.6985698,0.7654956,-0.33806732,-0.075002655,0.40827224,0.3798945,1.1900032,-1.0846776,0.15747637,0.6414881,-0.41512796,0.21672578,1.2056867,0.51709795,0.11195648,-0.89759064,-0.77869076,-0.7915761,0.4340704
60,1587.0,4.0,0.15465525,0.39396802,-1.1323961,-0.080421224,0.57651967,0.054610975,0.3055205,-1.807699,-0.5280487,0.6926199,-0.28087878,-0.51651096,0.23213872,0.3218337,0.1296516,-0.7204213,-1.5999538,-0.58640105,-0.091557145
61,483162.0,4.0,0.9522981,1.0143902,-0.7671114,-0.058040034,-0.23805143,0.2186961,0.7305483,-0.62211645,-0.6835499,1.0693896,-0.07658134,-0.28833592,0.7390597,1.0190355,1.8768523,-1.1289415,0.0062522837,-0.6820386,0.6148227
62,483151.0,4.0,0.59506214,1.0098294,-0.281579,0.06283132,0.6894037,0.76624805,1.0212443,-0.5308667,0.12177295,1.6200125,0.5344617,-0.03719553,0.92934215,1.0545107,1.0885128,-0.73158836,0.1378439,-0.6925032,1.4728532
63,483159.0,4.0,0.8244969,1.588816,0.93753934,0.31000695,1.2838795,0.6933925,2.3632348,-1.3234667,-0.35746738,0.18705733,-0.5561536,0.903862,1.5085437,1.2072233,0.4622394,-0.5815098,-1.087706,-0.7461283,0.11731609
64,588658.0,4.0,0.08625145,0.37479854,0.3353215,0.0488241,0.95434445,0.06331864,1.3383498,-1.0162828,-0.73477846,0.16886805,-0.642326,-0.38478625,0.5692224,0.49646372,-0.1717064,-0.9688856,-0.693015,-0.7003466,0.701562
65,588675.0,4.0,0.22210766,2.254019,-0.373183,0.03126405,1.6157005,0.3069092,1.1252282,-1.2598761,-0.9673361,0.29301956,-0.6944426,-0.32514954,0.9150676,0.13304274,-0.3198251,-0.7143943,-0.7582923,0.5450648,-0.065238416
66,588647.0,4.0,1.3562385,1.1993619,-0.3912113,0.2633092,0.80725896,0.29191515,2.5763092,-0.86939836,-0.19756778,0.16934082,-0.3422891,0.55428755,1.7678597,1.2910426,1.8232634,-0.6162962,-0.32464322,-0.65022725,0.6999947
67,588277.0,4.0,-0.26726937,0.055584643,-0.15958466,-0.11984838,0.4252518,0.3215204,1.0111276,-1.0610263,-0.6135998,0.5219274,-0.52942765,-0.42864582,0.8260189,0.37501886,-0.14461498,-0.80940586,-0.2730931,-0.7632883,0.5907096
68,597172.0,4.0,0.10010702,0.35933685,-0.17292668,0.008294705,1.0414127,-0.038779516,0.8080016,-1.2601483,-0.9799267,-0.2844147,-1.1228276,-0.533443,0.47561786,0.46526617,-0.12323482,-0.5875195,-1.302601,-0.5843598,0.34953025
