,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684,1,0.209560797,0.57875669,-0.351276219,-0.04502593,1.201310515,0.050532009,1.313681483,-0.921137512,-0.004833314,0.254051149,-0.593151569,0.063430175,-0.017154047,0.283359855,0.031527899,3.342288256,-0.421998143,0.119856365,0.069803849
1,588141,1,-0.317504257,0.132151023,-1.350120306,-0.032654647,0.902953804,0.04518288,0.617285788,-1.079414725,-0.114756174,-0.339325219,-1.020301223,-0.199293956,-0.000322529,-0.035286997,0.06806948,0.521877646,-0.912642837,-0.363746941,0.225465059
2,588646,1,0.526629567,-0.003848105,-0.023728615,0.032298118,1.736045122,0.054672148,1.70007205,-0.845218241,0.389018834,-0.041650515,-0.819082201,-0.235929802,0.739672124,0.13007012,0.030703219,0.432548791,-0.943572581,0.195338383,0.040700387
3,588448,1,-0.355494291,-0.361585945,-0.853993535,0.017854836,0.731610775,0.053791914,0.776602805,-1.10321629,0.295325369,0.431344807,-0.362609178,-0.158212885,0.655384123,0.580359757,0.046598215,1.947744727,-1.385418057,-0.304860353,0.132531404
4,1583,1,-0.055963129,0.053078044,-1.051577568,,0.769231498,0.053886119,0.986833453,-1.311202168,0.905328155,1.344172359,0.528003395,-0.022149093,1.05352056,0.979406953,,0.52228111,-1.421324492,-0.212533161,0.058696274
5,588459,1,-0.18644537,-0.164270744,-0.502331614,0.053623252,0.372237802,0.052203264,1.399684072,-0.922693789,0.048391912,0.337913483,0.323953092,-0.015781926,0.352188557,0.92363435,0.061378829,2.800871849,-1.100540519,0.125722662,0.165101171
6,588378,1,0.015171055,-0.093292207,-1.43513298,-0.03277329,0.239725083,0.050508182,0.997946084,-1.155343652,-0.321708292,0.607502699,-0.275415182,-0.223684907,-0.357424408,0.455555469,0.050030358,0.609433293,-1.235252738,-0.27082172,0.031395793
7,588144,1,-0.128224909,-0.086912133,-1.204433203,-0.060154777,0.857043684,0.050004382,1.535615802,-0.943819284,-0.400497198,-0.370395869,-1.076659083,-0.116321191,-0.171813995,0.158322424,0.0625671,1.733750105,-1.106498837,-0.145812318,0.170228764
8,588393,1,-0.271644384,0.480015844,-1.405150533,-0.015817104,0.551978886,0.054721158,1.029893756,-0.7656461,-0.006553552,0.920467198,-0.214304164,-0.217921346,-0.211936757,-0.071030267,0.068345934,1.530879855,-0.210188687,0.283271194,0.023374984
9,588325,1,0.399051875,0.153958052,-1.449222565,-0.046719275,0.502107918,0.050007772,1.213705301,-1.176342368,-0.315084159,-0.458470702,-1.026917815,-0.258320361,-0.406313628,-0.099847764,0.051647197,0.692977667,-1.161360621,-0.253418416,-0.002608006
10,588324,1,0.112950832,0.325407177,-1.353757381,-0.036373634,0.528032839,0.04987184,1.099900246,-0.987087131,-0.219310388,-0.109339707,-0.887500644,-0.256046474,-0.205149859,-0.095522083,0.037180927,-0.492724031,-0.410485387,-0.089859776,0.008971063
11,588442,1,0.956938386,0.176986545,-1.110562801,-0.034570802,0.660855055,0.052488346,1.253386378,-1.197390556,0.122694448,0.175151527,-0.314540237,-0.069613196,0.321799159,,0.060883977,0.710930347,-1.299052119,0.107629143,0.091109782
12,588677,2,0.053140614,2.023358583,-0.317720056,0.017878959,1.272554874,0.055052485,1.112704754,-0.731879294,0.469132215,1.594508529,0.859319985,0.566846013,2.877533674,1.243513346,0.075383551,0.183176816,-0.776316166,-0.262415648,0.113320388
13,237621,2,-0.17732878,-0.208547339,0.083220474,0.045246471,1.400123954,0.052285027,0.384381652,-0.714960575,0.249936983,0.7794559,-0.207060367,-0.118325822,0.858938813,0.426125824,0.065534487,-0.184294984,-0.754794121,0.510122836,0.0103647
