IVNO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684,1,75.64983657,239.7833239,3694.495174,26.95452144,1696.651865,2342.846773,10844.52577,25804.6252,71.21548595,1053.678753,0.346976236,0.854512223,17.50268268,173.6514603,0.015993948,3.405492434,40.07165343,0.20772941,0.038480977
588141,1,80.70329222,186.7003481,5272.952628,27.3324282,2874.830875,2619.560521,4439.195121,21781.91107,111.5319619,971.6320254,0.303919851,0.653269311,33.5400696,166.0424572,0.02676773,0.797610291,39.55567539,0.385601538,0.044397662
588646,1,64.61369576,82.76253516,4810.860542,31.53933783,6719.389066,2959.531369,10286.4535,26848.07659,118.2913034,718.6726964,0.216676777,0.459873749,39.77377471,142.7384568,0.022344724,1.138829996,30.52602007,0.603184169,0.036699661
588378,1,65.26825389,126.8557122,4155.981678,31.63305951,4043.25568,2038.46725,4956.167866,19014.47633,89.82183747,802.9530977,0.198971415,0.371279211,15.53249679,144.9234057,0.026359414,0.877614963,18.75039035,0.26719354,0.03509807
588459,1,107.3649627,164.4960265,2852.011467,44.53251484,2539.038881,3144.883915,4865.58982,19274.51258,168.1616734,768.2166485,0.322162257,0.725153266,21.6976049,138.7328697,0.037928329,2.02748329,21.48710805,0.492433805,0.036242633
1583,1,113.8135981,48.57206086,5035.465197,25.01372656,4776.477431,3056.84801,6022.363944,24951.09164,83.95081289,607.3084798,0.207026872,0.665832174,35.0226847,137.2981202,0.036398149,0.735145265,28.35488711,0.118780607,0.033210791
588448,1,58.47740924,122.1428801,2254.008971,37.23195633,6361.264196,2923.715753,8995.065385,23178.50794,70.41821117,1115.542623,0.302473341,0.660496353,21.03421454,153.4677365,0.021976507,2.036263735,23.734212,0.378029979,0.05137611
588144,1,69.75582859,166.7516995,2342.175726,37.60917506,3617.592202,2016.194481,4882.653917,16004.0471,60.57157403,595.239433,0.205945086,0.563172163,18.80450363,142.3755039,0.012614996,1.218878854,14.84347192,0.462274674,0.072478541
588324,1,112.2842629,189.7156887,4008.168655,30.1717681,2789.463448,2324.167708,4404.005474,23071.04325,80.14369242,779.6184498,0.25657706,0.706312378,20.99738342,171.1636607,0.031311864,0.533750014,46.5962985,0.500607627,0.023919353
588325,1,65.0740953,204.6070134,2962.538236,23.64711748,2318.304638,2062.48021,3986.759036,17895.54207,65.7780573,724.7361987,0.257752858,0.416676196,17.52674786,142.6024945,0.017888478,0.826502501,20.7348751,0.376805086,0.026187132
588393,1,81.90405736,278.3997271,3703.608486,26.71945493,5428.809101,2631.361316,3205.865165,27325.67276,91.77817423,973.5154385,0.338885723,0.54985486,15.74353976,148.4556244,0.040752253,0.734997536,44.01642935,0.453321989,0.023847002
588442,1,79.31064493,230.55942,1739.008029,28.70688078,1915.985368,2484.488268,8042.940591,11825.89851,102.7717609,962.1934558,0.338827571,0.587983313,17.02237946,291.1151507,0.024987197,1.302318628,13.82311784,0.340156024,0.030919244
588677,2,64.02064242,44.89849569,3043.901257,15.23276069,3515.527535,2903.641624,8071.918411,19273.91855,62.50498491,528.669539,0.239621078,1.120807525,62.32454936,109.5394071,0.038748089,1.097424192,23.62295227,0.056486354,0.038546167
237621,2,80.44638019,31.201293,3121.841379,20.11000058,2662.924027,2225.867101,6053.206025,28651.29741,111.971166,492.6488987,0.168732461,0.390076079,40.41318268,97.12304919,0.007810534,0.504890556,35.49939221,0.545936867,0.034908693
483143,2,59.49179607,34.70580398,3283.231988,18.63534685,2766.994066,2498.695853,6594.563098,17216.64472,85.27652068,315.3817173,0.125502845,0.692733697,30.83020659,103.2119239,0.034358897,0.420533919,20.18510995,0.062090278,0.054225473
588626,2,51.55977272,76.71739422,1795.145636,19.49373746,3203.149145,1744.079786,7153.660308,20475.73703,78.43859789,647.8266605,0.181806996,0.568708444,30.29929824,190.9364057,0.022213848,0.525977359,26.31841061,0.202390485,0.035368982
483138,2,94.2188104,53.38123641,3902.784545,33.73896495,2463.273506,2618.966175,4508.868946,21856.05529,70.88044047,787.5595715,0.311799343,1.039535468,25.42934511,173.7063831,0.026745356,0.500147906,26.06057362,0.029747638,0.091300629
483130,2,113.8699036,86.23414736,3090.97866,49.37489529,2380.372794,2525.14519,11211.79661,20805.40886,93.59493088,541.5184058,0.232765424,0.627295737,26.1078564,141.7223372,0.022480533,0.815017947,24.79206462,0.04322234,0.047660965
588198,3,64.93164447,81.16406709,5402.273223,40.62325473,4261.100322,3075.443898,8081.800841,21288.69511,177.6491027,856.7634175,0.395123903,2.682667937,62.50530234,206.4936256,0.034315013,1.324902753,33.28951754,1.072665531,0.034942965
