,Spec_int,Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
0,9,1,0.012869882,18.66672976,6.970224337,1746.445345,3.845879333,1743.118142,1152.944236,5888.311451,15894.22342,27.59339808,54.53990772,0.188765445,0.813897465,7.365774443,22.06969766,0.004603502,0.078727289,2.939849649,7.347058731,0.101190184,0.00766589
1,9,2,0.011931612,14.47692886,5.866391568,1489.852688,5.825639221,2244.68425,1600.441818,7013.400166,13155.45463,35.49158648,52.57114203,0.282940026,0.648418658,8.068232162,10.1086613,0.005609539,,4.166139821,6.890243221,0.14549922,0.021107826
2,9,4,0.021231577,14.71313365,10.25195456,1467.666224,8.036046831,2311.056644,1039.097749,7966.273447,14182.50581,39.13434474,36.664748,0.204520839,0.555300335,8.369119967,24.30491035,0.005811993,,4.589771506,9.025915346,0.161181941,0.006236906
3,9,5,0.023306263,20.10629931,11.77369681,2248.108976,9.482050637,2315.675046,1091.607046,7514.088622,22550.82189,40.22041153,43.24367607,0.201085208,0.660281969,9.385391901,17.75315743,0.004597548,0.03361551,3.461934716,15.29235971,0.16304633,0.006881962
4,9,6,0.058812769,12.97800542,11.04383667,3390.636514,29.32960533,1995.192533,1096.870563,7608.463923,15982.76017,75.2361385,53.64704601,0.353459542,2.024095695,9.068968246,16.65683944,0.013593336,0.122610719,4.690904864,13.9014494,0.184343717,0.008106347
5,9,7,0.013933974,14.82625594,6.369331445,1887.374934,6.115421962,1908.805035,1213.624852,6120.525902,17506.88346,30.84618033,67.89663145,0.233101325,0.687711185,7.99061821,12.19792217,0.004382589,0.06572541,2.657401135,9.235654215,0.139915224,0.004713937
6,9,8,0.037247783,16.86715288,14.34894675,3317.882659,11.17633337,2008.564757,1349.574062,4567.317496,22565.64689,42.52178868,82.73278846,0.318521771,0.940657263,7.753446611,16.61125163,0.008325781,0.05516202,2.207285037,16.43709906,0.131712144,0.215261904
7,9,9,0.018202773,11.71456582,9.079443999,2173.488653,7.539862842,2081.468725,1410.133893,6272.923113,17109.42995,28.90316541,56.0355102,0.157284287,0.628594839,8.769453642,14.5029827,0.005118577,0.199532043,3.657595537,10.25063718,0.125924007,0.004821006
8,9,10,0.228526278,14.01526521,14.05922986,2431.221312,96.01058421,2401.009462,682.5802519,8163.801234,18226.89878,213.2412916,51.47730868,0.593078894,1.977642686,10.54184451,29.60502854,0.037091722,0.090372895,4.728689502,11.9280278,0.382809636,0.015254653
9,9,11,0.009368071,24.01059044,9.18680421,2508.643737,2.785220726,2862.158732,2183.855856,8162.05587,19408.67228,28.50058598,33.44925102,0.096942674,0.429100334,11.4023106,17.16506786,0.009736819,0.039616838,3.860751695,14.77405589,0.147265726,0.012405878
10,9,12,0.026465784,16.53759294,4.732432943,2533.983912,10.53144569,2365.631162,1288.805074,6191.560049,22534.40097,39.25911339,56.62508025,0.139092506,0.683843406,9.009216564,14.58656406,0.006576007,1.136461121,3.233661711,13.34619615,0.181829203,0.003671579
11,9,13,0.020084693,14.07197727,11.4282756,2118.038132,7.833136152,1910.289212,1519.466562,6245.207426,18730.34027,41.05183681,80.97299856,0.26791135,0.863386048,7.815821533,15.03511334,0.003562122,,3.811104921,9.374657753,0.127457242,0.002491942
12,9,14,0.014357346,18.40723058,6.30674182,2567.394161,5.152716078,1679.93655,930.82775,5325.603581,20355.78499,28.78922772,70.00813205,0.121658295,0.546039501,8.078510967,13.77556841,0.003780766,,3.131600988,11.51118709,0.12166126,0.004558681
13,9,15,0.049779705,20.46189577,8.487291718,2295.507981,19.87606793,1854.601375,1197.893213,6525.190016,25851.94375,64.5938365,147.4309011,0.257470887,0.824355578,7.678716213,20.46661829,0.010008469,,3.363712248,15.81428338,0.177814959,0.006703176
14,9,16,0.017299614,24.64499793,6.999957877,3195.309798,6.766471064,2145.714597,1674.467158,6141.001483,27377.39655,33.28773119,74.11879611,0.177028978,0.666377793,8.714352455,12.98976758,0.005308851,0.139025873,3.007713364,19.01675512,0.16321042,0.007306049
15,9,19,0.021766007,13.94301266,6.390655279,2170.981689,9.365613285,1927.863214,1465.755487,6989.868846,18518.361,39.0126413,125.7401258,0.218223245,1.009950895,8.210049211,20.04854825,0.006451497,0.140751143,6.224198317,10.43781134,0.118356568,0.007251806
16,9,20,0.01273046,26.69645705,7.552619463,2731.06415,5.089760175,2122.16844,1053.498009,5677.845244,22853.95038,31.6634835,47.39844141,0.141202715,0.588032429,8.917257802,11.96446285,0.00423513,,4.029775139,15.56261469,0.167618626,0.005203386
17,9,22,0.021231165,28.62682086,10.20979597,2332.768964,7.440318712,2245.385595,1574.961231,6895.615013,25803.61489,37.14097299,41.89817419,0.112612765,0.624426785,9.307781365,13.46350072,0.006263871,0.164807838,4.742159609,17.48149273,0.155897781,0.004233107
18,9,23,0.032387486,14.77241892,4.732341435,1716.603081,18.70808292,1662.856475,1612.255745,7670.928898,13236.9172,58.02679894,37.28919653,0.153667812,0.919254566,7.147362305,8.38328775,0.009873941,0.474807298,4.416800261,9.568743888,0.130853423,0.006014047
19,9,24,0.022281151,21.86580709,13.75646721,2488.044742,8.56702318,2604.363272,1413.832899,7054.823537,19000.36226,34.93323798,25.86539894,0.105795855,0.577188778,9.772884761,13.06680724,0.005490232,0.079651301,4.380966154,13.73595533,0.210569898,0.006849612
20,9,25,0.023445036,19.73641012,7.771067097,2141.305263,8.80117583,2074.741487,1387.921988,6562.71526,19336.70443,35.05305136,48.23083452,0.113587515,0.61122383,8.393946855,14.50026231,0.005610754,0.028976579,3.418257449,13.4759998,0.231671074,0.004446827
21,9,26,0.048591012,24.09505293,10.14222333,2720.384955,17.26186798,2802.931702,1265.282418,7474.126417,26083.37325,60.6757829,44.01244493,0.221272922,0.815339982,8.497041668,23.67989958,0.015603737,0.092779279,3.073484335,19.11650972,0.208706954,0.022817528
22,9,27,0.036396793,18.15212359,11.25433613,1571.451844,14.99312999,2100.560425,1098.429742,6487.369837,21790.24571,46.22383262,117.0829414,0.214339612,0.774553729,7.785202054,27.60041524,0.015088125,0.051690199,2.54164274,13.73379205,0.149589199,0.006600481
23,9,28,0.035758287,21.55256865,5.840382774,2140.677429,14.91096866,2088.574718,1745.87433,6378.367888,26609.45144,54.63343321,91.44492515,0.153776182,0.774288788,8.254036512,16.07244365,0.019433516,,3.285681873,16.36109113,0.145293964,0.005454948
24,9,29,0.019841381,21.07803837,6.618589492,1828.765685,6.117107534,2373.920201,1800.280338,6577.627916,21220.34423,38.84649338,39.99643718,0.102043477,0.516232887,9.790344993,11.05692587,0.008518974,0.149212721,2.176515176,13.45122998,0.187558164,0.014248747
25,9,30,0.017820733,25.23658161,11.69527886,2521.831348,6.10678436,3530.201225,1850.690713,9764.482893,21256.05734,33.11424964,39.72407167,0.120809721,0.431215627,9.598082224,15.21069722,0.009221131,0.046007204,3.827451673,16.78103301,0.269851251,0.030247231
26,9,31,0.0088414,14.52031411,5.018543569,1869.077624,2.975010599,1966.149059,1147.746295,5959.387625,18312.08255,25.86567599,53.53017892,0.090866427,0.424623227,7.963637224,9.94854946,0.003104279,0.152479416,1.981300112,11.5713413,0.174014438,0.002962177
27,9,32,0.029903024,17.43664322,11.3317161,2120.022982,11.62209669,2907.228245,1291.17368,8246.836383,20274.85298,41.09882905,80.93965175,0.188235886,0.584881374,9.834819834,18.47059201,0.007437863,0.317959391,2.755326156,14.00987142,0.20401747,0.00698325
28,9,33,0.021689799,16.83306547,5.713517148,1990.72432,8.501044244,2014.163073,1130.133733,5812.79023,18781.78422,33.47476066,72.673377,0.103922395,0.635148911,7.129622025,10.95851576,0.005883887,,1.8670962,10.08586291,0.165481033,0.00481189
29,9,34,0.053523788,16.73861574,8.476371522,2299.865293,17.98535724,2298.47192,1318.909081,6516.826988,19791.50792,65.01082908,59.76691389,0.202829844,0.688384522,8.155209049,14.51636066,0.010831973,0.126099912,3.222810587,14.56029054,0.199575145,0.012706547
30,9,35,0.056187913,16.87479704,14.36906186,3132.550243,23.40275395,2632.342929,1461.180555,7357.856456,27901.35237,68.59276833,73.66770388,0.221249954,0.877543238,9.877759959,20.38073391,0.013266345,0.161403401,4.165099962,17.73307554,0.194577639,0.025234654
31,9,36,0.033694866,22.50029276,14.62223866,2909.481074,10.61224603,2737.95089,1380.077232,7696.827217,25225.61744,41.5517533,36.81181001,0.263846847,0.813412859,9.047303663,49.72979495,0.012793381,0.364275963,4.476315137,19.38692989,0.186600126,0.015205131
32,9,37,0.015707608,20.28135243,14.16991817,2436.65512,5.971556462,1998.787915,1095.757612,6919.042276,16495.25144,29.46403157,38.39843535,0.108114084,0.520301398,9.254656223,15.28787922,0.004201467,1.429169311,3.426962535,12.20907702,0.143394633,0.010565285
33,9,38,0.020938588,20.116188,13.4313048,2443.392765,8.418366647,1973.06164,1156.058734,6073.668167,19333.9141,33.43202714,48.3689013,0.144811219,0.668777439,7.915009769,26.17744391,0.00501691,,2.281231611,13.25017832,0.174108498,0.008714494
34,9,39,0.057004455,13.08791256,5.766903447,2535.00338,18.80462943,2188.384423,1374.006772,6528.727382,18680.59474,71.77324576,97.03145447,0.280101137,0.900370537,8.673645197,18.57385284,0.017162841,0.131282814,2.639652969,13.79224018,0.170726824,0.009535418
