,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1.0,-0.20334303,-0.0528921,-0.32871976,-1.0767082,-0.33946058,-1.4405025,-0.49651638,-1.0423355,-0.26383713,-0.2964325,0.56191105,0.9492047,1.0827904,-1.2098264,0.6437625,-0.35419315,-0.071162015,-1.0788753,-0.99124646,-1.3109612,-0.08185032
1,2.0,-0.24743214,-0.9960629,-0.40012163,-1.5247132,-0.1202568,-0.19774497,0.8394228,-0.39747545,-0.78641766,0.12065019,0.47716072,2.4069552,0.40004274,-0.71386826,-0.96454805,-0.14850524,-0.0774647,-0.6496305,-1.1042589,-0.3400635,
2,4.0,0.18957132,-0.9428906,-0.116439804,-1.5634502,0.12448486,-0.033290476,-0.8363886,0.14867693,-0.5904475,0.31301472,-0.2075686,1.1930861,0.015846612,-0.50143164,0.9443148,-0.10711278,-0.080375604,-0.50134444,-0.575911,0.003575603,-0.12839822
3,5.0,0.2870604,0.27117103,-0.018005323,-0.20081495,0.2845899,-0.02184721,-0.6796297,-0.110499,1.0062988,0.37036708,0.07563732,1.1399052,0.44898948,0.21608962,0.06334984,-0.35541046,-0.073494375,-0.8961271,0.9743566,0.044428017,-0.10738609
4,6.0,1.955504,-1.3334873,-0.06521661,1.7940122,2.482159,-0.81592417,-0.6639162,-0.056406505,-0.24694355,2.219456,0.52347565,3.4985433,6.0759373,-0.007315842,-0.08406378,1.483811,-0.068893164,-0.4659442,0.63025665,0.51109546,-0.06750282
5,7.0,-0.15334156,-0.9174255,-0.36758876,-0.83064836,-0.08817135,-1.0299711,-0.31536317,-0.9092386,0.043872204,-0.124661565,1.1368836,1.6354902,0.5621595,-0.76866627,-0.68362087,-0.3993596,-0.07183424,-1.1777422,-0.52402323,-0.4624198,-0.1780076
6,8.0,0.9421696,-0.45799688,0.14857571,1.6669855,0.47218496,-0.7827911,0.09049349,-1.7994813,1.0091275,0.49189678,1.775542,2.9577334,1.6057876,-0.9361172,-0.09019364,0.4068403,-0.07238038,-1.3352987,1.2575558,-0.64216536,
7,9.0,0.04724844,-1.6179016,-0.19228409,-0.33110034,0.06954617,-0.60215294,0.2712861,-0.82189006,-0.031965327,-0.2272671,0.6262929,0.4619004,0.31825182,-0.21878296,-0.3736767,-0.2488842,-0.0649162,-0.8276389,-0.2729247,-0.76899475,-0.17451993
8,10.0,9.930307,-1.0999886,0.12983526,0.118895024,9.865237,0.18959051,-1.9007199,0.26189268,0.1812573,9.507148,0.430074,7.2076674,5.8842773,1.032583,1.6569818,6.2881413,-0.07055992,-0.45271823,0.14204815,4.8598723,
9,11.0,-0.3678924,1.1500704,-0.18533947,0.25407282,-0.45689926,1.3322052,2.581121,0.2608923,0.40674978,-0.24852628,-0.34598747,-0.4721416,-0.50484097,1.6401002,-0.015726134,0.6953321,-0.073184095,-0.75652707,0.84613246,-0.3013559,0.07255065
