File Name,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
E-180-1_c1_p1.png,2,12,137,15240.3,2583,371,0.143631,152147,759199,0.200405,140665,16.6243,10.7703,138.362,19880.5,7.87E+06,826390,167,279.15,0.172,53.7707,0.240402,0.254395,0.505203,0.179978,0.305777,0.514245
E-180-4_c1_p1.png,2,12,129,9644.75,1746,716,0.41008,128475,704491,0.182366,77595,21.0543,10.198,121.754,13619.2,7.77E+06,652549,54,520.759,0.173,53.6715,0.25168,0.2461,0.502221,0.168887,0.326273,0.50484
E-180-5_c1_p1.png,1,7,50,3909.07,887,492,0.554679,80562,250207,0.321982,46084,38.5904,25.0599,115.135,4717.13,8.02E+06,474247,6,269.167,0.108,45.5705,0.338834,0.266856,0.39431,0.0924609,0.244666,0.662873
E-189-1_c1_p1.png,2,21,307,23811.4,2748,913,0.332242,205369,1.44E+06,0.142179,181985,12.9587,8.24621,133.207,35923.2,8.83E+06,1.02E+06,173,1625.02,0.275,56.7033,0.188009,0.278359,0.533632,0.264896,0.338129,0.396974
E-189-2_c1_p1.png,3,6,22,3402.59,844,357,0.422986,41146,171668,0.239684,41146,21.2693,10,125.539,5402.03,3.42E+06,230657,11,1056.64,0.094,63.2406,0.138807,0.165526,0.695666,0.218964,0.388726,0.39231
E-189-4_c1_p1.png,1,18,217,16389.6,2660,578,0.217293,146724,804761,0.18232,130907,14.7902,8.94427,131.59,23168.3,7.93E+06,799768,152,1065.44,0.209,55.9067,0.201719,0.272224,0.526056,0.221778,0.357657,0.420565
E-176-1_c1_p1.png,3,19,235,18179.7,1815,865,0.476584,172060,1.00E+06,0.171615,129827,15.0942,8,134.536,26561.8,1.08E+07,905080,142,631.063,0.208,55.4608,0.21741,0.254157,0.528434,0.247952,0.399458,0.35259
E-176-2_c1_p1.png,1,3,25,2527,1137,377,0.331574,85087,223454,0.380781,28600,43.7994,39.2938,119.365,4018.13,5.76E+06,355347,1,9,0.108,62.4625,0.185795,0.136423,0.677783,0.0870507,0.0939801,0.818969
E-176-5_c1_p1.png,2,5,35,4180.74,863,636,0.736964,95850,314169,0.305091,47042,37.2117,26.3059,136.132,5778.35,7.70E+06,490403,7,875.286,0.108,47.3857,0.354656,0.238596,0.406748,0.0202429,0.140081,0.839676
E-184-1_c1_p1.png,1,7,33,2731.29,778,384,0.493573,57248,182261,0.3141,39153,32.3889,11.3137,106,4127.51,4.55E+06,276830,5,143.6,0.09,53.9889,0.216763,0.281998,0.501239,0.18332,0.304707,0.511974
E-184-3_c1_p1.png,2,3,19,1533.67,499,186,0.372745,31682,66924,0.473403,31682,41.5975,26,120.748,1986.79,3.63E+06,201190,1,4269,0.081,53.0079,0.24694,0.270698,0.482361,0.0431965,0.293017,0.663787
E-187-2_c1_p1.png,1,8,64,3467.14,1042,366,0.351248,81443,259104,0.314326,41711,34.0138,12,132.74,4964.9,6.56E+06,379595,10,125.4,0.103,52.8721,0.266583,0.223829,0.509588,0.154983,0.298963,0.546055
E-187-4_c1_p1.png,1,6,29,2590.24,959,293,0.305527,59491,175798,0.338406,30679,36.7353,24.1661,117.337,3730.55,4.91E+06,299394,1,5,0.092,54.8383,0.229104,0.225206,0.545691,0.15851,0.242529,0.598961
E-193-2_c1_p1.png,2,15,191,11295.3,1416,440,0.310734,122081,427117,0.285826,84943,18.5686,10,142.941,14955.9,9.00E+06,699318,87,1182.61,0.129,52.2034,0.261063,0.295826,0.44311,0.219522,0.334366,0.446112
E-193-3_c1_p1.png,3,13,173,13399.6,1702,922,0.541716,155096,792073,0.19581,121578,20.2644,10,147.58,18590.8,1.27E+07,888849,70,995.229,0.196,52.2534,0.252549,0.288106,0.459345,0.249979,0.287775,0.462246
E-193-4_c1_p1.png,5,17,362,23367.7,2152,951,0.441914,220769,1.13E+06,0.195763,186954,14.4391,8.94427,141.421,33997.2,1.12E+07,1.10E+06,167,753.689,0.243,57.1196,0.198159,0.233673,0.568168,0.209594,0.366476,0.42393
E-194-3_c1_p1.png,1,18,146,9372.92,1646,633,0.384569,139562,664452,0.210041,50859,22.3741,10.7703,123.968,13528.3,9.45E+06,671933,50,893.62,0.155,52.6412,0.254216,0.252704,0.493081,0.161414,0.301547,0.537039
