gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2573128356	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	fae2236e-c9ab-40ac-8bde-3dfa1e2b8119	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis	bicolor	VARIETY	Vitis aestivalis var. bicolor Deam	Vitis aestivalis var. bicolor	Deam	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	43.63489	-73.36874	8005.0										5659032	5372400	PRESERVED_SPECIMEN	VT		UVMVT081351				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.704Z	StillImage	RECORDED_DATE_MISMATCH
2573122708	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	e7a1627e-0e14-4ad3-a8b6-1521f9b816e3	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis	bicolor	VARIETY	Vitis aestivalis var. bicolor Deam	Vitis aestivalis var. bicolor	Deam	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.99458	-72.53049	7297.0										5659032	5372400	PRESERVED_SPECIMEN	VT		UVMVT081355				CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.377Z	StillImage	RECORDED_DATE_MISMATCH
2573120194	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	e0c18724-7456-4ade-ad8d-c7967cc61b13	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis	bicolor	VARIETY	Vitis aestivalis var. bicolor Deam	Vitis aestivalis var. bicolor	Deam	US	Portiers Point	Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.55473	-73.21948	11376.0						1908-08-20T00:00:00	20	8	1908	5659032	5372400	PRESERVED_SPECIMEN	VT		UVMVT081365				CC_BY_4_0	University of Vermont	L. R. J.			2020-04-03T21:13:54.720Z	StillImage	
2573119103	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	db54e7ed-016f-4c2e-9ba7-882c157fa4ac	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis	bicolor	VARIETY	Vitis aestivalis var. bicolor Deam	Vitis aestivalis var. bicolor	Deam	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	43.92556	-72.16302	6464.0										5659032	5372400	PRESERVED_SPECIMEN	VT		UVMVT081366				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.676Z	StillImage	RECORDED_DATE_MISMATCH
2573113036	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	c6785e0e-7b03-4678-a0ce-9c096c50c11d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis	bicolor	VARIETY	Vitis aestivalis var. bicolor Deam	Vitis aestivalis var. bicolor	Deam	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	44.30894	-73.23596	8247.0										5659032	5372400	PRESERVED_SPECIMEN	VT		UVMVT081363				CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.746Z	StillImage	RECORDED_DATE_MISMATCH
2573109024	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	ba3cad65-6e92-4faa-bbfa-7734034d5b2f	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis		SPECIES	Vitis aestivalis Michx.	Vitis aestivalis	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.76233	-72.52592	7462.0										5372400	5372400	PRESERVED_SPECIMEN	VT		UVMVT081311				CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.520Z	StillImage	RECORDED_DATE_MISMATCH
2573105866	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	b517141e-5b3f-477e-befc-021120f34461	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis		SPECIES	Vitis aestivalis Michx.	Vitis aestivalis	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.79188	-73.21203	7817.0										5372400	5372400	PRESERVED_SPECIMEN	VT		UVMVT081462				CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.300Z	StillImage	RECORDED_DATE_MISMATCH
2573105045	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	a9de4a97-26ff-4c92-bf34-153261302b3a	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis		SPECIES	Vitis aestivalis Michx.	Vitis aestivalis	Michx.	US	northeast corner or Whately	Massachusetts			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.43833	-72.64441	6134.0						1974-09-13T00:00:00	13	9	1974	5372400	5372400	PRESERVED_SPECIMEN	VT		UVMVT081450	79939			CC_BY_4_0	University of Vermont	H. E. Ahles			2020-04-03T21:13:53.427Z	StillImage	
2573104736	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	a6f5e32c-eb44-4bdb-ae23-ce2a60e0d632	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis		SPECIES	Vitis aestivalis Michx.	Vitis aestivalis	Michx.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	43.18147	-72.50139	8102.0										5372400	5372400	PRESERVED_SPECIMEN	VT		UVMVT081346				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.424Z	StillImage	RECORDED_DATE_MISMATCH
2573102422	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	9e4ba7db-01ef-4d01-98de-53d6d66dde71	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis		SPECIES	Vitis aestivalis Michx.	Vitis aestivalis	Michx.	US	Snake Mountain southern extension, open ledges below Quercus prinoides site	Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	43.98318	-73.33316	8472.0						1997-07-23T00:00:00	23	7	1997	5372400	5372400	PRESERVED_SPECIMEN	VT		UVMVT081310	97059			CC_BY_4_0	University of Vermont	M. Lapin; B. Engstrom			2020-04-03T21:13:53.593Z	StillImage	
