gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2464634257	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	d9c4d6b7-7149-4451-9061-edf2e7c0c21d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Property located on the E side of N 210th St, ca. 580 m S of E 640th Ave	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.53612	-94.72322	5.0		295.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			5273			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.745Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633911	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	20faa3f9-7b20-4d98-8e98-073134b6e495	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Area E of N 200th St. from the road to the end of the burm	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.61863	-94.73731	5.0		284.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			5226			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.706Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633647	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	9d1e20a5-3c42-4ae0-ab8a-7343c86fa0b6	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Property located on the W side at the end of SE 97th Terrace	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.04038	-94.65502	5.0		268.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			5074			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.241Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633405	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	9c2a24c0-87ab-4115-ba91-af967ef15295	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Property located on the W side of N 210th St, ca. 580 m S of E 640th Ave	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.5415	-94.7285	5.0		293.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			5261			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.740Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633327	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	adc2b518-3792-4040-9e6f-9402ccd88ce3	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	East side of N 200th St ca. 1000 m S of N 190th St	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.65803	-94.73625	5.0		260.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			5438			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.664Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464631789	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	40a36068-3eca-4298-baef-a4ae68809950	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	On the NE corner of S 170th St and E 560th Ave.; S field along strip pit	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.429725	-94.973442	800.0		289.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			3409			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:46.658Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464631661	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	cdf1a3c4-047b-472a-a48a-763668d3a1ae	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Pittsburg, ca. 745 m N of E 520th Ave., 315 m West of S 180th St.	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.374721	-94.781408	350.0		284.0								7222051	5372379	PRESERVED_SPECIMEN	KSP			3278			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.801Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464631501	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	7bf798e5-1fcf-47bf-8759-ef0bcb9ed27d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	On the NE corner of S 170th St and E 560th Ave	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.42944	-94.79305	800.0						2014-08-07T00:00:00	7	8	2014	7222051	5372379	PRESERVED_SPECIMEN	KSP			2382			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.353Z		GEODETIC_DATUM_ASSUMED_WGS84
2464631288	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	7ae722cc-6a32-4a49-b9db-1204de016e64	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Along berm W of Rocky Point Boat Ramp and drive.	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.61862	-94.74322	200.0		278.0	7.0			2014-09-01T00:00:00	1	9	2014	7222051	5372379	PRESERVED_SPECIMEN	KSP			2802			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.683Z		GEODETIC_DATUM_ASSUMED_WGS84
2464631004	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	fe31e017-2b0c-4293-8921-06ecdad686cb	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	S side of Bone Creek Lake, along parking area on Billy Goat Ramp at the end of N 200th St aand the Eastern Trail	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.61889	-94.74111	500.0		283.0				2014-07-24T00:00:00	24	7	2014	7222051	5372379	PRESERVED_SPECIMEN	KSP			2059			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:46.684Z		GEODETIC_DATUM_ASSUMED_WGS84
2464630683	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	567e797a-eac9-4467-8163-73f560187a81	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis cinerea	cinerea	VARIETY	Vitis cinerea var. cinerea	Vitis cinerea var. cinerea		US	Pittsburg; S side West McKay St., ca. 725 m W of US Hwy 69.	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.45323	-94.71326	500.0		278.0				2014-07-30T00:00:00	30	7	2014	7222051	5372379	PRESERVED_SPECIMEN	KSP			2218			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.462Z		GEODETIC_DATUM_ASSUMED_WGS84
