gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2573128636	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	fcd919c1-ae1f-4fc1-b232-a75d47179618	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Connecticut			fee1eb85-53bb-4edb-91cc-de55f11b3cee	41.3683	-71.90669	8831.0						1982-06-28T00:00:00	28	6	1982	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081485				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.708Z	StillImage	
2573126368	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	f979c5ce-c26c-44c3-a249-c302b297e2d4	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US	Blue Hills Reservation	Massachusetts			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.32509	-71.04958	15564.0						1898-08-24T00:00:00	24	8	1898	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081474	s.n.			CC_BY_4_0	University of Vermont	N. R. J.			2020-04-03T21:13:53.464Z	StillImage	
2573126211	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	f84ea864-000d-4124-94dc-4276702d303e	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Massachusetts			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.44563	-71.23071	5005.0						1895-06-16T00:00:00	16	6	1895	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081473	s.n.			CC_BY_4_0	University of Vermont	Flynn, N. F.			2020-04-03T21:13:53.694Z	StillImage	
2573125635	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	ee3a6bce-fa4d-43d7-9849-547abd6d078c	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.76233	-72.52592	7462.0										5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081375				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.456Z	StillImage	RECORDED_DATE_MISMATCH
2573118946	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	d53c43a1-199e-42da-9e04-b78080bf2d7d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.76233	-72.52592	7462.0						1901-09-09T00:00:00	9	9	1901	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081379				CC_BY_4_0	University of Vermont	W. H. Blanchard			2020-04-03T21:13:54.319Z	StillImage	
2573118263	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	db693ea1-dc38-45da-af4e-36ebe20b5bdf	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US	Lily Pond	Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	42.76233	-72.52592	7462.0						1895-08-05T00:00:00	5	8	1895	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081381				CC_BY_4_0	University of Vermont	Grout, A. J.			2020-04-03T21:13:53.478Z	StillImage	
2573117773	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	d2a7e632-6ef4-4a7f-aadf-968dda60171a	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Connecticut			fee1eb85-53bb-4edb-91cc-de55f11b3cee	41.55826	-73.03601	6644.0						1910-06-22T00:00:00	22	6	1910	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT109855				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.660Z	StillImage	
2573116789	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	cbca0a58-f5df-4214-a127-5d95f2a6f843	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US	Providence	Rhode Island			fee1eb85-53bb-4edb-91cc-de55f11b3cee	41.82362	-71.42199	5758.0										5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081482	s.n.	H. White	2003-12-02T00:00:00	CC_BY_4_0	University of Vermont	G. Thurber			2020-04-03T21:13:53.451Z	StillImage	RECORDED_DATE_MISMATCH
2573111949	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	c4e7d6f1-5acf-427b-a098-ebdd5e8fe0da	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Rhode Island			fee1eb85-53bb-4edb-91cc-de55f11b3cee	41.82362	-71.42199	5758.0						1885-06-24T00:00:00	24	6	1885	5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081478				CC_BY_4_0	University of Vermont				2020-04-03T21:13:54.526Z	StillImage	
2573111093	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	c645fb46-7c95-4f0c-a08d-8edcaad0b3b8	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis labrusca		SPECIES	Vitis labrusca L.	Vitis labrusca	L.	US		Vermont			fee1eb85-53bb-4edb-91cc-de55f11b3cee	43.53265	-73.19201	9109.0										5372424	5372424	PRESERVED_SPECIMEN	VT		UVMVT081377				CC_BY_4_0	University of Vermont				2020-04-03T21:13:53.644Z	StillImage	RECORDED_DATE_MISMATCH
