gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2446536380	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:101162185	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata Vahl	Vahl	US	Otter Slough Conservation Area Botanical Inventory. Otter Slough Natural Area.	Missouri		2	90fd6680-349f-11d8-aa2d-b8a03c50a862	36.734265	-90.101403			98.0				2019-06-28T00:00:00	28	6	2019	5372414	5372414	PRESERVED_SPECIMEN	MO	MO	101162185	Brant 9126	Alan Edward Brant (MO)	2019-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Alan E. Brant|Stephen Dilks			2020-03-26T18:26:47.877Z		GEODETIC_DATUM_ASSUMED_WGS84
1949849184	d415c253-4d61-4459-9d25-4015b9084fb0	a9cc0c14-7f43-493e-a7c3-091c2c206918	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata M.Vahl	M.Vahl	US		Texas			ae447c50-b8a8-11d8-92a4-b8a03c50a862	33.755659	-96.536658	11331.0						1890-06-17T00:00:00	17	6	1890	5372414	5372414	PRESERVED_SPECIMEN	NY	NY	3848860	s.n.			CC0_1_0	The New York Botanical Garden	Collector unknown			2020-05-03T18:43:35.963Z	StillImage	
1949827212	d415c253-4d61-4459-9d25-4015b9084fb0	4ac31339-b0aa-4d38-9237-adefbda4fc56	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata M.Vahl	M.Vahl	US	edge of Big Grassy Lake, 4 miles south and 4 miles east of Tom	Oklahoma			ae447c50-b8a8-11d8-92a4-b8a03c50a862	34.000112	-94.567522	7959.0						1949-06-06T00:00:00	6	6	1949	5372414	5372414	PRESERVED_SPECIMEN	NY	NY	3848871	8884			CC0_1_0	The New York Botanical Garden	U. T. Waterfall			2020-05-03T18:43:48.812Z	StillImage	
1702517245	af1b4db0-c8ce-4a95-b700-8a6a02bed9d6	86D679CD-B4BF-4974-BA1C-4EDD7B040F53	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	D'Arbonne Spillway.	Louisiana			253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9	32.7167	-92.3333							1970-09-11T00:00:00	11	9	1970	5372414	5372414	PRESERVED_SPECIMEN	USF	Herb	130269	511	M. O. Moore	1990-01-01T00:00:00	CC_BY_4_0		C. D. McKenzie			2020-04-30T19:55:10.327Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
1456214898	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/38255af2d-8934-42c0-80e2-336d7d224b0d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	Along SR 100 in floodplain forest.	Illinois		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	39.0205	-90.565			127.0				2016-08-31T00:00:00	31	8	2016	5372414	5372414	PRESERVED_SPECIMEN	US	Botany		13469			CC0_1_0		J. Wen			2020-04-26T21:39:08.386Z		GEODETIC_DATUM_ASSUMED_WGS84
1456100980	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/34cfcfe65-e452-4338-a29a-61ec2125c7ad	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	Occoquan Bay National Wildlife Refuge (Woodbridge Research Facility); Sec F4, E side of Easy Road.	Virginia		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	38.6415	-77.2317							2014-06-23T00:00:00	23	6	2014	5372414	5372414	PRESERVED_SPECIMEN	US	Botany	3712802	14-0344-b	Meyer, E. M.; Haug, E.		CC0_1_0		E. M. Meyer & E. Haug			2020-04-26T21:39:49.130Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
1323870686	fce21d43-c0c7-4d1f-b6d2-fc048f053456	BRA:JBB:HEPH:16723	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	South of U.S.Hwy 80.2miles E of the Sabine River	Texas			22524448-c309-474f-8f07-d576a021868c	32.676389	-95.563333							2001-06-16T00:00:00	16	6	2001	5372414	5372414	PRESERVED_SPECIMEN	Jardim Botânico de Brasília	HEPH	16723	1467	Rosen, DJ	2001-01-01T00:00:00	CC_BY_NC_4_0	HEPH - Herbário Ezechias Paulo Heringer	Rosen, DJ			2020-04-12T11:55:24.725Z		GEODETIC_DATUM_ASSUMED_WGS84
1321899178	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3cfc20990-bdd4-47f5-ad3b-4210830c0653	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	Stump Lake Fish & Wildlife Management Area, at the end of Stump Lake Rd by Rt. 100, ca. 3.3 miles N of Pere Marquette State Park.	Illinois		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	39.02	-90.5644			127.0				2014-06-30T00:00:00	30	6	2014	5372414	5372414	PRESERVED_SPECIMEN	US	Botany		12634			CC0_1_0		J. Wen & S. Ickert-Bond			2020-04-26T21:39:56.865Z		GEODETIC_DATUM_ASSUMED_WGS84
1320730062	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/39c0aa120-3724-40d5-a31b-fe42f2daa39d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	Sam Houston National Forest, along Rt.1375, on the way from District Ranger Office to Richards.	Texas		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	30.5306	-95.5763			94.0				2011-06-23T00:00:00	23	6	2011	5372414	5372414	PRESERVED_SPECIMEN	US	Botany	3666126	12006			CC0_1_0		J. Wen			2020-04-26T21:39:13.672Z		GEODETIC_DATUM_ASSUMED_WGS84
1320653853	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/398b13b1d-7461-4042-8789-453fc95617e5	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis palmata		SPECIES	Vitis palmata Vahl	Vitis palmata	Vahl	US	Stump Lake Fish & Wildlife Management Area, at the end of Stump Lake Rd by Rt. 100, ca. 3.3 miles N of Pere Marquette State Park.	Illinois		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	39.02	-90.5644			127.0				2014-06-30T00:00:00	30	6	2014	5372414	5372414	PRESERVED_SPECIMEN	US	Botany	3677978	12633			CC0_1_0		J. Wen & S. Ickert-Bond			2020-04-26T21:39:40.211Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
