gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2464645893	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	ffbace33-3d53-46c6-affe-2837ad68554c	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Wilderness Park. Ca. 0.6 km west of U.S. Highway 69, Frontenac	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.45	-94.7							2000-09-05T00:00:00	5	9	2000	5372401	5372401	UNKNOWN	KSP		KSP022732	16595			CC_BY_4_0		Stephen L. Timme; Lorrie Parrish			2020-02-10T10:09:46.777Z		GEODETIC_DATUM_ASSUMED_WGS84;BASIS_OF_RECORD_INVALID
2464644648	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	f9eae91f-153d-4619-a68b-546d333d1d0f	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Prairie State Park, ca. 5.5 miles north of Mindenmines (highway 160)	Missouri			ae23c0f2-f322-408e-8d0d-024a96443acf	37.5	-94.533333							1996-07-12T00:00:00	12	7	1996	5372401	5372401	UNKNOWN	KSP		KSP022718	13250			CC_BY_4_0		Stephen L. Timme			2020-02-10T10:09:48.424Z		GEODETIC_DATUM_ASSUMED_WGS84;BASIS_OF_RECORD_INVALID
2464644560	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	d3cb1846-bbaa-4a28-834e-5e42e10498a9	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Camp Clark National Guard Unit just east/southeast of Nevada and east of Highway 71	Missouri			ae23c0f2-f322-408e-8d0d-024a96443acf	37.833333	-94.3							1998-06-02T00:00:00	2	6	1998	5372401	5372401	UNKNOWN	KSP		KSP022721	15199			CC_BY_4_0		Stephen L. Timme			2020-02-10T10:09:48.425Z		GEODETIC_DATUM_ASSUMED_WGS84;BASIS_OF_RECORD_INVALID
2464644148	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	3740c8fe-1274-48ff-8e97-fc06fbc3f766	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Wilderness Park. Ca. 0.6 km west of U.S. Highway 69, Frontenac	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.45	-94.7							2000-09-08T00:00:00	8	9	2000	5372401	5372401	UNKNOWN	KSP		KSP022733	16669			CC_BY_4_0		Stephen L. Timme; Lorrie Parrish			2020-02-10T10:09:46.777Z		GEODETIC_DATUM_ASSUMED_WGS84;BASIS_OF_RECORD_INVALID
2464634334	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	3bc6e5c9-e827-4c54-b1d9-38079d467ac6	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Property located on the N side of E 520th Ave, ca. 600 m W of S 190th St	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.3703	-94.76824	5.0		289.0								5372401	5372401	PRESERVED_SPECIMEN	KSP			5334			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.753Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464634027	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	b928f455-2603-437a-9f42-ed0a08bba74c	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Mine land wildlife area located on the West side of S 270th St (Stateline Rd), ca. 330 m S of E 570th St	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.43681	-94.61929	5.0		290.0								5372401	5372401	PRESERVED_SPECIMEN	KSP			5502			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.641Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633981	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	e7d98582-9f85-4ebd-aef9-26c1620d7d3d	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Crawford County State Park; collecting area in wooded area on the NW side of Hachery Rd.	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.64917	-94.813	5.0		290.0								5372401	5372401	PRESERVED_SPECIMEN	KSP			4847			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.455Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633877	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	e89586b4-6f99-4745-a20b-b258da6dccc2	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Area E of N 200th St. from the road to the end of the burm	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.6188	-94.73654	5.0		281.0								5372401	5372401	PRESERVED_SPECIMEN	KSP			5219			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.704Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464633530	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	787ed52c-1ad7-43f4-a606-163ae919c67f	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Point of the proprty at the end of SE 97th Terrace	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.04244	-94.65599	20.0		252.0								5372401	5372401	PRESERVED_SPECIMEN	KSP			5157			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:47.150Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH
2464631478	a92f4b3c-ae5c-45af-8dac-4a6a88d35ddd	8da649ca-eb97-425b-8fdf-575c7d93ce98	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vulpina		SPECIES	Vitis vulpina L.	Vitis vulpina	L.	US	Walk- in Hunting area along 170th St and 520th St.	Kansas			ae23c0f2-f322-408e-8d0d-024a96443acf	37.365636	-94.79589	550.0		285.0				2014-08-31T00:00:00	31	8	2014	5372401	5372401	PRESERVED_SPECIMEN	KSP			2688			CC_BY_4_0		Samantha Young Pryer			2020-02-10T10:09:48.719Z		GEODETIC_DATUM_ASSUMED_WGS84
