,IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
x,318684,Vitis_acerifolia,94.73745248,196.6446723,1776.847433,14.01554083,6214.957396,1986.070463,18823.60057,5107.996944,45.75558249,191.9237418,0.081735237,0.81144364,33.25524316,95.85974627,0.00512782,16.25677596,5.981146543,0.278855282,0.024449899
x,588141,Vitis_acerifolia,23.35236223,131.0092023,1166.801218,15.9813468,5660.589666,1305.737926,15284.8707,3971.658387,40.22617708,101.7241226,0.048139733,0.343131375,33.81447261,69.3868643,0.017477329,7.492276549,3.53767061,0.156314034,0.060344616
x,588646,Vitis_acerifolia,137.680886,111.0220709,1976.897836,26.30238989,7208.531961,2512.636791,20787.04128,5653.053084,65.56736946,146.9738931,0.063965694,0.277827085,58.40089437,83.12457828,0.004849113,7.214684892,3.383636576,0.29798183,0.017738782
x,588448,Vitis_acerifolia,18.2070322,58.44707654,1469.811734,24.00734141,5342.222323,2400.683753,16094.4391,3800.777526,60.85434456,218.8742889,0.099867492,0.416359389,55.60041492,120.5342183,0.01022095,11.92319581,1.183187028,0.171235429,0.038914568
x,1583,Vitis_acerifolia,58.77519357,119.3882307,1349.136877,67.32399921,5412.124249,2412.665543,17162.72458,2307.560196,91.53906871,357.6339341,0.169914547,0.658896474,68.82855256,153.686687,0.060229875,7.493530363,1.004368197,0.194630408,0.021888546
x,588459,Vitis_acerifolia,41.10282773,87.44553524,1684.590025,29.69096919,4674.481989,2198.630234,19260.62195,5096.823405,48.43294973,204.6717197,0.153865905,0.670246107,45.52670101,149.0531532,0.015216172,14.57431005,2.601915348,0.280341755,0.046424999
x,588378,Vitis_acerifolia,68.4095262,97.87690566,1114.879546,15.9624946,4428.264042,1983.040054,17219.19337,3426.533558,29.815948,245.6521975,0.106725337,0.299653902,21.9497142,110.1655958,0.011380869,7.764357998,1.93103049,0.179860544,0.015593188
x,588144,Vitis_acerifolia,48.9881393,98.81455457,1255.779925,11.61155577,5575.28543,1918.96383,19951.35809,4945.15498,25.85266052,97.00104687,0.043707168,0.491032386,28.11664566,85.47175353,0.015617757,11.25820163,2.572241879,0.21153694,0.047607397
x,588393,Vitis_acerifolia,29.56356785,182.1332075,1133.191384,18.65684489,5008.453549,2518.870236,17381.53539,6224.334293,45.66905001,293.2261782,0.111531744,0.309927603,26.78356138,66.41734678,0.017570759,10.62777725,7.035985811,0.320263305,0.013743628
x,588325,Vitis_acerifolia,120.401908,134.2140751,1106.274306,13.74646661,4915.789867,1919.39495,18315.57225,3275.774958,30.14915841,83.61272266,0.047619338,0.237915334,20.32536329,64.02321613,0.011927292,8.023974315,2.299022794,0.184270406,0.007752077
x,588324,Vitis_acerifolia,81.6527079,159.411123,1164.579867,15.39039714,4963.960204,1902.106237,17737.27273,4634.516819,34.96682795,136.6844046,0.058584554,0.241968608,27.00905702,64.38258979,0.007038304,4.339375518,6.038481635,0.225714871,0.010422154
x,588442,Vitis_acerifolia,195.9614227,137.5984622,1313.111477,15.67686819,5210.753199,2234.888714,18517.21116,3124.661348,52.17056013,179.9301446,0.103648135,0.574290534,44.51700918,1061.057076,0.015048933,8.079762888,1.613301209,0.275757001,0.029362944
x,588677,Vitis_aestivalis,73.55208004,408.9507969,1797.34192,24.01117448,6347.334632,2561.010274,17802.33852,6466.760343,69.59727988,395.6877323,0.195972736,1.708794854,129.4316366,175.6284024,0.019949177,6.439754984,4.216595593,0.181990576,0.034484602
x,237621,Vitis_aestivalis,42.33756782,80.93841768,2042.217224,28.35989263,6584.366766,2209.029155,14101.3699,6588.226953,58.57119033,271.7909394,0.112101471,0.487459075,62.36354674,107.7206102,0.01662061,5.297826791,4.323778391,0.377745714,0.01074352
x,483138,Vitis_aestivalis,125.6542669,382.8522833,1576.477781,22.25816067,5577.080786,2287.301854,15828.53128,5233.901255,54.10744573,239.6776427,0.108941574,1.081300504,60.61323243,135.273734,0.021322358,4.148623702,3.818103749,0.10110932,0.061567742
x,483143,Vitis_aestivalis,46.67489957,118.4318701,1548.719683,18.62911152,5241.987959,2480.766558,15508.25519,6313.037393,59.66561316,342.5802505,0.151045061,1.003308706,62.08832551,136.0586813,0.020910821,2.721192687,3.8148403,0.099023261,0.040109725
x,588626,Vitis_aestivalis,37.53004798,90.64332882,1011.921253,13.13451446,5460.969863,1556.925874,16397.51028,2226.091267,50.17791162,222.3044558,0.116021454,0.846695999,69.57974509,111.8070214,0.013396134,3.322612672,0.838024688,0.229717239,0.026023889
x,483130,Vitis_aestivalis,107.0318037,147.5232497,1658.148673,16.37010729,5869.125491,2409.62791,16464.83306,4373.333878,41.21696554,214.6360539,0.101404079,0.41466687,70.83395857,110.8467576,0.006947108,3.364851847,3.632634228,0.085445282,0.020299665
x,588199,Vitis_cinerea,127.1669641,215.1842973,2397.140065,38.19870692,7184.589542,3153.667317,16010.92288,7074.053054,96.93466219,991.1910466,0.492176411,7.003996196,130.7560626,321.612641,0.051979957,16.40428338,4.015583352,0.317574423,0.041703231
x,588200,Vitis_cinerea,127.0232818,641.0899127,1854.803364,28.4550764,5608.611799,2374.820028,13926.74633,9512.054074,62.29096916,491.9063475,0.21525128,1.546897259,101.3999537,141.0635404,0.01559518,6.623451324,8.88468509,0.681875765,0.037941554
x,588198,Vitis_cinerea,21.67241138,211.7831534,1767.579375,24.08648598,6144.583382,1690.6341,14791.31051,13560.83694,59.10682591,318.4942819,0.23629812,1.713918371,70.07635703,171.1717305,0.018773227,8.729696558,13.46129492,0.598200826,0.022432721
x,588205,Vitis_cinerea,67.13454561,528.0217722,1726.973438,31.71315389,6153.291993,1361.828469,12191.46775,6318.874135,70.26020741,338.7043787,0.212224108,0.803516534,75.78340871,182.2726879,0.021190364,6.200134569,3.906140393,0.214273334,0.032758003
x,588134,Vitis_cinerea,133.0594219,488.3185201,1882.889622,14.54960184,5958.737366,2314.605243,18227.12741,8659.600482,48.43243927,322.166039,0.142354427,2.231395568,131.7762827,192.8381633,0.009111857,2.893742357,6.123574687,0.774866362,0.053318521
x,588217,Vitis_cinerea,106.3991956,133.8210236,1949.804636,13.56003411,5817.188127,3305.603193,18252.35322,9692.5077,62.27067817,344.4267816,0.126372914,0.499895428,69.29607221,80.05093615,0.006907938,6.855979929,8.853726914,0.867926834,0.034100954
x,588398,Vitis_cinerea,43.03350186,231.158567,1717.515628,15.85854839,6785.442558,1837.686044,20005.7138,6544.884874,70.55674958,279.3648434,0.147494779,2.196956154,110.4829549,134.1903677,0.009263211,3.713194123,4.859457583,0.353534976,0.034490167
x,588356,Vitis_cinerea,57.36931218,404.5422028,1663.801819,28.26888256,6756.205976,2266.9307,11909.56023,11388.13574,79.80015301,552.2450395,0.241531864,2.377967346,117.065241,157.3802807,0.01120751,3.138618775,6.498727926,0.362953786,0.023630509
x,588221,Vitis_cinerea,103.6378747,471.3444326,1737.671264,24.71692076,6997.793454,3331.733217,16757.11255,13976.48422,56.39102972,458.3435766,0.171848826,0.735079823,84.95630636,157.3209173,0.019111411,3.37415292,12.12299509,1.234927669,0.043716911
x,588154,Vitis_cinerea,156.3249809,441.9792079,1537.077049,16.47462633,6553.974614,2775.558477,16210.3592,11418.43542,67.74562934,506.434732,0.165513182,1.078481007,112.3729991,141.3115903,0.020108166,3.188233933,11.52017825,0.814029969,0.030871296
