,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684,1,0.678275824,2.964084625,0.677326739,0.79576391,-0.958780169,0.249415979,0.732724667,0.854819417,0.105614282,1.476451755,1.295822978,-0.028624145,-0.264017075,1.077286363,0.08297094,-0.079189524,1.856170535,-0.288002014,0.154146641
1,588141,1,0.811209917,2.107396603,2.08688426,0.823134959,-0.232335344,0.521988094,-1.26541543,0.252532601,0.966610968,1.287006855,0.911928773,-0.151099026,0.320509434,0.983656585,0.875450552,-0.879465461,1.810037971,0.11040356,0.239033386
2,588646,1,0.387963682,0.429979295,1.674237609,1.127833486,2.138152838,0.856870532,0.558634281,1.011046529,1.110963106,0.702926993,0.134062633,-0.268798083,0.547713876,0.696897805,0.550110579,-0.774755955,1.002714992,0.597754419,0.128590092
3,588378,1,0.405182242,1.141584158,1.089432716,1.134621501,0.488095224,-0.050407816,-1.104146004,-0.161811873,0.502970636,0.897529364,-0.023799779,-0.322716027,-0.33582592,0.72378391,0.845416367,-0.854914546,-0.050120044,-0.15481171,0.105612047
4,588459,1,1.512560725,1.749048471,-0.075008608,2.068904638,-0.439378887,1.039448857,-1.132401824,-0.122878857,2.17599225,0.817323327,1.074579477,-0.107351005,-0.111121655,0.647608519,1.696382999,-0.502056599,0.194564298,0.349691004,0.122033104
5,1583,1,1.682195783,-0.121809222,1.874808788,0.655195832,0.940187097,0.952730596,-0.771546602,0.727027118,0.377589285,0.445788413,0.048023313,-0.14345336,0.374547392,0.629953742,1.583828688,-0.898633957,0.808598399,-0.487233311,0.078535229
6,588448,1,0.226545095,1.065525413,-0.609022975,1.54013896,1.917339325,0.82159096,0.155786306,0.461633205,0.088587716,1.619294643,0.899031579,-0.14670071,-0.135300726,0.828922987,0.52302587,-0.499362171,0.395473272,0.093444459,0.33915326
7,588144,1,0.523230493,1.785452008,-0.530290365,1.567460179,0.225638479,-0.072347224,-1.127078652,-0.612537861,-0.121696584,0.417921126,0.038378023,-0.205931455,-0.216568649,0.692431629,-0.165572301,-0.75019151,-0.399429649,0.282139301,0.641910076
8,588324,1,1.641965747,2.15605998,0.957436204,1.028782964,-0.284971416,0.231016502,-1.276392817,0.445543408,0.296284616,0.843649924,0.489816725,-0.118817426,-0.136643142,1.046673656,1.209700346,-0.960435748,2.439525604,0.367999077,-0.054769132
9,588325,1,0.40007478,2.396386147,0.023691457,0.556214929,-0.575479805,-0.026754262,-1.406552672,-0.329340398,-0.010507179,0.716927528,0.500300229,-0.295087785,-0.263139963,0.695224762,0.222325578,-0.870599329,0.127308682,0.090700895,-0.022233283
10,588393,1,0.842796743,3.587301731,0.685464919,0.778738499,1.342403531,0.533612251,-1.650152206,1.08255291,0.544750035,1.29135561,1.223687291,-0.214036271,-0.328133881,0.767248273,1.904100418,-0.898679316,2.208864927,0.262086719,-0.055807155
11,588442,1,0.774575531,2.815223217,-1.068917274,0.922683954,-0.823542953,0.388937503,-0.141228601,-1.238096595,0.779528558,1.26521337,1.223168731,-0.190831587,-0.281523049,2.522692204,0.744481146,-0.724586546,-0.490657419,0.008612762,0.04565838
12,588677,2,0.372363091,-0.181095645,0.096348383,-0.05322098,0.162707165,0.801817298,-0.132188991,-0.122967795,-0.080406755,0.264212102,0.338635832,0.13344112,1.369638681,0.288379192,1.756681561,-0.787462115,0.385525763,-0.626762629,0.155081928
13,237621,2,0.804451704,-0.402150184,0.165948674,0.300028235,-0.362993449,0.134187177,-0.761925459,1.281027436,0.975990593,0.181040898,-0.293412685,-0.311276406,0.571018875,0.135594293,-0.518970788,-0.969291806,1.447373986,0.46952945,0.102895051
14,483143,2,0.253229141,-0.345592052,0.310069978,0.193221882,-0.298825651,0.402932435,-0.593049347,-0.430985928,0.405901045,-0.228266791,-0.678851366,-0.127081305,0.221741036,0.210518688,1.433828831,-0.995178163,0.078155302,-0.614210725,0.380033106
15,588626,2,0.044572633,0.332418799,-1.01878655,0.255393475,-0.029899959,-0.340389103,-0.418639213,0.056970276,0.259870708,0.53934437,-0.176839098,-0.202562124,0.202390626,1.289979815,0.540483832,-0.962820947,0.62652117,-0.299960345,0.109498821
16,483138,2,1.166743517,-0.044195559,0.863328516,1.287148237,-0.486094505,0.521402657,-1.243680716,0.263633609,0.098459065,0.861985922,0.98218298,0.083979577,0.024891846,1.07796216,0.873804808,-0.970747173,0.603468478,-0.686653137,0.911950767
17,483130,2,1.683676958,0.486006469,0.138388351,2.419629097,-0.53720969,0.428985894,0.847294629,0.10632924,0.583548605,0.293879956,0.277510285,-0.166906342,0.049622048,0.6843943,0.560100198,-0.874123573,0.490053713,-0.656471908,0.285852045
18,588198,3,0.396327525,0.404182166,2.202367306,1.785764337,0.62241447,0.971048176,-0.129106164,0.178687587,2.378605366,1.021776676,1.725111365,1.083977342,1.376226664,1.481413484,1.430600882,-0.717656195,1.249793649,1.649318695,0.103386752
19,588205,3,0.086350322,0.110513829,0.452602148,1.276570916,2.510256052,0.261464626,0.002082548,0.078155272,1.017492294,0.250555813,0.180128112,-0.169194058,0.700977743,1.228486657,0.664965153,-0.738343835,0.500059962,0.445633531,0.045925606
