,INVO,Spec_int,B11.P31,Na23.P31,Mg26.P31,Al27.P31,P31.P31,S34.P31,K39.P31,Ca44.P31,Fe54.P31,Mn55.P31,Co59.P31,Ni60.P31,Cu63.P31,Zn66.P31,As75.P31,Rb85.P31,Sr88.P31,Mo98.P31,Cd111.P31
0,318684.0,1.0,2.1306512,1.397984,-0.43786594,-0.2696498,1.0,1.4461101,-0.38587502,-0.23853837,1.2793188,2.344757,0.35218692,-0.22703439,0.1823602,1.3371917,-0.31433,-0.1557424,1.3616179,0.9188459,0.13113372
1,588141.0,1.0,0.54488057,0.1429987,-0.75871384,-0.29508296,1.0,0.3453837,-0.7037624,-0.8188903,0.17302439,0.5720874,-0.698416,-0.8902729,-0.12869315,0.35053688,-0.07303343,-0.66753393,-0.002964182,0.1857439,0.03955608
2,588646.0,1.0,-0.1581094,0.04104812,-0.8309734,-0.40840992,1.0,-0.72572404,-0.9610316,-0.83860016,-0.5428363,0.029955905,-1.0686592,-0.72642386,0.017633226,-0.264329,-0.75040036,-0.908267,-0.63212645,-0.06829455,0.6382306
3,588378.0,1.0,1.6063663,1.3990453,-0.9005573,-0.29466188,1.0,0.01280446,-0.8899985,-0.90962297,-0.052119523,1.6075766,-0.3094965,-0.8412936,-0.516177,1.3020676,0.08757877,-0.6154877,-0.9198243,-0.3656076,-0.028250258
4,1583.0,1.0,0.07961749,-0.33758152,-0.8385499,-0.31277522,1.0,-0.06877671,-1.6046861,-0.99455076,-0.5555958,0.5353577,-0.682972,-0.70935977,1.2736216,0.25916946,0.26325926,-0.9218627,-1.0468467,-1.1203712,-0.050230324
5,588459.0,1.0,2.5013735,1.2511133,-0.6567258,-0.15182635,1.0,2.5147586,0.7708385,-0.5982991,1.3390657,2.1935742,0.5876892,-0.41279587,0.55188453,1.7875562,-0.38509914,0.265236,-0.37487245,1.6230398,0.17227551
6,588448.0,1.0,-0.3595304,-0.34257436,-1.2362946,-0.42657235,1.0,-0.9988003,-1.7727362,-0.7662561,-0.5594295,0.08955103,-0.99877226,-1.0450667,-0.30459002,-0.22915901,-0.7472245,-0.66273737,-0.7249347,-0.3420518,0.094487034
7,588144.0,1.0,0.12795302,0.46263894,-1.2024311,-0.1952808,1.0,-0.74979186,-0.48667297,-0.97634166,-1.0533636,0.27283138,-0.8717343,-1.025565,-0.46477836,0.24770212,-0.3254056,-0.30756482,-1.1363579,0.008915295,-0.18071458
8,588325.0,1.0,-0.03740608,1.1930326,-1.0504961,-0.24569237,1.0,0.08674692,0.52838945,-1.0093889,-0.5059837,1.0917889,-0.43057743,-0.8942263,-0.40663862,0.7720028,-0.09636673,-0.30400258,-1.044783,-0.10557106,0.056711305
9,588393.0,1.0,0.2436436,1.693633,-1.1341047,-0.19236408,1.0,0.00046168524,-0.17833516,-0.92786473,0.21046501,1.2671776,-0.3832703,-0.9226561,-0.5709993,0.3499083,-0.11514039,-0.28762633,-0.41069257,0.27336904,-0.24545686
