,INVO,Spec_int,B11.P31,Na23.P31,Mg26.P31,Al27.P31,P31.P31,S34.P31,K39.P31,Ca44.P31,Fe54.P31,Mn55.P31,Co59.P31,Ni60.P31,Cu63.P31,Zn66.P31,As75.P31,Rb85.P31,Sr88.P31,Mo98.P31,Cd111.P31
0,318684.0,1.0,1.4090481,0.7778537,1.2089094,-0.18025494,1.0,1.4087653,-0.18351786,1.790207,1.9124383,1.900785,1.8037617,0.056910783,-0.5943283,0.6490589,-0.24916686,2.1117392,2.68826,0.5571263,0.11373777
1,588141.0,1.0,-0.1514485,-0.37991264,0.2616929,-0.2089876,1.0,0.33423674,-0.46861106,0.019018235,0.39487627,-0.33448085,-0.43731922,-0.54368144,-0.9118233,-0.3824512,-0.031435788,0.39614624,0.80801886,0.027756304,-0.1517376
2,588646.0,1.0,-0.8432341,-0.47396553,0.048366155,-0.3370167,1.0,-0.7113781,-0.6993396,-0.041134868,-0.58710736,-1.018087,-1.227099,-0.39530876,-0.7624666,-1.0252701,-0.6426497,-0.41082284,-0.05889621,-0.15568382,1.5837663
3,588378.0,1.0,0.8931191,0.77883285,-0.1570614,-0.20851189,1.0,0.00957303,-0.6356345,-0.25789088,0.086034596,0.9712298,0.39229974,-0.49932837,-1.3073316,0.61233807,0.113490716,0.57061225,-0.45531163,-0.37037235,-0.3483021
4,1583.0,1.0,-0.6092962,-0.82326424,0.02599863,-0.2289751,1.0,-0.070066474,-1.2765929,-0.517084,-0.6046102,-0.38079554,-0.40437514,-0.3798564,0.5195321,-0.4779724,0.2720139,-0.45639753,-0.63033444,-0.9153841,-0.41202033
5,588459.0,1.0,1.7738614,0.64236057,0.56278497,-0.04714602,1.0,2.4519794,0.85386574,0.69224536,1.9943962,1.7101495,2.3061206,-0.111304544,-0.21715145,1.119898,-0.31302455,3.5229144,0.29557097,1.0656219,0.23300417
6,588448.0,1.0,-1.0414449,-0.82787025,-1.1482348,-0.35753536,1.0,-0.97795504,-1.4273064,0.17965356,-0.60986906,-0.94293994,-1.0780206,-0.6838541,-1.0913628,-0.98850125,-0.63978404,0.41222516,-0.18677558,-0.35336283,0.007502321
7,588144.0,1.0,-0.56173104,-0.08503371,-1.048262,-0.096237905,1.0,-0.7348732,-0.2739172,-0.46151128,-1.2874242,-0.71183074,-0.8070312,-0.66619444,-1.2548685,-0.48996106,-0.2591608,1.6028104,-0.7536706,-0.099930905,-0.7902825
8,588325.0,1.0,-0.7244546,0.5887792,-0.59971523,-0.15318947,1.0,0.08175563,0.6364285,-0.56236905,-0.5365547,0.32084197,0.13401735,-0.54726136,-1.1955248,0.05817542,-0.052490313,1.6147515,-0.6274907,-0.18260103,-0.10200613
9,588393.0,1.0,-0.44788432,1.0505998,-0.84654707,-0.09294278,1.0,-0.0024759804,0.0026116022,-0.31356335,0.44623557,0.5420002,0.23493001,-0.5730059,-1.3632892,-0.38310838,-0.0694305,1.6696469,0.24621484,0.09103007,-0.9779646
10,588324.0,1.0,-0.20934917,0.19485664,-0.6625145,-0.2942284,1.0,-0.70600444,-0.3387152,-0.44360182,-0.6274955,-0.3682904,-0.526282,-0.6317548,-1.1571759,-0.5202326,-0.35596633,-0.28192225,0.54945177,-0.0626707,-1.1156206
11,588442.0,1.0,3.237119,1.9793354,-0.14918247,-0.006641506,1.0,-0.20006159,0.9000682,0.43851984,1.7766113,1.0305071,0.7388462,-0.3302728,-0.6757375,4.464346,0.22017963,1.0323635,0.44288367,0.74332345,1.0785458
12,237621.0,2.0,-0.1606894,-0.49247852,-0.32145306,-0.14532751,1.0,0.32946515,0.051128283,-0.08030436,0.28310487,-0.21494925,-0.15662235,-0.45026332,0.45289811,-0.41431478,-0.17480965,-0.22143984,-0.025732003,0.6168179,0.29622912
