gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2574971808	89c53edb-0fac-4118-bdc0-d70ca50953dc	3c84a156-7463-4d5e-af71-a850f4b694ec	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Raf.	US	Unincorporated Douglas County south of City of Littleton. Along the High Line Canal at estimated Mile Marker 0 (inception of the Canal).	Colorado			36488347-eceb-40ed-b687-406f3601d8cb	39.48362	-105.11293			1698.0				2018-05-07T00:00:00	7	5	2018	5372375	5372375	PRESERVED_SPECIMEN	DBG	KHD		804	Christina Alba; Audrey Dignan	2018-01-01T00:00:00	CC0_1_0	Public Domain	Christina Alba; Ken Kuhar; Audrey Dignan; Lauren Boyer; Melissa Islam			2020-03-06T20:05:38.919Z		
2574971704	89c53edb-0fac-4118-bdc0-d70ca50953dc	b7ec7009-915e-4c05-9b01-11129096c3dd	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Raf.	US	Unincorporated Douglas County south of City of Littleton. Along the High Line Canal Trail at Mile Marker 2. 370 meters ESE of Platte Canyon Reservoir.	Colorado			36488347-eceb-40ed-b687-406f3601d8cb	39.487857	-105.082543			1698.0				2018-05-08T00:00:00	8	5	2018	5372375	5372375	PRESERVED_SPECIMEN	DBG	KHD		848	Christina Alba; Audrey Dignan	2018-01-01T00:00:00	CC0_1_0	Public Domain	Christina Alba; Melissa Islam; William Georgitis; Kara Clark; Audrey Dignan			2020-03-06T20:05:38.919Z		COORDINATE_ROUNDED
2573369451	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	69d4df69-522d-4e83-ae5e-cbfc26b60b58	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	Comanche National Grassland: Cave Spring and below just off Holt Canyon, just N of Oklahoma, ca 13 air mi SW of Campo.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.0005	-102.7748	100.0		1295.0				2007-06-24T00:00:00	24	6	2007	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00982140	72581			CC_BY_4_0		B.E. Nelson; Bernadette Kuhn			2020-03-11T17:56:37.247Z	StillImage	
2573367751	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	f6425855-a962-4baf-9a49-77c95a373cca	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	Jack Canyon off of the Van Bremer Arroyo west of the Purgatoire River Canyon and south of the Pinyon Canyon Maneuver Site.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.3436	-103.95084	100.0		1506.0				2009-05-27T00:00:00	27	5	2009	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00967737	2790			CC_BY_4_0		Dina Clark			2020-03-11T17:56:37.464Z	StillImage	
2573338114	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	812c31b6-92fa-4cae-ad9d-e93789b40977	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	Mesa de Maya Region of southeastern Colorado. Growing at the bottom of Gotera Canyon.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.05087	-103.571356	500.0		1676.0				1993-06-12T00:00:00	12	6	1993	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00805960	152			CC_BY_4_0		Dina Clark; Tim Hogan & Rick Brune			2020-03-11T17:56:37.302Z	StillImage	COORDINATE_ROUNDED
2573338043	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	edb71600-39ee-4074-ac2a-d1a1f850858e	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	Confluence of Sand and Gallinas Canyons, tributary to Cimarron River, vicinity of Wilson Ranch, 27 mi. S of Pritchett.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.018094	-102.842257	5000.0		1341.0				1948-08-06T00:00:00	6	8	1948	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00805945	4340			CC_BY_4_0		Wm. A. Weber			2020-03-11T17:56:37.464Z	StillImage	COORDINATE_ROUNDED
2573335752	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	a7629176-60ac-444a-be9a-4ffcb043fe7b	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	Manzanola.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	38.10945	-103.86607	1000.0						1911-06-17T00:00:00	17	6	1911	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00805952	sn			CC_BY_4_0		Wm. Huestis			2020-03-11T17:56:37.247Z	StillImage	
2573334832	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	f9c90c11-4aa5-4a12-b4c2-4008c4f79df9	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	South slope of Tecolote Mesa near Troy. Region of the Mesa de Maya.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.15285	-103.34186	10000.0						1947-07-16T00:00:00	16	7	1947	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00805937	4889			CC_BY_4_0		C.M. Rogers			2020-03-11T17:56:37.459Z	StillImage	
2573334587	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	1013976a-b785-4c05-8776-bf11958ffc30	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	3 miles north of the Oklahoma line, north of Kenton, Oklahoma. Region of the Mesa de Maya.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.04261	-102.9373	2500.0						1948-05-16T00:00:00	16	5	1948	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00805929	5680			CC_BY_4_0		C.M. Rogers			2020-03-11T17:56:37.437Z	StillImage	
2573333466	7c5e863f-3f70-4933-b05d-fc57c66dd3f3	c3bc8452-4d9e-46fb-9be3-42386770cbd6	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis acerifolia		SPECIES	Vitis acerifolia Raf.	Vitis acerifolia	Rafinesque	US	Pinyon Canyon Maneuver Site, Welsh Canyon tributary of the Purgatoire R.	Colorado			4cadac10-3e7b-11d9-8439-b8a03c50a862	37.56086	-103.77713	5000.0		1372.0				1999-06-09T00:00:00	9	6	1999	5372375	5372375	PRESERVED_SPECIMEN	COLO	V	00805911	99-12			CC_BY_4_0		T. Kelso; G. Maentz			2020-03-11T17:56:37.409Z	StillImage	
