IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588165,4,58.08682484,54.41156081,6412.256251,11.31146509,4029.253871,2516.877119,7591.205671,24387.89027,60.74213403,509.0127404,0.189102717,0.850164397,31.12038688,182.6867769,0.019026187,0.710020825,29.82355601,0.026557585,0.07116424
588182,4,117.3038989,82.49323108,4353.439317,32.01069164,2782.18061,3989.548327,8573.585897,14899.29053,110.9424358,1174.179396,0.442651944,1.687043301,48.62582204,264.9252192,0.046003874,0.660622604,16.91458084,0.071793762,0.038426756
588128,4,63.17871914,129.5096779,5948.951994,16.9408336,4538.148886,5965.337248,6628.520707,29697.50053,80.56024576,1221.264722,0.355072235,0.960504432,45.3462414,229.2704585,0.02923101,0.819074166,67.18218083,1.924816663,0.066847038
588173,4,85.90203419,66.31267023,5505.321059,22.76597011,2772.871523,2699.650999,7747.605443,21126.02999,84.90451357,680.2993971,0.301289142,1.074067552,42.21198498,184.3702084,0.040537998,0.920706866,24.37637715,0.045830222,0.065621821
483148,4,74.72752812,69.54429745,5446.013977,23.5760365,2208.157204,2473.551169,6955.71264,23030.0932,116.249481,665.1709629,0.206351775,1.077979212,40.23542028,172.7402028,0.027441218,0.295195036,26.46791913,0.040268027,0.072398697
483160,4,69.69445802,100.5734828,6082.453683,87.18064571,3951.171696,3672.17352,7726.289617,27787.35364,159.7076489,826.7715879,0.408817073,1.534448739,59.70103143,202.5151659,0.068761476,0.802684882,36.29577063,0.069891665,0.049194235
483161,4,71.99065632,130.2356755,4880.99819,25.3165175,3901.278134,4644.991795,9616.428922,30215.35581,100.4506145,1315.981103,0.394640211,1.339917163,54.676028,194.8747663,0.034470597,1.510208231,39.70396395,0.037780183,0.034560254
483164,4,95.55350673,94.05295116,5223.362741,21.48914841,4327.807832,3037.916787,9043.172713,20316.08401,110.1921712,789.9932932,0.484930848,1.569121132,72.91032016,180.8358365,0.083399777,0.979913253,23.92236534,0.047324606,0.063066533
588583,4,86.97580842,47.24550359,4504.181768,17.24933823,3280.89368,2239.618193,9148.363165,18795.54619,70.96519409,594.8469618,0.200890812,0.965451323,29.14930612,111.2323112,0.041097874,0.657021628,26.21438031,0.048893092,0.060792455
588585,4,96.06095922,63.86987634,4806.665929,24.46243893,3025.203348,2976.554422,10126.59063,24319.43818,118.9811357,832.7609493,0.306837894,1.477067706,52.8413675,149.0264535,0.048069652,0.800384889,30.93780503,0.04666667,0.054076787
594349,4,57.09457367,128.3558138,2942.13407,29.59147225,6012.114452,3435.170378,6129.960561,20470.65216,65.390455,779.8163141,0.340971504,0.84706799,60.30040673,168.0885254,0.021980059,1.373901654,26.65778096,0.218506217,0.041636785
588584,4,104.5016402,108.1296014,4151.019343,44.63255822,5292.277802,3146.817009,7552.343092,26503.58526,136.7162214,1079.865503,0.369084488,1.684440516,34.77219813,189.8410759,0.067866367,0.433817134,30.74692419,0.0829161,0.037624798
588648,4,61.4029978,122.305359,4655.953039,40.16593566,2734.747091,2718.627434,9424.857858,20068.71277,85.75664895,1099.878909,0.366974884,1.083597558,33.2845563,147.7066,0.038125587,0.487106264,21.48527602,0.058891456,0.043556066
1587,4,57.07169333,125.1991974,2879.245002,26.69055386,8017.463555,3684.362859,9296.342627,15021.48603,63.73818175,1192.41413,0.319916619,0.718096921,43.38859643,146.4210192,0.024691696,1.179877636,20.1011899,0.101019058,0.034012661
483162,4,50.28964929,172.6699386,4165.130247,54.44432614,2057.795725,3258.83181,4950.730146,23293.27196,93.60446211,1585.919786,0.45864097,1.389831826,24.71260879,236.0240311,0.042476553,0.470128762,27.91263728,0.052350344,0.05810288
588658,4,64.26571303,164.3356862,5088.222983,22.79305924,4234.443196,2584.899417,11630.18066,20417.95862,104.615415,850.0558073,0.277766697,0.697813833,32.4572825,199.9768818,0.020131173,0.622969962,22.20480299,0.05026531,0.076552943
588647,4,75.63771993,113.7207035,4089.808078,55.46925579,2737.502857,3490.284281,8786.008625,24097.78153,123.8290665,1307.924467,0.431909238,1.763739546,80.03254734,271.2175503,0.081572051,0.674001529,29.1607321,0.065385856,0.062147623
