,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684.0,1.0,0.6927034,0.16802683,0.15283647,-0.28867844,-1.0953648,-0.020884434,-1.1430026,1.1525452,0.9391143,0.7506345,0.62088025,-0.23081322,-0.79153794,-0.14322935,-0.38737255,1.0257646,1.9376408,0.040496748,-0.37779194
1,588141.0,1.0,-0.8276671,-0.6062746,-0.5237576,-0.29010937,-0.9503791,-0.69075805,-1.2230282,-0.4867848,-0.22500916,-0.8315311,-0.80229175,-0.556175,-0.9131183,-0.8577292,-0.21952087,-0.05029484,0.35172164,-0.23803689,-0.5209465
2,588646.0,1.0,-0.5701281,-0.26720327,0.8606431,-0.23622882,0.6848275,0.04873324,-0.019547615,0.60789716,-0.17261212,-0.64786214,-0.87369895,-0.28933987,-0.39113435,-0.7466485,-0.5092227,-0.17727257,0.47472903,0.009420113,2.3685832
3,588378.0,1.0,-0.16595891,0.03081585,-1.2603475,-0.332969,-1.3408991,-1.4276803,-1.6901946,-1.020385,-0.8019275,-0.1825165,-0.48544604,-0.5647667,-1.1877712,-0.37640253,-0.21712251,-0.1230979,-1.0343491,-0.5570275,-0.8272513
4,1583.0,1.0,-0.43676952,-0.72894734,0.46708894,-0.1693386,0.30775118,0.44077602,-0.9794069,-0.36069372,-0.40921846,-0.100584134,-0.16452055,-0.3177124,0.45628917,-0.26038182,0.32950813,-0.32369664,-0.5230727,-0.75363046,-0.282677
5,588459.0,1.0,0.31490156,-0.17795916,-0.9453782,-0.2768749,-1.5705364,-0.0830967,-0.9693057,-0.3868895,0.3697169,0.055047303,0.41966176,-0.40410686,-0.77931845,-0.2421585,-0.4966974,1.397617,-0.5704532,0.11619708,-0.5393864
6,588448.0,1.0,-1.0596001,-0.7160794,-1.0005592,-0.27754027,0.41723567,-0.54154956,-1.0750254,0.7525482,-0.3544186,-0.6795839,-0.80004615,-0.56727064,-0.71383137,-0.806605,-0.5255243,0.5926182,0.14023113,-0.23129846,0.25470033
7,588144.0,1.0,-0.91901684,-0.21593067,-1.4128982,-0.1511901,-0.45304883,-1.0980576,-0.59490037,-0.70551854,-1.5497317,-0.86860836,-0.8654467,-0.60066587,-0.9994572,-0.6798226,-0.29274955,1.1637847,-0.9638541,-0.20207591,-0.9138398
8,588325.0,1.0,-1.3454291,0.20059174,-1.1782829,-0.23286268,-0.7736164,-0.688062,-0.14975382,-0.9960203,-0.9538233,-0.1754099,-0.2933626,-0.54423827,-1.0261636,-0.37952736,-0.19756156,0.93461394,-0.95091987,-0.33198375,-0.40229136
9,588393.0,1.0,-0.62635183,0.8816547,-1.0678904,-0.12341654,-0.26600215,-0.15999205,-0.15042846,-0.4120477,0.42259157,0.44257036,0.106049925,-0.5225806,-1.0342112,-0.4734344,-0.10816267,1.3602465,0.2801172,-0.010777376,-1.0541037
