,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684.0,1.0,-0.27224612,2.346557,0.11127237,0.1048206,-1.3953291,-0.70424175,0.36476654,0.3937638,-0.74767435,0.85458815,0.67429113,-0.18534918,-0.76133066,0.23636936,-0.5953831,2.7488995,1.2139088,-0.5429716,-0.09038525
1,588141.0,1.0,-0.095818415,1.4297738,1.3918933,0.13881648,-0.7533015,-0.36959758,-1.1998041,-0.20334941,0.22739975,0.5564183,0.22669846,-0.27275884,-0.2575419,0.09700535,0.18143201,-0.3680981,1.1622747,-0.23992862,-0.025946328
2,588646.0,1.0,-0.6575431,-0.36531076,1.0169926,0.51726323,1.3417219,0.04154667,0.22845142,0.54864895,0.39087778,-0.362873,-0.68023694,-0.35676003,-0.061720047,-0.32982305,-0.13747717,0.039735142,0.25867543,0.13076964,-0.10978565
3,588378.0,1.0,-0.634691,0.39621174,0.48568174,0.52569425,-0.11658927,-1.0723436,-1.0735279,-0.6141347,-0.29767045,-0.056585662,-0.86429304,-0.39524096,-0.8232209,-0.28980425,0.15199146,-0.27247477,-0.91971403,-0.4416618,-0.12722866
4,588459.0,1.0,0.83500165,1.0462884,-0.57224447,1.6861082,-0.9362854,0.26570305,-1.0956526,-0.57553613,1.5970176,-0.18282302,0.4163374,-0.24153613,-0.6295539,-0.40318808,0.98613757,1.1018729,-0.6458502,-0.057917144,-0.11476317
5,1583.0,1.0,1.0601382,-0.95580614,1.199217,-0.06977014,0.28296682,0.1592367,-0.8130981,0.2670692,-0.43966413,-0.7675869,-0.7805525,-0.2673022,-0.21096791,-0.4294665,0.87580794,-0.44275767,0.04140975,-0.6945148,-0.14778312
6,588448.0,1.0,-0.8717749,0.31481755,-1.0574108,1.0293618,1.1465681,-0.0017669996,-0.08698395,0.0039550103,-0.76695687,1.0794106,0.21166126,-0.2696198,-0.65039325,-0.1333091,-0.1640265,1.1123675,-0.42098206,-0.2528284,0.050056305
7,588144.0,1.0,-0.47801948,1.0852456,-0.9858801,1.0632958,-0.34854698,-1.0992792,-1.0914844,-1.060989,-1.0051026,-0.81144756,-0.79179823,-0.31189245,-0.72043604,-0.33647078,-0.8390136,0.13541128,-1.31068,-0.10929963,0.27988398
8,588324.0,1.0,1.0067457,1.4818511,0.3657593,0.39423886,-0.79982096,-0.7268313,-1.2083995,-0.011996555,-0.5317412,-0.1413872,-0.26545355,-0.24971965,-0.65155023,0.19080363,0.5090748,-0.68346965,1.8668312,-0.0439913,-0.24897665
9,588325.0,1.0,-0.6414695,1.7390355,-0.4825728,-0.19270806,-1.0565705,-1.0433035,-1.3103163,-0.7802242,-0.87918127,-0.34083733,-0.25323054,-0.37552285,-0.7605747,-0.3323133,-0.45878303,-0.3335655,-0.72112626,-0.25491524,-0.22427815
10,588393.0,1.0,-0.05389695,3.0134914,0.11866611,0.0836744,0.63844335,-0.35532627,-1.5010581,0.6195411,-0.25035548,0.5632629,0.5901862,-0.3176768,-0.8165913,-0.2251093,1.1897491,-0.44293422,1.6086632,-0.124552436,-0.24976462
11,588442.0,1.0,-0.14443892,2.1872532,-1.475237,0.26246,-1.2758073,-0.5329474,-0.31955063,-1.6811742,0.015529907,0.52211714,0.58958167,-0.30111575,-0.7764186,2.3877957,0.053051367,0.23514032,-1.4127871,-0.3173547,-0.17274047
12,588677.0,2.0,-0.678248,-1.0192513,-0.41656202,-0.9496499,-0.4041653,-0.026043678,-0.3124725,-0.5756243,-0.9583422,-1.0533724,-0.44171944,-0.06968407,0.64667636,-0.93788594,1.0452442,-0.009753979,-0.43211585,-0.8006463,-0.08967526
13,237621.0,2.0,-0.104787804,-1.2558124,-0.3533283,-0.51090133,-0.8687764,-0.8457113,-0.8055646,0.81631076,0.23802212,-1.1842766,-1.1786422,-0.3870766,-0.04163407,-1.1652999,-1.1854266,-0.7179631,0.7563617,0.033236697,-0.12929118
14,483143.0,2.0,-0.8363604,-1.1952869,-0.22239022,-0.6435588,-0.81206524,-0.5157654,-0.67333233,-0.8809966,-0.4076012,-1.8284916,-1.6280355,-0.25561753,-0.34266788,-1.053778,0.72877306,-0.818788,-0.77614135,-0.79109883,0.08108886
15,588626.0,2.0,-1.1132855,-0.46971494,-1.4296919,-0.5663394,-0.57439035,-1.4283615,-0.5367668,-0.39723188,-0.5729798,-0.6203379,-1.0427258,-0.3094878,-0.35934553,0.55295473,-0.14691365,-0.6927597,-0.16238083,-0.5520676,-0.12427815
16,483138.0,2.0,0.37603933,-0.872748,0.28025997,0.7151381,-0.9775723,-0.37031636,-1.1827854,-0.19234379,-0.7557776,-0.112528,0.30860972,-0.104984514,-0.51232725,0.2373753,0.17981878,-0.7236316,-0.18818262,-0.84620136,0.4848763
