,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
0,318684.0,1.0,0.2642479,0.18114558,0.16338183,-0.09009323,-0.97784686,0.0701983,-1.0886188,1.1518623,0.38263682,0.7528555,0.62304753,-0.08760291,-0.7692208,-0.11012526,-0.10440995,0.98053986,1.9432572,0.04161433,-0.045687918
1,588141.0,1.0,-0.45236677,-0.56710106,-0.50392383,-0.090191,-0.8446753,0.059689663,-1.1661142,-0.4704656,-0.16873947,-0.8070817,-0.80363804,-0.28924373,-0.88925457,-0.78176945,-0.08961307,-0.06602064,0.35617766,-0.23758905,-0.08850992
2,588646.0,1.0,-0.33097774,-0.23943926,0.86147153,-0.08650985,0.65728647,0.071290426,-0.0006829163,0.612863,-0.14392209,-0.6259932,-0.87522155,-0.123874426,-0.3739107,-0.67735136,-0.115151584,-0.18951742,0.47927505,0.01046297,0.7758387
3,588378.0,1.0,-0.14047581,0.04855168,-1.2304016,-0.09311919,-1.2033738,0.0481292,-1.6185107,-0.9985317,-0.4419915,-0.16718534,-0.48601007,-0.2945684,-1.1604137,-0.32931274,-0.08940165,-0.13682787,-1.0309073,-0.5573467,-0.18013525
4,1583.0,1.0,-0.26812026,-0.6856459,0.4733202,-0.081939876,0.31093624,0.0774406,-0.9301953,-0.34568226,-0.2559885,-0.08640407,-0.16429228,-0.14145811,0.46273294,-0.22025092,-0.041213725,-0.33192745,-0.51925683,-0.7544224,-0.017236065
5,588459.0,1.0,0.08617397,-0.15319817,-0.91975635,-0.08928681,-1.414299,0.069222346,-0.9204135,-0.37160635,0.112947024,0.067040846,0.4213323,-0.1950005,-0.7571568,-0.20312065,-0.11404742,1.3421983,-0.56667197,0.117496684,-0.094025865
6,588448.0,1.0,-0.5616865,-0.673211,-0.9741798,-0.08933227,0.41149935,0.06203037,-1.0227907,0.75601375,-0.23003305,-0.6572693,-0.8013869,-0.29612023,-0.6925028,-0.73371166,-0.116588645,0.5592677,0.1445324,-0.23083441,0.14351028
7,588144.0,1.0,-0.4954237,-0.18989196,-1.3808582,-0.080699965,-0.38786998,0.053300153,-0.55784535,-0.6869308,-0.79618204,-0.843638,-0.8669489,-0.3168167,-0.97449523,-0.61453366,-0.09606851,1.1147763,-0.96036065,-0.20154162,-0.20603658
8,588325.0,1.0,-0.69640976,0.2126147,-1.1494637,-0.08627988,-0.68231606,0.059731957,-0.12677254,-0.97441965,-0.5139355,-0.16017859,-0.2934524,-0.28184602,-1.0008619,-0.33225012,-0.08767726,0.891888,-0.947417,-0.3317618,-0.05301645
9,588393.0,1.0,-0.35747838,0.87076026,-1.0405866,-0.07880246,-0.21606481,0.06801605,-0.12742583,-0.39650363,0.13799061,0.44911945,0.1069462,-0.26842386,-1.0088071,-0.4205246,-0.07979635,1.3058524,0.28452083,-0.0097830845,-0.24799392
10,588324.0,1.0,-0.34354022,-0.019220335,-1.0883424,-0.091758676,-0.5310388,0.051324144,-0.756964,-0.7529906,-0.51130384,-0.6268446,-0.7086921,-0.30817425,-0.94705546,-0.71838784,-0.10455322,-0.4286868,0.3746092,-0.21187888,-0.3061154
11,588442.0,1.0,0.54744613,0.4836253,-1.556688,-0.08939052,-1.5454127,0.03912589,-1.0678056,-0.70095396,-0.046448406,-0.488427,-0.55772525,-0.26917934,-0.9840206,1.5618608,-0.09265245,-0.0839748,-0.5613747,-0.10202677,0.03600327
12,237621.0,2.0,-0.16106626,-0.4788078,-0.4332209,-0.08138062,-0.19092259,0.07393113,-0.05469628,-0.0835202,0.06383455,-0.2555376,-0.21628164,-0.21153663,0.1525518,-0.43556008,-0.086970136,-0.27022716,-0.019558258,0.40817642,0.13787675
13,588677.0,2.0,-0.13956568,1.009389,0.8966218,-0.08261921,0.7655319,0.09213851,0.27461034,0.6663726,0.12773213,0.8906771,1.0738358,0.29225028,1.7110206,0.37623248,-0.010101777,0.5841656,0.58839065,-0.7433997,0.04856363
14,483143.0,2.0,-0.15560327,-0.6131566,0.46563524,-0.08376735,-0.34458873,0.062197257,-1.3152124,0.18499275,0.014307957,-1.241986,-0.94198054,-0.10001596,-0.23652259,-0.23985103,-0.059457168,-0.8889308,0.10829012,-0.8500755,0.4170722
15,588626.0,2.0,-0.56251204,0.03555564,-1.4177486,-0.079189144,-0.23040001,0.05190189,0.37373397,-0.5425957,-0.3150155,0.5508928,0.0010796264,-0.103927255,-0.23089808,0.2918404,-0.03366689,-0.51394635,-0.5097739,-0.45895734,0.25149772
16,483138.0,2.0,-0.10905585,0.33319098,-0.095890425,-0.072587796,0.070075706,0.07565635,-0.5026424,0.19219667,-0.68793774,0.6041762,0.25136933,0.03865561,0.040083684,0.92765504,-0.102234855,-0.24234222,0.12765627,-0.90959996,0.95311797
17,483130.0,2.0,-0.3962049,-0.5869991,0.5742891,-0.08238585,0.44197983,0.07603508,-0.62187,0.5478923,-0.47363523,-1.2017238,-0.9943055,-0.23574486,0.28652388,-0.16730888,-0.09582491,-0.6395449,0.91966546,-0.8990582,0.33276233
18,588199.0,3.0,1.1970861,3.4207778,2.0664947,0.018009225,2.586221,0.11082288,2.7050364,-0.62468046,0.48379216,4.9401703,5.3309,3.2174437,1.8539456,5.2591844,0.29458138,6.739368,-0.82861716,-0.2325102,0.21486937
19,588198.0,3.0,-0.081300564,1.4829693,1.45952,-0.06864299,1.6904881,0.10359882,0.98132294,0.014550845,0.27789336,0.55230665,1.7959046,0.48294935,0.69861096,0.81837034,-0.08212854,1.7350243,0.40394247,0.71193784,-0.0036482876
20,588205.0,3.0,-0.87284225,-0.056655344,0.5869794,-0.009760788,1.5280983,0.064750455,0.6667011,-0.5557767,0.2865935,0.5885714,0.84765446,-0.08230844,0.44476885,0.9820642,-0.04714123,0.8202896,-0.5554565,-0.2663227,0.36639437
21,588200.0,3.0,1.2035736,3.8089423,0.72624016,0.41646186,1.079273,0.0897161,0.20875412,0.25805518,0.3305698,0.23244196,0.212202,0.5893429,1.8212075,1.0000911,0.0076618367,1.5080513,2.6097953,0.72263837,0.047725566
22,588186.0,3.0,0.45540488,0.85020345,-0.20321174,-0.06369999,2.025791,0.11470481,0.9605874,1.0754372,0.055824775,1.723929,1.185136,0.31355068,2.3005533,1.4484477,-0.051965818,-0.23457362,1.0163207,4.2323728,0.43944973
23,588221.0,3.0,-0.3744179,0.18328597,0.029310564,-0.05611589,0.53775316,0.12992255,-1.1820927,2.8177927,0.28664687,2.5002165,1.8425674,0.23489353,1.396563,1.8150738,-0.064462386,-0.8519369,1.9169592,5.4624624,0.807072
24,588398.0,3.0,-0.08367692,-0.4339414,0.24202508,-0.07632088,0.3278973,0.06688093,0.92595696,-0.71483034,0.51231706,-0.13104369,-0.0048450935,0.5413766,1.6523386,0.82122946,-0.09261858,-0.30171302,-0.66253483,0.093251064,0.42203093
25,588218.0,3.0,1.4636234,2.6939673,-0.3459837,-0.0760778,1.5313442,0.083229735,1.9025815,-0.5305152,0.1453763,0.4330711,0.79596096,1.9700183,2.3910742,1.7512802,-0.03709729,1.3490865,-0.8102905,2.8063111,0.5463866
26,588154.0,3.0,-0.15740384,-0.31159195,1.139559,-0.08641016,0.9916017,0.08662686,-0.0884319,1.1998935,0.21149798,0.72857726,-0.007814219,0.3493449,1.11959,-0.24927233,-0.00907843,-0.4031199,1.1821676,1.401493,0.24956109
27,588356.0,3.0,2.4027967,2.6977272,0.09046633,-0.033055503,1.9048111,0.08963621,1.0162156,-0.19841906,0.38941053,3.3807037,3.0073886,1.1235998,2.0397835,1.9633874,-0.046932988,0.26721534,-0.79061115,-0.14154801,0.48668462
28,588208.0,3.0,0.585521,2.3794348,2.936872,-0.068017825,3.2694557,0.11218592,3.03431,1.7305025,1.5744578,1.3162676,1.8251759,2.4378376,5.673328,3.7306821,0.06665737,1.5232913,1.2276363,1.9054153,0.39215097
29,588197.0,3.0,-0.08941426,0.6983866,0.39310095,-0.06786062,0.77565867,0.07551104,1.3911057,-0.59368604,0.46327305,0.5844425,0.91928846,1.2229166,0.35299373,0.5476015,-0.093059614,0.17810321,-0.92635113,1.9730103,0.113406464
30,588219.0,3.0,-0.46136042,0.20004088,1.8208053,-0.07391267,2.037383,0.105072126,1.4634377,0.20811503,1.1220486,2.0393283,1.8647587,1.5697703,1.7598405,1.6653925,-0.029399993,0.3775463,-0.100918576,2.9603262,0.09008585
31,588217.0,3.0,-0.40615296,-0.6572578,2.2525368,-0.08487818,-0.5122208,0.067366675,-1.2487367,2.1812198,-0.1240637,-0.35568663,-0.53818196,-0.24348621,-0.10261567,-1.0110902,-0.086621344,-0.6198345,1.940865,1.0982203,-0.21098052
32,588134.0,3.0,-0.31785563,0.052179266,0.79142886,-0.06551882,1.4065632,0.09438765,2.6983356,1.577316,0.26854336,0.2428372,0.57783395,0.8115428,3.2418454,2.2036602,-0.0041765855,-0.39177588,1.2728728,2.1310422,0.349014
