leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,-0.15968195,-0.17439336,0.5637282,-0.746859,0.48929253,-0.5981216,0.76587373,-0.20494097,-0.5665871,-0.5926857,-0.66425914,-0.16375259,-0.95913786,-0.431142,-0.7188716,3.1864219,0.5044496,-0.18019038,-0.23379384
1,-1.1755575,-0.62501055,-1.286614,-0.5214095,-0.16631347,-2.0492988,-0.71526843,-0.6123478,-0.895658,-1.2404046,-1.1820656,-0.54005504,-0.9399708,-0.73950744,0.09569774,0.54888266,-0.3109898,-0.547647,1.3571447
1,0.45144266,-0.76223123,1.1705047,0.6622649,1.664313,0.5250661,1.5876756,-0.009524245,0.6124696,-0.9154683,-0.9381406,-0.59252894,-0.09729268,-0.5794857,-0.73725504,0.4653458,-0.3623942,-0.122836836,-0.53124636
1,-1.2487804,-1.1231824,-0.3675473,0.399056,-0.5428208,0.28626564,-0.37642202,-0.67361295,0.33198386,-0.39915517,-0.38478723,-0.48121423,-0.19327666,-0.14372511,-0.38293052,1.8822986,-1.0967306,-0.50290316,0.4073144
1,-0.671458,-0.70479375,-0.7335684,5.3668504,-0.46015346,0.31182328,0.07071092,-1.2089701,2.1581204,0.5972708,0.694846,-0.28632864,0.26010618,0.24244645,2.9156408,0.54925996,-1.1564062,-0.43275014,-0.34731904
1,-0.92295206,-0.92409486,0.2839006,1.0508859,-1.3325034,-0.14472283,0.94878983,-0.20894699,-0.40724924,-0.5011431,0.4474887,-0.2772089,-0.53854436,0.18847343,-0.053447396,2.68011,-0.62327105,-0.175733,0.74019444
1,-0.5343526,-0.85247874,-1.4440986,-0.52357155,-1.6236856,-0.6045856,0.09434604,-0.80778915,-1.5152009,-0.20686437,-0.27908748,-0.57499045,-1.346625,-0.26450247,-0.30642265,0.6307613,-0.84715945,-0.4770396,-0.62634414
1,-0.81073684,-0.8460414,-1.016731,-1.0225613,-0.2671959,-0.7412628,1.2378988,-0.26332405,-1.7510675,-1.2743207,-1.2503847,-0.42121232,-1.1352588,-0.552145,-0.026958989,1.682179,-0.6331737,-0.3820536,0.7926011
1,-1.0871663,-0.27402112,-1.3885566,-0.21456857,-0.93754226,0.53836226,0.1622946,0.19529486,-0.5717369,0.13476197,-0.20500647,-0.56673527,-1.1809491,-0.7740974,0.10186035,1.4924626,0.85647166,-0.056022797,-0.70832103
1,0.2055469,-0.6030076,-1.4701992,-0.77771795,-1.0471281,-0.7403432,0.5532375,-0.86184,-1.4953705,-1.3704616,-1.1900865,-0.62459916,-1.4022982,-0.8019851,-0.2703808,0.7088888,-0.72435266,-0.46381602,-0.9738807
