Aug_8,Label,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63
MO-373-E271,588271 (Riparia parent),840.25,569,849,568.5,858,572.5,856,575.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941,673,1028.5,584.5,1012.5,567.5,1046.5,520.5,1028.5,379.5,985.5,390.5,963.5,352.5,NA,NA,910.167,1713.5,924.833,1713.167,940.5,1719.833,932.167,1726.833,1008.5,1769.5,1020.5,1770.5,1016.5,1758.5,1060.167,1653.833,1071.5,1646.5,1062.167,1643.167,929.5,1541.833,942.833,1535.833,940.833,1544.5,1124.833,1953.167,1362.167,1762.5,1318.167,1725.167,1406.167,1590.5,1302.167,1226.5,1207.5,1329.167,NA,NA,NA,NA,965.167,3051.5,975.833,3050.167,991.167,3059.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1256.833,3018.833,1296.833,2925.5,1212.833,2669.5,1155.5,2710.833,1078.167,2682.833,NA,NA
MO-374-E98,E98,870.5,757.25,880.75,756.75,890.25,761.5,887.75,767.5,918,768,922.333,767.5,920,764.833,923.25,714,932,715.25,928.75,719.75,878.5,678.167,887.167,674.167,887.167,680.833,993.5,804.5,1031.5,755.5,1020.5,739.5,1041.5,686.5,1017.5,592.5,982.5,595.5,961.5,561.5,876.5,498.5,1029.167,1959.5,1046.5,1960.833,1093.167,1955.5,1082.5,1971.5,1213.5,1970.5,1210.5,1980.5,1220.5,1980.5,1239.5,1824.5,1257.5,1825.5,1250.5,1836.5,1047.5,1706.5,1063.5,1698.5,1063.5,1710.5,1444.5,2210.5,1708.5,1856.5,1624.5,1826.5,1678.5,1628.5,1489.5,1286.5,1387.5,1346.5,1240.5,1220.5,928.5,1127.5,1024.5,3058.833,1047.167,3053.5,1071.167,3066.833,1077.833,3080.167,1132.5,3072.167,1147.167,3069.5,1137.833,3054.833,1185.833,2877.5,1201.833,2874.833,1199.167,2884.167,991.167,2805.5,1004.5,2792.167,1012.5,2808.167,1467.5,3224.5,1603.5,2832.5,1527.5,2816.5,1543.5,2664.5,1355.5,2332.5,1255.5,2428.5,1079.5,2380.5,867.5,2404.5
MO-380-E105-1,E105,848,722.5,858.5,722,877,718,871.5,727.5,903.5,723.5,911.5,720.5,906,715,900,676.5,910,674.5,908,684.5,848,638.5,857.5,635.5,858.5,642.5,1006.5,757.5,1051.5,653.5,1027.5,647.5,1037.5,591.5,1025.5,503.5,974.5,521.5,945.5,471.5,854.167,436.5,1103.5,1912.5,1118.5,1909.5,1131.5,1916.5,1132.5,1929.5,1211.5,1907.5,1224.5,1903.5,1216.5,1893.5,1219.5,1773.5,1233.5,1771.5,1228.5,1782.5,1074.5,1683.5,1086.5,1674.5,1090.5,1690.5,1555.5,2001.5,1633.5,1653.5,1563.5,1649.5,1493.5,1607.5,1435.5,1267.5,1379.5,1309.5,1293.5,1265.5,1087.5,1013.5,873.5,3017.5,888.5,3015.5,901.5,3025.5,903.5,3036.5,1003.5,3023.5,1015.5,3021.5,1009.5,3013.5,999.5,2883.5,1007.5,2874.5,995.5,2869.5,848.833,2827.833,848.167,2818.5,838.167,2823.833,1301.5,3147.5,1331.5,2775.5,1289.5,2799.5,1265.5,2643.5,1079.5,2538.5,1034.5,2586.5,971.5,2541.5,785.5,2409.5
MO-382-E108-1,E108,716,728.875,726.875,729,745.667,720.667,745,725.833,773.25,733.25,781.75,732.75,775.375,727,792.75,669.5,796.75,677,799.75,672,717.375,646.75,724.375,642.625,724.458,648.042,844.833,808.167,938.167,700.833,922.167,684.167,932.833,611.5,920.833,521.5,873.5,523.5,842,454.25,735.5,359.5,991.5,1929.5,1008.167,1926.5,1025.833,1920.167,1025.167,1930.5,1114.833,1904.5,1122.833,1902.5,1115.833,1896.5,1093.875,1776.5,1101.75,1778.75,1102.875,1774,962.25,1700.25,970.25,1693.5,974,1702,1366.5,1971.5,1407.5,1698.5,1359.5,1702.5,1376.5,1597.5,1224.5,1331.5,1160.5,1390.5,1109.5,1359.5,899.5,1183.5,881.167,2972.167,895.833,2969.833,912.5,2969.5,907.167,2977.167,975.5,2971,982.5,2967.5,977.25,2962.5,981.833,2870.833,977.5,2877.833,971.5,2870.167,870,2825.5,877.5,2822.5,878.5,2829.5,1152.833,3056.833,1224.833,2870.167,1188.833,2848.833,1198.167,2731.5,1043.5,2568.833,1008.833,2592.833,936.833,2602.167,768.833,2534.167
MO-324-E030,E30,2509,1867,2527.5,1868.5,2560.5,1852.5,2560.5,1871.5,2703.5,1815.5,2725.5,1810.5,2709.5,1797.5,2730.5,1631.5,2742.5,1650.5,2748.5,1634.5,2536.5,1518.5,2550.5,1532.5,2554.5,1504.5,3158.5,1962.5,3317.5,1578.5,3221.5,1572.5,3329.5,1311.5,3113.5,894.5,2972.5,1023.5,2900.5,921.5,2476.5,447.5,3655.5,4994.5,3715.5,4967.5,3793.5,4973.5,3799.5,5015.5,4171.5,5018.5,4222.5,5006.5,4189.5,4973.5,4177.5,4400.5,4231.5,4406.5,4207.5,4445.5,3580.5,4034.5,3619.5,4007.5,3631.5,4052.5,NA,NA,5943.5,4381.5,5639.5,4317.5,5687.5,3701.5,5007.5,2621.5,4751.5,2845.5,4715.5,2537.5,3935.5,1457.5,3859.5,7673.5,3910.5,7676.5,3985.5,7682.5,3982.5,7712.5,4309.5,7670.5,4342.5,7667.5,4324.5,7640.5,4270.5,7322.5,4315.5,7322.5,4297.5,7352.5,3829.5,7082.5,3859.5,7052.5,3865.5,7094.5,4855.5,8120.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO-357-E075,E75,3447,1691,3472.5,1692.5,3491.5,1708.5,3480.5,1722.5,3584.5,1757.5,3604.5,1755.5,3592.5,1742.5,3630.5,1581.5,3639.5,1597.5,3648.5,1584.5,3465.5,1498.5,3485.5,1483.5,3487.5,1502.5,3878.5,2014.5,4174.5,1620.5,4054.5,1608.5,4194.5,1436.5,4066.5,980.5,3934.5,1048.5,3858.5,928.5,3482.5,476.5,3583.5,5087.5,3631.5,5081.5,3663.5,5091.5,3671.5,5121.5,3969.5,5137.5,3997.5,5137.5,3981.5,5101.5,3991.5,4715.5,4015.5,4745.5,4029.5,4717.5,3549.833,4454.5,3584.5,4437.167,3587.167,4462.5,4735.5,5800.5,5335.5,4808.5,5151.5,4768.5,5255.5,4280.5,4967.5,3288.5,4711.5,3368.5,4455.5,2984.5,3575.5,2152.5,4376.833,8109.833,4418.167,8101.833,4475.5,8131.167,4464.833,8168.5,4735.5,8248.5,4777.5,8251.5,4759.5,8215.5,4879.5,7789.5,4921.5,7789.5,4903.5,7822.5,4420.5,7459.5,4465.5,7432.5,4456.5,7468.5,5386.5,9191.5,6418.5,7911.5,6250.5,7863.5,6226.5,7127.5,NA,NA,NA,NA,NA,NA,NA,NA
MO-358-E077,E77,2960,1949,2936.5,1951.5,2913.5,1950.5,2914.5,1966.5,2823.833,1943.833,2835.833,1933.833,2836.5,1948.5,2824,1813.5,2840,1815.5,2830,1831,2983.833,1775.833,2981.833,1791.833,2998.5,1787.167,2557.5,2023.5,2477.5,1627.5,2573.5,1691.5,NA,NA,2557.5,1467.5,2685.5,1499.5,2705.5,1383.5,3045.5,1063.5,3660.5,3952.167,3628.5,3949.5,3575.167,3933.5,3581.833,3958.833,3374.5,3955,3390,3953,3381.5,3940.5,3276.833,3708.5,3284.833,3718.167,3294.167,3704.167,3622.5,3543.833,3595.833,3537.167,3598.5,3554.5,3084.5,4376.5,2512.5,4068.5,2604.5,3968.5,2500.5,3564.5,2796.5,3020.5,2964.5,3020.5,3076.5,2820.5,3476.5,2484.5,3804.5,7319.5,3748.5,7303.5,3612.5,7223.5,3596.5,7283.5,3340.5,7183.5,3372.5,7215.5,3384.5,7167.5,3461.5,6625.5,3469.5,6596.5,3501.5,6617.5,4077.5,6774.5,4099.5,6753.5,4116.5,6798.5,2109.5,7510.5,2072.5,6002.5,2282.5,6089.5,2696.5,5256.5,NA,NA,NA,NA,NA,NA,NA,NA
MO-453-E190a,E190,3831,1726.5,3845.5,1717.5,3814,1733.5,3818,1743.5,3743,1773,3732,1774.5,3736,1763.5,3671.5,1637.5,3664.833,1629.833,3675.5,1625.167,3814,1526,3814.25,1538.75,3829.25,1532.5,3603.5,1966.5,3324.5,1771.5,3366.5,1726.5,3276.5,1579.5,3330.5,1180.5,3459.5,1207.5,3522.5,1069.5,3927.5,760.5,3562.5,4272.167,3511.833,4284.167,3478.5,4325.5,3486.5,4357.5,3207.5,4507.5,3237.5,4495.5,3215.5,4475.5,3007.5,4083.5,3023.5,4107.5,3039.5,4075.5,3485.5,3829.5,3487.5,3855.5,3519.5,3841.5,2786.5,5187.5,2036.5,4503.5,2204.5,4383.5,1964.5,4029.5,2078.5,2841.5,2498.5,2979.5,2642.5,2655.5,3638.5,2133.5,3457.167,7288.167,NA,NA,NA,NA,NA,NA,3181.167,7414.167,3163.833,7399.5,3157.167,7421.5,2979,7064.5,2991,7076.5,2997,7060.5,3464.5,6783.5,3465.167,6802.167,3483.167,6790.167,2908.5,7918.5,2272.5,7561.5,2362.5,7411.5,2179.5,6880.5,2332.5,6028.5,2602.5,6106.5,2872.5,5869.5,NA,NA
MO-465-E205,E205,2598,1552,2625,1554,2676.75,1532.5,2670.25,1544,2787.5,1563.5,2802.5,1563.5,2793.5,1552.5,2811.5,1385.5,2826.5,1384.5,2820.5,1395.5,2612.5,1338.5,2626.5,1329.5,2626.5,1344.5,3133.5,1776.5,3373.5,1359.5,3289.5,1343.5,3313.5,1175.5,3121.5,755.5,3005.5,847.5,2989.5,739.5,2521.5,343.5,3889.833,4412.5,3929.833,4419.167,3969.833,4439.167,3967.167,4472.5,4180.5,4532.5,4180.5,4532.5,4208.5,4535.167,4199.167,4505.833,4249.833,4111.167,4281.833,4116.5,4268.5,4132.5,3856.5,3729.5,3889.5,3720.5,3892.5,3744.5,4783.5,5533.5,5739.5,4402.5,5743.5,3775.5,5175.5,2650.5,4927.5,2810.5,4567.5,2314.5,NA,NA,3700.167,7751.167,3737.5,7748.5,3786.833,7780.5,3772.167,7813.833,4086.833,7976.5,4118.833,7983.167,4108.167,7949.833,4356.167,7428.5,4382.833,7441.833,4365.5,7467.167,3717,7080.5,3749,7072.5,3748,7095,4565.5,8855.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO-346-E060,E60,3022,2145,3043.167,2146.167,3061.833,2156.833,3057.833,2174.167,3200.5,2195.5,3213.333,2193.167,3205,2181.5,3238.25,1969,3253.5,1971.25,3244.5,1982,3040.5,1825.5,3057.5,1819.5,3056.5,1836.5,3545.5,2445.5,3827.5,2028.5,3725.5,2001.5,3803.5,1800.5,3599.5,1359.5,3473.5,1443.5,3392.5,1293.5,3179.5,963.5,3813.5,5386.5,3857.5,5386.5,3941.5,5390.5,3929.5,5418.5,4239.833,5490.167,4271.833,5486.167,4253.167,5459.5,4407.5,4929.5,4434.5,4933.5,4422.5,4954.5,3825.833,4644.5,3860.5,4641.833,3865.833,4671.167,5104.5,6164.5,5630.5,5080.5,5406.5,5024.5,5614.5,4600.5,5246.5,3648.5,4974.5,3792.5,4790.5,3568.5,3910.5,2704.5,3351.167,7582.5,3372.5,7581.167,3409.833,7579.833,3400.5,7593.167,3542.5,7627.5,3554.5,7627.5,3548.5,7617.5,3590.5,7431.5,3594.5,7442.5,3601.5,7436.5,3398.5,7276.5,3416.5,7270.5,3413.5,7280.5,3726.5,7870.5,4014.5,7627.5,3960.5,7588.5,4092.5,7360.5,3993.5,6952.5,3843.5,6982.5,3741.5,6814.5,NA,NA
