Aug_24,Label,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,Y63
MO_630,E34,1013.833,608.5,1005.167,601.5,1005.167,617.167,1009.167,625.5,1015.5,702.5,1019.167,695.5,1010.5,698.167,925.833,710.167,932.167,707.167,923.5,702.833,871.167,628.833,879.5,630.5,873.167,620.833,1098.5,865.5,924.5,962.5,913.5,913.5,834.5,946.5,649.167,877.167,681.167,814.5,619.833,769.167,492.5,653.5,1411.5,1674.5,1402.5,1673.5,1416.5,1706.5,1421.5,1732.5,1440.5,1564.5,1440,1575,1432.5,1563,1289.167,1512.833,1293.833,1518.167,1287.167,1525.833,1189.5,1706.5,1198.25,1707,1195,1719.75,1750.5,1320.5,1376.5,994.5,1330.5,1086.5,1154.167,980.833,721.5,1203.5,790.5,1326.5,660.167,1414.5,457.5,1729.5,986,2825.5,978.5,2828,984,2848,983,2858,983.5,2762.5,985,2769,976,2767,894.5,2760.833,901.167,2765.167,896.5,2769.833,864.833,2859.833,873.5,2857.833,873.833,2867.167,1079.167,2618.833,868.5,2485.5,868.5,2544.167,767.167,2537.5,575.5,2645.5,637.5,2713.5,565.5,2777.5,NA,NA,NA
MO_631,E35,1179,582,1168.5,583.5,1165,588,1167,599.5,1179,528.5,1182.5,536,1173,532.5,1062,475,1070,480,1061.5,486.5,974.5,574,983,575,981,585,1263.5,280.833,1079.5,188.833,1060.833,215.5,975.5,176.833,NA,NA,NA,NA,784.5,333.5,600.5,441.5,1462.5,1790.833,1448.5,1790.167,1441.167,1777.5,1435.167,1760.167,1462.5,1882.5,1470,1873,1455,1870.5,1308.167,1934.5,1316.5,1929.167,1306.167,1924.5,1176.5,1790,1186.5,1790.5,1180.5,1777,1672.5,2211.5,1309.5,2346.5,1300.5,2289.5,1222.5,2334.5,835.5,2307.5,883.5,2169.5,786.5,2105.5,475.5,1766.5,1348.5,2852.5,1339,2852,1334,2857.5,1338.5,2866.5,1352.5,2777,1354,2785,1343.5,2780.5,1250.5,2763.5,1258,2769.5,1248.5,2774,1145.5,2863.5,1155.5,2864.5,1155.5,2876,1490.833,2545.5,1252.167,2405.5,1237.5,2457.5,1133.5,2422.833,836.5,2478.5,876.5,2578.5,798.5,2626.5,520.5,2964.5,2964.5
MO_632,E39,872.75,599.25,867.75,600.75,865.75,590,864.75,583.75,872.167,632.5,875.5,627.833,867.5,627.833,816.5,654,821.5,649,816.5,643.5,789,597.75,796.75,599.5,796,591.5,943.5,709.833,843.5,793.833,831.5,777.167,778.833,801.833,656.5,759.5,682.5,719.5,637.5,708.5,545.5,574.167,1168.5,1711,1159.5,1711.5,1170.5,1733.5,1168,1747.5,1152.5,1616.167,1155.833,1627.5,1147.833,1624.833,1047.167,1622.167,1053.833,1626.167,1048.5,1634.167,949.167,1745.167,957.167,1745.167,954.167,1754.167,1278.167,1402.5,1039.5,1257.167,1026.167,1306.5,907.5,1283.5,612.833,1416.833,692.833,1508.833,641.5,1636.5,529.5,1740.5,NA,NA,NA,NA,NA,NA,NA,NA,1030.5,2798.25,1030.25,2807,1024.25,2801.5,914.5,2765.5,920.75,2769.25,914.25,2774.75,796.833,2879.833,803.5,2880.5,799.5,2887.167,1157.833,2627.833,965.833,2539.833,951.167,2606.5,859.167,2562.5,660.5,2627.5,682.5,2679.167,611.833,2740.5,NA,NA,NA
MO_633,E43,969,663,963,662.5,970,644.5,970,632.5,954.5,708,960,702.5,950.5,700.5,893.5,697,899.5,698,894.5,691,867.5,622,877,624.5,874,618.5,991,859.5,832,883,836,847.5,807.833,865.167,605.5,765.5,662.5,722.5,604.5,672.833,551.167,451.5,1247.833,1778.167,1239.5,1779.5,1247.5,1758.833,1248.5,1748.167,1226.5,1854.833,1229.5,1845.5,1222.167,1844.167,1110.833,1866.167,1119.5,1863.5,1112.167,1858.5,1030.5,1735.5,1036.833,1736.833,1031.5,1728.5,1348.5,2034.5,1143.5,2152.5,1123.5,2113.5,988.5,2140.5,729.5,1990.5,780.167,1928.167,717.5,1870.833,604.167,1654.833,1339.5,2894.167,1328.833,2894.167,1317.5,2898.833,1316.167,2912.833,1349.5,2773.5,1351.5,2782.167,1342.167,2780.833,1186.833,2715.5,1197.5,2722.833,1187.5,2728.167,1039.833,2875.167,1047.833,2873.167,1046.167,2885.167,NA,NA,1265.5,2292.5,1233.5,2367.167,NA,NA,NA,NA,NA,NA,649.5,2687.5,475.5,2931.5,2931.5
MO_634,E41,1056.5,668.5,1047,670,1056.5,648,1069.5,637,1067.5,743.833,1067.5,736.167,1057.167,742.167,982.167,740.5,988.167,735.5,981.167,733.167,917.833,650.5,925.167,650.167,922.5,641.833,1228.5,875.833,1012.5,1047.833,999.167,997.167,891.167,1031.833,620.833,948.167,663.5,892.167,608.833,856.167,502.167,637.5,1514.5,1782.5,1501.5,1779.5,1496.5,1806.5,1497.5,1824.5,1548,1634.5,1549,1644.5,1539,1639,1339.5,1587,1348.5,1591.5,1337.5,1596.5,1202,1772.5,1215.5,1771.5,1209.5,1784.5,1837.5,1324.5,1387.5,1063.167,1364.833,1143.167,1131.5,1049.5,713.5,1273.167,829.5,1393.167,678.5,1471.5,462.5,1783.5,911.833,2898.167,905.833,2896.167,903.5,2906.833,905.833,2916.833,923.167,2835.167,922.167,2841.167,914.5,2836.833,837.833,2812.167,844.833,2818.167,837.5,2820.833,778.167,2906.833,785.167,2907.167,783.5,2914.167,1028.833,2750.167,890.167,2620.833,866.167,2648.833,773.5,2622.5,608.5,2692.5,633.5,2741.5,585.5,2775.5,490.5,2892.5,2892.5
MO_635,E44,819.833,537.833,815.167,538.167,812.5,523.5,814.833,515.833,824.5,574.5,824.833,568.167,817.833,571.167,767.833,584.167,773.833,579.833,768.833,576.167,723,526.667,728.667,527.333,726,522,878.833,666.833,773.5,724.167,766.167,704.167,703.5,722.167,592.5,647.833,620.5,621.167,582.5,593.833,501.5,517.5,1336.5,1730.5,1328,1723,1339,1758,1341.5,1773,1342.833,1627.5,1345.5,1635.167,1333.833,1632.5,1192,1598,1200,1605.5,1192,1611.5,1097.167,1756.167,1107.5,1757.5,1103.5,1765.5,1508.167,1341.5,1212.833,1198.167,1192.833,1259.5,1066.167,1220.833,706.5,1383.5,796.5,1465.5,710.5,1545.5,529.167,1860.167,1001.75,2907.25,994.5,2908.75,999.5,2877.25,1001.5,2868.5,1011.333,2957,1012.5,2949.167,1005.5,2951.333,926,2984.5,932.75,2978.75,924.5,2974.75,884.333,2883.833,891,2883.833,886.333,2876.667,NA,NA,971.5,3195.5,947.5,3164.5,874.167,3192.167,692.5,3145.167,709.833,3081.833,663.5,3015.5,557.5,2835.5,2835.5
MO_636,E45,921,567,909.5,572,903,571,908.5,563.5,929.5,605,929,599.5,922.5,602,870,633.5,876.5,628.5,868,624.5,809.833,569.5,814.833,569,812.5,565,1029.5,708.5,904.5,821.5,894.5,799.5,827.5,827.5,680.5,784.5,696.5,735.5,642.5,715.5,505.5,584.5,1125.5,1664,1118.5,1666.5,1115.5,1654,1117,1644.5,1141,1743.5,1140,1734.5,1132,1740,1035,1773.5,1040,1767,1032.5,1762.5,961.75,1651,968.5,1652,964.75,1643.5,1326.167,1913.833,1082.5,2106.5,1054.5,2048.5,938.5,2096.5,680.5,2003.5,723.167,1908.5,643.167,1807.167,554.5,1557.5,1111,2819.5,1103,2819.5,1100,2808.5,1103,2799,1104,2896.5,1106,2888.5,1095,2890,956.167,2893.5,963.833,2892.5,958.833,2884.833,937.25,2741.5,942.75,2745.75,945.25,2737,1191.833,3105.833,876.5,3186.5,867.5,3126.5,720.5,3088.5,580.5,2859.5,660.5,2805.5,658.5,2683.5,765.5,2593.5,2593.5
MO_637,E46,973.167,584.5,966.5,563.167,961.833,586.5,970.5,594.167,985.167,508.167,986.5,519.5,977.167,514.833,908.5,503.5,915.167,506.833,909.833,513.5,851.167,590.167,860.5,590.167,855.833,596.833,1089.167,425.5,951.833,297.5,938.5,336.167,833.833,308.167,660.5,418.5,688.5,466.5,666.5,492.5,634.167,581.167,1307,1783,1302.5,1779,1305,1760.5,1303,1747,1308.5,1884.5,1308.5,1877,1300,1881.5,1154.5,1909.5,1162.5,1901.5,1153.5,1896.5,1054.5,1766.5,1061,1766.5,NA,NA,1512.5,2049.5,1254.5,2291.5,1219.5,2206.5,1050.167,2277.5,731.5,2145.5,778.167,2036.167,711.5,2002.167,444.833,1802.5,867.833,2861.167,858.833,2863.5,862.833,2845.833,868.167,2836.167,881.5,2905.167,878.167,2897.5,872.5,2903.833,820.5,2927.167,825.167,2919.5,817.833,2917.833,755.833,2872.333,762.833,2871.167,757.667,2863.833,1007.5,2959.5,915.5,3112.5,896.5,3086.5,826.5,3153.5,602.5,3126.5,618.5,3057.5,575.5,3032.5,458.5,2915.5,2915.5
MO_638,E47,939.167,573.833,933.167,572.167,934.833,591.5,934.167,600.5,949.5,531.167,949.5,536.167,942.833,532.5,887.833,518.833,893.5,524.167,888.833,527.167,837.75,586.5,845.25,586,841.25,593.75,1041.5,489.833,952.833,341.167,930.167,365.833,819.5,331.5,683.5,408.833,698.167,439.167,650.833,486.5,563.5,629.5,1384.833,1706.167,1373.5,1711.5,1367.5,1692.167,1369.5,1681.5,1388.833,1797.5,1388.833,1788.167,1376.167,1795.5,1240,1840,1248,1834.5,1239.5,1829.5,1129.75,1678.5,1137.5,1680.25,1133.5,1670.25,1667.5,2071.5,1209.5,2313.5,1203.5,2217.5,1056.5,2256.5,710.5,2078.5,783.5,1955.5,698.167,1887.5,530.5,1641.5,1117,2845,1108,2842,1115.5,2818,1115,2809,1111.5,2907.5,1113,2900.5,1104.5,2901.5,986.5,2908.833,994.167,2906.833,986.167,2900.5,928.167,2771.167,933.5,2773.167,930.5,2763.5,1219.5,3105.833,992.833,3193.833,970.167,3147.167,838.5,3154.5,630.5,2971.5,678.5,2917.5,631.5,2816.5,NA,NA,NA
MO_639,E48,1026.167,666.5,1019.833,659.833,1016.167,684.833,1011.167,694.5,1049.5,610.833,1046.167,618.167,1041.833,613.5,979.5,598.167,984.833,603.833,978.833,607.5,916,660.5,924.25,660.75,923.5,669.75,1150.5,517.5,1027.5,391.5,1014.5,419.5,928.5,379.5,737.167,474.167,771.833,513.5,722.5,536.5,608.5,712.5,1270.5,1708.5,1263,1712.5,1271,1738.5,1273,1749.5,1276,1610.5,1275,1620.5,1267.5,1614.5,1130.167,1590.167,1136.5,1595.833,1129.833,1601.5,1053.833,1750.5,1063.833,1749.833,1060.833,1758.833,1464.5,1415.833,1175.167,1225.5,1151.167,1290.833,956.5,1244.5,683.5,1466.5,752.5,1523.5,681.5,1578.5,519.5,1779.5,1051.5,2786.5,1045.5,2790.167,1040.5,2797.5,1040.833,2805.167,1048.833,2754.167,1050.5,2760.5,1042.167,2758.5,973,2734.75,979.25,2738.5,975.5,2742.75,902,2808.25,908,2808,906.25,2812.75,1152.5,2669.5,993.5,2563.5,989.5,2601.5,912.5,2567.5,775.5,2576.5,800.5,2660.167,739.167,2685.5,568.5,2811.5,2811.5
