Label,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63
MO_320,MO_320,E26,2719.833,2711.5,2729.167,2745.167,2649.833,2658.167,2655.5,2615.5,2618.833,2622.5,2710.5,2709.833,2720.833,2537.167,2448.5,2472.833,2423.833,2457.833,2518.5,2563.5,2757.167,2856.5,2862.5,2945.5,2988.5,2639.5,2669.5,2658.5,2534.5,2547.5,2561.5,2889.5,2883.5,2918.5,1876.5,1518.5,1727.5,1589.5,1985.5,2197.5,2383.5,3219.5,3130.167,3127.5,3152.833,3183.5,2966.167,2988.167,2982.167,2864.167,2874.833,2886.167,3153.5,3154.833,3178.833,2604.167,2180.833,2287.5,2158.833,2410.167,2551.5,2716.833,2987.5,1729.833,1722.833,1720.167,1717.5,1744.167,1744.833,1738.833,1651.833,1657.167,1649.833,1591.833,1597.167,1595.167,1836.167,1709.167,1686.5,1585.167,1426.5,1443.5,1334.167,1228.833,4871.5,4850.5,4876.5,4868.5,4845.5,4846.5,4822.5,4493.5,4507.5,4491.5,4311.5,4331.5,4330.5,5346.5,4454.5,4473.5,4173.5,3301.5,3457.5,3229.5,2589.5,7337.833,7319.167,7308.5,7299.167,7348.5,7355.167,7335.167,7029.167,7042.5,7028.5,6802.5,6818.5,6807.833,7583.5,7159.5,7082.167,6837.833,6222.833,6360.167,6062.5,5751.833
MO_321,MO_321,E27,4602,4585.5,4678.5,4733.5,4437.833,4481.833,4451.167,4230.5,4256.5,4266.5,4549.5,4558,4598,4156.5,3502.5,3592.5,3394.5,3412.5,3622.5,3754.5,4258.5,6086.5,6068.5,5962.5,5886.5,6752.5,6692.5,6714.5,6817.5,6787.5,6742.5,6253.5,6247.5,6187.5,7755.5,9030.5,8622.5,8958.5,8142.5,7932.5,8146.5,7330.5,6280.5,6268.5,6076.5,5980.5,6983.5,6947.5,6932.5,7097.5,7085.5,7034.5,6212.5,6210.5,6158.5,8522.5,9290.5,9014.5,8762.5,7154.5,6940.5,7443.5,6663.5,3322,3291.5,3285.5,3273.5,3386.167,3376.833,3358.167,3117.5,3136.5,3100.5,2839,2882,2851.5,3906.833,3441.5,3369.5,3123.5,2331.5,2373.5,2097.5,1239.5,10978.5,10900.5,10898.5,10880.5,11034.5,11028.5,10992.5,10303.5,10327.5,10285.5,9211.5,9253.5,9220.5,12311.5,10766.5,10526.5,9602.5,7622.5,7692.5,7722.5,5914.5,17514.5,17436.5,17508.5,17520.5,17501.5,17510.5,17456.5,16247.5,16295.5,16265.5,16278.5,16326.5,16286.5,18412.5,15635.5,15563.5,14675.5,15923.5,16129.5,15222.5,14382.5
MO_322_E028,MO_322,E28,2867,2859.5,2881,2901.5,2766,2777,2771.5,2759.5,2765.5,2771.5,2873,2874,2888,2518.5,2288.5,2346.5,2276.5,2464.5,2564.5,2618.5,2974.5,3593,3591,3637,3697,3217,3253,3233,3034,3042,3067.5,3714.667,3708.667,3743.333,2414,1454,1702,1538,2394,2758,3110,3970,3546.5,3522.5,3490.5,3447.5,3828.5,3799.5,3810.5,4005.5,4000.5,3984.5,3473.5,3475.5,3442.5,4335.5,4907.5,4759.5,5113.5,4557.5,4325.5,4057.5,3433.5,1754,1739.5,1741,1739,1752.5,1752,1742,1634.5,1644,1636,1478,1488,1485.5,1976,1674,1652,1452,1028,1106,1002,788,4882.5,4844.5,4830.5,4822.5,4862.5,4868.5,4840.5,4279,4298.5,4278,4004.833,4032.833,4022.833,5797.5,4301.5,4241.5,3457.5,2290.5,2722.5,2360.5,1686.5,8286.5,8272.5,8254.5,8254.5,8267.5,8276.5,8253.5,7788.5,7802.5,7784.5,7502.5,7523.5,7514.5,8818.5,8066.5,7958.5,7362.5,6386.5,6618.5,6382.5,6486.5
MO_327,MO_327,E33,4687.5,4691,4725,4781,4511,4549,4539,4471,4487,4519,4765,4763,4817,3905,3447,3641,3575,3917,4107,4205,4811,6762.5,6790.5,6718.5,6618.5,7653.5,7563.5,7581.5,7503.5,7455.5,7413.5,6519.5,6531.5,6435.5,9572.5,10652.5,10136.5,10172.5,9296.5,8708.5,8000.5,6500.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2959.5,2907,2875,2895,2955,2963,2927,2651,2677,2647,2393,2427,2409,3393,2635,2619,2201,1495,1713,1429,639,11753.5,11661.5,11625.5,11649.5,11638.5,11650.5,11584.5,10798.5,10870.5,10816.5,9826.5,9886.5,9856.5,13247.5,10199.5,10139.5,9047.5,7139.5,7583.5,7079.5,6995.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO_342,MO_342,E52,4645,4631.167,4561.833,4520.5,4769.833,4745.833,4753.833,4909.833,4895.167,4868.5,4516.5,4519.167,4465.833,5683.5,5906.5,5762.5,5750.5,5336.5,5162.5,4988.5,4639.5,7659.5,7683.5,7455.5,7357.5,8195.5,8153.5,8175.5,8811.5,8787.5,8743.5,7525.833,7524.5,7451.167,9799.5,11023.5,10927.5,11623.5,10991.5,10031.5,9503.5,6783.5,6599.5,6611.5,6731.5,6830.5,5816.5,5881.833,5877.833,5963.5,5991.5,6047.5,7451.5,7419.5,7507.5,3851.5,3431.5,3743.5,5561.5,5783.5,6311.5,7103.5,8671.5,3811,3776.167,3834.833,3838.833,3776.167,3782.833,3745.5,3354.833,3380.167,3348.167,3248.833,3282.167,3268.833,3959.5,3053.5,3053.5,2687.5,2171.5,2309.5,2045.5,1279.5,11382.5,11312.5,11350.5,11352.5,11652.5,11654.5,11588.5,10555.5,10583.5,10519.5,9866.833,9925.5,9904.167,13547.5,11931.5,11403.5,10297.5,7461.5,8005.5,6921.5,5305.5,18898.5,18850.5,18862.5,18874.5,18616.834,18647.5,18580.834,17363.5,17395.5,17363.5,16922.5,16982.5,16986.5,19079.5,17609.5,17531.5,17219.5,13301.5,13901.5,13424.5,14063.5
MO_343,MO_343,E56,4548,4518.5,4556.5,4610.5,4346.5,4379.5,4356.5,4257.5,4279.5,4302.5,4518.5,4516.5,4563.5,3925.5,3325.5,3449.5,3193.5,3377.5,3605.5,3693.5,4365.5,6578.5,6638.5,6773.5,6875.5,5921.5,6002.5,5984.5,5969.5,5987.5,6047.5,6812.5,6812.5,6902.5,4223.5,3413.5,3371.5,3194.5,4052.5,4664.5,5739.5,8435.5,6429.5,6615.5,6399.5,6291.5,7161.5,7065.5,7125.5,7347.5,7293.5,7257.5,6501.5,6501.5,6417.5,8961.5,10425.5,9951.5,10245.5,8799.5,7917.5,7275.5,7389.5,3623,3588.5,3579.5,3591.5,3654.5,3652.5,3622.5,3389.5,3419.5,3392.5,3161.5,3196.5,3165.5,4175.5,3699.5,3607.5,3287.5,2323.5,2451.5,2211.5,1379.5,11485.5,11446.5,11485.5,11461.5,11338.5,11368.5,11302.5,10543.5,10591.5,10552.5,9922.5,9979.5,9949.5,12928.5,10924.5,10429.5,9352.5,6832.5,7192.5,6799.5,6191.5,18043.5,17929.5,17941.5,17929.5,18049.5,18061.5,17977.5,17197.5,17257.5,17191.5,16285.5,16333.5,16285.5,19481.5,17369.5,17159.5,15935.5,13487.5,13991.5,13619.5,12791.5
MO_344,MO_344,E57,4722,4713.833,4679.167,4627.167,4911.5,4881.5,4889.5,5065.5,5045.5,5019.5,4731.5,4731.5,4669.5,5567.5,5967.5,5791.5,5929.5,5669.5,5457.5,5401.5,4645.5,5521.5,5523.5,5479.5,5423.5,5969.5,5933.5,5945.5,6057.5,6033.5,6009.5,5493.5,5497.5,5453.5,7033.5,7825.5,7585.5,7657.5,6565.5,6349.5,6097.5,5461.5,4906.5,4891.5,4948.5,5011.5,4497.5,4533.5,4529.5,4521.5,4521.5,4577.5,5225.5,5209.5,5261.5,3633.5,3337.5,3577.5,3793.5,4613.5,4805.5,5221.5,5717.5,3535,3485.833,3455.167,3464.5,3536.5,3536.5,3512.5,3212.5,3232.5,3202.5,3044.5,3068.5,3056.5,3844.5,3248.5,3232.5,2966.5,2168.5,2368.5,2185.5,1369.5,11265.5,11211.5,11195.5,11199.5,11381.5,11381.5,11349.5,10813.5,10841.5,10797.5,10361.5,10401.5,10381.5,12113.5,10685.5,10685.5,9869.5,9293.5,9293.5,9317.5,9185.5,17364.5,17325.5,17331.5,17322.5,17264.5,17280.5,17240.5,16602.5,16646.5,16642.5,16514.5,16550.5,16558.5,17420.5,16274.5,16274.5,15590.5,14978.5,15210.5,15074.5,14990.5
MO_345,MO_345,E58,4548,4504.5,4541.5,4598.5,4381.5,4422.5,4403.5,4209.5,4225.5,4254.5,4482.5,4478.5,4520.5,4042.5,3517.5,3637.5,3409.5,3610.5,3745.5,3856.5,4246.5,4762.5,4798.5,4744.5,4669.5,5167.5,5107.5,5113.5,5407.5,5383.5,5341.5,4804.5,4798.5,4741.5,5983.5,6829.5,6601.5,6901.5,6388.5,6028.5,5860.5,4456.5,5911.5,5899.5,5833.5,5740.5,6238.5,6196.5,6166.5,6184.5,6169.5,6112.5,5314.5,5326.5,5248.5,7894.5,8134.5,7746.5,7714.5,6915.5,6123.5,5655.5,5157.5,4073,4045.5,4011.5,3989.5,4099.5,4099.5,4074.5,3824.5,3847.5,3819.5,3513.5,3556.5,3535.5,4434.5,4092.5,4002.5,3717.5,2871.5,2952.5,2607.5,1998.5,11766.5,11709.5,11667.5,11661.5,11757.5,11760.5,11715.5,11172.5,11208.5,11163.5,10749.5,10794.5,10770.5,12285.5,11421.5,11340.5,10584.5,8910.5,9201.5,8799.5,7329.5,17373.5,17286.5,17298.5,17343.5,17172.5,17208.5,17145.5,16398.5,16452.5,16413.5,15960.5,16017.5,16026.5,17347.5,15551.5,15655.5,14891.5,13681.5,14095.5,14329.5,12823.5
MO_399,MO_399,E127,3006,2992.5,3034.5,3059.5,2863.5,2877.5,2869.5,2853.5,2860.5,2871.5,3036.5,3034.5,3051.5,2575.167,2415.5,2492.833,2413.833,2587.167,2680.5,2731.167,3060.833,3501.5,3477.5,3525.5,3585.5,3235.5,3204.833,3222.167,3071.833,3086.5,3099.833,3513.167,3510.5,3547.833,2279.5,1775.5,1919.5,1771.5,2179.5,2507.5,2635.5,3491.5,3167.167,3156.5,3187.167,3227.167,2926.167,2948.833,2931.5,2907.5,2912.833,2931.5,3284.833,3283.5,3301.5,2504.5,2124.5,2244.5,2176.5,2616.5,2874.5,3014.5,3512.5,1640,1625.5,1624.5,1628.5,1644.5,1646.5,1631.5,1474.5,1487.5,1478.5,1361.5,1377.5,1369.5,1791.167,1457.167,1455.833,1265.833,869.833,981.833,856.5,477.167,4875.5,4839.5,4819.5,4819.5,4938.5,4943.833,4921.167,4518.833,4537.5,4512.167,4130.833,4150.833,4152.167,5637.5,4593.5,4521.5,4065.5,3017.5,3189.5,2913.5,2105.5,7356.167,7332.167,7329.5,7334.833,7405.5,7397.5,7381.5,7046.833,7066.833,7052.167,6854.833,6864.167,6864.833,7916.5,7272.5,7176.5,6778.5,6128.5,6244.5,6120.5,6048.5
MO_400,MO_400,E128,3190,3187.5,3162.167,3139.5,3292.833,3281.5,3282.167,3311.5,3307.5,3297.5,3160.5,3161.167,3141.167,3606.5,3748.833,3680.833,3747.5,3577.5,3479.5,3423.5,3120.5,3420.167,3405.5,3336.167,3294.5,3745.5,3727.5,3718.5,3688.167,3687.5,3663.5,3270.5,3275.5,3240.5,4829.5,4720.5,4570.5,4492.5,3544.5,3484.5,3052.5,3055.5,3282.5,3262.5,3008.5,2972.5,3408.5,3392.5,3386.5,3566.167,3566.167,3546.167,3057.5,3062.833,3030.167,4276.5,4592.5,4400.5,4214.5,3788.5,3602.5,3362.5,2648.5,1577,1563.5,1568.167,1568.167,1555.5,1560.167,1548.833,1406.833,1414.167,1404.833,1276.833,1284.167,1282.833,1707.5,1376.833,1367.5,1196.5,900.5,994.5,850.5,498.833,4490.833,4464.167,4496.167,4500.5,4410.5,4428.5,4398.5,3859.833,3875.167,3866.5,3732.5,3754.5,3758.5,4701.5,3313.5,3377.5,2849.5,2360.5,2708.5,2645.5,2492.5,7512.5,7548.5,7672.5,7670.5,7508.5,7520.5,7490.5,6913.5,6925.5,6920.167,6792.5,6809.833,6808.5,7855.5,6779.5,6725.5,6275.5,5678.5,5834.5,5603.5,5447.5
