MO_ID,E_ID,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21
MO_634,E41,1056.5,668.5,1047,670,1056.5,648,1069.5,637,1067.5,743.833,1067.5,736.167,1057.167,742.167,982.167,740.5,988.167,735.5,981.167,733.167,917.833,650.5,925.167,650.167,922.5,641.833,1228.5,875.833,1012.5,1047.833,999.167,997.167,891.167,1031.833,620.833,948.167,663.5,892.167,608.833,856.167,502.167,637.5
MO_636,E45,921,567,909.5,572,903,571,908.5,563.5,929.5,605,929,599.5,922.5,602,870,633.5,876.5,628.5,868,624.5,809.833,569.5,814.833,569,812.5,565,1029.5,708.5,904.5,821.5,894.5,799.5,827.5,827.5,680.5,784.5,696.5,735.5,642.5,715.5,505.5,584.5
MO_639,E48,1026.167,666.5,1019.833,659.833,1016.167,684.833,1011.167,694.5,1049.5,610.833,1046.167,618.167,1041.833,613.5,979.5,598.167,984.833,603.833,978.833,607.5,916,660.5,924.25,660.75,923.5,669.75,1150.5,517.5,1027.5,391.5,1014.5,419.5,928.5,379.5,737.167,474.167,771.833,513.5,722.5,536.5,608.5,712.5
MO_641,E50,1035.5,627,1027,624.5,1021,634,1019.5,641.5,1052,574.5,1051.75,580.5,1045.5,578,973,545.333,976.833,550.5,969.167,553.167,882,613.75,889,614.25,885.75,619.75,1190.5,451.833,1036.5,300.5,1009.167,348.5,943.167,297.167,728.5,332.833,746.5,406.167,673.5,442.5,516.5,556.5
MO_642,E52,868,554.5,862,556,860.25,564,861.75,571.5,858,528.25,861.25,534.5,852.75,533,806.667,526.667,813.5,528.667,809.667,533.5,807.375,579.625,812.5,577,812,584,880,413.5,752.833,400.167,756.167,423.5,705,428,610.833,518.833,648.833,549.5,626.833,580.167,602.5,724.5
MO_645,E58,934.5,647.5,928.5,645,922.75,648.75,921.75,655.75,936.25,633.5,937,638.75,930.25,636.25,886,591.25,891.25,596.5,885.667,598,855.5,634.167,861.333,635.167,859.5,640.5,998,544.5,904.167,454.833,896.833,485.833,850.167,449.167,722.5,466,745.5,522,709.5,541.167,558.5,641.5
MO_646,E60,777.75,631.5,774.5,626.25,770.25,633.75,769.5,641.25,791.5,600,791.75,603,785.75,601.5,746.25,591.5,749.5,595.25,745,597.5,709.5,630.5,715.25,630.5,713,637,830.167,564.833,787.5,518.833,778.833,525.5,739.5,513.5,663.5,520.5,659.5,541.5,628,564.5,579,617
MO_649,E63,1117.167,568.833,1109.5,573.5,1106.167,581.5,1109.5,589.833,1117.833,519.5,1119.167,525.167,1111.167,523.167,1022.833,487,1026.5,490.833,1021.833,494.5,984.333,590.833,991.833,591.167,989.167,597.333,1226.167,369.833,1030,261,1014.5,295.5,938,262.5,753.5,332.5,771.5,389.5,712.5,425.833,558.5,592.5
MO_651,E65,944.5,622,936.25,619.25,932.5,609.75,933,602.75,949,662,948.75,655.75,943.75,658,893.5,672,900,667.25,892.25,663.25,843,616.25,849.75,616.125,847.375,610.875,1049.5,734.5,937.5,848.5,917.5,820.5,859.5,856.5,684.833,784.833,713.5,730.833,680.833,710.167,540.833,629.833
MO_652,E67,982.75,571.5,973.5,572.5,974,590.5,973.75,601,991.125,519.25,989.375,525.125,984.375,520.875,923.125,498.25,927.375,502.625,921.875,505.125,876.667,577.167,883.667,578.333,882.333,584.333,1120.167,418.5,970.5,292.833,954.833,323.833,874.833,284.5,687.5,343.5,710.5,387.5,644,422,483.833,595.167
