,V1
1,213.688102573792
2,199.929483641874
3,187.391992359034
4,183.877232601378
5,289.222102345409
6,287.766234216548
7,278.004258140024
8,68.3966455043631
9,77.2982366273538
10,63.7162188809057
11,-133.034035118951
12,-117.68709716907
13,-127.739274508652
14,692.591737825892
15,256.862895369978
16,210.938021271575
17,-25.7628258694601
18,-550.544088292811
19,-451.76887949742
20,-640.708481719139
21,-962.438479182623
22,313.541820061306
23,306.84288194312
24,335.735227667686
25,356.112024449661
26,156.736960501353
27,168.171786026273
28,159.450566251054
29,49.9841430871321
30,57.3302550016196
31,60.0880110476872
32,221.938901740206
33,224.295534956665
34,237.282069527784
35,-115.258284892555
36,-523.174960827254
37,-439.588860325433
38,-604.335733094947
39,-461.909835055471
40,-297.926337582118
41,-249.231487765745
42,43.9153172819761
43,184.754296817703
44,172.874319072171
45,161.305494788476
46,159.572707679787
47,251.646019457249
48,245.482879317546
49,233.167151337481
50,67.9991368727006
51,74.2347892281927
52,58.0800351825645
53,-127.269500727197
54,-114.18593368703
55,-125.246326285453
56,678.760443504078
57,315.645098005382
58,235.669977560618
59,41.9382027255724
60,-484.289278432411
61,-449.946323653897
62,-647.718607291637
63,-932.474581471896
64,293.022593002234
65,285.012621280488
66,306.925745189511
67,325.383847180497
68,151.946453619139
69,168.277550524469
70,154.187503178149
71,45.3265781320421
72,59.8523757128943
73,64.6769467208763
74,239.146355161989
75,240.500414272822
76,254.585185469471
77,-77.7901000446303
78,-553.912541198129
79,-458.955783748996
80,-603.965242951923
81,-553.417538806343
82,-355.631544187618
83,-204.564864724368
84,219.393446217424
85,220.879683067976
86,207.095951290071
87,206.038164102641
88,203.430480911157
89,280.490791538266
90,273.723485552514
91,265.146945762669
92,63.5624703823332
93,70.4922773492747
94,57.1400816270358
95,-139.015742819567
96,-123.067283137055
97,-132.434097919381
98,675.939124376967
99,323.656708349416
100,252.193824989241
101,-27.382403960971
102,-568.893187465517
103,-490.926315956789
104,-630.333965727173
105,-987.736992313105
106,284.490046371276
107,286.825108370995
108,331.553825901406
109,349.756518273618
110,134.462830191003
111,149.543250969106
112,136.277172991915
113,26.8029893564761
114,38.9403099534315
115,44.3098410799062
116,237.192167626591
117,241.358763578191
118,253.837631960991
119,-71.0843124225549
120,-518.686737893195
121,-429.2570708534
122,-602.908676982383
123,-398.719710769048
124,-273.863588183053
125,-225.028381425281
126,4.19802190401219
127,252.612431368672
128,232.719168696019
129,220.185987822243
130,194.142354444329
131,314.58101734779
132,306.469315699323
133,296.220256589593
134,85.7108947418816
135,96.6773813562578
136,77.7630389690035
137,-261.032663488991
138,-246.604746140921
139,-259.963984758358
140,691.199097443555
141,309.972954177593
142,230.837631683572
143,9.61947082706585
144,-534.225980093851
145,-495.260600077954
146,-619.933251809074
147,-901.689774797749
148,294.90284609613
149,295.507701642938
150,312.877615405815
151,336.503938081862
152,122.034215794946
153,137.625612815156
154,127.981409252234
155,72.728718152799
156,80.9209400988512
157,87.7068232886858
158,203.061256825131
159,204.449332535363
160,215.679057116697
161,-150.277800110322
162,-540.207831659365
163,-421.254610119393
164,-553.362008156653
165,-415.834754014012
166,-231.786136760822
167,-156.56925318248
168,-22.6870731035614
169,176.031980788234
170,166.293611409883
171,159.881877323452
172,176.18934547594
173,240.632854476187
174,237.837327378611
175,228.08065978076
176,71.1180718779842
177,76.4287034859501
178,66.318420422911
179,-105.309825514321
180,-91.951589503215
181,-95.9287312450582
182,574.64822871389
183,371.709962481565
184,310.951049567199
185,141.347454486396
186,-452.394755243784
187,-410.987477001996
188,-655.173160268288
189,-1185.7240088923
190,230.78358496247
191,225.969294931797
192,240.573189355422
193,265.600726224374
194,102.151381535214
195,110.666050364446
196,101.803255535877
197,39.3547217833767
198,49.8570465725545
199,52.3318950000435
200,238.532918894396
201,238.067684290254
202,253.875151221548
203,-75.4718399259518
204,-427.052168453315
205,-373.8754703466
206,-516.158456817547
207,-504.838445082824
208,-300.976785463883
209,-223.759682805606
210,272.565948223958
211,242.111485771927
212,222.803449928814
213,201.582878385202
214,198.714074834452
215,267.131031739667
216,267.433829431629
217,245.205659919896
218,71.4037850115026
219,84.9977192223595
220,67.7040154796104
221,-37.5553244342099
222,-15.5059155867927
223,-34.1335204588677
224,567.409748503277
225,182.750998778108
226,142.678387980623
227,-21.7223694610619
228,-516.56018254389
229,-468.522465170629
230,-686.822507025719
231,-981.104780305892
232,300.900756131517
233,294.280852931004
234,306.540886012535
235,334.860790435599
236,222.963812482908
237,244.713416151577
238,236.683912398748
239,44.7694614687315
240,57.632498426557
241,65.4870978641608
242,230.710917269307
243,234.754709536467
244,250.966843559859
245,-153.568085763745
246,-525.280521750093
247,-417.40524019587
248,-559.173146390154
249,-546.00006771786
250,-324.779892194151
251,-275.332574268574
252,-23.7264263885237
253,240.964746166564
254,224.947147596616
255,213.62312570336
256,227.957671849137
257,272.018757810306
258,267.662173202178
259,251.396954692283
260,57.3858734860753
261,65.4497826762213
262,53.3198730713096
263,-125.673792565215
264,-114.310688549742
265,-116.801594345261
266,662.956694124575
267,292.389966935436
268,229.673737105655
269,32.7917937819462
270,-529.911949615417
271,-496.46920278218
272,-666.677725431865
273,-1042.69334491198
274,257.0555358031
275,255.342692669388
276,274.842460837963
277,302.121401794212
278,157.873642536056
279,174.046390829455
280,163.593685857825
281,37.0318654958274
282,47.8772646748549
283,52.1258914780576
284,265.838298451494
285,266.587006062223
286,284.417592120226
287,-137.516149325577
288,-509.09826216149
289,-411.506951102122
290,-547.804960852712
291,-429.36012900256
292,-257.296005847219
293,-147.029606532459
294,-99.1416637865441
295,198.395611841943
296,180.769656268178
297,173.857291090426
298,157.631855366073
299,254.499632732524
300,248.898661037034
301,236.962249674831
302,85.6206387445537
303,90.9564467429047
304,72.0812285092272
305,-71.1785904707198
306,-56.6746019009891
307,-68.5236303928666
308,670.564903819357
309,282.164819057949
310,219.283049771373
311,6.8551102116317
312,-547.470520902357
313,-492.082112170946
314,-616.409995617139
315,-1026.20170341299
316,264.914158959702
317,261.88992996305
318,317.349716951713
319,336.599935523796
320,151.807821476451
321,168.913250941919
322,156.310787701527
323,37.2358711572203
324,50.6504658967704
325,53.8104193773336
326,269.99569375617
327,270.78011993638
328,283.405110927192
329,-70.4153813426798
330,-558.669206992007
331,-459.805128453053
332,-590.683675546989
333,-445.200825529381
