,V1
1,278.893136439862
2,268.385879193802
3,287.740746356697
4,310.716727071534
5,161.957770443999
6,173.179335987296
7,156.110193748227
8,23.6725453781381
9,43.4415661613869
10,41.0676105349252
11,153.830970408107
12,161.994136934353
13,174.551391305067
14,100.746398932944
15,-312.327867934488
16,-280.616912228978
17,-433.564042036684
18,-466.472002797262
19,-339.392892678035
20,-321.034305244086
21,-182.880385976811
22,104.914971191468
23,94.761837553164
24,78.5871821800231
25,72.6816238045616
26,195.441986385902
27,186.983062047891
28,175.909077518125
29,45.2234798253403
30,53.1512187517173
31,35.2823540782832
32,-178.136526184434
33,-164.155052084361
34,-175.048646377035
35,502.697843372241
36,356.848284345244
37,277.77220121225
38,116.094352976311
39,-296.670810201277
40,-297.815650844759
41,-432.462315200881
42,-752.060474349776
43,281.235120543582
44,269.946743019797
45,274.557319605142
46,286.428217766495
47,209.451763112914
48,218.705652516962
49,201.978171854926
50,3.26434693735848
51,14.8854090774136
52,13.9942446803128
53,98.7756726741137
54,103.119541115693
55,113.681934898394
56,165.08990254737
57,-344.714042307173
58,-309.175004348167
59,-486.047914987988
60,-499.484389117939
61,-343.185997474149
62,-247.923217752791
63,-24.5834743622671
64,66.2122327732166
65,59.7804377501146
66,41.8469955212466
67,30.8539703454154
68,169.235045794435
69,159.554617026426
70,152.827469655371
71,46.1479600167393
72,50.9001804071532
73,36.0618097083572
74,-183.539996241684
75,-173.12118660379
76,-183.457913575711
77,535.229268850768
78,395.534560062193
79,303.635959232813
80,131.831932445336
81,-303.854287077301
82,-315.732885131832
83,-489.488591125333
84,-530.457579833929
85,241.388639977624
86,242.883768839382
87,253.29671642411
88,270.082169254808
89,169.262307571492
90,184.60363549495
91,171.478416334465
92,47.211622801267
93,61.8780987514848
94,67.0092916911641
95,129.430950620474
96,135.25928256918
97,143.583477819564
98,97.7589615881872
99,-298.074560770559
100,-220.874094333113
101,-375.417515298298
102,-501.442920420189
103,-295.606959998849
104,-306.367515906321
105,-217.343773010837
106,158.28147032545
107,141.532461383389
108,123.038204123351
109,115.619590361792
110,186.860745758379
111,183.716179007147
112,167.977917244445
113,44.9276372317683
114,54.3453158667729
115,41.8002208034301
116,-185.203352544917
117,-172.07872284808
118,-180.867677437815
119,498.84977982153
120,270.507354047433
121,221.628145806177
122,92.6619216129853
123,-210.508562507774
124,-245.672278647237
125,-403.994263226537
126,-903.422086181685
127,254.583575677981
128,242.736845327873
129,251.777402032489
130,278.87763439171
131,163.744629058838
132,176.580772592296
133,161.793389015384
134,19.890488497897
135,34.9198821276661
136,39.1740075784032
137,144.367410201785
138,151.468415185141
139,161.161170084377
140,125.160288904414
141,-290.3619621283
142,-275.780720474515
143,-445.189932981095
144,-501.084365753451
145,-314.197370769117
146,-297.672468882182
147,-81.949089687589
148,87.1845755329776
149,74.9379141216103
150,57.291897907183
151,88.2739109791281
152,173.108851917576
153,167.08309901045
154,151.206670195686
155,35.6379304545314
156,44.700178737812
157,20.9715519040467
158,-177.815615491961
159,-166.419779170742
160,-176.76409505112
161,523.11213357143
162,414.654683143465
163,311.466355149481
164,163.535942741507
165,-260.551800294336
166,-335.787695245031
167,-455.281654504005
168,-740.545055609691
169,286.803174185885
170,271.589506181703
171,294.957210285237
172,321.237353536855
173,137.023505106887
174,154.813309077862
175,138.283008737634
176,9.37083804712838
177,30.3400488302551
178,38.5345694931463
179,163.102138752732
180,175.11899842431
181,189.796881750516
182,11.9955046074318
183,-266.094979500219
184,-232.885769497888
185,-424.769074310725
186,-425.975242112917
187,-326.516028557436
188,-338.669738257017
189,-208.055214781385
190,121.96031724412
191,108.836175575375
192,86.3220000058303
193,82.7564234207647
194,221.754587982313
195,211.76854534983
196,196.137939629761
197,34.7790936684375
198,44.2425658238391
199,23.2987760535186
200,-221.938877121517
201,-203.937384841938
202,-217.406454341378
203,481.953736289391
204,361.843570964303
205,274.014224095132
206,106.062950962637
207,-232.434739918254
208,-225.813125395145
209,-566.879755962829
210,-687.320569484184
211,282.642376758966
212,278.156598265416
213,278.215723365253
214,294.423087625001
215,230.232746764679
216,249.527295199932
217,240.206617573579
218,48.5062827252668
219,61.5898617576528
220,65.9693552943774
221,140.866297532937
222,152.181749321071
223,157.774014832221
224,-5.79676111043021
225,-328.353298569568
226,-283.598280392155
227,-336.231039105227
228,-473.39323615621
229,-362.150436851118
230,-347.687269349926
231,-343.08168548172
232,148.283840386791
233,134.708254706467
234,112.101986939207
235,97.4544035321127
236,168.736259218687
237,169.022031236052
238,146.828232729936
239,59.9014086598318
240,70.0202772384409
241,53.5433297262291
242,-107.732827242313
243,-89.9206340339476
244,-113.823434684479
245,431.563598502045
246,244.826270676941
247,201.377638864621
248,69.3663829414919
249,-312.024024942854
250,-302.656892782823
251,-460.141289014271
252,-721.434812658162
253,258.091780867598
254,246.407045683599
255,257.685720003315
256,278.047960572028
257,164.031548171563
258,174.519582010099
259,159.741834869134
260,23.9071406163292
261,39.3875815228281
262,42.0778253467751
263,125.948391832964
264,132.531174121347
265,141.031796722651
266,103.974925554322
267,-313.942558336072
268,-263.960270836141
269,-424.823846589552
270,-511.122344390154
271,-323.877956715415
272,-270.775809773012
273,-38.8815212542101
274,88.5844308528992
275,74.5942039226127
276,58.5233756127586
277,55.2557786207592
278,157.606246644638
279,151.001865244247
280,144.637606643425
281,33.7863988375807
282,37.3268678762424
283,24.9954532866186
284,-171.3285733429
285,-158.000142517891
286,-168.854089856604
287,527.949581049185
288,387.962590256589
289,316.476737140095
290,198.897228650448
291,-267.454098065033
292,-251.415164208484
293,-421.712830315863
294,-818.833466331323
295,282.550026223292
296,281.118366674028
297,294.21695679873
298,306.851007257471
299,197.69766106257
300,209.016358890578
301,200.525812882274
302,20.8459520960021
303,28.6040073073943
304,31.9126897425277
305,142.875909645536
306,148.512100377059
307,155.765560121781
308,41.1513943455067
309,-330.81993742123
310,-267.332603922069
311,-404.571663220883
312,-458.660955737752
313,-344.866160852634
314,-376.521123486367
315,-158.871358783818
316,121.497177910634
317,101.981230639123
318,81.5882669457619
319,70.3130122101618
320,181.796523300393
321,176.32582912492
322,169.072369380198
323,38.0680583672793
324,44.0418148824906
325,32.9356965389605
326,-182.397417698379
327,-173.636905309796
328,-182.1274513181
329,570.661855013154
330,297.604138543218
331,242.145359647158
332,110.12681392576
333,-272.815760272868
334,-283.332274095925
335,-405.470184195107
336,-738.378153539032
337,230.812855982544
338,229.059763217239
339,246.501580242702
340,262.702909046091
341,123.355642028781
342,131.632114441686
343,119.689646794126
344,40.1311407218453
345,52.1616083063112
346,55.5986988834291
347,137.378711812581
348,143.00893443522
349,152.176884715474
350,141.228388534984
351,-215.949921885114
352,-190.241364338261
353,-397.600823116457
354,-484.141017931113
355,-360.798391390063
356,-328.222717044535
357,-88.4846434574707
358,115.092482072794
359,100.824450865528
360,91.0104775736899
361,87.3030178820886
362,188.000940209746
363,181.43239291321
364,171.040063288175
365,44.6711966842294
366,50.5717265530972
367,35.4376836282657
368,-149.607983915081
369,-137.3048542992
370,-146.303134413721
371,418.489574058831
372,411.309143302259
373,306.60197377802
374,139.612851617733
375,-269.207395908937
376,-292.80034371668
377,-466.184133217101
378,-879.990128956948
379,232.946397585781
380,231.660979040139
381,299.365027034783
382,311.57670513327
383,156.994251630504
384,169.080827606893
385,154.303857156729
386,34.2485061469451
387,47.2369753172568
388,46.6464021816823
389,164.350462869894
390,169.323746267705
391,184.712703858467
392,87.9397667879166
393,-297.687776763965
394,-258.533609273283
395,-401.716951389202
396,-531.942712135598
397,-361.995875326351
398,-335.811147461309
399,-102.698536268263
400,109.490698053956
401,95.2337244134526
402,72.5164972602981
403,62.4503730821866
404,161.364297174055
405,152.826244098105
406,141.763513087322
407,53.2659096918226
408,56.1828080683998
409,37.2157045155878
410,-168.408824594131
411,-157.846403947752
412,-174.72596810592
413,539.883337862398
414,344.427868441807
415,279.980857388812
416,164.197476153955
417,-282.127220954874
418,-278.262490157063
419,-472.669710726594
420,-736.758690805818
421,261.087561412805
422,258.379180231216
423,301.009399623179
424,316.556888501286
425,143.806651810003
426,154.523828462157
427,144.605512981992
428,-5.6546176038293
429,6.33314640826537
430,9.38117238329763
431,145.858209025211
432,151.6548015591
433,157.941493174973
434,50.8042001674591
435,-298.654375522101
436,-247.214977693928
437,-319.43801034601
438,-489.37070456951
439,-357.297761776482
440,-306.390453688249
441,-77.9211445408342
442,116.185017682305
443,107.276084756364
444,86.3447245776497
445,82.7577247533017
446,156.02794110717
447,154.312284274281
448,142.709313371263
449,28.3128158837386
450,33.675842872491
451,20.9594925617586
452,-177.902437291794
453,-168.021570243469
454,-174.524437056025
455,528.333065942646
456,318.274945154621
457,273.399574273812
458,238.796257718841
459,-173.856206504941
460,-262.0492199605
461,-520.812365025878
462,-810.198848847638
463,283.240777775226
464,278.043070760825
465,302.945613848199
466,321.20440672085
467,164.400534439236
468,177.61387621615
469,170.948228846607
470,40.5858232362091
471,55.5694357806854
472,57.1299463559108
473,134.199965537408
474,144.679900106641
475,160.229031277035
476,18.4312873588408
477,-307.702522883423
478,-261.981492170055
479,-422.807203772964
480,-500.845413703713
481,-367.26462533338
482,-332.078858765804
483,-116.541781630481
484,121.620980964799
485,104.800017719603
486,82.0474627248111
487,70.8177396242496
488,172.977795011497
489,174.000370654308
490,152.934529855387
491,43.5042633558374
492,49.7319965959995
493,32.0421886737687
494,-172.792278764371
495,-158.073826448019
496,-176.504805795181
497,462.940838464866
498,348.370355049842
499,281.354436091
500,138.898143140238
501,-233.501958226818
502,-259.033510453151
503,-433.389134550567
504,-802.7456036881
505,261.854600259165
506,262.749408226537
507,294.57177132747
508,314.191133338107
509,171.832558428276
510,184.692989706169
511,174.701611187164
512,25.8716281203419
513,36.9787195462634
514,41.5439231959549
515,179.325569083758
516,185.807914610872
517,194.081830301453
518,71.3229012553927
519,-329.678352287067
520,-275.966392995033
521,-397.717025453183
522,-443.110014195119
523,-335.914214041603
524,-362.743315057982
525,-254.397244556933
526,131.257394184098
527,113.550734012719
528,102.539507393105
529,92.6067404832728
530,174.878339797286
531,169.642341414925
532,158.636977481479
533,23.1165947928102
534,31.2906709588922
535,19.546530643052
536,-134.608411594999
537,-124.659683639325
538,-136.186362153097
539,508.026526144763
540,279.871838455664
541,238.230023205798
542,108.379232804462
543,-247.53967810043
544,-245.261831369734
545,-465.353287096719
546,-797.964197818029
547,242.402605539768
548,246.194720816492
549,260.751502315016
550,277.116063880813
551,150.908475608969
552,163.715890039891
553,151.452891244004
554,75.6937074521432
555,84.1433371336547
556,92.6309694274098
557,168.220081720653
558,174.108095883062
559,183.298711593916
560,40.489179828483
561,-309.903880934278
562,-246.494327507821
563,-416.936043506452
564,-501.417879765956
565,-323.051473129408
566,-325.807916445163
567,-187.514711195182
568,106.33980575706
569,90.6245381526858
570,84.262209749523
571,78.2818725194764
572,147.407467468451
573,143.74323558596
574,134.781524915874
575,39.9675146338814
576,45.7649482078915
577,31.2768624603963
578,-121.272963110545
579,-113.127438085464
580,-121.448991180571
581,472.328874471737
582,368.560463720373
583,282.862647251532
584,168.27825442007
585,-282.766407927377
586,-272.682327522216
587,-436.066183061429
588,-847.115908427316
589,272.668514990453
590,270.809013569096
591,314.174032810047
592,326.195569359774
593,153.05760848868
594,160.86345496636
595,152.466273978041
596,27.2198573610826
597,35.5176450296341
598,35.913358495642
599,135.823867061556
600,141.260662808092
601,147.205384160406
602,34.6652736632807
603,-309.218730613764
604,-247.269740669278
605,-404.234387578312
606,-456.079122953199
607,-297.710016803822
608,-272.612106267858
609,-220.716411855913
610,106.703067718615
611,94.5272352326078
612,75.4446831815575
613,67.9128296853767
614,216.282784205493
615,210.284740680226
616,206.583237150676
617,43.4423469340122
618,48.8193894673687
619,36.6551337953282
620,-201.930175561732
621,-191.962453466409
622,-203.550178334438
623,531.2042818015
624,324.55829129257
625,242.237374632093
626,143.746210826263
627,-253.220265060334
628,-263.640897091637
629,-427.197326713586
630,-806.900310375548
631,303.487597064836
632,305.660602469054
633,327.124548290101
634,346.165646536565
635,156.859776117766
636,170.501667968533
637,161.953983637724
638,-13.8676547194033
639,-0.169276363687052
640,2.73592089868866
641,170.418828327992
642,179.394975486479
643,191.161933180029
644,2.52888676622422
645,-262.57925478193
646,-256.185927590088
647,-389.565997204373
648,-502.673682678148
649,-373.08314323357
650,-342.449970271813
651,-177.419459900986
652,114.488366054469
653,98.9477877680675
654,76.2611868449149
655,65.1799669528139
656,205.93820833258
657,203.098344095974
658,186.660358502632
659,42.2283801653716
660,46.492097871062
661,26.9587127650787
662,-166.728598822378
663,-151.304692286482
664,-166.564653218853
665,477.758721758807
666,273.637712861116
667,225.054944119991
668,139.532929171465
669,-230.027485970399
670,-222.853642567257
671,-496.100652874452
672,-748.657991524517
673,251.819525595587
674,241.39199686452
675,267.445839548072
676,284.819042660575
677,187.204886426185
678,199.694102635107
679,189.955790391724
680,65.9391994392585
681,79.4024637677978
682,78.2386790550122
683,176.197965507124
684,180.93606787302
685,190.581856721074
686,10.0691002080534
687,-360.901053343532
688,-283.826859528983
689,-374.059316767886
690,-482.015932343166
691,-318.978680747666
692,-333.476668378772
693,-250.438005583102
694,97.5811051182785
695,87.5160705866562
696,67.5641192683073
697,59.1626544661153
698,175.540964207692
699,168.916050129296
700,155.737617432688
701,56.976350350277
702,61.3170053038556
703,46.9079254768872
704,-139.883430207607
705,-126.859869161672
706,-139.694147098793
707,540.492100737978
708,298.33744725459
709,230.484208230977
710,65.1736460228251
711,-202.039657294012
712,-252.496141988774
713,-430.435015862323
714,-820.299002973241
715,234.165330501584
716,231.689909125922
717,248.579927336732
718,269.089098488634
719,149.015723395042
720,162.89745296038
721,147.496075340002
722,48.2883918829542
723,65.6691368036146
724,64.0790044067714
725,163.317423467106
726,169.153555197252
727,181.343182195048
728,110.115325253683
729,-270.329163626055
730,-260.473510956028
731,-467.69382136855
732,-516.405199398846
733,-356.265514329438
734,-309.657871422458
735,-64.0744552533556
736,92.3183685752244
737,80.7764190674745
738,60.7531256241802
739,54.4182761358881
740,151.468810414623
741,141.316195009371
742,134.824394740881
743,43.4595973675261
744,49.3560370727008
745,29.9932611689934
746,-143.226340158305
747,-127.963267538766
748,-140.42950453824
749,483.614988912705
750,414.412738607212
751,332.914248634946
752,104.351110151181
753,-216.939195896524
754,-288.792941756606
755,-449.585782961623
756,-807.040538632837
757,281.328746009442
758,277.897704441516
759,287.853713856529
760,307.579344975602
761,140.693069866686
762,155.318416699984
763,141.29896210264
764,50.8621705777848
765,62.8352385457403
766,62.6075737114852
767,151.689580079017
768,155.605983566397
769,166.613279236835
770,78.1820211605068
771,-313.573917164082
772,-274.542610487918
773,-436.178271953298
