,V1
1,-140.430580374421
2,-134.480431180826
3,-154.536502306155
4,-171.003023332367
5,-57.5011243987237
6,-64.4963944488486
7,-63.3473716837032
8,6.80913000834774
9,6.11236142556497
10,-1.86740257172789
11,-107.924013460782
12,-111.348786507025
13,-117.109556483024
14,168.290885005277
15,304.011244924368
16,239.765824325521
17,319.695584143041
18,183.174192119349
19,120.472427648469
20,-0.0407443335082042
21,-224.245718518826
22,132.795455067593
23,122.355770485497
24,115.450436784404
25,116.36210743827
26,161.572295780042
27,163.538812587328
28,153.577059832085
29,45.3742141797505
30,50.3316171076027
31,45.4898855162223
32,-45.1278531776576
33,-37.8939634795502
34,-41.0366603671273
35,304.706935807105
36,71.1279746693135
37,55.7382615335241
38,-50.3338213061949
39,-321.674202995687
40,-289.421899807411
41,-353.797014694197
42,-399.135410960914
43,-117.194319286464
44,-111.543625055608
45,-118.527971888686
46,-131.654211374595
47,-59.3817642477982
48,-65.2384193240289
49,-65.8856158932817
50,-17.1457734505159
51,-18.5339070095999
52,-27.6749051327433
53,-116.508005869699
54,-114.800271526032
55,-120.911397889629
56,184.843535583563
57,299.34668303176
58,220.931182189263
59,258.519481451678
60,205.573796721203
61,85.4084902938834
62,28.2606861465876
63,-197.883667469258
64,153.357556149326
65,144.480389134018
66,135.168139260749
67,132.093135661575
68,162.568463703632
69,167.229457864984
70,156.68604806809
71,58.0629726781897
72,63.3106937542327
73,57.6564246430936
74,-38.2223364727103
75,-33.063816468011
76,-33.9366800309915
77,272.008619323847
78,42.8630343898738
79,57.6016841162439
80,-34.3258461942296
81,-324.994732290262
82,-261.048100471447
83,-358.209586390428
84,-519.285520429775
85,-106.845985070076
86,-102.656498410861
87,-119.601867388624
88,-128.842386325765
89,-42.43728456094
90,-48.9190889394247
91,-49.3498617487811
92,-3.49466446948574
93,-5.42341499183066
94,-12.1577801701494
95,-104.697564485171
96,-104.770879698732
97,-112.672270552266
98,131.342553973011
99,246.973966002633
100,215.034349820472
101,253.41385303121
102,209.359587071034
103,67.5400362542585
104,11.2250412451919
105,-193.019840585701
106,160.915770565939
107,152.872825309663
108,151.85449721507
109,153.176330072038
110,168.251885525881
111,169.988183612629
112,162.606154784837
113,54.5865018349512
114,59.7169589275688
115,54.442926208395
116,-57.7140980723517
117,-53.2903794166936
118,-54.8963087262092
119,317.892276945375
120,60.2125486880446
121,29.4461596416027
122,-61.3663991289919
123,-340.129855342009
124,-237.756828920856
125,-355.213403831734
126,-535.59574589315
127,-115.039794167107
128,-118.083347499399
129,-136.467116457333
130,-145.608763678024
131,-53.9810839813372
132,-64.1478891713013
133,-62.6470458568682
134,-6.86589231738366
135,-9.99422015244295
136,-16.5359747008831
137,-142.04515966695
138,-140.967251880029
139,-148.306944565406
140,187.392166967737
141,310.0444170936
142,238.545606892009
143,286.682268783099
144,183.262529831205
145,52.7221715398469
146,39.4770375766583
147,-137.435714589688
148,160.635362552987
149,147.741919374987
150,156.222840450382
151,156.936108194144
152,164.842222832516
153,168.012625590185
154,155.330598121145
155,33.1397027994272
156,41.6472070028295
157,35.4223677986463
158,-37.1361076394503
159,-30.9377474536828
160,-34.6948808585109
161,282.337178974853
162,47.5797821819468
163,44.2534942665953
164,-102.885894079143
165,-261.934487163732
166,-275.294294216541
167,-356.064974606741
168,-495.153024122842
169,-127.766955686217
170,-127.728010529375
171,-138.853608625415
172,-146.72329523883
173,-38.1713747188175
174,-47.4215929520571
175,-44.840067589074
176,-33.677480450095
177,-36.468046991908
178,-43.5584461751978
179,-130.50984860962
180,-131.722599253113
181,-138.400670598426
182,192.579735743851
183,301.88923582821
184,231.981905380312
185,250.88021218117
186,175.476435127548
187,70.1661345120903
188,28.1501035872402
189,-65.2817649422727
190,173.068440992876
191,162.758259397413
192,158.868822296563
193,157.951181272214
194,169.037848354888
195,173.707902802832
196,160.263237326556
197,50.0196587837947
198,55.5449207181683
199,49.8592860251411
200,-39.6438078252976
201,-31.5059846295093
202,-33.7829839382629
203,302.568204608761
204,-17.9786126057861
205,3.74553264414862
206,-115.191504398943
207,-292.036668289104
208,-236.87115742718
209,-339.330104439258
210,-511.052471670011
211,-103.449357608781
212,-104.817835021339
213,-121.140369972277
214,-132.947573829586
215,-15.7822203061629
216,-23.2710661238685
217,-24.5793680882429
218,-15.1948220321396
219,-20.711774267494
220,-26.2480982621756
221,-146.505373331685
222,-145.251447378931
223,-156.381749065383
224,211.68323892344
225,229.047530447325
226,173.35852124179
227,123.40795834344
228,236.325278726448
229,73.4753719192631
230,56.7337993162958
231,-67.7506436299371
232,182.780590098944
233,166.225528868886
234,164.167213124495
235,166.545229567677
236,164.468752143607
237,167.773250431289
238,156.012708082993
239,47.2594334431612
240,55.2497710907108
241,47.8878026334547
242,-8.18242368364561
243,2.62162193307954
244,-1.86343250359397
245,189.601193369172
246,-45.099356957238
247,-4.40208064425316
248,-20.3281365222287
249,-262.166301534995
250,-223.481061101317
251,-330.429225846314
252,-614.641075993883
253,-81.1579328513876
254,-78.88397216969
255,-117.996884968639
256,-129.403479421109
257,-42.2623763886905
258,-48.6663851797253
259,-45.9056374666414
260,-26.3699107444779
261,-31.2419909129573
262,-35.8125176529554
263,-117.518061405197
264,-118.049576215364
265,-128.676050127556
266,140.493347882274
267,290.235407739408
268,232.220624655273
269,272.36806182638
270,163.843469583036
271,77.885794152472
272,36.8547437542303
273,-211.956674088684
274,136.47274215034
275,124.54568182959
276,125.706045598816
277,124.909285429725
278,151.66262053046
279,153.752903712798
