,V1
1,-227.510949019634
2,-231.020161992962
3,-236.606802123681
4,-253.556552420537
5,-77.8436152436677
6,-88.7830897258751
7,-85.7698319415987
8,-14.5772124681374
9,-20.2406117361799
10,-29.7792920829213
11,-240.289850656535
12,-240.088220630134
13,-251.404831350656
14,278.712784049053
15,554.928065500228
16,479.901040340286
17,566.090487852459
18,283.990128740775
19,125.187164098299
20,-28.7719987582129
21,-262.566650430369
22,256.506397545619
23,234.062702254292
24,221.142631628163
25,223.885468248177
26,288.760985930269
27,288.470492889861
28,278.059453104513
29,53.4042644211076
30,60.5520008890419
31,53.3043642126151
32,-78.1783197409454
33,-68.59417569233
34,-71.859546948353
35,482.962992027676
36,215.705794342339
37,155.328479154373
38,-147.383325409565
39,-586.072270750653
40,-572.043901184355
41,-614.447379944531
42,-673.567106977311
43,-196.377892125468
44,-196.566815801292
45,-238.273123108954
46,-251.364197079567
47,-70.5731006539712
48,-76.2571505070715
49,-74.3900459382667
50,-19.0169781102545
51,-20.4630223568826
52,-27.5856479331063
53,-217.000296811526
54,-216.597957743294
55,-225.514000666042
56,274.811195147924
57,488.480039884627
58,402.681537239442
59,441.072648456583
60,286.4045764069
61,186.003576991335
62,71.2959711365988
63,-320.769316427717
64,282.797228534673
65,270.272135391081
66,270.442877879728
67,266.871770434138
68,304.122165673897
69,305.430140011858
70,290.786044065029
71,72.3584797172527
72,77.7785105444704
73,71.5370285213905
74,-110.910484401398
75,-102.225420130907
76,-105.859502135105
77,602.350500479575
78,74.3799493057346
79,67.3896676429168
80,-178.451593366768
81,-510.740602987911
82,-468.484915639503
83,-618.448032513391
84,-861.395947026764
85,-230.233476269612
86,-229.126257847161
87,-245.175209212253
88,-256.621581483799
89,-86.2093509314566
90,-93.5244201572709
91,-91.6062693354016
92,37.4023675755783
93,33.0430655801548
94,26.5057122561687
95,-168.322036906891
96,-169.02062808845
97,-175.691633001584
98,160.986985542717
99,555.568502216618
100,452.465756375705
101,503.805754164515
102,214.466441271652
103,51.7720227156382
104,34.6895711619465
105,-325.175315626814
106,282.72717564156
107,268.978026198822
108,269.230229043462
109,269.713807990869
110,296.270721968824
111,298.323782783854
112,288.762894236049
113,40.7354616077073
114,47.7023809591871
115,40.3143022468185
116,-140.426546091178
117,-131.044136765961
118,-134.518670695184
119,615.353418409273
120,146.814555778619
121,105.222106794415
122,-161.686774605972
123,-611.480793492508
124,-454.758605207836
125,-581.915637879789
126,-754.317698921039
127,-225.067423355521
128,-225.690212513086
129,-240.690844965511
130,-254.911700281776
131,-95.2872706473302
132,-105.627322218882
133,-103.021520014391
134,23.0861841136042
135,18.9245779012887
136,12.7724748890401
137,-225.34616851889
138,-226.207021022754
139,-234.938067616825
140,239.327328409362
141,527.397492848213
142,430.675224146337
143,519.784588352003
144,319.251154074168
145,186.902019816666
146,57.8710188976309
147,-399.204512293347
148,266.461754636011
149,251.694022773071
150,242.627956966363
151,243.719644956987
152,286.640925279335
153,289.478219753595
154,279.060566236782
155,48.4237771780223
156,54.1074976328936
157,47.1720035547157
158,-76.5732608066262
159,-67.8222035084697
160,-71.7498765799372
161,546.025120431182
162,145.859183281702
163,83.8044516852818
164,-139.649611034224
165,-569.061809386606
166,-482.951209033122
167,-628.693916309551
168,-748.573237707402
169,-220.352172996305
170,-219.492327321394
171,-243.186811237706
172,-256.821623307405
173,-73.2756115944339
174,-82.2388567720399
175,-80.4497766426881
176,-10.3912149994561
177,-13.3483967193552
178,-18.9730615526725
179,-234.243486335044
180,-233.655837642629
181,-242.237657541939
182,268.627492425904
183,472.335831381658
184,409.534676082395
185,428.332285288091
186,285.825508655569
187,170.348958775918
188,45.0249541156243
189,-151.362872062092
190,307.546355572934
191,293.816005094911
192,293.097957014677
193,290.712516842207
194,319.054203722487
195,321.556046869743
196,311.329937817469
197,56.7527869401016
198,63.2046881685943
199,59.2785146894387
200,-65.7519026764666
201,-58.8230033191035
202,-60.3819910089439
203,508.938970776602
204,56.3514027558212
205,31.998038170293
206,-207.027440441676
207,-548.304056102396
208,-489.677796515012
209,-603.970686415281
210,-879.700547956399
211,-191.211346030443
212,-196.231045595241
213,-216.487278696748
214,-232.835644262091
215,-58.4964418504645
216,-67.3583377507926
217,-66.1513662509268
218,-23.6285975363854
219,-25.4929465059646
220,-33.7944648459868
221,-241.68308110121
222,-239.995300108709
223,-250.096944492691
224,277.581445288
225,498.422096124184
226,399.649867347113
227,467.739198831928
228,328.158694343434
229,136.065041557778
230,38.3840927796372
231,-302.537641244423
232,270.00530587948
233,253.784293038637
234,250.390129211954
235,250.468830414394
236,284.665022562859
