"","","","X_mid.distal","X_distal.prox","X_prox.petiolar"
"1","MO_634","E41","35.6052093556656","50.5774014724718","45.1894508832184"
"2","MO_636","E45","41.515182915034","46.1772484756242","39.841376801254"
"3","MO_639","E48","41.3283557031092","57.297978304671","35.1295654560506"
"4","MO_641","E50","37.1210059125799","47.1734765019278","39.2879383677351"
"5","MO_642","E52","42.334485065741","46.5819714115249","40.9285438236651"
"6","MO_645","E58","41.3009987813356","41.9384774283876","39.9205405341395"
"7","MO_646","E60","41.7202711155595","52.6781874830961","18.944275604398"
"8","MO_649","E63","36.2378198031449","41.5231013150838","43.0114694868033"
"9","MO_651","E65","32.2360318599817","56.829309194601","42.5755319376013"
"10","MO_652","E67","41.3430562824396","49.8945321695954","43.413801179915"
"11","MO_653","E69","37.0113722470385","42.0508105826967","35.5864600044572"
"12","MO_655","E73","51.2430388365","47.0249262392728","38.0470842533058"
"13","MO_657","E75","21.9229065199458","56.61977268274","36.5709433335523"
"14","MO_658","E77","55.5977862564401","57.6297099823491","38.5439123708575"
"15","MO_664","E89","37.8660471434821","50.5402460738901","20.9418108571032"
"16","MO_665","E90","43.8423525243461","50.07540227667","47.2656955400857"
"17","MO_667","E92","35.4090598477158","53.3505292482806","30.7584657998998"
"18","MO_670","E95","44.4636509304724","49.1095361494998","49.1706878420236"
"19","MO_672","E97","34.7822432578674","50.086420149197","34.7453226307541"
"20","MO_673","588271 (Riparia parent)","55.5634525938283","51.9073889245699","50.6408377945539"
"21","MO_674","E98","36.9810874330828","44.0265774789137","28.5997349116068"
"22","MO_677","E101","38.7239272823824","46.3145592245666","26.6919425965191"
"23","MO_678","E102","43.5217652766763","44.3547647670775","33.5950628215518"
"24","MO_679","E103","41.3725841394981","44.742385300353","30.536870689922"
"25","MO_680","E105","26.745382643308","33.0760653833137","24.8765049323412"
"26","MO_682","E108","39.2411259775948","46.6969319929438","38.3000566477713"
"27","MO_685","E112","40.2924502186285","46.356176747063","39.8593193607949"
"28","MO_686","E113","37.3381604514535","49.3135761156957","40.0648875395598"
"29","MO_687","E115","55.340915584344","45.4307239898347","35.521759489602"
"30","MO_717","E149","43.0709364087293","40.1197845451001","29.6662853756289"
"31","MO_722","E155","44.8790348267805","46.8137469975565","38.3796697340437"
"32","MO_723","E154","47.7192317246929","58.2688405948529","40.5891789971228"
"33","MO_726","E158","29.7651687183694","49.7839587618646","37.0683333396675"
"34","MO_727","E161","30.5966923891416","45.1276667928745","32.1673541522458"
"35","MO_731","E164","37.3246915912021","37.8311756302454","41.9255436355247"
"36","MO_732","E165","39.2459161170894","48.806470732244","33.3827041391674"
"37","MO_735","E170","39.933895994964","47.4641107628225","43.8850288961241"
"38","MO_736","E172","40.0836749758027","53.0182747749356","36.7341150668198"
"39","MO_744","E181","42.1558742876051","31.9849438823678","45.5845675862501"
"40","MO_753","E190","38.6043609480346","52.511647577877","24.4886523942984"
"41","MO-835-E-358a.jpg","E358","37.2814274157246","37.5164472181781","45.1893641845692"
"42","mo-844-e-374.jpg","E374","41.9573744994549","50.7625504269043","36.2826700894432"
"43","MO-854-E-386.jpg","E386","41.4981570675007","44.3714117992058","37.2727512784718"
