"","","","X_midvein4","X_midvein3","X_midvein.ave","X_distal.lobe3","X_distal.lobe2","X_distal.ave","X_proximal.tip2","X_proximal.tip1","X_proximal.ave","X_petiolar.vein6","X_petiolar.vein5","X_petiolar.ave","X_distal.sinus","X_proximal.sinus"
"1","MO_634","E41","567.333220329111","554.432434917908","560.88282762351","529.061397928445","508.915702035219","518.988549981832","379.404831135556","381.876321456306","380.640576295931","213.13749448654","208.194620487658","210.666057487099","462.673236624942","81.6459905812894"
"2","MO_636","E45","403.546775479621","397.72917921621","400.637977347916","308.364232685959","312.405585737515","310.384909211737","249.55009517129","255.034311417111","252.292203294201","148.260750031827","143.917511095766","146.089130563797","264.012310319046","31.3249102153542"
"3","MO_639","E48","403.06911676411","408.604754962543","405.836935863327","349.601435288816","338.189194256706","343.895314772761","268.442511122959","275.003230688296","271.722870905627","144.980066829892","137.521085252408","141.25057604115","298.419336580256","42.0059096437632"
"4","MO_641","E50","510.131355633037","510.417965984741","510.274660808889","419.830694314982","417.339057468864","418.584875891923","324.139244769898","326.501531389977","325.320388079938","189.226740681649","185.012007418438","187.119374050043","356.732569145291","47.4764772176706"
"5","MO_642","E52","301.030833138401","303.636810186117","302.333821662259","253.473662888277","253.90204366645","253.687853277364","190.266544032313","192.567164329748","191.41685418103","122.444119907818","116.839901146826","119.642010527322","211.913656683565","107.994786397307"
"6","MO_645","E58","363.529400461641","364.322144536947","363.925772499294","271.104454039398","272.904745286703","272.00459966305","191.717455590251","195.040159398007","193.378807494129","112.267815958092","108.323877792479","110.295846875286","217.906229832926","32.2778777028478"
"7","MO_646","E60","192.037268518379","191.982095519348","192.009682018863","155.631375371421","153.310347008935","154.470861190178","108.200794308545","113.088086857104","110.644440582825","54.1533542636096","52.2671481716767","53.2102512176431","144.137521138668","23.6503147759179"
"8","MO_649","E63","551.006454489419","547.777457448734","549.391955969077","431.711724289485","429.903477538854","430.807600914169","322.453872670185","319.936308939764","321.195090804974","188.620390085484","184.760565178287","186.690477631885","385.831570622467","106.588361883463"
"9","MO_651","E65","393.101061786915","392.181546962628","392.641304374772","303.303478018304","301.04524207833","302.174360048317","229.253407826361","226.608141954344","227.930774890353","127.875427663019","123.921346022386","125.898386842703","250.24406664095","41.034284446058"
"10","MO_652","E67","489.951722905431","490.18921732123","490.07047011333","378.274040875131","366.383678675784","372.328859775457","279.683090101994","278.936120624418","279.309605363206","168.746667786359","163.714386246292","166.230527016326","332.627794990136","50.9200109387263"
"11","MO_653","E69","294.117003740008","295.688706901363","294.902855320685","225.619286631263","220.048290154684","222.833788392973","161.174594772253","162.159258138412","161.666926455332","81.2099901489958","76.4873355530182","78.848662851007","183.769640523129","59.8252664014127"
"12","MO_655","E73","289.898389862724","295.020338281956","292.45936407234","353.336308478198","343.230992838642","348.28365065842","273.285824326839","278.539045736859","275.912435031849","154.8250812304","151.537714411298","153.181397820849","305.278227924954","155.690033223068"
"13","MO_657","E75","245.915090586162","246.262964915555","246.089027750858","201.098442174473","203.205382694455","202.151912434464","160.410750194618","158.320705462046","159.365727828332","88.3602223231698","84.2857840267266","86.3230031749482","183.864760081969","65.5174082057586"
"14","MO_658","E77","313.258889383845","315.786519310119","314.522704346982","341.768222305702","339.199880437774","340.484051371738","232.251387270345","228.060736307239","230.156061788792","122.85623486417","119.923682214982","121.389958539576","279.806037779745","46.007215618857"
"15","MO_664","E89","391.371466767827","391.175951459187","391.273709113507","284.693891360528","278.145420199578","281.419655780053","184.083710577552","186.054427520551","185.069069049052","93.4682432701075","89.0540566173153","91.2611499437114","249.548499851231","51.8127638714632"
"16","MO_665","E90","444.88657262273","446.629950294424","445.758261458577","340.008547686672","336.960309235376","338.484428461024","276.66812248613","276.170350508522","276.419236497326","143.178428892065","139.843886173118","141.511157532591","287.495760838312","93.3876330142273"
"17","MO_667","E92","380.612883095147","381.075675920151","380.844279507649","278.601529967084","277.712981331446","278.157255649265","180.235956457084","179.065630426389","179.650793441736","87.4601931680922","84.2997531965545","85.8799731823234","242.348535171971","68.7281783550241"
"18","MO_670","E95","501.136333745619","502.429721453658","501.783027599638","391.028291815311","386.03918194919","388.533736882251","286.367334030961","282.690754182021","284.529044106491","157.281015313356","152.065846849317","154.673431081337","329.30931508234","65.2365886600457"
"19","MO_672","E97","412.301364026364","413.800628054139","413.050996040251","345.453325356697","344.546803787236","345.000064571966","242.627805267657","243.214878017361","242.921341642509","141.869026845186","138.311282179004","140.090154512095","294.823676118456","66.8771439955385"
"20","MO_673","588271 (Riparia parent)","414.883118346601","415.618566583592","415.250842465097","290.353233148866","292.052404354082","291.202818751474","210.292441350135","210.369318105089","210.330879727612","129.2927449202","124.496296242097","126.894520581149","252.400475435368","38.5069719531412"
"21","MO_674","E98","305.80865956346","305.830237859176","305.819448711318","223.168448150719","222.744318109352","222.956383130035","155.417281053299","157.302455479881","156.35986826659","85.7147166652261","81.4168826349916","83.5657996501089","192.859267415388","28.4289135388604"
"22","MO_677","E101","223.140278251149","224.606288375905","223.873283313527","210.508016474433","203.066491573573","206.787254024003","166.243796876756","166.049691357738","166.146744117247","91.003090606858","86.4421772053435","88.7226339061007","182.166476059675","39.323180186755"
"23","MO_678","E102","239.33352228428","238.916949541049","239.125235912664","208.642926764844","208.232521208864","208.437723986854","139.771674129632","141.163279378881","140.467476754256","76.2721807476357","71.9044504881304","74.0883156178831","170.987601565143","29"
"24","MO_679","E103","277.45660834444","277.212711449169","277.334659896804","228.441732176938","227.433953324916","227.937842750927","158.261107430095","157.28646238631","157.773784908202","66.7949232951128","64.7331900109982","65.7640566530555","189.971379423323","31.174901988619"
"25","MO_680","E105","254.762494188215","253.129016732575","253.945755460395","183.064818515192","182.524702133711","182.794760324451","141.105058576934","141.239533732592","141.172296154763","75.4132599613622","71.30874810288","73.3610040321211","161.541396483997","52.4086146449226"
"26","MO_682","E108","235.843732986484","236.294695008161","236.069213997323","188.800324417094","186.86927248748","187.834798452287","144.96766880929","150.275788136346","147.621728472818","79.9202727723073","75.5881108376178","77.7541918049626","160.381579020161","29.3789890908452"
"27","MO_685","E112","428.736858431836","429.924485100581","429.330671766209","324.244696007506","317.57774131384","320.911218660673","232.143935714461","234.329316230386","233.236625972423","138.031092312566","132.681471536157","135.356281924361","289.084667336405","63.1491162962713"
"28","MO_686","E113","287.955074621025","288.697289561229","288.326182091127","245.096154600598","247.085511513727","246.090833057162","187.262014004442","185.158818015778","186.21041601011","106.369285458726","103.958250701904","105.163768080315","195.842092002715","75.5181427803942"
"29","MO_687","E115","261.388429567952","262.025646752374","261.707038160163","212.481775166719","209.171240587706","210.826507877212","134.168263344951","136.499519739082","135.333891542016","74.2495791233863","71.1529822916791","72.7012807075327","179.316694086189","13.9565357091221"
"30","MO_717","E149","271.357493806602","270.562883428234","270.960188617418","208.138203819001","204.48130205229","206.309752935646","145.141447867244","146.043142410043","145.592295138643","94.742502489643","90.2771941190022","92.5098483043226","185.24807121533","35.7030733270961"
"31","MO_722","E155","262.235649538731","262.646699537611","262.441174538171","258.690902215366","256.650053574902","257.670477895134","192.286895029277","191.453226084075","191.870060556676","115.570324910852","110.164245057096","112.867284983974","215.103658474234","34.9463875100131"
"32","MO_723","E154","326.394445078344","327.285482246005","326.839963662174","258.096663632059","257.99810550661","258.047384569334","179.903836660033","181.113137140849","180.508486900441","101.414379872876","96.2548700066651","98.8346249397706","209.428962765421","28.3196045170126"
"33","MO_726","E158","559.18696560274","560.491135077086","559.839050339913","467.49739304086","462.273863634967","464.885628337913","390.183450443506","388.333378040055","389.25841424178","223.224102641269","218.245847612274","220.734975126772","402.331098102048","185.556258315369"
"34","MO_727","E161","228.934994655688","229.335180225364","229.135087440526","187.448659637779","187.798429173409","187.623544405594","132.484904800509","131.234522896988","131.859713848748","76.4868717885625","73.3134882269287","74.9001800077456","157.917700084569","46.1800365742601"
"35","MO_731","E164","131.691561783586","131.552270980018","131.621916381802","156.17413002479","154.234436637866","155.204283331328","103.189735172642","103.85225991282","103.520997542731","59.5786772092164","56.9953026836423","58.2869899464293","126.367597816845","10.4506672035809"
"36","MO_732","E165","305.208176905534","306.765000651965","305.98658877875","218.414528255334","219.102425883421","218.758477069377","140.727684731896","140.751387648577","140.739536190237","80.9668141895184","76.1886023300073","78.5777082597629","191.166829374241","20.1750154894612"
"37","MO_735","E170","409.509857703084","411.019464259298","410.264660981191","307.861764072773","297.35500668393","302.608385378352","207.24140512938","206.700266085944","206.970835607662","113.098637874203","110.271042336599","111.684840105401","274.309766100298","46.100433837438"
"38","MO_736","E172","283.524430654573","283.093318144389","283.308874399481","232.739490394303","231.056130386103","231.897810390203","177.043336189194","175.027154718918","176.035245454056","91.1463267992737","85.9983743392862","88.5723505692799","208.202194460097","32.4502679341789"
"39","MO_744","E181","344.320072752083","347.453683963777","345.88687835793","232.685413762874","230.167371227983","231.426392495429","203.988357510913","205.129836932612","204.559097221762","122.909144855051","120.260007438051","121.584576146551","235.953601135901","92.8237577347524"
"40","MO_753","E190","273.785499981281","274.027827054115","273.906663517698","277.917703646241","274.164640316726","276.041171981484","220.772767292526","223.667062344906","222.219914818716","101.041154432241","94.9889461411168","98.015050286679","236.23346502983","44.4263647961433"
"41","MO-835-E-358a.jpg","E358","2184.77092620714","2177.88521276949","2181.32806948831","1726.86189372515","1728.08564602568","1727.47376987541","1575.63574470751","1611.57950470959","1593.60762470855","948.103369891701","917.180462068398","932.64191598005","1723.10881838612","1323.9592138733"
"42","mo-844-e-374.jpg","E374","1103.15707575032","1100.33830565377","1101.74769070204","762.759913006052","714.547110957703","738.653511981878","391.581319495708","442.072957779595","416.827138637652","193.505423409785","179.135962020472","186.320692715128","607.755497621371","317.455029536468"
"43","MO-854-E-386.jpg","E386","1390.66897059581","1359.24842239305","1374.95869649443","986.868494672922","1008.12400030949","997.496247491204","734.53726930633","733.134707949364","733.835988627847","385.601173350134","367.677359772124","376.639266561129","922.937439796436","677.354412401661"
