"","","","Y_mid.distal","Y_distal.prox","Y_prox.petiolar"
"1","MO_634","E41","33.0102473596564","47.9313077264954","44.7742899299948"
"2","MO_636","E45","48.6580972487277","47.4962814950246","43.165909885994"
"3","MO_639","E48","27.8809011947724","56.1079944246794","42.7582360535639"
"4","MO_641","E50","27.5704050946419","52.3910687425729","37.5037180466695"
"5","MO_642","E52","51.6506375811032","57.4793864726201","30.5151700734904"
"6","MO_645","E58","34.2124356334666","38.6746821911409","38.3502158114028"
"7","MO_646","E60","26.416251786868","52.7022533473838","42.680911374738"
"8","MO_649","E63","31.6991672924284","52.1112403735378","48.5409683492791"
"9","MO_651","E65","40.6912914815099","43.3219772756983","38.7203762798459"
"10","MO_652","E67","41.0754149056717","36.353811197016","44.8339390916622"
"11","MO_653","E69","40.4825533993361","56.4397366285304","38.1473566420456"
"12","MO_655","E73","31.2932129346102","49.3544565991384","42.1734604197604"
"13","MO_657","E75","43.7234511695876","41.2805869152323","48.1739943984236"
"14","MO_658","E77","39.5960914140839","55.2965143445597","40.7808202502947"
"15","MO_664","E89","40.5074053161943","49.9159293360334","38.1054804359717"
"16","MO_665","E90","40.3217590370627","49.5916007804027","33.2946357852333"
"17","MO_667","E92","29.9984175629971","47.6689976616608","44.3906168834073"
"18","MO_670","E95","41.8106173721191","57.1352443307641","49.6437326432786"
"19","MO_672","E97","32.6144585388568","51.2929560730807","36.5821044814652"
"20","MO_673","588271 (Riparia parent)","53.8084363029093","44.658432066928","48.8160538625309"
"21","MO_674","E98","29.2091584913093","47.9849669602961","41.9616545663111"
"22","MO_677","E101","37.6204754800829","49.9950559900298","39.2459239762516"
"23","MO_678","E102","34.4171077272689","48.2811347393975","32.1691774325085"
"24","MO_679","E103","35.5325262514679","50.432454708735","36.3721178313755"
"25","MO_680","E105","31.3517496808597","43.1889647952125","37.6220458606176"
"26","MO_682","E108","34.1162881543946","44.3826080794852","37.4940800074972"
"27","MO_685","E112","36.6660019827204","56.5734978670095","39.3325150247051"
"28","MO_686","E113","23.1743863373179","41.7833213338762","34.1403536177622"
"29","MO_687","E115","41.1278541527791","52.1907652614052","46.546313833243"
"30","MO_717","E149","41.6844825070302","50.4758947234272","34.8267037137513"
"31","MO_722","E155","32.7004156450602","51.1918361784689","29.1891793061262"
"32","MO_723","E154","36.1402130250219","43.86823407843","44.6455213001682"
"33","MO_726","E158","37.2406527268153","54.9870392616099","37.9569237835426"
"34","MO_727","E161","35.8597039794378","42.6312520831562","39.0498598934153"
"35","MO_731","E164","36.3205274712263","45.7917916005053","47.3369288716979"
"36","MO_732","E165","31.7042224822325","45.6978665359042","NaN"
"37","MO_735","E170","33.8498727004506","40.9536489442119","31.462299526977"
"38","MO_736","E172","38.2686157544438","43.197087931713","30.5471393182232"
"39","MO_744","E181","29.8184496984795","48.2815232559442","36.3574228834699"
"40","MO_753","E190","40.3706057329709","51.4813336502493","49.7709175966008"
"41","MO-835-E-358a.jpg","E358","33.3826388728674","44.6402407911145","32.7191586341548"
"42","mo-844-e-374.jpg","E374","39.7473672240936","42.6088893234217","26.9653460513033"
"43","MO-854-E-386.jpg","E386","43.9119781279635","52.5557399914269","36.6851600557916"
