"","","","Y_midvein4","Y_midvein3","Y_midvein.ave","Y_distal.lobe3","Y_distal.lobe2","Y_distal.ave","Y_proximal.tip2","Y_proximal.tip1","Y_proximal.ave","Y_petiolar.vein6","Y_petiolar.vein5","Y_petiolar.ave","Y_distal.sinus","Y_proximal.sinus"
"1","MO_634","E41","1035.81175896009","1034.25577107406","1035.03376501708","947.382229561543","936.652073551861","942.017151556702","725.347480101089","730.458051423215","727.902765762152","430.85061216157","424.15828413459","427.50444814808","784.686669243845","192.10119439764"
"2","MO_636","E45","569.188237756193","569.239185228846","569.213711492519","558.010080554106","552.641836997526","555.325958775816","441.470270799745","444.584356449932","443.027313624838","258.492701595229","251.595208177739","255.043954886484","467.648835012983","93.38094023943"
"3","MO_639","E48","754.096976522251","752.617598784403","753.357287653327","647.410418513635","629.552420374984","638.481419444309","494.857187367224","492.318373503366","493.587780435295","278.924417878751","270.975074294666","274.949746086709","561.308515880527","144.812360967564"
"4","MO_641","E50","604.937572720525","614.2687033286","609.603138024562","550.217416926255","548.7284837595","549.472950342877","440.263557428956","439.109325794841","439.686441611899","252.0714184512","243.797046741752","247.934232596476","471.685595262353","133.056379027839"
"5","MO_642","E52","841.000148632567","831.154017014897","836.077082823732","595.667692593782","591.277430653327","593.472561623554","422.724389854666","423.807630627387","423.266010241027","237.630490467869","233.606774302459","235.618632385164","485.898137473277","115.42096863222"
"6","MO_645","E58","380.289403466623","378.694088135793","379.491745801208","343.772181102544","345.176856842981","344.474518972762","253.053477549707","255.450215306231","254.251846427969","153.771326254279","148.526518770218","151.148922512249","283.929238543691","119.312972425466"
"7","MO_646","E60","795.55986442819","782.601541583583","789.080703005886","611.419863923311","608.464049882982","609.941956903146","458.175697498241","458.45479142223","458.315244460235","300.501663888904","292.542731921338","296.522197905121","529.788873042838","114.147027508385"
"8","MO_649","E63","585.859373722056","590.837166043234","588.348269882645","499.119474675152","482.656192335704","490.887833505428","393.146283207663","393.637285454516","393.391784331089","230.548395136466","224.291244813524","227.419819974995","430.035172980071","70.5341229476911"
"9","MO_651","E65","758.182657998058","758.678434882658","758.430546440358","756.508439403686","751.577408447726","754.042923925706","569.950124913575","568.721076529611","569.335600721593","337.943295705063","332.063623421777","335.00345956342","635.745790216498","185.224863341831"
"10","MO_652","E67","817.049563300171","811.843580993285","814.446572146728","652.286784236044","641.172947374575","646.72986580531","489.969684549973","487.725542584146","488.84761356706","298.000545115273","291.577803987203","294.789174551238","577.933765909209","158.867456985375"
"11","MO_653","E69","686.977942715776","682.766008885182","684.871975800479","560.674599825068","537.76202915416","549.218314489614","366.583039554478","364.470211250522","365.5266254025","202.71991953925","197.467310937785","200.093615238518","484.90132077465","59.0672309999376"
"12","MO_655","E73","578.791410517641","579.00345422113","578.897432369385","476.623132977198","454.301343701513","465.462238339355","364.189160251922","363.936859603421","364.063009927671","197.040154397524","191.376370307308","194.208262352416","402.156154856543","98.543548185561"
"13","MO_657","E75","959.469718588867","963.521146628345","961.495432608606","786.040711413855","776.541048496472","781.290879955164","680.731958997078","681.217942283525","680.974950640302","407.797584320947","404.485222089757","406.141403205352","747.331251855561","183.424406470349"
"14","MO_658","E77","863.205548458187","867.552128565195","865.378838511691","737.723438544554","712.07900607236","724.901222308457","552.797262012937","545.725439311748","549.261350662342","291.380829652536","288.602118649535","289.991474151035","625.444627267674","112.277557864428"
"15","MO_664","E89","683.794540698447","684.851359704425","684.322950201436","531.16859365836","510.67788858438","520.92324112137","364.900671416209","366.456000087323","365.678335751766","234.046723730541","229.000442988654","231.523583359597","467.784769834376","105.510662968252"
"16","MO_665","E90","646.704535145688","649.031489905536","647.868012525612","609.931509998459","601.72482895257","605.828169475514","467.736036670257","462.919149408404","465.32759303933","255.383045639291","250.382207834343","252.882626736817","505.216137685644","130.69419608001"
"17","MO_667","E92","1033.93665183124","1031.16402671932","1032.55033927528","778.917357618894","782.750598849978","780.833978234436","604.061669037194","604.920655954151","604.491162495672","406.007389095322","400.843173822382","403.425281458852","682.078916825612","114.658187671008"
"18","MO_670","E95","601.224014730782","601.264733199113","601.244373964947","521.913644570632","519.876308258994","520.894976414813","389.682261450274","390.022260760844","389.852261105559","222.226939186049","217.895617211545","220.061278198797","441.003935104892","54.412240249782"
"19","MO_672","E97","951.191095416689","954.704404514822","952.947749965755","791.834894406656","792.705809238207","792.270351822431","656.160422457801","658.490129007262","657.325275732531","367.982607681396","361.081684510583","364.532146095989","696.079377657462","216.148527381058"
"20","MO_673","588271 (Riparia parent)","705.931781249435","710.286830638158","708.109305943797","519.955609430267","517.243265570466","518.599437500367","366.483194097628","368.543077536399","367.513135817013","207.442198643381","199.053587983236","203.247893313309","399.643881196747","41.987503438523"
"21","MO_674","E98","667.172066928015","669.359771639288","668.265919283652","557.083925454684","555.852329760342","556.468127607513","411.088570140304","412.934165454979","412.011367797642","230.25108577377","224.83674632942","227.543916051595","495.889604650067","188.496186964087"
"22","MO_677","E101","671.274513808621","670.953405154933","671.113959481777","556.94456636186","555.871388002657","556.407977182258","440.282863622921","440.642996086401","440.462929854661","266.393740542078","262.086102264122","264.2399214031","483.002329186931","131.916877237145"
"23","MO_678","E102","805.022359937909","807.709986181922","806.366173059915","709.739551917462","694.976707203918","702.35812956069","558.353316856809","555.917903611676","557.135610234242","299.271814391199","294.401932361185","296.836873376192","607.174152026418","163.416645419003"
"24","MO_679","E103","896.422500709347","896.125645084438","896.274072896893","734.053375292288","727.340946797992","730.69716104514","537.703449868048","534.868208066249","536.285828967148","291.794855640054","289.385114990388","290.589985315221","632.923951022554","136.000880717736"
"25","MO_680","E105","810.334617029286","811.115133354076","810.724875191681","667.966114243829","668.666579760795","668.316347002312","536.050170123096","533.380313555909","534.715241839502","339.07563627014","334.085704240693","336.580670255417","578.934688698129","201.60409607942"
"26","MO_682","E108","623.67448151179","626.347204742705","625.010843127247","547.274403648663","527.46433518201","537.369369415337","458.573876272951","453.535377770026","456.054627021488","250.291538900139","242.886804911259","246.589171905699","507.629771476221","189.965813885025"
"27","MO_685","E112","740.227667680694","741.941372346899","741.084520013797","557.375323976582","543.596534920892","550.485929448737","390.172921636036","390.375335770589","390.274128703312","217.76944204594","212.938256048555","215.353849047248","484.672218904694","67.0820393249937"
"28","MO_686","E113","684.851261223924","687.367441766047","686.109351494986","505.351362914952","482.012447972042","493.681905443497","425.485838646834","422.611469187716","424.048653917275","231.67487995033","225.380234270887","228.527557110609","508.630514224225","227.241908302584"
"29","MO_687","E115","530.681075181695","531.193433276429","530.937254229062","441.861969397684","431.959474437128","436.910721917406","321.004328458356","320.076553343103","320.540440900729","191.659434646458","187.503794332275","189.581614489367","386.768260217924","66.9659382746184"
"30","MO_717","E149","344.217818030967","344.133377122882","344.175597576925","301.92512523803","296.3144971985","299.119811218265","246.036138097638","245.22081885517","245.628478476404","162.192208505834","156.84705926475","159.519633885292","269.300076587438","61.9558814802921"
"31","MO_722","E155","461.714264995137","462.041123710866","461.877694353002","445.007022416501","445.549730669877","445.278376543189","376.042132982463","372.699970187818","374.37105158514","248.951876429964","244.593776382393","246.772826406178","385.836196965759","99.0015019532533"
"32","MO_723","E154","473.585119886594","473.176716225556","473.380918056075","396.364888707363","385.066390379633","390.715639543498","334.371985967724","336.215146892581","335.293566430153","200.403168083741","195.586182482301","197.994675283021","357.376726998276","107.265150445054"
"33","MO_726","E158","741.802372453742","743.240528287445","742.521450370593","627.099050301466","588.1276169149","607.613333608183","487.758033364905","490.13443416679","488.946233765848","276.091743608895","271.990174250836","274.040958929866","559.190717813699","103.314973638868"
"34","MO_727","E161","519.544935389616","519.711716135975","519.628325762795","394.45561910689","393.783753404073","394.119686255482","315.465920328964","315.685295121582","315.575607725273","173.269299069397","169.80356297793","171.536431023664","348.551823661848","107.242288510643"
"35","MO_731","E164","589.812905528524","589.876870332275","589.8448879304","505.552008356213","502.409573608028","503.98079098212","384.106906686146","383.433773146028","383.770339916087","236.020556632256","232.73998104752","234.380268839888","429.386443095261","117.71323736097"
"36","MO_732","E165","617.663070281039","618.258695360607","617.960882820823","550.101467912966","534.993574727772","542.547521320369","392.015465256155","390.36753515117","391.191500203663","190.059201303173","183.806963959476","186.933082631324","464.756503331583","140.563597705807"
"37","MO_735","E170","823.671463361455","823.748625762132","823.710044561793","634.605197653628","613.860014806307","624.232606229968","443.731064697977","448.30748351773","446.019274107853","253.189652237211","247.459610621612","250.324631429412","577.308788161933","168.44695835188"
