"","","","Z_mid.distal","Z_distal.prox","Z_prox.petiolar"
"1","MO_634","E41","33.9349810904141","51.9898286530483","38.5088726173685"
"2","MO_636","E45","38.2349510679943","53.9436246444418","47.4768968706603"
"3","MO_639","E48","41.5145317989706","38.607663222301","55.616220069304"
"4","MO_641","E50","43.7764909709787","56.7016261347563","40.3034390884723"
"5","MO_642","E52","32.8988648480983","50.8227622011577","4.22423537126677"
"6","MO_645","E58","23.9745160751534","41.3967560863543","33.188233945145"
"7","MO_646","E60","48.3210274363552","53.3642593080125","41.7947809100966"
"8","MO_649","E63","35.9409143165776","44.5320770246934","46.05004295597"
"9","MO_651","E65","44.7243682682411","61.9477431786285","30.3096847487752"
"10","MO_652","E67","41.1085601676835","49.6306840238653","47.8981418058808"
"11","MO_653","E69","49.0976644419928","40.2692092155958","42.8022275112221"
"12","MO_655","E73","43.3416555508478","45.6254110132331","20.239213374257"
"13","MO_657","E75","33.0946665616249","42.0772914671475","48.405988964474"
"14","MO_658","E77","38.5675924196674","52.846206382467","30.946664993685"
"15","MO_664","E89","35.6536570861584","46.263753639088","36.0944860665447"
"16","MO_665","E90","38.3567688743403","38.7545389395701","25.6179745457587"
"17","MO_667","E92","39.9250748567739","40.6266011102242","43.246265618174"
"18","MO_670","E95","50.3062596674151","55.0623433898371","36.8698452883367"
"19","MO_672","E97","33.5912647730552","53.7998228705883","NaN"
"20","MO_673","588271 (Riparia parent)","51.0095035085883","29.6011704855094","40.8175555834161"
"21","MO_674","E98","36.2876564842819","48.5684910588684","26.2866179879023"
"22","MO_677","E101","41.5058325634811","65.6080506647763","41.688145048157"
"23","MO_678","E102","37.3941792491475","48.36365259354","34.6611019030865"
"24","MO_679","E103","35.4905993105656","47.526669790336","37.9116002173715"
"25","MO_680","E105","32.8610616157329","44.4425082151334","34.085108624408"
"26","MO_682","E108","41.1852610797033","47.049868168615","45.1621563671587"
"27","MO_685","E112","63.6480295475626","50.7046530954235","45.3040219029885"
"28","MO_686","E113","47.6630901924817","57.0690888866516","25.1550013932027"
"29","MO_687","E115","35.3920727971993","45.5994140505959","37.2675802609168"
"30","MO_717","E149","38.9025023224484","47.1807876525612","34.6418136033377"
"31","MO_722","E155","23.9931419496907","53.8054786736991","38.1940527284685"
"32","MO_723","E154","39.9230635642717","53.8660778013352","10.0505033433621"
"33","MO_726","E158","38.9339658461832","50.861394805027","39.573516648596"
"34","MO_727","E161","32.2830874388455","50.2793974460041","24.377577173215"
"35","MO_731","E164","33.2276053475828","47.1679343106294","44.6182982615572"
"36","MO_732","E165","38.4783456290245","55.1315699868717","29.2178381082651"
"37","MO_735","E170","28.6374021943085","42.9640667028","35.4177903293279"
"38","MO_736","E172","32.4847863113861","50.6384613330373","44.894397948961"
"39","MO_744","E181","41.3669792770871","47.152838368728","35.9247301871361"
"40","MO_753","E190","52.9376185762053","36.4501935105568","34.0076068549797"
"41","MO-835-E-358a.jpg","E358","44.3063209205446","47.319983523396","43.2776314608931"
"42","mo-844-e-374.jpg","E374","23.3140794236695","42.1426517148054","39.3047037571088"
"43","MO-854-E-386.jpg","E386","39.4154845266267","50.2774648876954","NaN"
