"","","","Z_midvein4","Z_midvein3","Z_midvein.ave","Z_distal.lobe3","Z_distal.lobe2","Z_distal.ave","Z_proximal.tip2","Z_proximal.tip1","Z_proximal.ave","Z_petiolar.vein6","Z_petiolar.vein5","Z_petiolar.ave","Z_distal.sinus","Z_proximal.sinus"
"1","MO_634","E41","416.04518477925","413.248635677119","414.646910228184","364.641789828045","360.398612341946","362.520201084995","275.779323213326","278.179012709442","276.979167961384","140.209256313554","135.610853385708","137.910054849631","316.599117006033","67.8114411880473"
"2","MO_636","E45","395.141114033961","397.637083280722","396.389098657342","521.997365893737","524.028863708861","523.013114801299","431.267028649304","435.521813460589","433.394421054947","233.668433422232","227.013085036964","230.340759229598","439.510238788586","245.400183374015"
"3","MO_639","E48","472.375454250112","472.207581472386","472.291517861249","345.059415173677","344.316114768101","344.687764970889","232.555216860426","230.419183229175","231.487200044801","136.693086877135","133.848226652429","135.270656764782","276.514652213947","63.3729507676579"
"4","MO_641","E50","419.237402911525","401.087742132566","410.162572522045","379.00428610901","378.435739444625","378.720012776817","293.174616530831","294.857400186938","294.016008358884","166.832637361519","163.308128667865","165.070383014692","319.584591131988","55.8211688250971"
"5","MO_642","E52","274.927717773236","271.501949860402","273.214833816819","231.919510703606","228.481191543199","230.200351123402","174.83519033078","177.323527612666","176.079358971723","89.9157352469522","84.9345911746209","87.4251632107865","204.615348344155","51.5388203202208"
"6","MO_645","E58","420.898146560424","421.640455575601","421.269301068012","350.017945968489","354.59307663856","352.305511303525","250.006499915502","250.878705752401","250.442602833952","148.530299939103","143.270722759397","145.90051134925","309.433454073731","76.3053078101386"
"7","MO_646","E60","613.023206376398","610.618397837799","611.820802107098","550.577750085308","548.013886482815","549.295818284062","423.301536076826","425.68717596141","424.494356019118","252.846356070243","247.366858914043","250.106607492143","434.494603981453","69.7710541700496"
"8","MO_649","E63","582.736003692924","584.991720026874","583.863861859899","519.613137343543","517.853743831209","518.733440587376","401.171075450362","398.488958163209","399.830016806786","267.62298574674","261.762416133409","264.692700940075","459.547096486312","139.75872065814"
"9","MO_651","E65","503.969803162848","503.033609712115","503.501706437481","398.942743385564","393.489834684455","396.21628903501","265.737652582392","262.517261337231","264.127456959811","116.189667737712","113.216606555752","114.703137146732","351.832435258604","60.4193677557122"
"10","MO_652","E67","437.718879850984","439.396176587826","438.557528219405","439.467006725192","414.164432187266","426.815719456229","284.488644569515","282.177249260106","283.332946914811","192.296252925011","187.091331827533","189.693792376272","364.01785670486","39.0320438229926"
"11","MO_653","E69","568.849972996396","567.174466789541","568.012219892968","484.880842865544","465.501873012343","475.191357938944","347.097019418202","346.776230122539","346.93662477037","226.171783779498","223.613532188909","224.892657984203","434.012465003023","83.2689084352616"
"12","MO_655","E73","334.260377550197","334.976248246051","334.618312898124","295.400681937263","290.499891184145","292.950286560704","217.012983226811","216.528413327212","216.770698277011","112.852003872328","111.053990873809","111.952997373068","257.25674702328","61.5729413947395"
"13","MO_657","E75","578.577998199033","577.505411230059","578.041704714546","447.121068615649","434.155790010913","440.638429313281","336.945470365755","333.979789807707","335.462630086731","195.416382373638","190.547894241841","192.98213830774","394.289758652187","109.85672487381"
"14","MO_658","E77","528.63575445575","527.689541092108","528.162647773929","431.865808762398","426.623820114395","429.244814438397","317.381317800844","312.12664701688","314.753982408862","179.156705149431","175.194534732109","177.17561994077","349.334956421484","74.3862009313556"
"15","MO_664","E89","655.545002269104","655.6157411167","655.580371692902","532.112031332688","511.998643444492","522.05533738859","396.475181793262","394.795074409497","395.635128101379","219.112328245126","213.774705914895","216.443517080011","444.499719660204","150.813192025764"
"16","MO_665","E90","366.031585765491","365.754500845854","365.893043305673","334.563895242747","330.097736705358","332.330815974053","224.859956417322","222.412040541874","223.635998479598","121.776113330981","118.230054931054","120.003084131017","288.001736105878","91.6952755380559"
"17","MO_667","E92","456.59883924513","455.855514390251","456.22717681769","353.236818579264","345.576058921911","349.406438750588","283.006735785564","285.954541841881","284.480638813722","185.011655038271","179.912826113093","182.462240575682","296.292507498924","79.8314630956993"
"18","MO_670","E95","284.816827101209","284.434197135295","284.625512118252","250.95491405629","248.281823517148","249.618368786719","185.873612973978","184.570447255242","185.22203011461","106.800046816469","103.121893892616","104.960970354543","215.418171884361","27.6371579580824"
"19","MO_672","E97","500.575668605656","500.980767872381","500.778218239019","422.833321246091","422.730417117103","422.781869181597","333.043565885906","331.477563008418","332.260564447162","121.016527796826","115.499886965313","118.258207381069","362.801813513935","90.4295348766098"
"20","MO_673","588271 (Riparia parent)","346.522906890728","346.486832361635","346.504869626182","294.479413541932","284.275504572589","289.37745905726","211.85977083911","213.87510958501","212.86744021206","146.643235251409","140.372718147082","143.507976699245","276.144210513275","87.9780761837857"
"21","MO_674","E98","573.642092249165","571.978692784967","572.810392517066","468.421418169579","466.840443834936","467.630931002258","336.58579886858","339.084244694442","337.835021781511","177.271684146115","173.328625737355","175.300154941735","393.94241330428","69.4208182031874"
"22","MO_677","E101","284.489564834987","286.04556018229","285.267562508638","305.397566933661","308.711710806377","307.054638870019","225.447107741483","225.6971785136","225.572143127542","130.685334976806","127.643902235869","129.164618606337","244.814342921325","18.0930895371686"
"23","MO_678","E102","452.415154231155","451.201333971876","451.808244101515","494.251011632753","493.357945613527","493.80447862314","414.155102454382","412.491148255329","413.323125354856","287.94947280556","283.358545643148","285.654009224354","358.415349141188","81.2186147936543"
