,V1
1,648.632963821734
2,679.546680312124
3,731.652320161053
4,782.00580836861
5,214.905183642726
6,250.824219941433
7,246.552105931105
8,163.103502637875
9,177.59219674544
10,204.899775915022
11,768.708811869765
12,762.755027592779
13,814.411930173606
14,-833.868899089811
15,-1702.911489545
16,-1417.77957950707
17,-1529.96854849802
18,-1011.67236726222
19,-584.405019546688
20,-229.379704642959
21,864.395080978491
22,964.55183110117
23,910.524121402248
24,898.283637416947
25,909.521560561728
26,955.636831581391
27,958.784913444022
28,919.97457986889
29,326.218421808114
30,352.026199023758
31,323.001307852267
32,-407.428601716605
33,-373.58898302019
34,-378.772413538561
35,1882.74520374006
36,359.731845544485
37,289.379112576941
38,-510.56275064197
39,-1779.97134000586
40,-1666.7387029684
41,-2170.39816279053
42,-2762.91861123991
43,732.292317805018
44,749.995108397176
45,850.427441331146
46,950.5657956672
47,277.898819499749
48,340.132607443596
49,319.213593266736
50,130.541984451285
51,162.928362027102
52,203.104270324519
53,814.156346549277
54,810.368907712433
55,896.505273272722
56,-922.881945473189
57,-1720.70861100716
58,-1379.18133464605
59,-1647.15528905978
60,-1270.14160040126
61,-796.513044531648
62,-723.70758428757
63,1222.15858165871
64,844.838901531672
65,794.366763063538
66,779.428860256966
67,770.774069138659
68,886.382143705327
69,886.880718174188
70,847.417658114882
71,231.215976112003
72,271.015279651084
73,214.46901550433
74,-16.9561739166441
75,44.5190566971572
76,8.96476673543633
77,1612.20531501339
78,160.432709407777
79,166.463733354499
80,-383.741678155909
81,-1928.24545149501
82,-1548.82774332534
83,-1999.65144897326
84,-2641.95247059475
85,718.558235579247
86,726.618695468633
87,798.693912524209
88,858.197337819442
89,217.544857711767
90,258.637093801442
91,244.622233501112
92,130.075910320241
93,144.58637431488
94,170.18842792315
95,703.86367973442
96,699.135935172108
97,748.014903317678
98,-745.847388246449
99,-1795.87106162671
100,-1523.19494692595
101,-1713.40282640207
102,-1201.47285190254
103,-666.819353794159
104,-159.627318693018
105,1387.49815040256
106,797.79575163683
107,772.817076142953
108,764.399555891608
109,739.091064344109
110,796.694491688306
111,792.223492630995
112,762.542369971555
113,252.90955983061
114,277.107278109079
115,244.590703934683
116,-210.566380361031
117,-181.471879774563
118,-201.161516287076
119,1832.21444789471
120,630.596996943908
121,476.104634876342
122,-304.641101499503
123,-1889.03738388198
124,-1682.86628176995
125,-2186.35514713905
126,-2482.98773318254
127,677.530035692168
128,681.340812263882
129,814.407220009708
130,880.572641126957
131,244.190947812722
132,290.805198701242
133,269.367632903093
134,142.116667183286
135,159.160701815589
136,174.786269988282
137,817.260538088278
138,815.885239833503
139,853.676599750588
140,-843.906416484949
141,-1765.3824521243
142,-1485.1910322505
143,-1732.65026997629
144,-1152.0074775341
145,-729.083707512465
146,-216.740924678067
147,1103.86177539138
148,849.241229377141
149,798.457915519462
150,884.771071404053
151,900.640100489869
152,849.366420405374
153,853.554476090972
154,821.028187844954
155,232.326108253356
156,258.104540654299
157,231.050956352726
158,-156.620973587427
159,-130.016325679229
160,-144.364585158163
161,1709.87476290532
162,407.88737484498
163,308.555063552574
164,-391.582035657806
165,-1750.48333013667
166,-1675.26926224386
167,-2005.35001835312
168,-2851.17167687881
169,707.816621020625
170,708.190719889707
171,825.731963521812
172,900.364845020578
173,301.126905212339
174,337.393610590182
175,313.573682232256
176,65.9298615494687
177,78.0822825671914
178,106.650548624852
179,820.764634694362
180,815.613929574207
181,862.198420190383
182,-1009.68865806746
183,-1710.05805641942
184,-1440.74510108962
185,-1513.97054391156
186,-950.733438208706
187,-529.307112823286
188,-187.328868956913
189,498.393754789001
190,918.604611524775
191,885.52354267323
192,931.749281293783
193,928.807695780607
194,960.842743521192
195,959.661298900311
196,921.160582810193
197,226.366496087193
198,250.801716277826
199,219.214649590373
200,-210.840209837601
201,-178.701164527022
202,-185.88778004214
203,1921.64821251329
204,146.738962199111
205,61.7071143925767
206,-430.411245127516
207,-1865.2799283947
208,-1619.51762562325
209,-1924.12997996224
210,-2918.05897405002
211,704.601108876788
212,701.56663781904
213,780.151657294203
214,858.664709937484
215,263.393921745646
216,300.493105044392
217,292.967716647325
218,170.136980862872
219,188.370205767225
220,209.738603080139
221,805.388056235581
222,801.512952834432
223,848.340343707668
224,-995.073778993383
225,-1728.33236189417
226,-1344.85519875823
227,-1625.47962156302
228,-1052.17253862154
229,-628.199525100217
230,-251.210091294276
231,699.997116372032
232,924.48438414159
233,877.851073782833
234,879.878009194256
235,872.960778188972
236,902.731567391134
237,906.62306766281
238,872.677509493448
239,279.041274709921
240,301.781147770752
241,273.404133585707
242,-54.8092013329618
243,-25.6471610801142
244,-34.6060657605988
245,1503.85507548899
246,268.127671293586
247,215.72515026563
248,-409.357813599654
249,-1866.88754056098
250,-1573.43007556317
251,-1951.41748021265
252,-3162.98550485949
253,736.044450718873
254,745.20367582632
255,826.331355827413
256,900.828196397367
257,221.197406160333
258,279.278944627254
259,253.400029260101
260,99.4318830231037
261,120.892982311347
262,159.723701300404
263,744.995311634422
264,749.723002953706
265,808.756115476553
266,-721.325063997433
267,-1746.75208684863
268,-1515.6681774843
269,-1710.66086126963
270,-880.004295313851
271,-561.847462002451
272,-127.916917216877
273,618.367808615981
274,922.161009882558
275,875.128126925686
276,854.618601693371
277,852.101190184468
278,921.790776721468
279,926.847548074081
280,875.075999630524
281,161.660287589643
282,199.54217606462
283,160.719687701119
284,-137.204573116132
285,-68.7051037873154
286,-106.894123960819
287,1952.48986646619
288,409.733908602841
289,237.406159023191
290,-586.496108118168
291,-1964.27901591532
292,-1663.10236435069
293,-2145.54795151966
294,-2677.04609779164
295,634.973746152634
296,640.666956080955
297,797.693851366801
298,858.679758594977
299,171.212904676106
300,208.230481660031
301,185.635153773661
302,113.385775443944
303,132.82327072908
304,157.857440159451
305,791.110819831914
306,792.161644021887
307,840.770034219521
308,-787.39707125643
309,-1724.35280774031
310,-1419.68195795246
311,-1735.39325737876
312,-1026.33310019229
313,-537.4973257391
314,-207.968718868845
315,1113.42240241724
316,805.884998494222
317,771.016746697473
318,832.937326629782
319,832.73612613298
320,858.237148773135
321,855.210900508259
322,828.422312983954
323,275.42535036871
324,298.594202959823
325,257.853897945537
326,-208.894876592601
327,-183.729040335257
328,-194.538096699558
329,1882.92479315773
330,448.475330373272
331,369.05887573875
332,-257.189996053223
333,-1880.02959393587
334,-1594.13420669174
335,-2061.33301463258
336,-2936.9291858228
337,709.607721164935
338,681.479713904554
339,745.020099441172
340,811.901949096262
341,181.099840819776
342,206.581879053653
343,196.787550352673
344,149.086798076282
345,159.377908985812
346,202.466779916098
347,762.423389126388
348,770.000525338727
349,812.592614060462
350,-835.466419796102
