,V1
1,634.032314775972
2,621.197683090703
3,682.042942973633
4,738.209102050258
5,226.768862287789
6,265.524009921145
7,274.849192856751
8,125.119456498433
9,135.962448215176
10,177.269149782641
11,720.322640556814
12,719.946733228461
13,767.886098549293
14,-1241.11912780372
15,-1329.46372211873
16,-1166.51119665686
17,-1214.16174910484
18,-684.197586634514
19,-248.5562576344
20,-321.337127354818
21,116.216132520815
22,954.795410500615
23,907.241194967461
24,898.992822068131
25,912.923822717854
26,824.528551864909
27,838.275510636091
28,797.250739564892
29,136.583113935813
30,162.260887726615
31,144.914450400625
32,-233.904062925323
33,-198.341902576531
34,-212.283904745754
35,1634.81351489691
36,-206.667752242075
37,-166.044815070963
38,-600.010758210366
39,-1528.01982268896
40,-1103.2899503805
41,-1473.05791417597
42,-2490.95913626346
43,583.173472556502
44,567.74048064738
45,650.414218431589
46,707.942981687474
47,200.154319153703
48,224.571272774376
49,211.213928951819
50,146.789807676941
51,161.226005959703
52,185.070040089946
53,674.094386407996
54,674.364656628706
55,713.601785292827
56,-909.5840969329
57,-1582.25307205214
58,-1270.04249263842
59,-1438.5788956106
60,-893.388273675635
61,-349.457664206253
62,18.2467668103594
63,724.700372046618
64,781.221944239449
65,741.996861646038
66,734.127927845297
67,721.276518992514
68,834.803320227451
69,837.481271849462
70,812.047191624125
71,324.905649459035
72,346.534991497751
73,320.922998275831
74,-234.693329251619
75,-203.350759270135
76,-219.547910299032
77,1507.51675570489
78,249.495332169811
79,226.900400707142
80,-524.818409359669
81,-1798.80176176513
82,-1392.76584857171
83,-1735.5125696731
84,-2329.7405760484
85,628.731918034026
86,638.663147078002
87,765.08420466543
88,828.704611143415
89,198.134509900297
90,233.556529234533
91,210.4883150648
92,102.151893972979
93,127.687934433489
94,154.04130768642
95,630.233844847813
96,639.228461411113
97,696.060864561417
98,-945.884050387109
99,-1691.80833989143
100,-1219.04530375318
101,-1442.92884393404
102,-1050.01216701063
103,-336.366452530069
104,-205.661402750264
105,1038.93901822301
106,808.657372675778
107,760.272812718827
108,825.407970855843
109,819.495166275703
110,769.710529602024
111,792.332201478357
112,725.941966267709
113,197.001238850339
114,230.698706574694
115,187.430791005126
116,-231.748738148112
117,-189.369968895841
118,-204.478314665066
119,1527.11629054818
120,117.043900142408
121,86.7619571760466
122,-566.990766829832
123,-1456.14248865264
124,-1094.75218555029
125,-1681.44180932153
126,-2422.94663210769
127,503.098979296831
128,519.851288594412
129,614.948001971579
130,678.248045288325
131,63.8619399358896
132,103.477733938375
133,79.6820477156778
134,53.7204011673816
135,70.3895703579931
136,99.4127152158521
137,723.56902557027
138,714.819878472548
139,762.901034840586
140,-555.090369385902
141,-1553.17107498772
142,-1268.54955630682
143,-1385.44429848151
144,-957.668579850096
145,-432.043849859548
146,164.350128138113
147,999.636938367756
148,791.070970059937
149,753.878228952835
150,778.584133847875
151,775.322610782732
152,747.517424401376
153,748.958342253211
154,716.21531092872
155,180.253395770794
156,204.624312841962
157,181.446129609356
158,-159.572587976523
159,-138.619259635221
160,-144.894098262411
161,1633.59006544258
162,421.591960931909
163,271.036842168224
164,-535.282961637044
165,-1447.38254553072
166,-1472.86653501555
167,-1762.43576029862
168,-2543.03597963542
169,625.737362114682
170,627.791527136192
171,671.903584075859
172,739.294575464722
173,181.830742085573
174,214.760960615129
175,205.422182756416
176,147.757747208629
177,167.382537333506
178,181.57407613962
179,588.421582864328
180,590.89654205059
181,619.892086812658
182,-812.008148282041
183,-1451.74555666424
184,-1230.64770120522
