,V1
1,-133.968623017629
2,-128.340592981987
3,-147.733512714882
4,-163.589498355148
5,-53.7789687582448
6,-60.4990177337138
7,-59.4919713818449
8,7.01599062656513
9,6.39443960564022
10,-1.34250040798775
11,-104.43553042264
12,-107.66259991717
13,-113.244529281752
14,165.20379020883
15,293.622387798551
16,231.568801201651
17,307.514479069569
18,173.254899304901
19,113.16690051984
20,-3.5912485366268
21,-220.063094825921
22,129.355433342924
23,119.237284702587
24,112.785499952837
25,113.829192830163
26,156.248718476644
27,158.213645026034
28,148.604174959046
29,43.6487172730591
30,48.432063560535
31,43.8472733197067
32,-42.3961974126392
33,-35.3921169713885
34,-38.3622017418784
35,291.888993457554
36,65.478110803165
37,51.2954539988064
38,-51.7051795198163
39,-311.765170533712
40,-280.06126809919
41,-340.875397235157
42,-382.307030189281
43,-111.716713500981
44,-106.34146928302
45,-113.140475104793
46,-125.808068482815
47,-55.9573277713719
48,-61.5632091422288
49,-62.2672597288428
50,-16.0719468456555
51,-17.3689604070899
52,-26.2174248645504
53,-112.520654121605
54,-110.836201258825
55,-116.729524868673
56,180.133844085711
57,288.678675627988
58,213.256290625719
59,248.760887708798
60,195.537242463718
61,80.2749334571375
62,24.4833075798056
63,-194.585946168428
64,148.620535983944
65,140.026238763903
66,131.109462722655
67,128.247790646374
68,157.051000342427
69,161.5855708062
70,151.434397309007
71,56.0612841387684
72,61.1268579574831
73,55.7501877352101
74,-35.9273733772511
75,-30.9713986678875
76,-31.7654668440374
77,260.603499878848
78,38.9994079071395
79,53.7963250375114
80,-35.0419102311846
81,-314.62888161853
82,-252.112252712037
83,-345.267723622904
84,-498.697552155639
85,-101.73203175073
86,-97.7557649371349
87,-114.084512696353
88,-122.975027977346
89,-39.6416957347813
90,-45.8720607890797
91,-46.3410516159807
92,-2.96604212926785
93,-4.78617133109157
94,-11.311155409495
95,-101.264483810156
96,-101.302689397088
97,-108.924845074843
98,128.834307530491
99,238.319285394849
100,207.330571005127
101,243.63127347645
102,199.157179004716
103,63.3107228166976
104,8.20923313317786
105,-189.835039708161
106,155.772181937665
107,147.99475725058
108,147.138080093845
109,148.478929934725
110,162.366237205129
111,164.086076741256
112,156.979076974611
113,52.6017359373692
114,57.5573737906092
115,52.5269166629605
116,-54.8214968824359
117,-50.5601624414688
118,-52.0490589317113
119,305.222352043335
120,56.1855721110583
121,26.7862791269475
122,-60.9629194286043
123,-329.137028258956
124,-229.495290075587
125,-342.213470582327
126,-514.456143209
127,-109.761312896946
128,-112.795071227098
129,-130.465522915747
130,-139.279002647776
131,-50.8265406631999
132,-60.610370996154
133,-59.2585805621303
134,-6.37245463314077
135,-9.32588863959543
136,-15.6838243267352
137,-137.311257217396
138,-136.224456488002
139,-143.333465337859
140,182.91451870995
141,299.458062177671
142,230.458469251393
143,275.781030799161
144,174.807994072754
145,48.775435768038
146,35.3861351507652
147,-136.33389737795
148,155.835191470411
149,143.420031878951
150,151.740768027405
151,152.498097589029
152,159.431018657515
153,162.566494276493
154,150.320863499744
155,32.0216443231495
156,40.2524696862566
157,34.2969630707631
158,-34.748991780706
159,-28.7776423046561
160,-32.3465264220594
161,270.94924394882
162,43.5513874231678
163,40.8841227698062
164,-101.424826743696
165,-254.07450818438
166,-265.973816070715
167,-343.792393197041
168,-476.629591918257
169,-122.1652881875
170,-122.200902097538
171,-132.973380700829
172,-140.580265932181
173,-35.6645005622526
174,-44.5649868109966
175,-42.1672955822131
176,-32.1697037067248
177,-34.8255284328112
178,-41.7136590883651
179,-126.325064811994
180,-127.438514864547
181,-133.904219247872
182,188.138152574555
183,291.43020217133
184,224.069553254529
185,241.476386901808
186,167.397088388205
187,66.0825518243033
188,24.7767091953828
189,-66.6773342842879
190,168.053083675295
191,158.095463595584
192,154.418149602163
193,153.587805445636
194,163.524090130979
195,168.100022647809
196,155.09712969745
197,48.547059522364
198,53.9030538051381
199,48.4623529311109
200,-37.36018204929
201,-29.492240521037
202,-31.6438858368355
203,290.845860927425
204,-19.5074590146516
205,1.9697407145362
206,-113.031219430361
207,-283.288793020833
208,-229.263224644768
209,-327.91737937818
210,-493.099428799532
211,-99.147702574174
212,-100.526387177532
213,-116.279487539292
214,-127.661102284514
215,-14.6428337935899
216,-21.855391540263
217,-23.1590675827535
218,-14.4907846757042
219,-19.7845458535936
220,-25.1512987948557
221,-141.357921216217
222,-140.110083284741
223,-150.862988656418
224,204.874610294553
225,220.795191647135
226,167.217767234825
227,118.975746630524
228,227.047986043592
229,70.0888050674583
230,53.5604544058122
231,-67.5309663502531
232,176.688425293941
233,160.723135693326
234,158.795281673132
235,161.131041603136
236,158.7134918169
237,161.927723734911
238,150.587338019357
239,45.6433888372857
240,53.3709228691431
241,46.2886540481711
242,-7.37509706528158
243,3.04277964030768
244,-1.24443648800435
245,182.153347133994
246,-44.3160768494194
247,-4.85975121869803
248,-20.0464143381999
249,-253.73925543679
250,-215.844824036687
251,-318.955028514369
252,-592.684646416154
253,-77.1744372535427
254,-75.0692067805925
255,-112.717748429402
256,-123.705286076693
257,-39.6199126539269
258,-45.7707635237079
259,-43.2004192124623
260,-24.9180896672553
261,-29.5750264375437
262,-34.0219784120439
263,-113.35897087659
264,-113.817101085194
265,-124.072272853785
266,137.278151709932
267,279.863086678647
268,224.052414816667
269,261.825121145812
270,155.338169392194
271,73.498841697604
272,33.4137345183938
273,-208.248306696512
274,131.96385093566
275,120.464812351435
276,121.857668162487
277,121.170972753743
278,146.314042126793
279,148.371642649187
280,136.384296677348
281,64.3906401983561
282,69.0353587680257
283,62.7041364650641
284,-28.6971181573556
285,-21.3727209421292
286,-24.620557565733
287,274.297003961368
288,57.1356492129651
289,63.5809405686371
290,-56.9038011072059
291,-329.697446900585
292,-203.688461642825
293,-282.848102646561
294,-569.842805868674
295,-107.50929499658
296,-114.020874647179
297,-126.643325239911
298,-137.868629650318
299,-19.9535582643932
300,-28.3426384975437
301,-28.3930061770657
302,-12.8296256365392
303,-16.8007365258482
304,-26.2408398458347
305,-122.557087507403
306,-123.599674727325
307,-133.178227285507
308,160.841032149118
309,259.189606321334
310,199.687702145378
311,244.702061424459
312,183.039060006431
313,94.5541252137385
314,71.8474600618557
315,-215.923528320863
316,158.775682118254
317,146.876988456446
318,142.301712934833
319,146.512008421382
320,152.358387165532
321,158.427326295056
322,145.039186958793
323,31.5840167293176
324,43.6484524358111
325,32.2154741681109
326,-33.8838584894075
327,-22.2851381770226
328,-30.2315778890975
329,260.224725143746
330,40.6397880307381
331,44.097048574127
332,-63.5325850565211
333,-298.783623274847
334,-210.340372772799
335,-283.410797335821
336,-560.232844436636
337,-113.562319529774
338,-116.541060545023
339,-130.410375672745
340,-140.497150311089
341,-41.413228754082
342,-47.3669110260006
343,-47.087989427795
344,13.3905273716176
345,11.0924483827811
346,5.97651730348785
347,-108.735222396987
348,-108.786570257006
349,-117.061471289801
350,96.8650061981265
351,252.986290232051
352,205.356832056704
353,252.862695839831
354,213.06650833828
355,121.390440674756
356,56.0476633724818
357,-257.572630559814
358,150.988070976028
359,141.602400091777
360,141.027124295478
361,140.60874189817
362,157.348736369519
363,158.78580907748
364,152.061292651918
365,23.6371752153584
366,31.6815722400206
367,19.6812222083818
368,-21.2134005900904
369,-14.9004501411819
370,-18.401219213421
371,284.754830867995
372,32.7331925982366
373,44.2297742619224
374,-65.7871861244907
375,-304.042872359133
376,-225.328392122443
377,-355.18231643609
378,-474.284105765435
379,-114.98343058498
380,-108.527212785862
381,-133.002689111415
382,-144.164390974339
383,-38.8251749256893
384,-46.1427543200183
385,-45.525087880495
386,-20.6534092260668
387,-24.9850187575254
388,-31.7876467569432
389,-145.030833529492
390,-146.005371581988
391,-155.718310446267
392,191.86981324524
393,294.544558271717
394,240.341937239397
395,256.818361728824
396,177.420126804027
