,V1
1,-115.037026712872
2,-117.387946453876
3,-125.640810781301
4,-133.850046558593
5,-44.4471835784907
6,-50.7138298965603
7,-51.3267046430662
8,-11.0797236074362
9,-15.4428572102685
10,-21.8567549293962
11,-114.993770734885
12,-114.458962293752
13,-124.364786977373
14,138.579486009861
15,273.194159809669
16,214.954166524251
17,230.406937718417
18,161.827354119517
19,90.268178356071
20,28.4822372000049
21,-97.1121153599238
22,150.62296806598
23,141.889327190419
24,136.556628800373
25,137.492186044171
26,156.946762141942
27,160.307415335497
28,149.187237859742
29,38.3196416471578
30,44.4691212273896
31,37.4971298771012
32,-76.5469741723493
33,-70.1327214464792
34,-75.5098696014452
35,319.374907444524
36,54.6185031421053
37,41.5531374064317
38,-78.3169580952275
39,-264.575074489933
40,-237.112441821372
41,-358.146561251955
42,-408.494365304073
43,-92.9474835755373
44,-97.4087100730822
45,-110.775283323719
46,-120.182227378298
47,-25.6193461764201
48,-29.7019090066786
49,-30.4500723765481
50,-26.4719787439033
51,-26.839383825983
52,-35.7529346839325
53,-149.257351293
54,-145.045397113529
55,-153.709326899091
56,195.017874883029
57,174.201261618408
58,233.561571734505
59,228.98723572977
60,216.338890056421
61,222.946421327471
62,21.6056604846759
63,-248.497511364558
64,122.410814377634
65,114.987306397913
66,116.977419721303
67,116.488694788099
68,112.337358759192
69,115.310898826575
70,107.513440075701
71,-43.6217657056875
72,-38.0515164452672
73,-40.2732275568999
74,-41.1831682061123
75,-35.4928654146838
76,-35.4867564539853
77,205.386289563284
78,174.209022282808
79,99.1579657769247
80,-68.6811802690884
81,-101.349537738045
82,-209.783339327134
83,-321.041177445167
84,-349.81467600736
85,-100.392977415549
86,-103.409276916731
87,-141.253346586297
88,-150.700105810459
89,-15.9243485406665
90,-22.2805769250823
91,-18.6740514327156
92,6.61508593844872
93,2.80193698228228
94,-1.68155004846378
95,-116.990761444393
96,-117.069745514033
97,-125.532042743717
98,144.671445607781
99,251.028395721009
100,204.402287281062
101,198.284373197244
102,199.766050344387
103,115.234080132747
104,3.92245350258378
105,-212.817325329436
106,108.061486173553
107,100.665575380402
108,114.440793868445
109,113.648697144538
110,117.90385009082
111,118.588446358628
112,111.975126827232
113,4.36938505461423
114,7.83220060093066
115,0.70288641691365
116,-27.0016909883399
117,-19.6705060715991
118,-22.5229566886709
119,292.44418637067
120,145.666378691822
121,100.760647516778
122,25.2891075390029
123,-285.63132067607
124,-255.359240329277
125,-357.324583582951
126,-394.83846969744
127,-114.024951366785
128,-113.995687722211
129,-122.027328798718
130,-135.117964064674
131,-6.80314126328214
132,-10.9205931908373
133,-9.672139873929
134,41.6273287910661
135,38.5109538562155
136,32.7284061519967
137,-140.107684045221
138,-138.286475782465
139,-150.92374820352
140,95.4595225960533
141,227.400016224017
142,180.241145266553
143,255.857758389232
144,216.491373288706
145,133.687016581924
146,-37.893148356046
147,-242.230658478076
148,106.42415951761
149,97.7030315562856
150,88.7965274642941
151,89.4518833591993
152,128.940710889982
153,129.217162566294
154,121.71914453337
155,0.603010162810656
156,4.12843646998618
157,-2.63705293414252
158,-32.8771933193295
159,-25.1750289986459
160,-23.5811675887571
161,286.248665138638
162,160.240207692009
163,90.5232612118058
164,-31.9270977386451
165,-221.999844337103
166,-206.603235503087
167,-377.961953151787
168,-381.233626990795
169,-125.188051468763
170,-122.466687155221
171,-147.723172426239
172,-156.764937952588
173,-33.8282983099546
174,-40.9816209010155
175,-40.8215998802358
176,22.1387650828888
177,18.1904774285486
178,11.72776962405
179,-140.168411117101
180,-138.023720820902
181,-149.441158652639
182,108.626684964434
183,260.394874544498
184,225.96022479544
185,260.629027217969
186,187.014727905408
187,89.9397552347855
188,-10.5807632997428
189,-78.6338848136218
190,135.928500445248
191,127.556739640443
192,129.567132543757
193,129.919246684693
194,145.812594698056
195,150.156299003598
196,141.943896108583
197,18.3948659577386
198,26.2623829049961
199,16.5655818023544
200,-38.3979893362456
201,-29.6819438092578
202,-33.3657774717509
203,278.660502006817
204,96.2055346799595
205,61.3379810078299
206,-74.1889819930014
207,-324.174163797076
208,-251.917493108393
209,-305.338270820403
210,-401.246637147944
211,-97.0934575728873
212,-99.30704605516
213,-116.921131343808
214,-127.368206906705
215,-5.94424547957233
216,-11.8256099700857
217,-8.61189046474125
218,-12.9019282050364
219,-15.2269471058101
220,-21.3576468619924
221,-139.933885763834
222,-138.600459185572
223,-147.648346429822
224,71.6393382206163
225,238.791092096441
226,220.633655100878
227,254.169967960272
228,181.343856409852
229,84.3241568922476
230,6.90363982940504
231,-115.064905164683
232,125.032126744321
233,116.16950030126
234,122.180334556997
235,124.505146220542
236,138.791987577181
237,138.144131572536
238,131.021943112456
239,17.0036793256284
240,21.6754968165607
241,17.4643563229377
242,-35.6161083486845
243,-31.7310583244225
244,-32.1566347179197
245,269.150800343683
246,148.932971071706
247,105.646659094352
248,-47.6312879540793
249,-321.820518637771
250,-283.180832983101
251,-392.331348648813
252,-331.251343445373
253,-108.629381608258
254,-112.284458099801
255,-119.298828792967
256,-139.180280424971
257,-45.0506870439541
258,-57.9902022015955
259,-51.8290787772141
260,-9.05066963528612
261,-8.96279768190667
262,-18.3797618631443
263,-107.698194245398
264,-109.32033591993
265,-122.112032037367
266,172.202128353862
267,265.219149121456
268,210.956700747322
269,206.899040710535
270,75.2418935411084
271,25.3379999480731
272,48.6239752761015
273,5.30582063333595
274,155.071080941841
275,145.137214981979
276,137.944723381365
277,139.166189489605
278,162.473503304709
279,162.266378935544
280,154.514272157939
281,20.9696896152676
282,28.8618636531785
283,20.6153221385395
284,-89.1962677794635
285,-82.5640428893362
286,-87.3403020046178
287,360.213027951343
288,72.977209002011
289,29.8500526144313
290,-112.341895880146
291,-277.44559041646
292,-258.408066550795
293,-260.469355626757
294,-422.295007020177
295,-135.3504812072
296,-133.755549864496
297,-157.922672707051
298,-164.434360727925
299,2.20549838184191
300,-4.63143219354674
301,2.55126496094211
302,2.68197234529203
303,-0.532355176608973
304,-4.27094305343104
305,-124.091292199747
306,-123.347243407687
307,-132.362458102809
308,145.48853705518
309,276.897767375086
310,223.482451978669
311,257.591100197666
312,123.793374774339
313,81.6604247600764
314,8.52371406443594
315,-144.177317253024
316,125.77562509188
317,119.656918743668
318,116.731859568081
319,115.395207878383
320,156.471851761499
321,155.068437658023
322,146.109778464525
323,26.8771927731838
324,30.9677341863162
325,22.7363599972927
326,-89.8193868171635
327,-82.2871827593937
328,-87.9547014297471
329,311.334554506439
330,117.433602285519
331,85.094034544338
332,-86.0297175694443
333,-192.887280814043
334,-252.089868709547
335,-328.852011223766
336,-409.733008136047
337,-112.221461251579
338,-113.479380346364
339,-121.610981262318
340,-128.047098848724
341,-21.9614071388673
342,-27.3080872096147
343,-26.9452710739091
344,26.1035940340537
345,22.2503597262302
346,17.2765465419431
347,-124.69181652132
348,-123.208421509151
349,-132.267625377158
350,71.3504190232969
351,249.258007565355
352,193.516606787921
353,240.840899563299
354,178.137234687555
