,V1
1,307.156867947843
2,316.854030731465
3,353.293544315132
4,400.64155243326
5,115.896834195458
6,153.263632641508
7,133.541463261183
8,81.1419670129968
9,95.3515600893582
10,115.143056008957
11,397.013200903281
12,392.827393904682
13,437.174883362772
14,-361.447312430083
15,-917.303973356745
16,-764.798961887939
17,-813.504771114489
18,-498.215978644524
19,-329.038448282617
20,-76.2154870500138
21,461.224945958521
22,444.99627149778
23,415.797877999917
24,416.618762896102
25,420.228698545833
26,426.729025356159
27,430.915575977519
28,406.656229809995
29,127.499752856124
30,151.467585014732
31,132.614415184973
32,-39.0402360011808
33,-6.92445171621991
34,-14.5291724564259
35,897.598493329119
36,166.736771783143
37,105.152267819163
38,-384.96789530267
39,-890.664039954537
40,-797.143607244633
41,-1062.37078642022
42,-1347.37153897467
43,291.704928900242
44,293.502733974971
45,369.317604249546
46,401.437810411122
47,105.037954209957
48,140.01081854323
49,127.699669575872
50,118.339961060939
51,126.116106280741
52,149.412411453713
53,355.096207773012
54,364.286956144996
55,398.994479161059
56,-469.698059903575
57,-827.813714230739
58,-642.114352836329
59,-798.678904664985
60,-580.132299891743
61,-292.076469565248
62,-163.630658959114
63,533.186818312338
64,432.853811300595
65,403.49547648664
66,434.330890137329
67,437.373039100884
68,416.797027147958
69,423.339469547883
70,395.99674174004
71,188.753071934377
72,211.217291205186
73,188.221804143659
74,-0.856211681768803
75,20.827171146179
76,11.8339188693018
77,735.835877521448
78,86.4799067952341
79,92.000330562324
80,-199.418831155386
81,-992.447951946262
82,-748.637903170096
83,-952.314859122128
84,-1585.68007056339
85,297.950880420013
86,305.535373472364
87,342.974364221139
88,375.910549981543
89,124.443319319182
90,154.654760606732
91,141.763412601955
92,27.5982014308637
93,41.3771548108911
94,52.9715574983917
95,347.642498509893
96,346.362016428875
97,381.311852430955
98,-350.252346101374
99,-816.316789732217
100,-684.6916770062
101,-775.515697279035
102,-502.016477712298
103,-281.413934537903
104,-59.7227398120548
105,529.433720448291
106,453.99695094768
107,428.927870792358
108,405.938967742791
109,405.836427472282
110,447.789951981675
111,454.099986352496
112,427.607707694831
113,123.758147338943
114,141.555856179782
115,118.875912123699
116,-4.86720386445311
117,24.6424017238457
118,10.123871416253
119,859.830277740068
120,150.401710554381
121,111.565999418539
122,-188.696846156873
123,-941.598529118261
124,-832.496981309284
125,-1034.92326591769
126,-1562.36921311306
127,304.289491189063
128,309.472661271431
129,352.826187784033
130,380.020607374498
131,68.1456809901866
132,87.6688879409459
133,84.3047879123244
134,74.135132919675
135,84.5601690887297
136,107.979038012132
137,390.306092295233
138,385.848375385116
139,428.292706782964
140,-411.262150160512
141,-792.136014943655
142,-662.918355233657
143,-777.028373681532
144,-523.063237009086
145,-328.441444000759
146,-146.875680088319
147,583.875436171175
