Indv_ID,ZLi7,ZB11,ZNa23,ZMg26,ZAl26,ZP31,ZS34,ZK39,ZCa44,ZFe54,ZMn55,ZCo59,ZNi60,ZCu63,ZZn66,ZAs75,ZRb85,ZSr88,ZMo98
1,-0.203343354,-0.052892101,-0.40012162,-1.076708238,-0.339460573,-1.440502575,-0.496516368,-1.042335473,-0.263837125,-0.29643249,0.561911028,0.850002948,1.082790405,-1.209826406,0.643762533,-0.354193151,-1.078875263,-0.991246486,-1.31096123
2,-0.247432354,-0.996062898,-0.116439802,-1.524713179,-0.120256793,-0.197744966,0.839422844,-0.397475455,-0.786417635,0.120650188,0.47716073,2.30775342,0.400042743,-0.713868268,-0.964548029,-0.148505238,-0.649630465,-1.104258943,-0.340063514
4,0.189571646,-0.942890572,-0.018005323,-1.563450241,0.124484858,-0.033290477,-0.836388565,0.148676927,-0.590447485,0.313014727,-0.207568607,1.093884395,0.015846613,-0.501431631,0.944314765,-0.107112784,-0.501344438,-0.57591096,0.003575603
5,0.287060646,0.271171021,-0.065216605,-0.200814951,0.28458988,-0.021847212,-0.679629665,-0.110499004,1.006298798,0.370367075,0.075637319,1.040703455,0.448989482,0.216089613,0.063349847,-0.355410467,-0.896127081,0.974356614,0.044428016
6,1.955503646,-1.33348724,-0.367588762,1.794012137,2.482158909,-0.815924154,-0.663916197,-0.056406506,-0.246943556,2.219456063,0.523475628,3.399341582,6.075937424,-0.007315842,-0.084063784,1.483811008,-0.465944197,0.63025667,0.511095456
7,-0.153341354,-0.917425486,-0.192284096,-0.830648382,-0.088171351,-1.029971154,-0.315363179,-0.909238578,0.043872204,-0.124661565,1.136883619,1.536288454,0.56215946,-0.768666258,-0.68362084,-0.399359614,-1.177742201,-0.524023263,-0.462419797
9,0.047248646,-1.617901551,0.129835256,-0.331100337,0.069546172,-0.602152944,0.271286099,-0.821890027,-0.031965325,-0.227267102,0.626292866,0.362698704,0.31825181,-0.218782955,-0.373676694,-0.248884199,-0.827638895,-0.272924699,-0.768994751
11,-0.367892354,1.150070392,-0.473472167,0.254072814,-0.456899248,1.332205123,2.581120948,0.260892306,0.406749777,-0.248526269,-0.345987479,-0.571343305,-0.504840943,1.640100221,-0.015726133,0.695332124,-0.756527077,0.846132447,-0.30135591
12,0.435525646,-0.532184487,-0.040349026,0.298316183,0.400781426,0.101931773,-0.090923516,-0.868524383,1.003165546,0.319603433,0.65167234,0.081103851,0.546201423,-0.049502485,-0.362438138,0.049092649,-0.976030682,0.492891514,0.455997532
13,0.135679646,-1.087222006,-0.371637396,-0.427915686,0.102018099,-1.026293728,0.597682946,-0.837775653,0.277318228,0.41427247,1.699787578,2.075121013,1.286974947,-0.892078432,-0.302125091,-0.567107068,-0.773905198,-0.489634913,-0.73539857
14,-0.133447354,-0.111308254,-0.230587692,0.356649718,-0.194764463,-1.59705104,-1.159612964,-1.364859202,0.587466983,-0.233283854,1.227778287,-0.188764399,-0.022362586,-0.706611095,-0.471486621,-0.522404509,-1.011755533,0.038925137,-0.862399882
15,1.531041646,0.35121974,-0.32679645,-0.118057367,1.435440493,-1.164274509,-0.362327708,-0.677299794,1.636181084,1.65746392,4.560629293,1.913510632,1.125939448,-0.988879275,0.428208512,0.750871951,-0.930508408,1.103476302,0.368037587
16,0.004809646,1.292882576,-0.366209421,1.452976135,-0.016085627,-0.442967455,1.060414774,-0.897502718,1.927250526,0.004270353,1.404731798,0.668331417,0.474140192,-0.257686196,-0.577147346,-0.20998199,-1.05512057,1.895741868,0.048023549
