Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
E_70,3.926979485,-1.036360241,0.405406439,-1.427674898,3.895203798,0.488426875,0.022923051,-0.146175007,-1.884145541,4.013931907,-0.776495775,3.921126147,3.161071739,2.413438073,-1.010317922,2.864227915,0.790413656,-2.072085738,1.17310103,-0.111312865
E_209,-0.315637883,1.89326733,-0.211165155,0.526220586,-0.278905331,-0.617181448,-1.151841627,-1.183138946,2.135336978,-0.386893042,0.600944895,-0.776598085,-0.103671191,-0.521572058,-1.006615251,-0.511823625,-1.039314855,1.823515365,-0.226750756,-0.157929859
E_224,-0.422173574,-0.688009002,-0.060095532,-1.166745905,-0.426291397,0.010132386,-0.278005078,0.432813923,-0.655672052,-0.501777529,-0.764778699,-0.542896449,4.616028487,0.535355174,0.152254672,-0.782447032,0.413013765,-0.719404493,-0.238867016,-0.232847285
E_63,-0.198285375,0.628976405,0.62707384,-0.901487767,-0.207121657,2.629974508,2.016144676,2.169915212,-0.90820966,-0.247841038,-0.84904643,-0.749121437,-0.347454508,2.278970589,-0.42427238,0.156256812,0.006257089,-1.17839312,1.956110196,-0.24597153
E_102,-0.406068197,3.407456208,-0.157915344,0.936826584,-0.363581797,0.398953713,0.736387218,-0.713926499,1.458927731,-0.192149096,-0.076071923,-0.912536,-0.214838998,1.178231651,-0.545148055,-0.305125098,-0.269373435,1.230760035,-0.536475816,-0.030534051
E_87,0.267139453,0.942488323,-0.223374569,1.205273895,0.415708357,-1.845291283,-0.496352303,-1.773332133,0.644782604,0.337303386,0.726344961,-0.065050483,1.073261488,-0.746403062,-0.507188315,0.02268685,-0.705866776,0.04585122,-1.511024261,-0.164495402
E_71,-0.072318274,-0.405614874,-0.238091395,-0.605308647,-0.135915891,-0.636425584,0.631478139,-0.699545177,1.026322511,-0.012269672,0.12281296,-0.46462257,1.638732246,0.326344437,-0.727529239,0.16650505,-1.051403695,0.684201523,-0.200848587,-0.251983183
E_79,-0.291520134,2.938468522,-0.059638665,0.760895317,-0.332354541,-1.189755774,0.20974088,-1.363188011,1.715394953,-0.180393335,0.513846183,-0.684864036,0.16722898,0.656138355,-0.89890119,-0.1091105,-0.619360795,1.08200838,-0.74969426,-0.202911305
E_78,0.019119831,-0.153716232,-0.140880717,-0.666404003,-0.018271938,-1.381203808,-1.073018525,-1.093601902,0.599304908,0.034068055,0.824497067,-0.449633315,0.357097498,-1.447033427,-1.00711048,-0.428525538,-0.897580234,0.043092387,-1.533367665,-0.164935608
E_77,-0.446304621,0.454234717,-0.31712409,0.339933555,-0.373354643,-0.406044509,0.062982997,-0.416107698,1.167545487,-0.054231879,-0.305585525,-1.048442739,-0.335459979,-0.330726209,-0.627539895,-0.343768878,-0.867893113,1.166533751,1.76757406,-0.152663013
E_84,0.029677686,0.187486446,0.061745699,-0.194027873,0.075016301,-0.059294663,0.05901071,-0.995824219,0.550321198,0.009424417,5.06423404,1.518719801,1.686207287,-0.487571799,0.344487561,-0.155604073,-0.612778234,-0.106134728,-0.550520635,-0.107748083
E_41,1.340418614,-0.144589738,0.13851372,-0.670022781,1.189735937,-0.828221111,-0.260482491,-0.849184079,0.199414349,1.026001224,0.515587885,0.582771106,1.489647922,-0.754432421,-0.493541515,0.37110343,-1.118960582,-0.027638968,0.279257041,-0.137928271
E_186,0.853822627,-0.64913833,0.318527547,-0.458498801,0.743113383,-2.027356955,-1.726674559,-0.944080999,-0.197746018,0.399020424,0.779774504,0.639547052,0.76114395,-1.807230953,-0.637392325,0.529382227,-0.34559622,-0.634390536,-1.286607733,-0.069647106
E_160,1.106726698,-0.92967011,-0.061524717,-0.255548653,1.05765976,-1.414640085,-1.552739606,-0.754670084,-0.372883453,1.727807847,-0.452032948,0.315778945,-0.250917913,-1.473911447,0.345781945,1.017451469,-0.672736991,-0.718528617,-0.852614944,-0.160163792
E_27,0.902181755,-0.168735675,-0.051600367,-1.38224291,0.894789851,-0.554848401,-0.659261494,-0.698976948,0.861174358,0.687392046,3.254227711,1.345073201,0.920462405,-0.913696786,1.387436511,1.789426039,-1.218261721,0.5887796,-0.250444068,-0.116555084
E_110,-0.327296145,3.046910193,0.086849183,1.724874987,-0.363865743,0.712321764,-1.103339277,-0.775578714,0.898618193,-0.366590576,-0.326851587,0.033707052,0.167946737,-0.278896164,0.297566603,-0.061618376,-0.613007234,1.372297852,-0.197937408,0.065657146
