IVNO	genus_species	number	Vineyard	Row 	Plant	rep	row_plant_xyz
588142	Vitis_vulpina	8	I1	1	7	X	1_7_X
588142	Vitis_vulpina	8	I1	1	7	Y	1_7_Y
588142	Vitis_vulpina	8	I1	1	7	Z	1_7_Z
588214	Vitis_riparia	10	I1	1	27	X	1_27_X
588214	Vitis_riparia	10	I1	1	27	Y	1_27_Y
588214	Vitis_riparia	10	I1	1	27	Z	1_27_Z
588199	Vitis_cinerea	9	I1	1	43	X	1_43_X
588199	Vitis_cinerea	9	I1	1	43	Y	1_43_Y
588199	Vitis_cinerea	9	I1	1	43	Z	1_43_Z
588147	Vitis_rupestris	11	I1	1	49	X	1_49_X
588147	Vitis_rupestris	11	I1	1	49	Y	1_49_Y
588147	Vitis_rupestris	11	I1	1	49	Z	1_49_Z
588155	Vitis_palmata	10	I1	1	51	X	1_51_X
588155	Vitis_palmata	10	I1	1	51	Y	1_51_Y
588155	Vitis_palmata	10	I1	1	51	Z	1_51_Z
588210	Vitis_cinerea	8	I1	1	53	X	1_53_X
588210	Vitis_cinerea	8	I1	1	53	Y	1_53_Y
588210	Vitis_cinerea	8	I1	1	53	Z	1_53_Z
588335	Vitis_rupestris	9	I1	1	79	X	1_79_X
588335	Vitis_rupestris	9	I1	1	79	Y	1_79_Y
588335	Vitis_rupestris	9	I1	1	79	Z	1_79_Z
588205	Vitis_cinerea	9	I1	2	1	X	2_1_X
588205	Vitis_cinerea	9	I1	2	1	Y	2_1_Y
588205	Vitis_cinerea	9	I1	2	1	Z	2_1_Z
588181	Vitis_rupestris	11	I1	2	27	X	2_27_X
588181	Vitis_rupestris	11	I1	2	27	Y	2_27_Y
588181	Vitis_rupestris	11	I1	2	27	Z	2_27_Z
588165	Vitis_labrusca	8	I1	2	47	X	2_47_X
588165	Vitis_labrusca	8	I1	2	47	Y	2_47_Y
588165	Vitis_labrusca	8	I1	2	47	Z	2_47_Z
318684	Vitis_acerifolia	11	I1	2	67	X	2_67_X
318684	Vitis_acerifolia	11	I1	2	67	Y	2_67_Y
318684	Vitis_acerifolia	11	I1	2	67	Z	2_67_Z
588149	Vitis_x_doaniana	10	I1	2	73	X	2_73_X
588149	Vitis_x_doaniana	10	I1	2	73	Y	2_73_Y
588149	Vitis_x_doaniana	10	I1	2	73	Z	2_73_Z
588146	Vitis_rupestris	12	I1	3	17	X	3_17_X
588146	Vitis_rupestris	12	I1	3	17	Y	3_17_Y
588146	Vitis_rupestris	12	I1	3	17	Z	3_17_Z
588190	Vitis_riparia	14	I1	3	23	X	3_23_X
588190	Vitis_riparia	14	I1	3	23	Y	3_23_Y
588190	Vitis_riparia	14	I1	3	23	Z	3_23_Z
588152	Vitis_palmata	9	I1	3	39	X	3_39_X
588152	Vitis_palmata	9	I1	3	39	Y	3_39_Y
588152	Vitis_palmata	9	I1	3	39	Z	3_39_Z
271662	Vitis_rupestris	9	I1	3	49	X	3_49_X
271662	Vitis_rupestris	9	I1	3	49	Y	3_49_Y
271662	Vitis_rupestris	9	I1	3	49	Z	3_49_Z
588173	Vitis_labrusca	10	I1	3	51	X	3_51_X
588173	Vitis_labrusca	10	I1	3	51	Y	3_51_Y
588173	Vitis_labrusca	10	I1	3	51	Z	3_51_Z
588182	Vitis_labrusca	10	I1	3	59	X	3_59_X
588182	Vitis_labrusca	10	I1	3	59	Y	3_59_Y
588182	Vitis_labrusca	10	I1	3	59	Z	3_59_Z
588201	Vitis_palmata	12	I1	3	63	X	3_63_X
588201	Vitis_palmata	12	I1	3	63	Y	3_63_Y
588201	Vitis_palmata	12	I1	3	63	Z	3_63_Z
588141	Vitis_acerifolia	11	I1	3	69	X	3_69_X
588141	Vitis_acerifolia	11	I1	3	69	Y	3_69_Y
588141	Vitis_acerifolia	11	I1	3	69	Z	3_69_Z
588128	Vitis_labrusca	11	I1	3	71	X	3_71_X
588128	Vitis_labrusca	11	I1	3	71	Y	3_71_Y
588128	Vitis_labrusca	11	I1	3	71	Z	3_71_Z
588198	Vitis_cinerea	10	I1	3	81	X	3_81_X
588198	Vitis_cinerea	10	I1	3	81	Y	3_81_Y
588198	Vitis_cinerea	10	I1	3	81	Z	3_81_Z
588188	Vitis_rupestris	11	I1	3	87	X	3_87_X
588188	Vitis_rupestris	11	I1	3	87	Y	3_87_Y
588188	Vitis_rupestris	11	I1	3	87	Z	3_87_Z
588204	Vitis_riparia	14	I1	3	89	X	3_89_X
588204	Vitis_riparia	14	I1	3	89	Y	3_89_Y
588204	Vitis_riparia	14	I1	3	89	Z	3_89_Z
588200	Vitis_cinerea	10	I1	3	91	X	3_91_X
588200	Vitis_cinerea	10	I1	3	91	Y	3_91_Y
588200	Vitis_cinerea	10	I1	3	91	Z	3_91_Z
588160	Vitis_rupestris	14	I1	3	105	X	3_105_X
588160	Vitis_rupestris	14	I1	3	105	Y	3_105_Y
588160	Vitis_rupestris	14	I1	3	105	Z	3_105_Z
588144	Vitis_acerifolia	12	I1	3	107	X	3_107_X
588144	Vitis_acerifolia	12	I1	3	107	Y	3_107_Y
588144	Vitis_acerifolia	12	I1	3	107	Z	3_107_Z
588174	Vitis_rupestris	11	I1	4	17	X	4_17_X
588174	Vitis_rupestris	11	I1	4	17	Y	4_17_Y
588174	Vitis_rupestris	11	I1	4	17	Z	4_17_Z
588167	Vitis_riparia	11	I1	4	21	X	4_21_X
588167	Vitis_riparia	11	I1	4	21	Y	4_21_Y
588167	Vitis_riparia	11	I1	4	21	Z	4_21_Z
597112	Vitis_x_champinii	12	I1	4	29	X	4_29_X
597112	Vitis_x_champinii	12	I1	4	29	Y	4_29_Y
597112	Vitis_x_champinii	12	I1	4	29	Z	4_29_Z
588138	Vitis_labrusca	10	I1	4	53	X	4_53_X
588138	Vitis_labrusca	10	I1	4	53	Y	4_53_Y
588138	Vitis_labrusca	10	I1	4	53	Z	4_53_Z
588123	Vitis_sp.	11	I1	4	103	X	4_103_X
588123	Vitis_sp.	11	I1	4	103	Y	4_103_Y
588123	Vitis_sp.	11	I1	4	103	Z	4_103_Z
588169	Vitis_labrusca	12	I1	4	107	X	4_107_X
588169	Vitis_labrusca	12	I1	4	107	Y	4_107_Y
588169	Vitis_labrusca	12	I1	4	107	Z	4_107_Z
597228	Vitis_labrusca	8	I1	8	25	X	8_25_X
597228	Vitis_labrusca	8	I1	8	25	Y	8_25_Y
597228	Vitis_labrusca	8	I1	8	25	Z	8_25_Z
588277	Vitis_labrusca	8	I1	8	61	X	8_61_X
588277	Vitis_labrusca	8	I1	8	61	Y	8_61_Y
588277	Vitis_labrusca	8	I1	8	61	Z	8_61_Z
597203	Vitis_labrusca	7	I1	9	1	X	9_1_X
597203	Vitis_labrusca	7	I1	9	1	Y	9_1_Y
597203	Vitis_labrusca	7	I1	9	1	Z	9_1_Z
597172	Vitis_labrusca	9	I1	9	35	X	9_35_X
597172	Vitis_labrusca	9	I1	9	35	Y	9_35_Y
597172	Vitis_labrusca	9	I1	9	35	Z	9_35_Z
588307	Vitis_labrusca	9	I1	9	67	X	9_67_X
588307	Vitis_labrusca	9	I1	9	67	Y	9_67_Y
588307	Vitis_labrusca	9	I1	9	67	Z	9_67_Z
313922	Vitis_riparia	11	I1	9	93	X	9_93_X
313922	Vitis_riparia	11	I1	9	93	Y	9_93_Y
313922	Vitis_riparia	11	I1	9	93	Z	9_93_Z
483176	Vitis_riparia	8	I1	10	13	X	10_13_X
483176	Vitis_riparia	8	I1	10	13	Y	10_13_Y
483176	Vitis_riparia	8	I1	10	13	Z	10_13_Z
588369	Vitis_riparia	10	I1	10	15	X	10_15_X
588369	Vitis_riparia	10	I1	10	15	Y	10_15_Y
588369	Vitis_riparia	10	I1	10	15	Z	10_15_Z
588333	Vitis_rupestris	12	I1	10	19	X	10_19_X
588333	Vitis_rupestris	12	I1	10	19	Y	10_19_Y
588333	Vitis_rupestris	12	I1	10	19	Z	10_19_Z
588352	Vitis_cinerea	9	I1	10	21	X	10_21_X
588352	Vitis_cinerea	9	I1	10	21	Y	10_21_Y
588352	Vitis_cinerea	9	I1	10	21	Z	10_21_Z
588269	Vitis_riparia	11	I1	10	23	X	10_23_X
588269	Vitis_riparia	11	I1	10	23	Y	10_23_Y
588269	Vitis_riparia	11	I1	10	23	Z	10_23_Z
588258	Vitis_riparia	14	I1	10	25	X	10_25_X
588258	Vitis_riparia	14	I1	10	25	Y	10_25_Y
588258	Vitis_riparia	14	I1	10	25	Z	10_25_Z
588257	Vitis_x_novae-angliae	8	I1	10	27	X	10_27_X
588257	Vitis_x_novae-angliae	8	I1	10	27	Y	10_27_Y
588257	Vitis_x_novae-angliae	8	I1	10	27	Z	10_27_Z
588350	Vitis_riparia	13	I1	10	29	X	10_29_X
588350	Vitis_riparia	13	I1	10	29	Y	10_29_Y
588350	Vitis_riparia	13	I1	10	29	Z	10_29_Z
588272	Vitis_riparia	11	I1	10	31	X	10_31_X
588272	Vitis_riparia	11	I1	10	31	Y	10_31_Y
588272	Vitis_riparia	11	I1	10	31	Z	10_31_Z
588270	Vitis_riparia	12	I1	10	33	X	10_33_X
588270	Vitis_riparia	12	I1	10	33	Y	10_33_Y
588270	Vitis_riparia	12	I1	10	33	Z	10_33_Z
588259	Vitis_riparia	15	I1	10	35	X	10_35_X
588259	Vitis_riparia	15	I1	10	35	Y	10_35_Y
588259	Vitis_riparia	15	I1	10	35	Z	10_35_Z
588261	Vitis_riparia	12	I1	10	37	X	10_37_X
588261	Vitis_riparia	12	I1	10	37	Y	10_37_Y
588261	Vitis_riparia	12	I1	10	37	Z	10_37_Z
588406	Vitis_riparia	11	I1	10	39	X	10_39_X
588406	Vitis_riparia	11	I1	10	39	Y	10_39_Y
588406	Vitis_riparia	11	I1	10	39	Z	10_39_Z
588260	Vitis_riparia	14	I1	10	41	X	10_41_X
588260	Vitis_riparia	14	I1	10	41	Y	10_41_Y
588260	Vitis_riparia	14	I1	10	41	Z	10_41_Z
588349	Vitis_riparia	13	I1	10	43	X	10_43_X
588349	Vitis_riparia	13	I1	10	43	Y	10_43_Y
588349	Vitis_riparia	13	I1	10	43	Z	10_43_Z
588225	Vitis_rupestris	12	I1	10	45	X	10_45_X
588225	Vitis_rupestris	12	I1	10	45	Y	10_45_Y
588225	Vitis_rupestris	12	I1	10	45	Z	10_45_Z
588262	Vitis_riparia	15	I1	10	47	X	10_47_X
588262	Vitis_riparia	15	I1	10	47	Y	10_47_Y
588262	Vitis_riparia	15	I1	10	47	Z	10_47_Z
588223	Vitis_rupestris	11	I1	10	49	X	10_49_X
588223	Vitis_rupestris	11	I1	10	49	Y	10_49_Y
588223	Vitis_rupestris	11	I1	10	49	Z	10_49_Z
588231	Vitis_rupestris	12	I1	10	51	X	10_51_X
588231	Vitis_rupestris	12	I1	10	51	Y	10_51_Y
588231	Vitis_rupestris	12	I1	10	51	Z	10_51_Z
588282	Vitis_sp.	11	I1	10	57	X	10_57_X
588282	Vitis_sp.	11	I1	10	57	Y	10_57_Y
588282	Vitis_sp.	11	I1	10	57	Z	10_57_Z
588436	Vitis_riparia	10	I1	10	59	X	10_59_X
588436	Vitis_riparia	10	I1	10	59	Y	10_59_Y
588436	Vitis_riparia	10	I1	10	59	Z	10_59_Z
588437	Vitis_riparia	11	I1	10	63	X	10_63_X
588437	Vitis_riparia	11	I1	10	63	Y	10_63_Y
588437	Vitis_riparia	11	I1	10	63	Z	10_63_Z
588229	Vitis_rupestris	10	I1	10	65	X	10_65_X
588229	Vitis_rupestris	10	I1	10	65	Y	10_65_Y
588229	Vitis_rupestris	10	I1	10	65	Z	10_65_Z
588442	Vitis_acerifolia	14	I1	10	69	X	10_69_X
588442	Vitis_acerifolia	14	I1	10	69	Y	10_69_Y
588442	Vitis_acerifolia	14	I1	10	69	Z	10_69_Z
588374	Vitis_riparia	13	I1	10	71	X	10_71_X
588374	Vitis_riparia	13	I1	10	71	Y	10_71_Y
588374	Vitis_riparia	13	I1	10	71	Z	10_71_Z
588222	Vitis_cinerea	12	I1	10	73	X	10_73_X
588222	Vitis_cinerea	12	I1	10	73	Y	10_73_Y
588222	Vitis_cinerea	12	I1	10	73	Z	10_73_Z
588373	Vitis_riparia	13	I1	10	75	X	10_75_X
588373	Vitis_riparia	13	I1	10	75	Y	10_75_Y
588373	Vitis_riparia	13	I1	10	75	Z	10_75_Z
588220	Vitis_cinerea	9	I1	10	85	X	10_85_X
588220	Vitis_cinerea	9	I1	10	85	Y	10_85_Y
588220	Vitis_cinerea	9	I1	10	85	Z	10_85_Z
588304	Vitis_riparia	9	I1	10	87	X	10_87_X
588304	Vitis_riparia	9	I1	10	87	Y	10_87_Y
588304	Vitis_riparia	9	I1	10	87	Z	10_87_Z
588393	Vitis_acerifolia	11	I1	10	89	X	10_89_X
588393	Vitis_acerifolia	11	I1	10	89	Y	10_89_Y
588393	Vitis_acerifolia	11	I1	10	89	Z	10_89_Z
588324	Vitis_acerifolia	13	I1	10	91	X	10_91_X
588324	Vitis_acerifolia	13	I1	10	91	Y	10_91_Y
588324	Vitis_acerifolia	13	I1	10	91	Z	10_91_Z
588354	Vitis_riparia	13	I1	10	93	X	10_93_X
588354	Vitis_riparia	13	I1	10	93	Y	10_93_Y
588354	Vitis_riparia	13	I1	10	93	Z	10_93_Z
588400	Vitis_riparia	12	I1	10	95	X	10_95_X
588400	Vitis_riparia	12	I1	10	95	Y	10_95_Y
588400	Vitis_riparia	12	I1	10	95	Z	10_95_Z
588395	Vitis_rupestris	11	I1	10	97	X	10_97_X
588395	Vitis_rupestris	11	I1	10	97	Y	10_97_Y
588395	Vitis_rupestris	11	I1	10	97	Z	10_97_Z
588399	Vitis_amurensis	11	I1	10	99	X	10_99_X
588399	Vitis_amurensis	11	I1	10	99	Y	10_99_Y
588399	Vitis_amurensis	11	I1	10	99	Z	10_99_Z
588344	Vitis_riparia	11	I1	10	101	X	10_101_X
588344	Vitis_riparia	11	I1	10	101	Y	10_101_Y
588344	Vitis_riparia	11	I1	10	101	Z	10_101_Z
588325	Vitis_acerifolia	12	I1	10	103	X	10_103_X
588325	Vitis_acerifolia	12	I1	10	103	Y	10_103_Y
588325	Vitis_acerifolia	12	I1	10	103	Z	10_103_Z
279897	Vitis_riparia	12	I1	10	105	X	10_105_X
279897	Vitis_riparia	12	I1	10	105	Y	10_105_Y
279897	Vitis_riparia	12	I1	10	105	Z	10_105_Z
588415	Vitis_rupestris	11	I1	10	107	X	10_107_X
588415	Vitis_rupestris	11	I1	10	107	Y	10_107_Y
588415	Vitis_rupestris	11	I1	10	107	Z	10_107_Z
588404	Vitis_riparia	12	I1	10	109	X	10_109_X
588404	Vitis_riparia	12	I1	10	109	Y	10_109_Y
588404	Vitis_riparia	12	I1	10	109	Z	10_109_Z
588392	Vitis_x_andersonii	11	I1	11	1	X	11_1_X
588392	Vitis_x_andersonii	11	I1	11	1	Y	11_1_Y
588392	Vitis_x_andersonii	11	I1	11	1	Z	11_1_Z
588346	Vitis_riparia	12	I1	11	3	X	11_3_X
588346	Vitis_riparia	12	I1	11	3	Y	11_3_Y
588346	Vitis_riparia	12	I1	11	3	Z	11_3_Z
588391	Vitis_x_champinii	12	I1	11	5	X	11_5_X
588391	Vitis_x_champinii	12	I1	11	5	Y	11_5_Y
588391	Vitis_x_champinii	12	I1	11	5	Z	11_5_Z
588217	Vitis_cinerea	10	I1	11	7	X	11_7_X
588217	Vitis_cinerea	10	I1	11	7	Y	11_7_Y
588217	Vitis_cinerea	10	I1	11	7	Z	11_7_Z
588345	Vitis_riparia	14	I1	11	9	X	11_9_X
588345	Vitis_riparia	14	I1	11	9	Y	11_9_Y
588345	Vitis_riparia	14	I1	11	9	Z	11_9_Z
588233	Vitis_palmata	10	I1	11	11	X	11_11_X
588233	Vitis_palmata	10	I1	11	11	Y	11_11_Y
588233	Vitis_palmata	10	I1	11	11	Z	11_11_Z
588228	Vitis_rupestris	11	I1	11	13	X	11_13_X
588228	Vitis_rupestris	11	I1	11	13	Y	11_13_Y
588228	Vitis_rupestris	11	I1	11	13	Z	11_13_Z
588218	Vitis_cinerea	9	I1	11	17	X	11_17_X
588218	Vitis_cinerea	9	I1	11	17	Y	11_17_Y
588218	Vitis_cinerea	9	I1	11	17	Z	11_17_Z
588353	Vitis_riparia	14	I1	11	19	X	11_19_X
588353	Vitis_riparia	14	I1	11	19	Y	11_19_Y
588353	Vitis_riparia	14	I1	11	19	Z	11_19_Z
588224	Vitis_rupestris	10	I1	11	21	X	11_21_X
588224	Vitis_rupestris	10	I1	11	21	Y	11_21_Y
588224	Vitis_rupestris	10	I1	11	21	Z	11_21_Z
588208	Vitis_cinerea	9	I1	11	23	X	11_23_X
588208	Vitis_cinerea	9	I1	11	23	Y	11_23_Y
588208	Vitis_cinerea	9	I1	11	23	Z	11_23_Z
588330	Vitis_rupestris	11	I1	11	25	X	11_25_X
588330	Vitis_rupestris	11	I1	11	25	Y	11_25_Y
588330	Vitis_rupestris	11	I1	11	25	Z	11_25_Z
588134	Vitis_cinerea	12	I1	11	27	X	11_27_X
588134	Vitis_cinerea	12	I1	11	27	Y	11_27_Y
588134	Vitis_cinerea	12	I1	11	27	Z	11_27_Z
588186	Vitis_cinerea	11	I1	11	29	X	11_29_X
588186	Vitis_cinerea	11	I1	11	29	Y	11_29_Y
588186	Vitis_cinerea	11	I1	11	29	Z	11_29_Z
588219	Vitis_cinerea	10	I1	11	31	X	11_31_X
588219	Vitis_cinerea	10	I1	11	31	Y	11_31_Y
