"","V1"
"1",3.29746010631524
"2",2.03822067673502
"3",4.78425458432503
"4",2.84983881477677
"5",2.49798422181951
"6",3.453999151239
"7",2.48314362992971
"8",2.1547835266343
"9",1.83597732052203
"10",2.17761814822774
"11",1.48953901574046
"12",2.21878511280451
"13",3.16748523730809
"14",2.14950982848214
"15",2.71364383907184
"16",1.7776138167186
"17",3.04016495674017
"18",2.73998816955617
"19",3.3205700982648
"20",2.22924003871168
"21",2.39761517039517
"22",2.02662097642161
"23",3.1398451548813
"24",1.78737405207147
"25",1.70350685008879
"26",2.90062699467194
"27",3.61363689127731
"28",2.62400484464294
"29",2.1883158521145
"30",2.0324879955825
"31",2.89415826825876
"32",3.86319360656347
"33",2.88525850870113
"34",2.61642025163249
"35",2.76425541737228
"36",4.06991850922563
"37",2.98766482400202
"38",2.64720425520264
"39",1.88401392445408
"40",1.39833996239247
"41",2.60447269371537
"42",3.99014257888601
"43",3.06598668254711
"44",3.6234385689813
"45",2.96587361409192
"46",1.57540539470725
"47",2.84729831861193
"48",4.21715517158637
"49",5.62671517688594
"50",2.52725100212223
"51",2.06781950219067
"52",3.26659486386481
"53",1.67083529356594
"54",2.2498544858727
"55",2.29058209070092
"56",2.80027631575331
"57",2.07099484631925
"58",4.577120595417
"59",2.95900278442929
"60",1.6118866660824
"61",2.63442400847978
"62",3.26163747717675
"63",4.63445550439164
"64",2.11116556990649
"65",1.86984140011171
"66",2.99670717975235
"67",2.72541342074913
"68",1.4223075611005
"69",2.85678168939893
"70",3.25338516617271
"71",1.92304786257074
"72",2.57489533152233
"73",2.47465639765164
"74",2.01798969596021
"75",2.26443531925733
"76",3.04892656128419
"77",2.69864927210887
"78",2.37640646749063
"79",2.28356473118563
"80",3.19676622500535
"81",1.71709295760539
"82",2.3801297435688
"83",2.46408569275326
"84",1.64207552608079
"85",2.85416682284446
"86",2.7757479200736
"87",2.81170825283399
"88",2.49977980074704
"89",2.61261839798038
"90",2.37097548022209
"91",3.66680668442581
"92",2.36354147699248
"93",2.82621799135049
"94",3.65335988101745
"95",2.0944909231082
"96",2.7138124662261
"97",2.70077862365963
"98",2.43963983049574
"99",2.06674705309908
"100",2.53551433823191
"101",2.55219832886002
"102",2.14620874918614
"103",2.82240715794381
"104",2.52524119961646
"105",4.22721227076588
"106",2.11000860605176
"107",1.45640975000683
"108",2.51573604358282
"109",1.38430881022242
"110",1.45570274821915
"111",2.66551610733939
"112",2.54336934900996
"113",2.62190748455899
"114",3.02090105508626
"115",2.55497712293766
"116",2.55426063838115
"117",4.41414242320636
"118",3.35821384776207
"119",1.80419762606934
"120",1.41438609954847
"121",2.39117852445023
"122",3.23501095780739
"123",2.19942766478115
"124",2.41859478229796
"125",2.50892997057977
"126",1.97272924119142
"127",8.86440529247412
"128",3.2099895463794
"129",3.11673233408794
"130",2.78679071716928
"131",2.01640874457254
"132",2.12409066086656
"133",2.01476630543667
"134",4.51781267689086
"135",2.28322202716402
"136",1.92976242093869
"137",2.04056609365568
"138",2.5018008087514
"139",2.06571214081774
"140",2.43930211294111
"141",1.9571215860073
"142",2.33045623494266
"143",2.14282052286239
"144",3.76304389327652
"145",2.46126308017588
"146",1.76080834886463
"147",2.97983271782613
"148",2.43355569607016
"149",2.54428091245961
"150",2.13890134602244
"151",2.91623041098495
"152",2.43068322385133
"153",3.10083811094449
"154",3.91494145742777
"155",2.82246862891549
"156",2.82931686218387
"157",2.58509187145833
"158",2.71316244135207
"159",2.76965256780997
"160",2.7962445698416
"161",3.80414219735141
"162",2.04795045246178
"163",3.99436330072828
"164",2.19423689852471
"165",2.40283034018407
"166",2.70451803694658
"167",3.77567413861257
"168",2.20009385904746
"169",2.32185653286757
"170",2.71078823543718
"171",2.66123123442762
"172",2.94812371074954
"173",2.60744454268658
"174",2.38618132007915
"175",2.85883569754017
"176",2.76545351229743
"177",2.41590764499884
"178",2.08473117922455
"179",4.58312526440031
"180",2.53368802641069
"181",4.7630149227216
"182",2.07176758055164
"183",1.63932946154006
"184",4.18801287128741
"185",3.27891049231189
"186",3.40796884794207
"187",1.77739725477807
"188",2.78516974564039
"189",2.54933787982762
"190",2.100317758475
"191",2.26243528232121
"192",2.58138099331205
"193",1.8434428227709
"194",2.16352596984365
"195",4.30991516240218
"196",3.1480189930983
"197",2.44026023936311
"198",2.78290880208451
"199",1.90138219616765
"200",2.99971263318818
"201",2.70659440947901
"202",3.00677668267673
"203",3.75713708001223
"204",2.9108927556625
"205",2.44721887172437
"206",2.42944825579454
"207",2.5633147600839
"208",2.20472623511594
"209",2.27541567788361
"210",2.30809467295455
"211",2.0836648174037
"212",2.59978348989392
"213",4.03836516195395
"214",1.97625365151322
"215",2.49182737683012
"216",3.30289910670612
"217",2.0716632128414
"218",3.21458312180633
"219",3.02589184673974
"220",3.40228263710006
"221",2.50797396214463
"222",2.06461705790088
"223",2.15270261144289
"224",1.68045404529849
"225",3.26164338577328
"226",3.22437331361303
"227",4.92166611454383
"228",1.44656598240468
"229",4.04819475955972
"230",2.65095214266287
"231",5.09745309794619
"232",2.86988617879211
"233",2.1038947747536
"234",2.64384405374656
"235",2.91458888319391
"236",2.5515528839617
"237",1.59713186517172
"238",3.28448593236189
"239",2.70546804922145
"240",2.80229623867203
"241",2.4181764825189
"242",1.92590125212817
"243",2.1461710966623
"244",1.66623686349669
"245",2.50980671640252
"246",3.36864184989128
"247",2.20742769401139
"248",3.06017774059023
"249",2.310219277801
"250",3.26735456192441
"251",1.92539997190309
"252",2.30608058277008
"253",2.20794140935286
"254",1.60765926188242
"255",2.25825005641576
"256",1.91885038973084
"257",2.86114520067846
"258",2.84643304165684
"259",1.88232332993357
"260",1.83505246955167
"261",4.09502884708687
"262",2.97102348407506
"263",2.01724292530528
"264",2.22091383136379
"265",2.22656412979441
"266",2.46425914363607
"267",2.7636993866569
"268",2.68153755118962
"269",2.90220718097646
