FamilialStatus,Taxa,PC1,PC2,PC3,PC4,PC5
1,588160__vDNAfen551A01_B01,-0.25666547,-0.003401225,-0.008917734,0.001817073,-0.00163472
1,588160__vDNAfen551A01_C01,-0.2524576,-0.001734353,-0.006648209,0.00340717,-0.003579964
1,588160__vDNAfen552A02_B02,-0.25317293,-0.008939717,-0.006620481,0.009171537,-0.008172128
1,588160__vDNAfen552A02_C02,-0.24629577,-0.004823957,-0.013256828,0.007747638,-0.002710975
1,588160__vDNAlon094H10_G10,-0.24791929,-0.006217327,-0.001214039,0.002981847,-0.001821277
1,588160__vDNAlon501A05_B05,-0.23255967,-0.015834741,-0.031021154,0.018453844,-0.009938892
1,588160__vDNAlon501A05_C05,-0.23821664,-0.010953924,-0.020350127,0.013737275,-0.004057976
1,588160__vDNAlon787A12_C06,0.015139177,-0.12401913,-0.051012035,-0.018121935,-0.117494136
1,588160__vDNAlon787A12_E08,-0.24688223,-0.012545665,-0.016994223,0.010011585,-0.008691117
2,588271__vDNAfen551A01_D01,0.25344196,0.007329332,0.018235793,-0.005954749,0.001385864
2,588271__vDNAfen551A01_E01,0.25175995,0.005508974,0.01556369,-0.00931554,0.008429859
2,588271__vDNAfen552A02_D02,0.24971631,0.005170046,0.018132597,-0.00599454,0.005624918
2,588271__vDNAfen552A02_E02,0.2578176,0.006326007,0.014026096,-0.007221235,0.006156234
2,588271__vDNAlon096H12_G10,0.2547787,0.006674829,0.012230753,-0.007373552,0.004658835
2,588271__vDNAlon501A05_D05,0.25119197,0.00610654,0.016413331,-0.006419532,-0.004335629
2,588271__vDNAlon501A05_E05,0.24528918,0.01909166,0.014191811,-0.015672088,-0.003832539
2,588271__vDNAlon787A12_D06,0.014603707,0.054372076,0.04669789,0.12306917,-9.11E-05
2,588271__vDNAlon787A12_E09,0.25037846,0.004971644,0.01528248,-0.010373847,0.001472605
0,160_271_300__vDNAfen551A01_F01,-0.004412471,0.06315943,0.013351622,-0.002993076,-0.04553754
0,160_271_301__vDNAfen551A01_G01,8.59E-04,-0.012550922,-0.038656652,-0.046134744,-0.014704403
0,160_271_302__vDNAfen551A01_H01,0.005134954,0.00249695,0.012635764,0.04198986,0.004858758
0,160_271_303__vDNAfen551A01_A02,-3.48E-04,0.001383685,-0.04749846,-0.009267407,0.00136179
0,160_271_304__vDNAfen551A01_B02,-0.001601571,-3.02E-04,0.04709716,0.032624185,0.02211502
0,160_271_305__vDNAfen551A01_C02,5.68E-04,0.049599238,0.042552803,-0.017262677,-0.016692549
0,160_271_306__vDNAfen551A01_D02,0.002869373,-0.015531441,-0.015553711,-0.045962982,-0.047809083
0,160_271_307__vDNAfen551A01_E02,0.004568748,-0.0557918,0.008320021,-0.031702176,0.030994069
0,160_271_308__vDNAfen551A01_F02,-0.003855186,-9.55E-05,0.009537298,-0.04260488,-0.019176785
0,160_271_309__vDNAfen551A01_G02,-0.003474658,0.044998333,0.001212282,0.018613387,0.001867207
0,160_271_310__vDNAfen551A01_H02,5.13E-04,-0.039804026,0.015050843,0.056314643,0.01664062
0,160_271_311__vDNAfen551A01_A03,-0.002175281,-0.026722223,-0.032771025,0.019374317,-0.04684714
0,160_271_312__vDNAfen551A01_B03,-0.004085873,0.054647196,0.030669067,-0.04337754,-0.0057919
0,160_271_313__vDNAfen551A01_C03,-0.002900201,0.05998961,0.031823367,0.005085581,-0.006974214
0,160_271_314__vDNAfen551A01_D03,-0.004230385,0.014867209,0.004429325,-0.008124518,-0.02840937
0,160_271_315__vDNAfen551A01_E03,-1.58E-04,-0.023861099,-0.03664867,-0.008086295,-0.04732126
0,160_271_316__vDNAfen551A01_F03,-0.002468241,-0.040013995,0.030161649,-7.98E-04,-0.027299685
0,160_271_317__vDNAfen551A01_G03,-0.002082256,0.04432541,0.009501142,-0.018025538,-0.038887426
0,160_271_318__vDNAfen551A01_H03,-0.002744029,-0.026965892,0.06778437,-0.018823778,0.013431634
0,160_271_319__vDNAfen551A01_A04,0.003277468,0.005753556,-0.056896288,0.016200066,0.04062462
0,160_271_320__vDNAfen551A01_B04,0.008212322,-0.002365945,0.020414436,0.053354524,-0.011502018
0,160_271_321__vDNAfen551A01_C04,0.005933517,-0.07630703,0.004020216,-0.02407854,-0.004047315
0,160_271_322__vDNAfen551A01_D04,-0.003500971,0.021534182,0.001192251,0.020430693,0.01806917
0,160_271_323__vDNAfen551A01_E04,3.71E-04,-0.035455227,0.005632214,0.025993975,9.67E-04
0,160_271_324__vDNAfen551A01_F04,0.00734562,0.001015177,0.053805023,0.014232735,-0.03468187
