"","chr","pos","lod"
"1_61235","1",0,0.000298014354711995
"c1.loc1","1",1,0.0738611496660724
"c1.loc2","1",2,0.0442382110251174
"1_929902","1",2.159001,0.0392652067780261
"1_666584","1",2.722002,0.0759288570986598
"c1.loc3","1",3,0.0650020082804588
"1_695458","1",3.271003,0.0547472956013735
"1_666669","1",3.450004,0.0547463542916375
"1_659894","1",3.682005,0.0482869439263709
"c1.loc4","1",4,0.0436679110539728
"c1.loc5","1",5,0.0114667305667524
"c1.loc6","1",6,0.0296781041149075
"c1.loc7","1",7,0.0621642329925578
"1_1688964","1",7.125006,0.063419013912636
"c1.loc8","1",8,0.10162968220888
"c1.loc9","1",9,0.19161113387932
"c1.loc10","1",10,0.135209108706846
"c1.loc11","1",11,0.0338660015804919
"c1.loc12","1",12,0.0085954019258736
"1_2533272","1",12.043007,0.00811488489827639
"1_2537093","1",12.046008,0.00808237640623588
"1_2533185","1",12.046009,0.00808236558361841
"1_2880124","1",12.72101,0.00222246279631122
"c1.loc13","1",13,0.000695082208721942
"1_3062243","1",13.423011,3.96161223079616e-05
"1_3025844","1",13.477012,1.94155781798599e-05
"c1.loc14","1",14,0.000977011783504622
"1_3466266","1",14.151013,0.0015202522527602
"c1.loc15","1",15,0.0491368227295368
"1_3721305","1",15.807014,0.0147617600182457
"c1.loc16","1",16,0.000874201964904842
"1_3757997","1",16.119015,0.000572927795190026
"1_3834552","1",16.432016,0.000269279293007685
"1_3889266","1",16.902017,0.00107646977699005
"c1.loc17","1",17,0.00209362452596906
"1_4021184","1",17.999018,0.0339520075620499
"c1.loc18","1",18,0.0340106290082929
"1_4096008","1",18.667019,0.0445028985126328
"c1.loc19","1",19,0.0864923137682752
"1_4197004","1",19.72802,0.0199313196749813
"c1.loc20","1",20,0.00342413894586002
"1_4279268","1",20.599021,0.00701684944149861
"c1.loc21","1",21,0.0039234486402222
"1_4279373","1",21.676022,0.000590725838122808
"c1.loc22","1",22,0.000115326884326805
"c1.loc23","1",23,0.00239412623363933
"c1.loc24","1",24,0.0236884017155319
"c1.loc25","1",25,0.102248264631783
"c1.loc26","1",26,0.182172115048616
"c1.loc27","1",27,0.160933534983599
"c1.loc28","1",28,0.125597314345839
"1_5767561","1",28.247023,0.118785887266966
"c1.loc29","1",29,0.117736594829466
"c1.loc30","1",30,0.110917837271387
"c1.loc31","1",31,0.0972062561311304
"c1.loc32","1",32,0.868153727686092
"c1.loc33","1",33,0.888822839646679
"1_6289531","1",33.399024,0.891059151595613
"1_6289507","1",33.637025,0.891391018549456
"1_6307621","1",33.798026,1.37689279733203
"c1.loc34","1",34,1.36427670478244
"c1.loc35","1",35,1.28935430308917
"1_6691294","1",35.621027,1.24927892385423
"c1.loc36","1",36,1.71866123144724
"1_6749776","1",36.023028,1.73581566904562
"1_6743053","1",36.315029,1.35167071695059
"1_6912064","1",36.67603,1.34985334319674
"c1.loc37","1",37,1.37938286941994
"1_7042562","1",37.769031,1.43317286115573
"c1.loc38","1",38,1.45145310379903
"c1.loc39","1",39,1.47218064320538
"1_7253240","1",39.756032,0.180748730594445
"c1.loc40","1",40,1.21562103079654
"1_7356636","1",40.392033,1.32977944802238
"c1.loc41","1",41,1.20988246966462
"1_7356638","1",41.053034,0.00708287431217514
"c1.loc42","1",42,0.21578849717838
"c1.loc43","1",43,1.19888851874586
"c1.loc44","1",44,1.27837955737346
"1_8516414","1",44.955035,0.92932432182559
"c1.loc45","1",45,0.966826427547744
"c1.loc46","1",46,2.49596438442993
"c1.loc47","1",47,0.242855744915232
"1_9284785","1",47.441036,0.0646646788844976
"1_9424155","1",47.568037,0.0652840353477586
"1_9388557","1",47.908038,0.144980583932949
"c1.loc48","1",48,0.149765153714583
"1_9060903","1",48.456039,0.0616043726378734
"c1.loc49","1",49,0.151181004489843
"1_9788875","1",49.92404,0.149392591327569
"c1.loc50","1",50,0.147018360412659
"c1.loc51","1",51,0.113622772585558
"c1.loc52","1",52,0.0800337342350304
"1_10830747","1",52.404041,0.0675295590095004
"c1.loc53","1",53,0.0831586131746462
"1_11168597","1",53.396042,0.0931366841462875
"c1.loc54","1",54,0.0903015827207128
"c1.loc55","1",55,0.0644271104774816
"10_4018986","1",55.697043,0.0835227231055171
"c1.loc56","1",56,0.0793917852624588
"c1.loc57","1",57,0.0602505352559319
"c1.loc58","1",58,0.0289371873209348
"c1.loc59","1",59,8.26010023047274e-07
"c1.loc60","1",60,0.0635040498002866
"c1.loc61","1",61,0.137197844244582
"c1.loc62","1",62,0.156293597477571
