"","chr","pos","lod"
"S1_61235","1",0,0.0518897078493694
"c1.loc1","1",1,0.0136759263734803
"c1.loc2","1",2,0.173212081174555
"S1_929902","1",2.340001,0.15743422083878
"S1_666584","1",2.910002,0.00332760254258346
"c1.loc3","1",3,0.00250457965991302
"S1_695458","1",3.462003,0.000122355230246285
"S1_666669","1",3.643004,0.000122369640081388
"S1_659894","1",3.876005,0.00148676083003352
"c1.loc4","1",4,0.00115664605314691
"c1.loc5","1",5,0.00201353301906693
"c1.loc6","1",6,0.0359114424790619
"c1.loc7","1",7,0.0260365788658135
"S1_1688964","1",7.354006,0.0232307046477729
"c1.loc8","1",8,0.0210477406532021
"c1.loc9","1",9,0.0177517921449351
"c1.loc10","1",10,0.0146161699113776
"c1.loc11","1",11,0.0116908579513932
"c1.loc12","1",12,0.00902304708866097
"S1_2537093","1",12.217007,0.00848648006628139
"S1_2533272","1",12.326008,0.000817197598948383
"S1_2533185","1",12.329009,0.000817180278701812
"c1.loc13","1",13,0.000817547214325032
"S1_2880124","1",13.00101,0.0008174897232891
"S1_3062243","1",13.699011,0.00868306264565888
"S1_3025844","1",13.756012,0.00842945683200469
"c1.loc14","1",14,0.0227221537224267
"S1_3466266","1",14.428013,0.0648851598236888
"c1.loc15","1",15,0.0867685190164167
"c1.loc16","1",16,0.0280265304755289
"S1_3721305","1",16.223014,0.03297320370298
"S1_3757997","1",16.519015,0.124681121355181
"S1_3834552","1",16.772016,0.126056668891465
"c1.loc17","1",17,0.125033012752596
"S1_3889266","1",17.335017,0.121614467183377
"c1.loc18","1",18,0.0201602365363271
"S1_4021184","1",18.439018,0.000315301845347449
"c1.loc19","1",19,0.219979485437065
"S1_4096008","1",19.077019,0.199798943646414
"S1_4197004","1",19.83802,0.0992929159059059
"c1.loc20","1",20,0.0950538757108177
"S1_4279268","1",20.718021,0.0363553509079964
"c1.loc21","1",21,0.0246563967369724
"S1_4279373","1",21.804022,0.00320057289978593
"c1.loc22","1",22,0.00177267050163721
"c1.loc23","1",23,0.00435258910492564
"c1.loc24","1",24,0.0777572061779637
"c1.loc25","1",25,0.373246696653155
"c1.loc26","1",26,0.476277141594764
"c1.loc27","1",27,0.358983549167704
"c1.loc28","1",28,0.277699867851027
"S1_5767561","1",28.349023,0.258493338852475
"c1.loc29","1",29,0.201026787167905
"c1.loc30","1",30,0.121267725547469
"c1.loc31","1",31,0.0583960369780385
"c1.loc32","1",32,0.0175459026061304
"c1.loc33","1",33,0.000612952055519145
"S1_6289531","1",33.458024,0.000519741759163139
"S1_6289507","1",33.709025,0.000392095503798373
"c1.loc34","1",34,0.036628292480259
"S1_6307621","1",34.008026,0.0419491631586482
"c1.loc35","1",35,0.019490581597907
"S1_6691294","1",35.728027,0.0143578602833969
"c1.loc36","1",36,0.0453982558143338
"S1_6749776","1",36.306028,0.0953842695427198
"S1_6743053","1",36.554029,0.000803543247670291
"S1_6912064","1",36.91303,0.000857341745202689
"c1.loc37","1",37,0.000863380341286302
"c1.loc38","1",38,0.00092090939718048
"S1_7042562","1",38.010031,0.000921354027866528
"c1.loc39","1",39,0.00244135093377906
"S1_7253240","1",39.976032,0.00128671326984886
"c1.loc40","1",40,0.00282877199427389
"S1_7356636","1",40.711033,0.013550689170529
"c1.loc41","1",41,0.0524560607441487
"S1_7356638","1",41.363034,0.134777700442839
"c1.loc42","1",42,0.109251684830284
"c1.loc43","1",43,0.016252285352536
"c1.loc44","1",44,0.1198567751632
"c1.loc45","1",45,0.194299120691426
"S1_8516414","1",45.216035,0.197555699267326
"c1.loc46","1",46,0.332007232879278
"c1.loc47","1",47,0.00497621969383033
"S1_9284785","1",47.811036,0.0142364895606875
