            chr    pos   lod
1_23481368    1 76.117 1.622
14_1026438    2  0.000 0.275
c3.loc6       3  6.000 0.808
c4.loc22      4 22.000 0.677
c5.loc11      5 11.000 0.928
6_15165723    6 44.649 1.493
c7.loc21      7 21.000 0.921
c8.loc42      8 42.000 0.961
c9.loc29      9 29.000 1.261
c10.loc23    10 23.000 1.966
c11.loc60    11 60.000 1.058
c12.loc8     12  8.000 1.030
13_356900    13  0.245 0.369
14_22894022  14 48.668 1.987
c15.loc8     15  8.000 0.880
c16.loc14    16 14.000 1.340
c17.loc28    17 28.000 2.576
18_7985014   18 33.863 1.004
19_4470797   19 21.199 3.658
