            chr   pos   lod
1_4279304     1 21.08 0.822
2_5186881     2 46.03 0.357
c3.loc33      3 33.00 1.348
4_22218751    4 66.69 2.316
5_7648545     5 37.04 0.778
6_17440350    6 42.05 1.677
7_2682789     7  8.75 0.819
c8.loc60      8 60.00 1.234
9_13407438    9 50.03 0.917
c10.loc14    10 14.00 0.587
c11.loc49    11 49.00 1.599
c12.loc56    12 56.00 1.549
c13.loc8     13  8.00 2.391
c14.loc1     14  1.00 0.773
15_584182    15  0.00 2.664
16_15267213  16 23.38 0.477
c17.loc4     17  4.00 6.243
c18.loc64    18 64.00 2.392
19_24491792  19 60.37 0.568
