"","chr","pos","lod"
"1_465241","1",0,0.292809467575182
"c1.loc1","1",1,0.189326177229873
"c1.loc2","1",2,0.0996957627869222
"c1.loc3","1",3,0.0358387794876762
"1_465237","1",3.915001,0.00548299286353426
"c1.loc4","1",4,0.005392614770102
"1_465283","1",4.059002,0.00533024966006224
"1_979448","1",4.995003,0.0087629507678173
"c1.loc5","1",5,0.00899665386376114
"1_972545","1",5.293004,0.000291154242290759
"1_1002947","1",5.712005,0.00108812688824855
"1_1002957","1",5.864006,0.000708415751375924
"1_974823","1",5.871007,0.000708418109979903
"c1.loc6","1",6,0.00335772515407484
"c1.loc7","1",7,0.0918251376759258
"1_1388796","1",7.099008,0.103645668287498
"1_1248864","1",7.263009,0.0669819848215525
"1_1552607","1",7.60901,0.0749761681419443
"1_1552625","1",7.609011,0.0752138548239429
"c1.loc8","1",8,0.0847176463416304
"c1.loc9","1",9,0.111175410151787
"1_1956021","1",9.720012,0.131706161239237
"c1.loc10","1",10,0.0778391071652607
"c1.loc11","1",11,0.98171619626541
"1_2275959","1",11.738013,0.622132797901315
"c1.loc12","1",12,0.576084513838993
"c1.loc13","1",13,0.391656886925603
"1_3046147","1",13.435014,0.317046161310685
"c1.loc14","1",14,0.352937359876734
"1_3170463","1",14.186015,0.364889600404695
"1_3145449","1",14.449016,0.431079332504197
"1_3205026","1",14.729017,0.3950686706049
"1_3268220","1",14.817018,0.312835809024762
"c1.loc15","1",15,0.28036669109855
"1_3232043","1",15.074019,0.267633585663106
"c1.loc16","1",16,0.377127813325785
"1_3738134","1",16.80702,0.471664863888009
"c1.loc17","1",17,0.478317181341964
"c1.loc18","1",18,0.50756728544232
"c1.loc19","1",19,0.525561605142485
"c1.loc20","1",20,0.530793767714698
"c1.loc21","1",21,0.523613560890311
"1_4279304","1",21.077021,0.522603599320547
"c1.loc22","1",22,0.477550810379313
"c1.loc23","1",23,0.412861641979219
"c1.loc24","1",24,0.328647726241229
"c1.loc25","1",25,0.226269495672511
"c1.loc26","1",26,0.118291520191065
"c1.loc27","1",27,0.0325331079619673
"c1.loc28","1",28,5.85661922514191e-07
"c1.loc29","1",29,0.0291601602902176
"c1.loc30","1",30,0.0996642096278322
"c1.loc31","1",31,0.183518413111244
"c1.loc32","1",32,0.262521070163018
"c1.loc33","1",33,0.329637222944456
"7_7311056","1",33.364022,0.350743728047547
"c1.loc34","1",34,0.391237662281611
"c1.loc35","1",35,0.459784760271901
"c1.loc36","1",36,0.532869973348426
"c1.loc37","1",37,0.608707056115207
"c1.loc38","1",38,0.685071767941253
"c1.loc39","1",39,0.759484650155741
"c1.loc40","1",40,0.829463578867148
"c1.loc41","1",41,0.892796885654491
"c1.loc42","1",42,0.947776553405504
"c1.loc43","1",43,0.993341549150642
"c1.loc44","1",44,1.02910948373417
"c1.loc45","1",45,1.0553072357084
"c1.loc46","1",46,1.07263425238173
"c1.loc47","1",47,1.0820994499403
"11_7995636","1",47.189023,1.08309228489398
"c1.loc48","1",48,1.03809737517122
"c1.loc49","1",49,0.971785815949545
"c1.loc50","1",50,0.895393275607091
"c1.loc51","1",51,0.811632205667252
"c1.loc52","1",52,0.723763546272664
"3_20634638","1",52.012024,0.722706437399381
"18_3644857","1",52.520025,0.724143126454294
"11_7995637","1",52.770026,0.70388600283556
"c1.loc53","1",53,0.742913439366134
"c1.loc54","1",54,0.888396734245816
"1_12207498","1",54.309027,0.919029622626908
"c1.loc55","1",55,0.853860712320596
"c1.loc56","1",56,0.289609089985476
"c1.loc57","1",57,0.658523917036348
"c1.loc58","1",58,0.911624390008058
"14_16990480","1",58.475028,0.938497527067881
"1_16852366","1",58.634029,0.92306247883397
"c1.loc59","1",59,0.872969311760386
"18_33759636","1",59.82903,0.728313601875215
"c1.loc60","1",60,0.754400996880833
"1_17586659","1",60.200031,0.781999537817285
"1_18503714","1",60.699032,0.723358557832995
"1_18231605","1",60.886033,0.476756409213323
"c1.loc61","1",61,0.435069854141062
"1_19075514","1",61.152034,0.376088805360865
"1_19145591","1",61.270035,0.169884065416198
"c1.loc62","1",62,0.313774059805581
"1_19658001","1",62.586036,0.382566317858277
"1_19658214","1",62.656037,0.393110617799209
"1_19637644","1",62.776038,0.436759368595801
"c1.loc63","1",63,0.471217860400287
"1_19817756","1",63.337039,0.512596479179933
"1_20356240","1",63.78704,0.51023007726198
"c1.loc64","1",64,0.509525036209283
"1_19614222","1",64.750041,0.457127185830558
"c1.loc65","1",65,0.49305870744459
"1_20669875","1",65.163042,0.493055314202536
"c1.loc66","1",66,0.46763389539862
"1_20743986","1",66.848043,0.425821944773787
"1_20954387","1",66.848044,0.425607321943261
"c1.loc67","1",67,0.416837723421366
"1_21209235","1",67.285045,0.399559846186435
"1_20779520","1",67.817046,0.449160134289571
"c1.loc68","1",68,0.474348336585081
"c1.loc69","1",69,0.626724855483161
"c1.loc70","1",70,0.797761264940902
"c1.loc71","1",71,0.978238043643415
"c1.loc72","1",72,1.15591791214723
"c1.loc73","1",73,1.31802344653272
"c1.loc74","1",74,1.45417819129528
"c1.loc75","1",75,1.55848608114533
"1_23969825","1",75.800047,1.61809663554669
"c1.loc76","1",76,1.62184811038776
"1_23481368","1",76.117048,1.62203009776886
"1_23828951","1",76.367049,1.10317628312987
"14_1026438","2",0,0.274886153756711
"c2.loc1","2",1,0.271138379617412
"c2.loc2","2",2,0.265708454423248
"c2.loc3","2",3,0.258447291348745
"c2.loc4","2",4,0.249266049535663
"c2.loc5","2",5,0.238158152809291
"c2.loc6","2",6,0.225216504652394
"c2.loc7","2",7,0.210641332860746
"c2.loc8","2",8,0.194735077636125
"c2.loc9","2",9,0.177883143416608
"c2.loc10","2",10,0.16052261461212
"c2.loc11","2",11,0.143104086311865
"c2.loc12","2",12,0.126053418492347
"c2.loc13","2",13,0.109739869885232
"c2.loc14","2",14,0.0944549583413163
"c2.loc15","2",15,0.0804034631107129
"c2.loc16","2",16,0.0677053128173668
"c2.loc17","2",17,0.0564054167825248
"c2.loc18","2",18,0.0464879712112349
"2_950882","2",18.523001,0.0418538647915625
"c2.loc19","2",19,0.0493684452819707
"c2.loc20","2",20,0.0752975042812523
"c2.loc21","2",21,0.127363665001326
"c2.loc22","2",22,0.196675007752532
"c2.loc23","2",23,0.14748675640692
"c2.loc24","2",24,0.0628417633574827
"c2.loc25","2",25,0.0266317915161949
"c2.loc26","2",26,0.0123965466202378
"2_2154912","2",26.415002,0.00924045915655825
"2_2285122","2",26.743003,0.00923933443834812
"2_2239200","2",26.775004,0.00866400410885149
"2_2273409","2",26.775005,0.00866401214352663
"c2.loc27","2",27,0.00501650374474139
"2_2363256","2",27.104006,0.00362739821758851
"c2.loc28","2",28,0.00984755293652029
"2_2798731","2",28.890007,0.168679050845952
"c2.loc29","2",29,0.00723450542531623
"2_2938083","2",29.109008,0.006417656866887
"2_2972467","2",29.786009,0.0293122590478276
"c2.loc30","2",30,0.0291420639695161
"c2.loc31","2",31,0.00911523434686501
"2_3268584","2",31.53701,0.0245423774985909
"c2.loc32","2",32,0.00788699092998968
"c2.loc33","2",33,0.106617547606845
"c2.loc34","2",34,0.0791325351673322
"2_3614447","2",34.069011,0.0782056813190763
"2_3953244","2",34.936012,0.0794897435299902
"2_3794440","2",34.952013,0.0793465603655648
"2_3671868","2",34.953014,0.123387994147322
"c2.loc35","2",35,0.122793408123215
"2_3835305","2",35.226015,0.119584671791984
"c2.loc36","2",36,0.0883024988798695
"2_4212916","2",36.725016,0.0624889186139228
"c2.loc37","2",37,0.0223013072537981
"2_4268719","2",37.072017,0.0314846287422768
"2_4350101","2",37.980018,0.0461483522268225
"c2.loc38","2",38,0.0460755989462314
"c2.loc39","2",39,0.0401858989075947
"2_4568638","2",39.431019,0.0365809219265714
"c2.loc40","2",40,0.0276736396515389
"c2.loc41","2",41,0.0144605125463215
"c2.loc42","2",42,0.0052096064056002
"c2.loc43","2",43,0.000537668345202746
"c2.loc44","2",44,0.000654014840392847
"c2.loc45","2",45,0.00532966928753353
"c2.loc46","2",46,0.0139623803128188
"2_5186881","2",46.03102,0.0142815997562309
"c2.loc47","2",47,0.020524085986608
