"","chr","pos","lod"
"1_465241","1",0,0.559597314639916
"c1.loc1","1",1,0.643934486827845
"c1.loc2","1",2,0.711951984061301
"c1.loc3","1",3,0.754219176600145
"1_465237","1",3.915001,0.767054758154984
"c1.loc4","1",4,0.768906127866273
"1_465283","1",4.059002,0.770184708479889
"1_979448","1",4.995003,0.960417837523096
"c1.loc5","1",5,0.963317927805065
"1_972545","1",5.293004,0.701750137597173
"1_1002947","1",5.712005,0.75429608337555
"1_1002957","1",5.864006,0.732576696379624
"1_974823","1",5.871007,0.732576722341094
"c1.loc6","1",6,0.668846402350226
"c1.loc7","1",7,0.129596223758369
"1_1388796","1",7.099008,0.0954399583300471
"1_1248864","1",7.263009,0.588326138857241
"1_1552607","1",7.60901,0.580918050112899
"1_1552625","1",7.609011,0.580701972973685
"c1.loc8","1",8,0.571939430264166
"c1.loc9","1",9,0.547745638977034
"1_1956021","1",9.720012,0.52913481940567
"c1.loc10","1",10,0.508170138041436
"c1.loc11","1",11,0.174145716799217
"1_2275959","1",11.738013,0.466978605793429
"c1.loc12","1",12,0.434134432462599
"c1.loc13","1",13,0.300665862904793
"1_3046147","1",13.435014,0.245766776725219
"c1.loc14","1",14,0.255966096357383
"1_3170463","1",14.186015,0.259184681940269
"1_3145449","1",14.449016,0.0774857096105848
"1_3205026","1",14.729017,0.0776609722355488
"1_3268220","1",14.817018,0.251451432773678
"c1.loc15","1",15,0.263670305252504
"1_3232043","1",15.074019,0.268580121521893
"c1.loc16","1",16,0.224575791298008
"1_3738134","1",16.80702,0.18208227318226
"c1.loc17","1",17,0.201991441978294
"c1.loc18","1",18,0.321932812772985
"c1.loc19","1",19,0.463412764001589
"c1.loc20","1",20,0.616557215715602
"c1.loc21","1",21,0.770074974058986
"1_4279304","1",21.077021,0.781502318176052
"c1.loc22","1",22,0.725472466661131
"c1.loc23","1",23,0.641820729625977
"c1.loc24","1",24,0.528297730494671
"c1.loc25","1",25,0.383838289269391
"c1.loc26","1",26,0.222446598622639
"c1.loc27","1",27,0.0811187537758258
"c1.loc28","1",28,0.00588945647720607
"c1.loc29","1",29,0.0155005080260651
