"","chr","pos","lod"
"1_465241","1",0,0.0323129641779474
"c1.loc1","1",1,0.0501248719253624
"c1.loc2","1",2,0.0706970068365251
"c1.loc3","1",3,0.0917142837096776
"1_465237","1",3.915001,0.109165917649051
"c1.loc4","1",4,0.109896859505767
"1_465283","1",4.059002,0.110404570573451
"1_979448","1",4.995003,0.165037167038264
"c1.loc5","1",5,0.165657229461971
"1_972545","1",5.293004,0.114534416884027
"1_1002947","1",5.712005,0.144981435017741
"1_1002957","1",5.864006,0.129990987756145
"1_974823","1",5.871007,0.129990922461502
"c1.loc6","1",6,0.121391105894133
"c1.loc7","1",7,0.0349057256103436
"1_1388796","1",7.099008,0.0281737205096988
"1_1248864","1",7.263009,0.206921311412287
"1_1552607","1",7.60901,0.207396872800587
"1_1552625","1",7.609011,0.207409317478749
"c1.loc8","1",8,0.207774582724909
"c1.loc9","1",9,0.207904382398823
"1_1956021","1",9.720012,0.207298311057656
"c1.loc10","1",10,0.261712365924865
"c1.loc11","1",11,0.145342998296741
"1_2275959","1",11.738013,0.00291598828354722
"c1.loc12","1",12,0.0122441483855482
"c1.loc13","1",13,0.102411028474393
"1_3046147","1",13.435014,0.161791306146739
"c1.loc14","1",14,0.165341256508412
"1_3170463","1",14.186015,0.166398969118717
"1_3145449","1",14.449016,0.140140912972896
"1_3205026","1",14.729017,0.144656820632861
"1_3268220","1",14.817018,0.167335907655456
"c1.loc15","1",15,0.168901304172522
"1_3232043","1",15.074019,0.16946372394068
"c1.loc16","1",16,0.189015708888689
"1_3738134","1",16.80702,0.199495624289057
"c1.loc17","1",17,0.207749955112462
"c1.loc18","1",18,0.251213730282529
"c1.loc19","1",19,0.292891216823392
"c1.loc20","1",20,0.329696216621187
"c1.loc21","1",21,0.359344741121049
"1_4279304","1",21.077021,0.361275041280862
"c1.loc22","1",22,0.289278245819645
"c1.loc23","1",23,0.201387753499176
"c1.loc24","1",24,0.110014638784008
"c1.loc25","1",25,0.0325339261201805
"c1.loc26","1",26,3.89233576072456e-05
"c1.loc27","1",27,0.0471325797328745
"c1.loc28","1",28,0.182414555684346
"c1.loc29","1",29,0.370210850243808
"c1.loc30","1",30,0.557299561529931
"c1.loc31","1",31,0.710308240330875
"c1.loc32","1",32,0.822091935989533
"c1.loc33","1",33,0.899047680070424
"7_7311056","1",33.364022,0.920140548947558
"c1.loc34","1",34,0.908312591853672
