"","chr","pos","lod"
"1_465241","1",0,0.200225481454339
"c1.loc1","1",1,0.2781006443862
"c1.loc2","1",2,0.361052314546498
"c1.loc3","1",3,0.43919730816603
"1_465237","1",3.915001,0.498627439456129
"c1.loc4","1",4,0.499497908906477
"1_465283","1",4.059002,0.500097375182179
"1_979448","1",4.995003,0.621059381140839
"c1.loc5","1",5,0.622262024207458
"1_972545","1",5.293004,0.486179723259085
"1_1002947","1",5.712005,0.545075695857662
"1_1002957","1",5.864006,0.531621240068091
"1_974823","1",5.871007,0.531621192838713
"c1.loc6","1",6,0.52574099352023
"c1.loc7","1",7,0.313458981603929
"1_1388796","1",7.099008,0.28519060909386
"1_1248864","1",7.263009,0.543187349460368
"1_1552607","1",7.60901,0.542146645370082
"1_1552625","1",7.609011,0.542111238746827
"c1.loc8","1",8,0.540501331501758
"c1.loc9","1",9,0.534366171451666
"1_1956021","1",9.720012,0.52828652363749
"c1.loc10","1",10,0.622639643856957
"c1.loc11","1",11,0.115273511426039
"1_2275959","1",11.738013,0.0591737219912432
"c1.loc12","1",12,0.0882273951678769
"c1.loc13","1",13,0.239982519716506
"1_3046147","1",13.435014,0.316623860140794
"c1.loc14","1",14,0.319380385556457
"1_3170463","1",14.186015,0.320068106317251
"1_3145449","1",14.449016,0.318185428687087
"1_3205026","1",14.729017,0.327728349947193
"1_3268220","1",14.817018,0.3281203394057
"c1.loc15","1",15,0.333688651854345
"1_3232043","1",15.074019,0.335810831147711
"c1.loc16","1",16,0.347411751198678
"1_3738134","1",16.80702,0.344537814413854
"c1.loc17","1",17,0.352570473181032
"c1.loc18","1",18,0.39186891692222
"c1.loc19","1",19,0.424357351335942
"c1.loc20","1",20,0.447512971138309
"c1.loc21","1",21,0.46016133773216
"1_4279304","1",21.077021,0.460695518607139
"c1.loc22","1",22,0.389347360280311
"c1.loc23","1",23,0.297435503157629
"c1.loc24","1",24,0.193599588421222
"c1.loc25","1",25,0.0905697487934845
"c1.loc26","1",26,0.0157992707821677
"c1.loc27","1",27,0.0059265981469423
"c1.loc28","1",28,0.0807644586547553
"c1.loc29","1",29,0.219760350866665
"c1.loc30","1",30,0.377880615923885
"c1.loc31","1",31,0.520033874527627
"c1.loc32","1",32,0.632910497391038
"c1.loc33","1",33,0.71725299946263
"7_7311056","1",33.364022,0.741798081407808
"c1.loc34","1",34,0.720274624565434
"c1.loc35","1",35,0.68089196415238
"c1.loc36","1",36,0.635066940828438
"c1.loc37","1",37,0.583431466607635
"c1.loc38","1",38,0.527097294444729
"c1.loc39","1",39,0.467608798209767
"c1.loc40","1",40,0.406815882597101
"c1.loc41","1",41,0.346684899176978
"c1.loc42","1",42,0.289086235393967
"c1.loc43","1",43,0.235605237883107
"c1.loc44","1",44,0.187414265394665
"c1.loc45","1",45,0.145222735605898
"c1.loc46","1",46,0.109299249949743
"c1.loc47","1",47,0.0795443070840065
"11_7995636","1",47.189023,0.0746251658606809
"c1.loc48","1",48,0.0863574055433673
"c1.loc49","1",49,0.101432955900549
"c1.loc50","1",50,0.116643997195439
"c1.loc51","1",51,0.131407823704365
"c1.loc52","1",52,0.145169397464599
"3_20634638","1",52.012024,0.145325228039979
"18_3644857","1",52.520025,0.116748338435286
"11_7995637","1",52.770026,0.112497004663226
"c1.loc53","1",53,0.0985067553914405
"c1.loc54","1",54,0.0424078571730888
"1_12207498","1",54.309027,0.0288109683580728
"c1.loc55","1",55,0.0217377476629963
"c1.loc56","1",56,1.1068958656324e-06
"c1.loc57","1",57,0.0630107441945711
"c1.loc58","1",58,0.0574298254425401
"14_16990480","1",58.475028,0.0550511278859744
"1_16852366","1",58.634029,0.0531360153628953
"c1.loc59","1",59,0.0539060056624407
"18_33759636","1",59.82903,0.0533391630353321
"c1.loc60","1",60,0.0508976423762419
"1_17586659","1",60.200031,0.0478877998617122
"1_18503714","1",60.699032,0.0557408113633642
"1_18231605","1",60.886033,0.0396174731352232
"c1.loc61","1",61,0.0415364715423721
"1_19075514","1",61.152034,0.0435917110541766
"1_19145591","1",61.270035,0.107840372127953
"c1.loc62","1",62,0.0908450552871045
"1_19658001","1",62.586036,0.0752753351441697
"1_19658214","1",62.656037,0.0753522393571586
"1_19637644","1",62.776038,0.113262441988383
"c1.loc63","1",63,0.112728024204216
"1_19817756","1",63.337039,0.110646346278315
"1_20356240","1",63.78704,0.0952718099574952
"c1.loc64","1",64,0.0960682204858472
"1_19614222","1",64.750041,0.093127128699166
"c1.loc65","1",65,0.102985127845216
"1_20669875","1",65.163042,0.103826677716057
"c1.loc66","1",66,0.127376621571869
"1_20743986","1",66.848043,0.148610090053239
"1_20954387","1",66.848044,0.148475114843791
"c1.loc67","1",67,0.15179784967205
"1_21209235","1",67.285045,0.157596687606798
"1_20779520","1",67.817046,0.0105602517716079
"c1.loc68","1",68,0.0126507115797949
"c1.loc69","1",69,0.0281715332902479
"c1.loc70","1",70,0.0507373833605982
"c1.loc71","1",71,0.0799757596204529
"c1.loc72","1",72,0.114459287021191
"c1.loc73","1",73,0.151869874406543
"c1.loc74","1",74,0.18949608146454
"c1.loc75","1",75,0.224855343277255
"1_23969825","1",75.800047,0.250236680447784
"c1.loc76","1",76,0.250325509350091
"1_23481368","1",76.117048,0.25003171555781
"1_23828951","1",76.367049,0.140429437927935
"14_1026438","2",0,0.0507362760536125
"c2.loc1","2",1,0.0480227694772566
"c2.loc2","2",2,0.0450240946701967
"c2.loc3","2",3,0.0417488116813729
"c2.loc4","2",4,0.0382195055871364
"c2.loc5","2",5,0.0344751581030494
"c2.loc6","2",6,0.0305723958799433
"c2.loc7","2",7,0.026584979661493
