"","chr","pos","lod"
"1_61235","1",0,0.34665198960451
"c1.loc1","1",1,0.029948649571196
"c1.loc2","1",2,0.333937454346255
"1_929902","1",2.159001,0.344067578744898
"1_666584","1",2.722002,0.571738462635238
"c1.loc3","1",3,0.556471572744869
"1_695458","1",3.271003,0.537399644158853
"1_666669","1",3.450004,0.537401695351406
"1_659894","1",3.682005,0.556029647734363
"c1.loc4","1",4,0.527583232600989
"c1.loc5","1",5,0.237028357683442
"c1.loc6","1",6,0.163335615816379
"c1.loc7","1",7,0.474196328352434
"1_1688964","1",7.125006,0.490043635987121
"c1.loc8","1",8,0.507068291279836
"c1.loc9","1",9,0.36040334733994
"c1.loc10","1",10,7.53883271613631e-05
"c1.loc11","1",11,0.105887188242747
"c1.loc12","1",12,0.191192458781501
"1_2533272","1",12.043007,0.193746636502141
"1_2537093","1",12.046008,0.19383850386842
"1_2533185","1",12.046009,0.193838562434792
"1_2880124","1",12.72101,0.209178382791862
"c1.loc13","1",13,0.229443259814701
"1_3062243","1",13.423011,0.255075943065293
"1_3025844","1",13.477012,0.254304841173649
"c1.loc14","1",14,0.24349589068899
"1_3466266","1",14.151013,0.239499502341658
"c1.loc15","1",15,0.178477676492008
"1_3721305","1",15.807014,0.385917039838944
"c1.loc16","1",16,0.303555710339594
"1_3757997","1",16.119015,0.255651630239981
"1_3834552","1",16.432016,0.258348325076895
"1_3889266","1",16.902017,0.252195855778723
"c1.loc17","1",17,0.237845886916517
"1_4021184","1",17.999018,0.0740277969560168
"c1.loc18","1",18,0.0738704436820683
"1_4096008","1",18.667019,0.421479871467454
"c1.loc19","1",19,0.244283090102783
"1_4197004","1",19.72802,0.163079800569164
"c1.loc20","1",20,0.000918502997478754
"1_4279268","1",20.599021,0.142340024868616
"c1.loc21","1",21,0.160987260148744
"1_4279373","1",21.676022,0.183083719155974
"c1.loc22","1",22,0.176109798576618
"c1.loc23","1",23,0.139930919662817
"c1.loc24","1",24,0.0622021535240265
"c1.loc25","1",25,0.00410625245666552
"c1.loc26","1",26,0.11909305295697
"c1.loc27","1",27,0.190502976494571
"c1.loc28","1",28,0.215473334377378
"1_5767561","1",28.247023,0.218675104716937
"c1.loc29","1",29,0.262209795747566
"c1.loc30","1",30,0.322554270779221
"c1.loc31","1",31,0.381640227550491
"c1.loc32","1",32,0.435078642299004
"c1.loc33","1",33,0.479426585020406
"1_6289531","1",33.399024,0.494037993464275
"1_6289507","1",33.637025,0.49019320162364
"1_6307621","1",33.798026,0.785731860179169
"c1.loc34","1",34,0.769876011232213
"c1.loc35","1",35,0.701161538349055
"1_6691294","1",35.621027,0.669931339619922
"c1.loc36","1",36,0.867387924976612
"1_6749776","1",36.023028,0.873610324824597
"1_6743053","1",36.315029,0.981444321159501
"1_6912064","1",36.67603,0.983896247360917
"c1.loc37","1",37,0.978793298896392
"1_7042562","1",37.769031,0.953875299646569
"c1.loc38","1",38,0.955915715995019
"c1.loc39","1",39,0.83820794372545
"1_7253240","1",39.756032,0.238451866782782
"c1.loc40","1",40,0.421682243848181
"1_7356636","1",40.392033,0.605722356428373
"c1.loc41","1",41,0.571062646147283
"1_7356638","1",41.053034,0.566267829944479
"c1.loc42","1",42,0.969377027220332
"c1.loc43","1",43,1.76759145668825
"c1.loc44","1",44,0.424858790282883
"1_8516414","1",44.955035,0.0478937646094835
"c1.loc45","1",45,0.0573624421567445
"c1.loc46","1",46,2.08384408709813
"c1.loc47","1",47,0.877272177882162
"1_9284785","1",47.441036,0.589926219225646
"1_9424155","1",47.568037,0.593057709781277
"1_9388557","1",47.908038,0.593301270111908
"c1.loc48","1",48,0.57848825297242
"1_9060903","1",48.456039,0.0174758967793025
"c1.loc49","1",49,0.549306997534529
"1_9788875","1",49.92404,0.77660752275446
"c1.loc50","1",50,0.776254356468485
"c1.loc51","1",51,0.758475947000278
"c1.loc52","1",52,0.717348841182229
"1_10830747","1",52.404041,0.695195987649186
"c1.loc53","1",53,0.713899001368247
"1_11168597","1",53.396042,0.71940991973679
"c1.loc54","1",54,0.751464560526983
"c1.loc55","1",55,0.402051892519466
"10_4018986","1",55.697043,0.573962188993562
"c1.loc56","1",56,0.56258189636128
"c1.loc57","1",57,0.504161542088525
"c1.loc58","1",58,0.380644727989988
"c1.loc59","1",59,0.123709418549538
"c1.loc60","1",60,0.0581950431516134
"c1.loc61","1",61,0.416055008303999
"c1.loc62","1",62,0.584112547509847
"c1.loc63","1",63,0.642373920611703
"1_13433555","1",63.441044,0.654878784642705
"1_13411708","1",63.613045,0.601826218440038
"c1.loc64","1",64,0.63961477446253
"17_4735662","1",64.631046,0.671047208112299
"c1.loc65","1",65,0.646915540183926
"c1.loc66","1",66,0.582601007162367
"c1.loc67","1",67,0.520686592495196
"1_18477299","1",67.487047,0.491622063966958
"1_18216118","1",67.550048,8.69109456118622e-05
"c1.loc68","1",68,8.58675260531072e-05
"1_18957759","1",68.234049,8.53243035123796e-05
"c1.loc69","1",69,0.00179176872160269
"1_19365070","1",69.97605,0.00220126936557108
"c1.loc70","1",70,0.00232655246608715
"1_19658204","1",70.744051,0.00770493200556643
"1_19637630","1",70.744052,0.00776084714223657
"c1.loc71","1",71,0.0100847853734933
"1_19817726","1",71.664053,0.0165228298477018
"1_19817765","1",71.885054,0.0155714822736002
"c1.loc72","1",72,0.0174819803770561
"c1.loc73","1",73,0.0396185903545359
"c1.loc74","1",74,0.0710939912352444
"c1.loc75","1",75,0.110003466141734
"c1.loc76","1",76,0.152842034999679
"c1.loc77","1",77,0.19550066511016
"1_20799803","1",77.074055,0.198520669567728
"1_20799814","1",77.485056,0.174236025617404
"c1.loc78","1",78,0.100573688057352
"c1.loc79","1",79,0.267046359675817
"1_21856314","1",79.530057,0.297740395680762
"c1.loc80","1",80,0.288647214493295
"c1.loc81","1",81,0.253753215020794
"c1.loc82","1",82,0.168437456949505
"c1.loc83","1",83,0.0128096825138471
"c1.loc84","1",84,0.102980274031353
"c1.loc85","1",85,0.241899330359246
"c1.loc86","1",86,0.293734314053609
"1_4912715","1",86.608058,0.308038432695781
"c1.loc87","1",87,0.110600720981154
"1_23507587","1",87.271059,0.243509608928747
"c1.loc88","1",88,0.00243992148975281
"c1.loc89","1",89,0.109944040029063
"5_1411032","1",89.14306,0.118284645414946
"c1.loc90","1",90,0.171700745237843
"c1.loc91","1",91,0.232840621325636
"c1.loc92","1",92,0.278382690467652
"1_24197159","1",92.453061,0.291739701337008
"c1.loc93","1",93,0.271449843121871
"c1.loc94","1",94,0.223917473524068
"13_14783587","1",94.101062,0.218694236643273
"2_681715","2",0,0.026711072519106
"c2.loc1","2",1,0.0251300448590257
"2_727595","2",1.211001,0.0299938914731115
"2_684451","2",1.835002,0.0322865827683927
"c2.loc2","2",2,0.031444673363211
"c2.loc3","2",3,0.0262178497312107
"c2.loc4","2",4,0.0209677205284891
"c2.loc5","2",5,0.0158879082407282
"c2.loc6","2",6,0.0111989942336663
"c2.loc7","2",7,0.0071253444581032
"c2.loc8","2",8,0.00386560410336756
"c2.loc9","2",9,0.00156365940850378
"c2.loc10","2",10,0.000288102812305624
"c2.loc11","2",11,2.60226319426238e-05
"c2.loc12","2",12,0.000692067664175511
"c2.loc13","2",13,0.00214873434467222
"2_3454540","2",13.710003,0.00356840216238652
"c2.loc14","2",14,0.0108701918454415
"c2.loc15","2",15,0.363111646124224
"2_3508231","2",15.118004,0.319219684205279
"c2.loc16","2",16,0.118527600864894
"c2.loc17","2",17,0.00801967907068502
"2_3835280","2",17.297005,0.00027563099422423
"c2.loc18","2",18,0.0033776848235334
"2_4115561","2",18.351006,0.00899242308361181
