,chr,pos,lod
1_465241,1,0,0.262909591
c1.loc1,1,1,0.188278109
c1.loc2,1,2,0.120543082
c1.loc3,1,3,0.065409538
1_465237,1,3.915001,0.029306671
c1.loc4,1,4,0.029302922
1_465283,1,4.059002,0.02930032
1_979448,1,4.995003,0.045989377
c1.loc5,1,5,0.045782045
1_972545,1,5.293004,0.053633536
1_1002947,1,5.712005,0.050642024
1_1002957,1,5.864006,0.042174411
1_974823,1,5.871007,0.042174279
c1.loc6,1,6,0.044679471
c1.loc7,1,7,0.055445703
1_1388796,1,7.099008,0.055329946
1_1248864,1,7.263009,0.038327668
1_1552607,1,7.60901,0.040810508
1_1552625,1,7.609011,0.040858932
c1.loc8,1,8,0.043727604
c1.loc9,1,9,0.051362061
1_1956021,1,9.720012,0.057020441
c1.loc10,1,10,0.057525265
c1.loc11,1,11,0.016941456
1_2275959,1,11.738013,0.043546183
c1.loc12,1,12,0.038105729
c1.loc13,1,13,0.019725602
1_3046147,1,13.435014,0.013501764
c1.loc14,1,14,0.018504093
1_3170463,1,14.186015,0.020305935
1_3145449,1,14.449016,0.030718987
1_3205026,1,14.729017,0.06589508
1_3268220,1,14.817018,0.052006778
c1.loc15,1,15,0.049509501
1_3232043,1,15.074019,0.048502413
c1.loc16,1,16,0.05447388
1_3738134,1,16.80702,0.05791436
c1.loc17,1,17,0.059763306
c1.loc18,1,18,0.069279786
c1.loc19,1,19,0.078067764
c1.loc20,1,20,0.085512015
c1.loc21,1,21,0.091181584
1_4279304,1,21.077021,0.091534792
c1.loc22,1,22,0.08827746
c1.loc23,1,23,0.082532388
c1.loc24,1,24,0.073534221
c1.loc25,1,25,0.060465765
c1.loc26,1,26,0.043575046
c1.loc27,1,27,0.025335561
c1.loc28,1,28,0.010179356
c1.loc29,1,29,0.001694232
c1.loc30,1,30,0.000173168
c1.loc31,1,31,0.003432156
c1.loc32,1,32,0.008992182
c1.loc33,1,33,0.015176017
7_7311056,1,33.364022,0.017380922
c1.loc34,1,34,0.022949963
c1.loc35,1,35,0.033642638
c1.loc36,1,36,0.04670438
c1.loc37,1,37,0.062046502
c1.loc38,1,38,0.07941505
c1.loc39,1,39,0.098390058
c1.loc40,1,40,0.118412553
c1.loc41,1,41,0.138837665
c1.loc42,1,42,0.159003987
c1.loc43,1,43,0.178304041
c1.loc44,1,44,0.196240761
c1.loc45,1,45,0.212460314
c1.loc46,1,46,0.226759245
c1.loc47,1,47,0.239070623
11_7995636,1,47.189023,0.24115979
c1.loc48,1,48,0.230169692
c1.loc49,1,49,0.212696004
c1.loc50,1,50,0.191665056
