            chr  pos   lod
1_19637644    1 62.8 1.470
c2.loc50      2 50.0 0.852
c3.loc28      3 28.0 1.052
4_21750541    4 65.3 1.207
c5.loc7       5  7.0 1.308
6_15122181    6 45.1 1.486
7_18468778    7 56.9 1.843
c8.loc23      8 23.0 1.248
c9.loc3       9  3.0 1.350
c10.loc57    10 57.0 0.643
c11.loc49    11 49.0 1.376
12_22693791  12 85.5 0.853
c13.loc13    13 13.0 0.937
14_788160    14  0.0 0.348
c15.loc1     15  1.0 2.995
c16.loc3     16  3.0 0.456
c17.loc4     17  4.0 1.931
c18.loc64    18 64.0 0.845
c19.loc36    19 36.0 0.380
