"","chr","pos","lod"
"1_61235","1",0,0.127891038395802
"c1.loc1","1",1,0.0286911477478213
"c1.loc2","1",2,0.0945923092284602
"1_929902","1",2.159001,0.0997142955096422
"1_666584","1",2.722002,0.153203947519529
"c1.loc3","1",3,0.13297375797913
"1_695458","1",3.271003,0.113877582060638
"1_666669","1",3.450004,0.113876011213392
"1_659894","1",3.682005,0.104097807304896
"c1.loc4","1",4,0.107213410925738
"c1.loc5","1",5,0.0980824308409467
"c1.loc6","1",6,7.83310287033601e-06
"c1.loc7","1",7,0.0260743105747565
"1_1688964","1",7.125006,0.0289447399406413
"c1.loc8","1",8,0.031030588540176
"c1.loc9","1",9,0.0249427271614593
"c1.loc10","1",10,0.000329320344548023
"c1.loc11","1",11,0.00451952762509222
"c1.loc12","1",12,0.0093075938944196
"1_2533272","1",12.043007,0.00945624624864649
"1_2537093","1",12.046008,0.00953245628119248
"1_2533185","1",12.046009,0.00953245968131
"1_2880124","1",12.72101,0.0340056202202277
"c1.loc13","1",13,0.0568692768591177
"1_3062243","1",13.423011,0.100772991082181
"1_3025844","1",13.477012,0.0994148999996582
"c1.loc14","1",14,0.0767537428217508
"1_3466266","1",14.151013,0.0704321670260981
"c1.loc15","1",15,0.0748148689770289
"1_3721305","1",15.807014,0.0319601613281009
"c1.loc16","1",16,0.0269358145025365
"1_3757997","1",16.119015,0.0237896187439333
"1_3834552","1",16.432016,0.0233615378517413
"1_3889266","1",16.902017,0.0242707718666395
"c1.loc17","1",17,0.019985716244463
"1_4021184","1",17.999018,0.00157480700167412
"c1.loc18","1",18,0.00158989808724641
"1_4096008","1",18.667019,0.100358840926873
"c1.loc19","1",19,0.055455556511248
"1_4197004","1",19.72802,0.0452151023062868
"c1.loc20","1",20,0.0792894829154136
"1_4279268","1",20.599021,0.000380309544709689
"c1.loc21","1",21,0.00144245606014692
"1_4279373","1",21.676022,0.00456584584301822
"c1.loc22","1",22,0.00296715444744677
"c1.loc23","1",23,5.96360574718346e-05
"c1.loc24","1",24,0.0176277881838871
"c1.loc25","1",25,0.10295964382064
"c1.loc26","1",26,0.136468275264434
"c1.loc27","1",27,0.111414070718951
"c1.loc28","1",28,0.0915754229542074
"1_5767561","1",28.247023,0.0879911474037556
"c1.loc29","1",29,0.0950694312860207
"c1.loc30","1",30,0.103180223154766
"c1.loc31","1",31,0.109125698241058
"c1.loc32","1",32,0.112449526805278
"c1.loc33","1",33,0.113085753222492
"1_6289531","1",33.399024,0.112650548191567
"1_6289507","1",33.637025,0.114748755196274
"1_6307621","1",33.798026,0.37085917645237
"c1.loc34","1",34,0.360173367888251
"c1.loc35","1",35,0.317839709677116
"1_6691294","1",35.621027,0.299776653874488
"c1.loc36","1",36,0.486158057893874
"1_6749776","1",36.023028,0.495299944242987
"1_6743053","1",36.315029,0.649820484059973
"1_6912064","1",36.67603,0.657052938237456
"c1.loc37","1",37,0.674569212985119
"1_7042562","1",37.769031,0.708578229028745
"c1.loc38","1",38,0.738676795064691
"c1.loc39","1",39,1.06604798070714
"1_7253240","1",39.756032,0.00738733645138723
"c1.loc40","1",40,0.83244372687426
"1_7356636","1",40.392033,0.60956867213892
"c1.loc41","1",41,0.606070853337286
"1_7356638","1",41.053034,0.603882520706719
"c1.loc42","1",42,1.09525591311311
"c1.loc43","1",43,2.25767701404936
"c1.loc44","1",44,0.362912601660412
"1_8516414","1",44.955035,0.0296259567730033
"c1.loc45","1",45,0.0363985427621856
"c1.loc46","1",46,1.70276052144982
"c1.loc47","1",47,0.749373342896661
"1_9284785","1",47.441036,0.510154527719834
"1_9424155","1",47.568037,0.507963603975838
"1_9388557","1",47.908038,0.670141046410265
"c1.loc48","1",48,0.691882139883376
"1_9060903","1",48.456039,0.275472615299947
"c1.loc49","1",49,0.700556829232909
"1_9788875","1",49.92404,0.650607689644346
"c1.loc50","1",50,0.646431571084634
"c1.loc51","1",51,0.581480380496146
"c1.loc52","1",52,0.503086784474931
"1_10830747","1",52.404041,0.469501813070536
"c1.loc53","1",53,0.518866381134302
"1_11168597","1",53.396042,0.547708737349808
"c1.loc54","1",54,0.497690922527454
"c1.loc55","1",55,0.133074206452363
"10_4018986","1",55.697043,0.265565963331426
"c1.loc56","1",56,0.268607211345795
"c1.loc57","1",57,0.279506885850537
"c1.loc58","1",58,0.284569126183612
"c1.loc59","1",59,0.233303061221932
"c1.loc60","1",60,0.0437182793160389
"c1.loc61","1",61,0.0116137706282586
"c1.loc62","1",62,0.0635970201480802
"c1.loc63","1",63,0.100573736927942
"1_13433555","1",63.441044,0.111985504520987
"1_13411708","1",63.613045,0.11382168817471
"c1.loc64","1",64,0.118902674444001
"17_4735662","1",64.631046,0.122853917546905
"c1.loc65","1",65,0.117398141597647
"c1.loc66","1",66,0.102993763501019
"c1.loc67","1",67,0.0893361797544401
"1_18477299","1",67.487047,0.0830050944916536
"1_18216118","1",67.550048,0.016708796104524
"c1.loc68","1",68,0.0169690198326578
"1_18957759","1",68.234049,0.0171029256181612
