"","chr","pos","lod"
"1_465241","1",0,0.234386938876128
"c1.loc1","1",1,0.315979042446116
"c1.loc2","1",2,0.400532144931617
"c1.loc3","1",3,0.477729775806552
"1_465237","1",3.915001,0.534208999754441
"c1.loc4","1",4,0.53515378340947
"1_465283","1",4.059002,0.535804482729361
"1_979448","1",4.995003,0.68576855016039
"c1.loc5","1",5,0.687926387640886
"1_972545","1",5.293004,0.496472944880907
"1_1002947","1",5.712005,0.578135549149351
"1_1002957","1",5.864006,0.572436254261618
"1_974823","1",5.871007,0.572436418834172
"c1.loc6","1",6,0.575627176573448
"c1.loc7","1",7,0.406130378736776
"1_1388796","1",7.099008,0.377336716508893
"1_1248864","1",7.263009,0.640010411861397
"1_1552607","1",7.60901,0.638659157077342
"1_1552625","1",7.609011,0.638613511579592
"c1.loc8","1",8,0.636572873437729
"c1.loc9","1",9,0.628965861419857
"1_1956021","1",9.720012,0.621526986463209
"c1.loc10","1",10,0.69056644148381
"c1.loc11","1",11,0.0147647699911033
"1_2275959","1",11.738013,0.165912399334076
"c1.loc12","1",12,0.2161063850061
"c1.loc13","1",13,0.445281776498007
"1_3046147","1",13.435014,0.550580164513548
"c1.loc14","1",14,0.556911597482809
"1_3170463","1",14.186015,0.558618684967911
"1_3145449","1",14.449016,0.510265163782407
"1_3205026","1",14.729017,0.523119216054624
"1_3268220","1",14.817018,0.571466580549526
"c1.loc15","1",15,0.581662397365619
"1_3232043","1",15.074019,0.585561097622275
"c1.loc16","1",16,0.568277933716587
"1_3738134","1",16.80702,0.532608508087037
"c1.loc17","1",17,0.549451806655924
"c1.loc18","1",18,0.635156955115889
"c1.loc19","1",19,0.712173179067349
"c1.loc20","1",20,0.774724342047108
"c1.loc21","1",21,0.819264849432415
"1_4279304","1",21.077021,0.821885551633954
"c1.loc22","1",22,0.73241938258235
"c1.loc23","1",23,0.609381472663955
"c1.loc24","1",24,0.457359458086898
"c1.loc25","1",25,0.284519246363431
"c1.loc26","1",26,0.119721774132842
"c1.loc27","1",27,0.0143668830293677
"c1.loc28","1",28,0.0148401559463309
"c1.loc29","1",29,0.120383055101513
"c1.loc30","1",30,0.284051090567999
"c1.loc31","1",31,0.45513072345608
"c1.loc32","1",32,0.605528921240847
"c1.loc33","1",33,0.727397340710127
"7_7311056","1",33.364022,0.764712693432301
"c1.loc34","1",34,0.754233164672399
"c1.loc35","1",35,0.732183133058527
"c1.loc36","1",36,0.703089808289917
"c1.loc37","1",37,0.666980492553193
"c1.loc38","1",38,0.624354284148069
"c1.loc39","1",39,0.576201147629831
"c1.loc40","1",40,0.523941549667683
"c1.loc41","1",41,0.46928939067854
"c1.loc42","1",42,0.414064455417815
"c1.loc43","1",43,0.359996090466439
