"","chr","pos","lod"
"1_465241","1",0,0.362757001786747
"c1.loc1","1",1,0.330087597064164
"c1.loc2","1",2,0.289857876807901
"c1.loc3","1",3,0.245008637353578
"1_465237","1",3.915001,0.20308786979632
"c1.loc4","1",4,0.203090824726814
"1_465283","1",4.059002,0.203092875291986
"1_979448","1",4.995003,0.137503688788513
"c1.loc5","1",5,0.132867914453527
"1_972545","1",5.293004,0.509137694719016
"1_1002947","1",5.712005,0.326962761068387
"1_1002957","1",5.864006,0.331145380739088
"1_974823","1",5.871007,0.331145548327072
"c1.loc6","1",6,0.326616619953825
"c1.loc7","1",7,0.228110644387243
"1_1388796","1",7.099008,0.21473711808909
"1_1248864","1",7.263009,0.488216061124149
"1_1552607","1",7.60901,0.495438908475478
"1_1552625","1",7.609011,0.495617621174461
"c1.loc8","1",8,0.503581803561019
"c1.loc9","1",9,0.52303760869836
"1_1956021","1",9.720012,0.536015906571492
"c1.loc10","1",10,0.547349138630636
"c1.loc11","1",11,0.101471630637377
"1_2275959","1",11.738013,0.365574481264616
"c1.loc12","1",12,0.400359698478496
"c1.loc13","1",13,0.528453525906968
"1_3046147","1",13.435014,0.577022901703572
"c1.loc14","1",14,0.564466788989932
"1_3170463","1",14.186015,0.560055228816736
"1_3145449","1",14.449016,0.608288986470541
"1_3205026","1",14.729017,0.821021058155793
"1_3268220","1",14.817018,0.7820283441161
"c1.loc15","1",15,0.82484717363144
"1_3232043","1",15.074019,0.842225276378656
"c1.loc16","1",16,0.877674494812254
"1_3738134","1",16.80702,0.873627767604205
"c1.loc17","1",17,0.887174783737294
"c1.loc18","1",18,0.95096627762382
"c1.loc19","1",19,1.00000475170157
"c1.loc20","1",20,1.03135699220257
"c1.loc21","1",21,1.04407163537508
"1_4279304","1",21.077021,1.04429495455923
"c1.loc22","1",22,0.934427686455308
"c1.loc23","1",23,0.783792059942414
"c1.loc24","1",24,0.598585029547223
"c1.loc25","1",25,0.388324613570148
"c1.loc26","1",26,0.184017564484691
"c1.loc27","1",27,0.0388791892731319
"c1.loc28","1",28,0.00262596235512547
"c1.loc29","1",29,0.0826324420121978
"c1.loc30","1",30,0.239556741535011
"c1.loc31","1",31,0.422021986483742
"c1.loc32","1",32,0.595097323822415
"c1.loc33","1",33,0.743947764480765
"7_7311056","1",33.364022,0.791137617755339
"c1.loc34","1",34,0.813872715689286
"c1.loc35","1",35,0.846782863615715
"c1.loc36","1",36,0.874660942170692
"c1.loc37","1",37,0.895925849525952
"c1.loc38","1",38,0.909173988915086
"c1.loc39","1",39,0.913366726598667
"c1.loc40","1",40,0.907990905842098
"c1.loc41","1",41,0.893150631862909
"c1.loc42","1",42,0.869563160825692
"c1.loc43","1",43,0.838458290888582
"c1.loc44","1",44,0.801407953735293
"c1.loc45","1",45,0.760128885777476
"c1.loc46","1",46,0.716300980234735
"c1.loc47","1",47,0.671430525373751
"11_7995636","1",47.189023,0.663007273695769
"c1.loc48","1",48,0.75834987516123
"c1.loc49","1",49,0.874884976597741
