"","chr","pos","lod"
"1_465241","1",0,0.000332791189123327
"c1.loc1","1",1,0.00514883565560353
"c1.loc2","1",2,0.0268926433449508
"c1.loc3","1",3,0.0641271286435483
"1_465237","1",3.915001,0.107676027593868
"c1.loc4","1",4,0.107412596712464
"1_465283","1",4.059002,0.107228482818954
"1_979448","1",4.995003,0.0553773931983415
"c1.loc5","1",5,0.0547713622911488
"1_972545","1",5.293004,0.087789072827519
"1_1002947","1",5.712005,0.0465365839683045
"1_1002957","1",5.864006,0.0296849955882692
"1_974823","1",5.871007,0.0296849988655481
"c1.loc6","1",6,0.0538276255855976
"c1.loc7","1",7,0.454767141744611
"1_1388796","1",7.099008,0.497243411301667
"1_1248864","1",7.263009,0.00915719779291635
"1_1552607","1",7.60901,0.00838215745721982
"1_1552625","1",7.609011,0.00835957901585971
"c1.loc8","1",8,0.00752198355019118
"c1.loc9","1",9,0.00555983820535744
"1_1956021","1",9.720012,0.00433072858677974
"c1.loc10","1",10,0.00179374119778686
"c1.loc11","1",11,0.0670337090735416
"1_2275959","1",11.738013,0.0353629260669663
"c1.loc12","1",12,0.0374425943412291
"c1.loc13","1",13,0.0434104292504855
"1_3046147","1",13.435014,0.0447964109496013
"c1.loc14","1",14,0.0617567755624577
"1_3170463","1",14.186015,0.067851531824715
"1_3145449","1",14.449016,0.0612465104655655
"1_3205026","1",14.729017,0.0711613926554264
"1_3268220","1",14.817018,0.0629631367333729
"c1.loc15","1",15,0.0689266264027708
"1_3232043","1",15.074019,0.0713746600253273
"c1.loc16","1",16,0.0344545007276906
"1_3738134","1",16.80702,0.0123265399872139
"c1.loc17","1",17,0.0134101294691504
"c1.loc18","1",18,0.0197519731067928
"c1.loc19","1",19,0.0270098557989229
"c1.loc20","1",20,0.0347753130516821
"c1.loc21","1",21,0.0425858488414974
"1_4279304","1",21.077021,0.0431710523880326
"c1.loc22","1",22,0.049721491498758
"c1.loc23","1",23,0.0582833830349045
"c1.loc24","1",24,0.0681640518365896
"c1.loc25","1",25,0.0782917353054984
"c1.loc26","1",26,0.0861206394101544
"c1.loc27","1",27,0.0879851439859749
"c1.loc28","1",28,0.0816244654296838
"c1.loc29","1",29,0.0688109989301893
"c1.loc30","1",30,0.0539603365763526
"c1.loc31","1",31,0.0405749173448839
"c1.loc32","1",32,0.0299748259884325
"c1.loc33","1",33,0.0220833180734132
"7_7311056","1",33.364022,0.0197919285659225
"c1.loc34","1",34,0.0175608355110342
"c1.loc35","1",35,0.0140867108584644
"c1.loc36","1",36,0.01076597635182
"c1.loc37","1",37,0.00771684107283477
"c1.loc38","1",38,0.00505732871320674
"c1.loc39","1",39,0.00289291314402362
"c1.loc40","1",40,0.00130425109327348
"c1.loc41","1",41,0.000337685477489913
"c1.loc42","1",42,7.14056398010143e-07
"c1.loc43","1",43,0.000263326253019613
"c1.loc44","1",44,0.00106452242386013
"c1.loc45","1",45,0.00232210321726711
"c1.loc46","1",46,0.00394337350579121
"c1.loc47","1",47,0.00583474309809162
"11_7995636","1",47.189023,0.00621221419226003
"c1.loc48","1",48,0.00347758630053363
"c1.loc49","1",49,0.00111706734747941
"c1.loc50","1",50,5.19279487889435e-05
"c1.loc51","1",51,0.000365262649893339
"c1.loc52","1",52,0.0020209570398606
"3_20634638","1",52.012024,0.00204825853498392
"18_3644857","1",52.520025,0.00938907017894053
"11_7995637","1",52.770026,0.00607277864338585
"c1.loc53","1",53,0.0048793897251187
"c1.loc54","1",54,0.00095139366325725
"1_12207498","1",54.309027,0.000331141113889544
"c1.loc55","1",55,0.00301137762647841
"c1.loc56","1",56,0.0514992241805032
"c1.loc57","1",57,0.0533943175740035
"c1.loc58","1",58,0.0208717895180541
"14_16990480","1",58.475028,0.0161357011581629
"1_16852366","1",58.634029,0.0185607618731183
"c1.loc59","1",59,0.0169885460821035
"18_33759636","1",59.82903,0.01285856530356
"c1.loc60","1",60,0.011062023805323
"1_17586659","1",60.200031,0.00909205773092481
"1_18503714","1",60.699032,0.0168386159235752
"1_18231605","1",60.886033,0.0382123440539601
"c1.loc61","1",61,0.0426016668687907
"1_19075514","1",61.152034,0.0482670651293517
