"","chr","pos","lod"
"1_465241","1",0,0.60952738300881
"c1.loc1","1",1,0.601572882186588
"c1.loc2","1",2,0.577847264552759
"c1.loc3","1",3,0.539612928760391
"1_465237","1",3.915001,0.494934212199098
"c1.loc4","1",4,0.494924427310991
"1_465283","1",4.059002,0.494917636654804
"1_979448","1",4.995003,0.55360576881435
"c1.loc5","1",5,0.550784159234354
"1_972545","1",5.293004,0.660557392217356
"1_1002947","1",5.712005,0.529538954156749
"1_1002957","1",5.864006,0.526314657040643
"1_974823","1",5.871007,0.526314843290095
"c1.loc6","1",6,0.50054887088362
"c1.loc7","1",7,0.236196186439145
"1_1388796","1",7.099008,0.21075154135292
"1_1248864","1",7.263009,0.467269852196864
"1_1552607","1",7.60901,0.461384825641119
"1_1552625","1",7.609011,0.461230866421261
"c1.loc8","1",8,0.454415954206468
"c1.loc9","1",9,0.436197102958431
"1_1956021","1",9.720012,0.422607296432773
"c1.loc10","1",10,0.382059841986234
"c1.loc11","1",11,0.467280457620916
"1_2275959","1",11.738013,0.564659683492664
"c1.loc12","1",12,0.564260994106291
"c1.loc13","1",13,0.539925687228447
"1_3046147","1",13.435014,0.519501779570874
"c1.loc14","1",14,0.510921528832114
"1_3170463","1",14.186015,0.507828851675697
"1_3145449","1",14.449016,0.532021224232949
"1_3205026","1",14.729017,0.736691902124392
"1_3268220","1",14.817018,0.719543320731134
"c1.loc15","1",15,0.765502477624182
"1_3232043","1",15.074019,0.784239400298986
"c1.loc16","1",16,0.722330366431208
"1_3738134","1",16.80702,0.641881115876458
"c1.loc17","1",17,0.647823221619944
"c1.loc18","1",18,0.672495212211118
"c1.loc19","1",19,0.684957765966033
"c1.loc20","1",20,0.684225120439805
"c1.loc21","1",21,0.670837867137266
"1_4279304","1",21.077021,0.669342863883344
"c1.loc22","1",22,0.682368883196716
"c1.loc23","1",23,0.689091198718756
"c1.loc24","1",24,0.681430250418316
"c1.loc25","1",25,0.649979133063198
"c1.loc26","1",26,0.585168726965378
"c1.loc27","1",27,0.483913295521518
"c1.loc28","1",28,0.357486592068938
"c1.loc29","1",29,0.230462400143949
"c1.loc30","1",30,0.126772874912263
"c1.loc31","1",31,0.0569185037011835
"c1.loc32","1",32,0.0182004353413845
"c1.loc33","1",33,0.0022206547888004
