            chr   pos   lod
c1.loc5       1  5.00 0.963
c2.loc31      2 31.00 0.833
c3.loc63      3 63.00 0.962
4_24242954    4 70.28 1.660
5_21729658    5 61.77 0.928
c6.loc52      6 52.00 0.549
c7.loc49      7 49.00 1.967
c8.loc76      8 76.00 0.876
9_13407438    9 50.03 0.875
10_6554504   10 28.60 1.373
c11.loc16    11 16.00 0.722
c12.loc70    12 70.00 2.962
13_604670    13  1.73 0.585
14_22044025  14 46.49 1.240
c15.loc13    15 13.00 1.448
16_16131634  16 26.31 0.474
c17.loc42    17 42.00 1.209
c18.loc7     18  7.00 1.429
c19.loc41    19 41.00 1.190
