"","chr","pos","lod"
"1_465241","1",0,0.0270606445924244
"c1.loc1","1",1,0.0786310885404511
"c1.loc2","1",2,0.156570150866845
"c1.loc3","1",3,0.252214708116995
"1_465237","1",3.915001,0.343850661835212
"c1.loc4","1",4,0.343867262449624
"1_465283","1",4.059002,0.343878782944113
"1_979448","1",4.995003,0.254241562741488
"c1.loc5","1",5,0.253982731510941
"1_972545","1",5.293004,0.244648773332973
"1_1002947","1",5.712005,0.253168663125969
"1_1002957","1",5.864006,0.201493544374728
"1_974823","1",5.871007,0.201493454106721
"c1.loc6","1",6,0.204399935297225
"c1.loc7","1",7,0.17066407682546
"1_1388796","1",7.099008,0.162917296051241
"1_1248864","1",7.263009,0.268291801582336
"1_1552607","1",7.60901,0.267738319503518
"1_1552625","1",7.609011,0.26772084333982
"c1.loc8","1",8,0.266973077120223
"c1.loc9","1",9,0.264486524512868
"1_1956021","1",9.720012,0.262224212018957
"c1.loc10","1",10,0.225608487100072
"c1.loc11","1",11,0.461213871389536
"1_2275959","1",11.738013,0.444613845236269
"c1.loc12","1",12,0.428080094818316
"c1.loc13","1",13,0.339868184216019
"1_3046147","1",13.435014,0.296003451149303
"c1.loc14","1",14,0.283928962541829
"1_3170463","1",14.186015,0.279667366327811
"1_3145449","1",14.449016,0.265652362466415
"1_3205026","1",14.729017,0.266395927789514
"1_3268220","1",14.817018,0.248883696870344
"c1.loc15","1",15,0.246518376685536
"1_3232043","1",15.074019,0.245374988400496
"c1.loc16","1",16,0.28389443138688
"1_3738134","1",16.80702,0.312165191551838
"c1.loc17","1",17,0.303276999963497
"c1.loc18","1",18,0.256035267450255
"c1.loc19","1",19,0.208958012290349
"c1.loc20","1",20,0.164151010046648
"c1.loc21","1",21,0.123474297973274
"1_4279304","1",21.077021,0.120582351287037
"c1.loc22","1",22,0.127831680172932
"c1.loc23","1",23,0.135594130997731
"c1.loc24","1",24,0.141750535909658
"c1.loc25","1",25,0.143430019323102
"c1.loc26","1",26,0.136580756281692
"c1.loc27","1",27,0.11820315298214
"c1.loc28","1",28,0.0903047183264043
"c1.loc29","1",29,0.0603262119095511
"c1.loc30","1",30,0.0355120103998665
"c1.loc31","1",31,0.0185146332201462
"c1.loc32","1",32,0.00835947488952016
"c1.loc33","1",33,0.00298835480203863
"7_7311056","1",33.364022,0.00185907467718494
"c1.loc34","1",34,0.000185145989139102
"c1.loc35","1",35,0.00121760313716379
"c1.loc36","1",36,0.00728822960046571
"c1.loc37","1",37,0.0188389658043668
"c1.loc38","1",38,0.0360456517332217
"c1.loc39","1",39,0.0587594026536031
"c1.loc40","1",40,0.0864881650400875
"c1.loc41","1",41,0.118428069351499
"c1.loc42","1",42,0.153541676601833
"c1.loc43","1",43,0.19066757548363
"c1.loc44","1",44,0.228638246789039
"c1.loc45","1",45,0.266383447255276
"c1.loc46","1",46,0.303003489149717
"c1.loc47","1",47,0.337806856739288
"11_7995636","1",47.189023,0.344088230534329
"c1.loc48","1",48,0.372814984019829
"c1.loc49","1",49,0.405697321445412
"c1.loc50","1",50,0.43400085127389
"c1.loc51","1",51,0.456229521712039
"c1.loc52","1",52,0.471462085073664
"3_20634638","1",52.012024,0.471599698142494
"18_3644857","1",52.520025,0.263853963678905
"11_7995637","1",52.770026,0.273144650619443
"c1.loc53","1",53,0.252469329514636
"c1.loc54","1",54,0.150620965133399
"1_12207498","1",54.309027,0.119714790097575
"c1.loc55","1",55,0.102959497269495
"c1.loc56","1",56,0.0134750591512152
"c1.loc57","1",57,0.134483652665654
"c1.loc58","1",58,0.155267287280321
"14_16990480","1",58.475028,0.155368753638477
"1_16852366","1",58.634029,0.158348286575265
"c1.loc59","1",59,0.222627739511989
"18_33759636","1",59.82903,0.399851390175296
"c1.loc60","1",60,0.390923851612829
"1_17586659","1",60.200031,0.379475950363098
"1_18503714","1",60.699032,0.172792975551776
"1_18231605","1",60.886033,0.219873981051261
"c1.loc61","1",61,0.179863600324513
"1_19075514","1",61.152034,0.129508817430079
"1_19145591","1",61.270035,0.0903524007207182
"c1.loc62","1",62,0.268352637607443
"1_19658001","1",62.586036,0.368362748456189
"1_19658214","1",62.656037,0.36835734594279
"1_19637644","1",62.776038,0.240510587032283
"c1.loc63","1",63,0.244145028740075
"1_19817756","1",63.337039,0.248949012447593
"1_20356240","1",63.78704,0.321501580248736
"c1.loc64","1",64,0.287152316773938
"1_19614222","1",64.750041,0.0737075582443296
"c1.loc65","1",65,0.265464523847424
"1_20669875","1",65.163042,0.34229247096912
"c1.loc66","1",66,0.297131832597334
"1_20743986","1",66.848043,0.241543932023571
"1_20954387","1",66.848044,0.241486985383034
"c1.loc67","1",67,0.231168366808948
"1_21209235","1",67.285045,0.211810886825042
"1_20779520","1",67.817046,0.233177454064286
"c1.loc68","1",68,0.243822435780075
"c1.loc69","1",69,0.306359086703534
"c1.loc70","1",70,0.372661559048712
"c1.loc71","1",71,0.437611441041287
"c1.loc72","1",72,0.495440018188862
"c1.loc73","1",73,0.54127596077036
"c1.loc74","1",74,0.572451866908107
"c1.loc75","1",75,0.588888552346567
"1_23969825","1",75.800047,0.592685028886276
"c1.loc76","1",76,0.578807556012364
"1_23481368","1",76.117048,0.568834020158295
"1_23828951","1",76.367049,0.603868660903373
"14_1026438","2",0,0.306711962219175
"c2.loc1","2",1,0.294913914263088
"c2.loc2","2",2,0.280117911118264
"c2.loc3","2",3,0.261818086735413
"c2.loc4","2",4,0.239596212945397
"c2.loc5","2",5,0.213265437743804
"c2.loc6","2",6,0.183066712189945
"c2.loc7","2",7,0.149877797625475
"c2.loc8","2",8,0.115340485662394
"c2.loc9","2",9,0.0817762260823542
"c2.loc10","2",10,0.0518073109033033
"c2.loc11","2",11,0.0277577373596749
"c2.loc12","2",12,0.0110825732687481
"c2.loc13","2",13,0.00209762438655403
"c2.loc14","2",14,0.000102020549263671
"c2.loc15","2",15,0.00376172179235823
"c2.loc16","2",16,0.0115342048592986
"c2.loc17","2",17,0.0219805973265323
"c2.loc18","2",18,0.0339245949368348
"2_950882","2",18.523001,0.0404320475368536
"c2.loc19","2",19,0.0343453691904863
"c2.loc20","2",20,0.0196169494577134
"c2.loc21","2",21,0.00461290503958978
"c2.loc22","2",22,0.00273781537925188
"c2.loc23","2",23,0.056292432440241
"c2.loc24","2",24,0.176063365822152
"c2.loc25","2",25,0.965111069509994
"c2.loc26","2",26,0.975241252499412
"2_2154912","2",26.415002,0.972730431847037
"2_2285122","2",26.743003,0.972713005185092
"2_2239200","2",26.775004,0.962780485925546
"2_2273409","2",26.775005,0.962780671425524
"c2.loc27","2",27,0.88495567354552
"2_2363256","2",27.104006,0.845054009325342
"c2.loc28","2",28,0.928176434602154
"2_2798731","2",28.890007,0.756380073561253
"c2.loc29","2",29,1.52467141690401
"2_2938083","2",29.109008,1.8309691412316
"2_2972467","2",29.786009,1.63305531032061
"c2.loc30","2",30,1.67948274396352
"c2.loc31","2",31,0.0741149677779447
"2_3268584","2",31.53701,0.857608959627932
"c2.loc32","2",32,0.685139132249954
"c2.loc33","2",33,0.409268174703339
"c2.loc34","2",34,0.803555613959883
"2_3614447","2",34.069011,0.811096932154786
"2_3953244","2",34.936012,0.129651595939958
"2_3794440","2",34.952013,0.133202096683718
"2_3671868","2",34.953014,0.132384161418013
"c2.loc35","2",35,0.142986043614016
"2_3835305","2",35.226015,0.197186875429992
"c2.loc36","2",36,0.105267611909884
"2_4212916","2",36.725016,0.0443729460449873
"c2.loc37","2",37,0.0783288281244303
"2_4268719","2",37.072017,0.0330017243089031
"2_4350101","2",37.980018,0.0331648010106065
"c2.loc38","2",38,0.0334833819594174
"c2.loc39","2",39,0.0434160823260648
"2_4568638","2",39.431019,0.0430429353240704
"c2.loc40","2",40,0.0385495825458619
"c2.loc41","2",41,0.0300625256982059
"c2.loc42","2",42,0.0216437398726335
"c2.loc43","2",43,0.0141807706151731
"c2.loc44","2",44,0.00827308192986465
"c2.loc45","2",45,0.00411304612739727
"c2.loc46","2",46,0.0015613317172587
"2_5186881","2",46.03102,0.00150526577594334
"c2.loc47","2",47,0.000535343265621435
"c2.loc48","2",48,4.37429547837098e-05
"c2.loc49","2",49,0.000101921176788977
"c2.loc50","2",50,0.000718281634501494
"c2.loc51","2",51,0.00187582125243324
"c2.loc52","2",52,0.00353364774246145
"c2.loc53","2",53,0.00563105990987012
"c2.loc54","2",54,0.00809342466946106
"c2.loc55","2",55,0.0108388152636252
"2_6114707","2",55.100021,0.0111232032844519
"c2.loc56","2",56,0.0202998152466947
"c2.loc57","2",57,0.034350576047192
"c2.loc58","2",58,0.0527090190230197
"c2.loc59","2",59,0.0754490113344986
"c2.loc60","2",60,0.102392778611975
"c2.loc61","2",61,0.133082383763032
"c2.loc62","2",62,0.166788867455512
"c2.loc63","2",63,0.202564187824716
"c2.loc64","2",64,0.239329887570292
"c2.loc65","2",65,0.27598573870149
"c2.loc66","2",66,0.31151610975564
"c2.loc67","2",67,0.345073798691537
"c2.loc68","2",68,0.376029223622329
"c2.loc69","2",69,0.403983181097928
"c2.loc70","2",70,0.428749764433885
"14_23184626","2",70.071022,0.430371386024579
"3_1058124","3",0,0.301765681825721
"3_1055879","3",0.487001,0.0733235025091545
"c3.loc1","3",1,0.0124165912765051
"3_1055953","3",1.007002,0.0119294741301417
"3_1055923","3",1.175003,0.00795560548840157
"3_1001036","3",1.461004,0.0426211631844424
"c3.loc2","3",2,0.0220442256432918
"3_1584324","3",2.976005,0.000129399826146681
"c3.loc3","3",3,0.000581966661993505
"3_1544948","3",3.207006,0.0814791551246046
"3_1598999","3",3.336007,0.0503144596389014
"c3.loc4","3",4,0.0649650950523331
"3_1773587","3",4.673008,0.0807926924990099
"c3.loc5","3",5,0.0777274657979135
"c3.loc6","3",6,0.00117413855609882
"c3.loc7","3",7,0.0673116683493866
"3_2108695","3",7.229009,0.0713597006018425
"3_2108599","3",7.56901,0.0575376933932752
"3_2206148","3",7.967011,0.0383884501984468
"c3.loc8","3",8,0.0389320449949366
"c3.loc9","3",9,0.0567133785429164
"3_2403699","3",9.021012,0.0571021211765093
"c3.loc10","3",10,0.0584294911143779
"c3.loc11","3",11,0.0593213107690858
"3_2505539","3",11.139013,0.0594052604577868
"3_2502610","3",11.532014,0.16073473689427
"3_2518657","3",11.883015,0.0286927506394363
"c3.loc12","3",12,0.0280153705906478
"c3.loc13","3",13,0.0222401713810001
"c3.loc14","3",14,0.0167541393195201
"c3.loc15","3",15,0.0117972834077449
"c3.loc16","3",16,0.0075802844605839
"c3.loc17","3",17,0.00425529981598061
"c3.loc18","3",18,0.0018979671474888
"c3.loc19","3",19,0.000504856626953654
"c3.loc20","3",20,5.17547087142134e-06
"3_3553194","3",20.116016,5.02957675507787e-10
"c3.loc21","3",21,0.00115301524848377
"c3.loc22","3",22,0.0042433521909544
"3_4196288","3",22.350017,0.00309637186752454
"c3.loc23","3",23,0.0591605590071076
"c3.loc24","3",24,0.233359053713354
"6_6610169","3",24.502018,0.188916580102042
"c3.loc25","3",25,0.00211580982389847
"6_6610309","3",25.106019,0.00112320124265253
"3_4201050","3",25.33702,0.00234322079193916
"3_4228313","3",25.493021,0.0715833605283791
"3_4214165","3",25.692022,0.067949933517415
"c3.loc26","3",26,0.067305547323592
"c3.loc27","3",27,0.0635147989551719
"3_4355551","3",27.033023,0.0633508448117048
"c3.loc28","3",28,0.0054830243780728
"c3.loc29","3",29,0.0763713360964253
"c3.loc30","3",30,0.60283684022437
"3_5306858","3",30.948024,0.980847859866241
"c3.loc31","3",31,1.03860895353646
"3_5278777","3",31.476025,8.75301617178081e-05
"3_5596857","3",31.779026,0.00118625210972212
"c3.loc32","3",32,3.42745994679206e-05
"3_5417721","3",32.414027,0.0179768190938283
"c3.loc33","3",33,0.00247124515247776
"3_5645733","3",33.148028,0.00169871390906806
"c3.loc34","3",34,0.00823187633251266
"6_2131773","3",34.650029,0.0159479024823952
"c3.loc35","3",35,0.0108836319596826
"7_23037623","3",35.17603,0.00853352430819854
"c3.loc36","3",36,0.00978171544611328
"c3.loc37","3",37,8.10861330506896e-05
"3_6059142","3",37.919031,0.00299147570911629
"c3.loc38","3",38,0.00335254176195932
"c3.loc39","3",39,0.0564425955179537
"c3.loc40","3",40,0.000455158088684016
"3_6405665","3",40.074032,0.00035923076871569
"c3.loc41","3",41,0.00520248720214767
"c3.loc42","3",42,0.0861122713158693
"c3.loc43","3",43,0.0490700847499532
"c3.loc44","3",44,0.0196941357740101
"3_7287592","3",44.351033,0.0162684626814666
"c3.loc45","3",45,0.00648132263125589
"c3.loc46","3",46,0.396718931974366
"3_7815481","3",46.106034,0.349649269308269
"c3.loc47","3",47,0.209043272237373
"3_8423519","3",47.215035,0.244063395742611
"c3.loc48","3",48,0.469220046041496
"3_8423518","3",48.041036,0.480687004973035
"3_8423520","3",48.162037,0.435845077291631
"3_8423542","3",48.428038,0.43583569260776
"3_8895621","3",48.777039,0.43979880507219
"3_8895655","3",48.84204,0.871134054911451
"c3.loc49","3",49,0.848762792334629
"3_9224644","3",49.417041,0.773931730775207
"5_2392618","3",49.555042,0.5850954015845
"5_2392650","3",49.879043,0.580923511720059
"c3.loc50","3",50,0.627033715109793
"3_9044978","3",50.193044,0.69025458393368
"c3.loc51","3",51,0.661311502379402
"c3.loc52","3",52,0.608091087351909
"c3.loc53","3",53,0.54101027600813
"3_12277519","3",53.060045,0.536739362951888
"12_11308873","3",53.380046,0.553050653917683
"3_14322343","3",53.725047,0.000743989154969427
"c3.loc54","3",54,0.00688833201710182
"2_14258457","3",54.333048,0.0292529464359141
"3_16163489","3",54.666049,0.0153183930370204
"3_16707449","3",54.90305,0.690054820749211
"c3.loc55","3",55,0.692825725782502
"2_14258463","3",55.315051,0.701816004844474
"c3.loc56","3",56,0.983937159767386
"c3.loc57","3",57,0.0601773995725345
"18_29169855","3",57.167052,0.00151102799979341
"c3.loc58","3",58,0.360009895488901
"3_19326619","3",58.115053,0.337856999213638
"13_28441420","3",58.225054,0.337852402592336
"3_8220547","3",58.678055,0.219600897651816
"c3.loc59","3",59,0.228405294571196
"c3.loc60","3",60,0.263490353062178
"c3.loc61","3",61,0.294400549739695
"c3.loc62","3",62,0.194388100874505
"c3.loc63","3",63,0.0238774269662336
"c3.loc64","3",64,0.00125809187719739
"c3.loc65","3",65,0.0168164008379534
"16_10945438","3",65.295056,0.0218363695418624
"4_405578","4",0,0.00163360505493415
"c4.loc1","4",1,0.00130463049670837
"c4.loc2","4",2,0.00098514238644043
"c4.loc3","4",3,0.00069356531505349
"c4.loc4","4",4,0.000445650730402036
"4_936532","4",4.541001,0.00033410749847107
"4_1048504","4",4.690002,0.000334287055235194
"c4.loc5","4",5,0.0166689978126442
"c4.loc6","4",6,0.2372328103718
"4_1554457","4",6.230003,0.295118134995757
"4_1659787","4",6.332004,0.0333523700535636
"4_1800655","4",6.675005,0.0211025289197586
"4_1800675","4",6.909006,0.0225705672570093
"4_2007610","4",6.909007,0.0226385644520271
"c4.loc7","4",7,0.02327960764827
"c4.loc8","4",8,0.0286352246063544
