"","chr","pos","lod"
"1_465241","1",0,0.012331503456835
"c1.loc1","1",1,0.0313332969603266
"c1.loc2","1",2,0.0589569674163215
"c1.loc3","1",3,0.092501583282683
"1_465237","1",3.915001,0.124760119584892
"c1.loc4","1",4,0.125147388833568
"1_465283","1",4.059002,0.1254152490107
"1_979448","1",4.995003,0.228576766255372
"c1.loc5","1",5,0.227949838523273
"1_972545","1",5.293004,0.237011755974777
"1_1002947","1",5.712005,0.15932917762467
"1_1002957","1",5.864006,0.159506431172758
"1_974823","1",5.871007,0.159506548321303
"c1.loc6","1",6,0.142959623085233
"c1.loc7","1",7,0.0178068373312215
"1_1388796","1",7.099008,0.0114481238312294
"1_1248864","1",7.263009,0.220988290044573
"1_1552607","1",7.60901,0.220679484102448
"1_1552625","1",7.609011,0.220669588013379
"c1.loc8","1",8,0.220133847670411
"c1.loc9","1",9,0.217891800087983
"1_1956021","1",9.720012,0.215551230208604
"c1.loc10","1",10,0.212496431443498
"c1.loc11","1",11,0.0368469478766826
"1_2275959","1",11.738013,0.159943199240132
"c1.loc12","1",12,0.179670737399562
"c1.loc13","1",13,0.249934805676645
"1_3046147","1",13.435014,0.274428608243028
"c1.loc14","1",14,0.283640155588756
"1_3170463","1",14.186015,0.286481807905801
"1_3145449","1",14.449016,0.206300341446308
"1_3205026","1",14.729017,0.217482714389689
"1_3268220","1",14.817018,0.30626686264668
"c1.loc15","1",15,0.312000698878762
"1_3232043","1",15.074019,0.314186495816926
"c1.loc16","1",16,0.290492060602986
"1_3738134","1",16.80702,0.25904766394757
"c1.loc17","1",17,0.265503636815623
"c1.loc18","1",18,0.296616374242262
"c1.loc19","1",19,0.321433698359044
"c1.loc20","1",20,0.33816278514368
"c1.loc21","1",21,0.346344594636832
"1_4279304","1",21.077021,0.346633728052325
"c1.loc22","1",22,0.312997674791831
"c1.loc23","1",23,0.26645225289775
"c1.loc24","1",24,0.208357691047695
"c1.loc25","1",25,0.140770291106662
"c1.loc26","1",26,0.0723153520231392
"c1.loc27","1",27,0.0195222436406368
"c1.loc28","1",28,2.63133145494976e-06
"c1.loc29","1",29,0.0192130745824102
"c1.loc30","1",30,0.0662674938043608
"c1.loc31","1",31,0.124213560047252
"c1.loc32","1",32,0.180575536066556
"c1.loc33","1",33,0.229637476689931
"7_7311056","1",33.364022,0.245263103468517
"c1.loc34","1",34,0.25334295420177
"c1.loc35","1",35,0.265728519316667
"c1.loc36","1",36,0.277197667627235
"c1.loc37","1",37,0.287123770585026
"c1.loc38","1",38,0.294817639156093
"c1.loc39","1",39,0.299597643141624
"c1.loc40","1",40,0.300885044425712
"c1.loc41","1",41,0.29830691897692
"c1.loc42","1",42,0.291778914357621
"c1.loc43","1",43,0.281539752239212
"c1.loc44","1",44,0.268122528015169
"c1.loc45","1",45,0.252269719360413
"c1.loc46","1",46,0.234817983479132
"c1.loc47","1",47,0.216585386271646
"11_7995636","1",47.189023,0.213140059627733
"c1.loc48","1",48,0.286015214274727
"c1.loc49","1",49,0.389508104677219
"c1.loc50","1",50,0.50335032680232
"c1.loc51","1",51,0.621085603895182
"c1.loc52","1",52,0.735700925961027
"3_20634638","1",52.012024,0.737020141902093
"18_3644857","1",52.520025,0.591412532798586
"11_7995637","1",52.770026,0.62269118681462
"c1.loc53","1",53,0.594260978605234
"c1.loc54","1",54,0.42124352762167
"1_12207498","1",54.309027,0.35943883793945
"c1.loc55","1",55,0.311822204510548
"c1.loc56","1",56,0.0759101862390992
"c1.loc57","1",57,0.25668409096653
"c1.loc58","1",58,0.407688973464076
"14_16990480","1",58.475028,0.422325484264832
"1_16852366","1",58.634029,0.414708192324753
"c1.loc59","1",59,0.498787599803592
"18_33759636","1",59.82903,0.674267331772199
"c1.loc60","1",60,0.634003299866379
"1_17586659","1",60.200031,0.583510448633803
"1_18503714","1",60.699032,0.454051624425517
"1_18231605","1",60.886033,0.458124597112914
"c1.loc61","1",61,0.421482887793189
"1_19075514","1",61.152034,0.367080916686547
"1_19145591","1",61.270035,0.667070449008435
"c1.loc62","1",62,0.92082663276048
"1_19658001","1",62.586036,0.944819310977664
"1_19658214","1",62.656037,0.945274812471155
"1_19637644","1",62.776038,1.4699749032923
"c1.loc63","1",63,0.00176527785311009
"1_19817756","1",63.337039,0.00476159222097294
"1_20356240","1",63.78704,0.046826001895738
"c1.loc64","1",64,0.0439611829295075
"1_19614222","1",64.750041,0.0221359777947328
"c1.loc65","1",65,0.0621589667896103
"1_20669875","1",65.163042,0.0771365437224745
"c1.loc66","1",66,0.0533430637935624
"1_20743986","1",66.848043,0.0321633271491919
"1_20954387","1",66.848044,0.0321933669264354
"c1.loc67","1",67,0.0289079232100562
"1_21209235","1",67.285045,0.0232029938428866
"1_20779520","1",67.817046,0.740331018411467
